Ab PDF S. 8; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
"Gebäude 25 – 50 Jahre
Technische Anlagen und Maschinen 5 – 14 Jahre
Betriebs- und Geschäftsausstattung überwiegend 3 –
8 Jahre"; 5.7, 9.7, 29 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
Finanzanlagen; 5.12, 9.12, 29 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Die nicht konsolidierten Anteile an verbundenen Unternehmen sowie die Beteiligungen sind zu Anschaffungskosten oder zum
niedrigeren beizulegenden Wert bilanziert. Soweit Gründe für vorgenommene Abschreibungen nicht mehr bestehen, wird im Umfang
der Werterhöhung zugeschrieben, jedoch nicht über die Anschaffungskosten hinaus."; 5.12, 9.12, 29 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"In den Finanzanlagen ist auch Deckungsvermögen im Sinne von § 246 Abs. 2 Satz 2 HGB enthalten, dass zum 30. September 2016
mit den zugehörigen Altersversorgungsverpflichtungen saldiert wurde."; 5.12, 9.12, 29, 43 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
Vorräte; 5.20, 9.20, 29 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Die Roh-, Hilfs- und Betriebsstoffe und Waren werden auf der Basis der Anschaffungskosten zu gleitenden Durchschnittspreisen
bewertet. Die Herstellungskosten der fertigen und unfertigen Erzeugnisse umfassen Einzelkosten und angemessene Teile der
notwendigen Material- und Fertigungsgemeinkosten sowie angemessene Teile des durch die Fertigung veranlassten Wertverzehrs des
Anlagevermögens. Kosten der allgemeinen Verwaltung sowie Aufwendungen für soziale Einrichtungen des Betriebs, für freiwillige
soziale Leistungen und für betriebliche Altersversorgung sind nicht mit einbezogen. Die Ermittlung der Herstellungskosten für die
unfertigen und fertigen Erzeugnisse wurde wie im Vorjahr auf Basis einer Normalauslastung durchgeführt. Bestandsrisiken, die sich
aus eingeschränkter technischer oder wirtschaftlicher Verwertbarkeit ergeben, ist bei der Vorratsbewertung durch angemessene
Wertberichtigungen Rechnung getragen."; 5.20, 9.20, 29 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
Forderungen und sonstige Vermögensgegenstände; 5.25, 9.25, 29 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Forderungen und sonstige Vermögensgegenstände sind mit ihren Nennbeträgen abzüglich erkennbarer Einzelrisiken berücksichtigt.
Sämtliche Forderungen und sonstigen Vermögensgegenstände des Umlaufvermögens haben eine Restlaufzeit von weniger als einem
Jahr."; 5.25, 9.25, 29 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
Kassenbestand und Guthaben bei Kreditinstituten; 5.33, 9.33, 29 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
Kassenbestände und Bankguthaben sind mit dem Nominalbetrag angesetzt.; 5.33, 9.33, 29 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
Aktive Rechnungsabgrenzungsposten; 5.34, 9.34, 29 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Der Posten enthält Ausgaben vor dem Abschlussstichtag, der Aufwand für einen bestimmten Zeitraum nach dem Bilanzstichtag
darstellt, z.B. für Versicherungsbeiträge."; 5.34, 9.34, 29 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
Aktiver Unterschiedsbetrag aus der Vermögensverrechnung; 5.36, 9.36, 29 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Der im Vorjahr ausgewiesene aktive Unterschiedsbetrag resultiert aus der Saldierung bestehender Altersteilzeitverpflichtungen mit
den zu deren Absicherung gehaltenen und zum Zeitwert bewerteten Wertpapieren."; 5.36, 9.36, 29 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
Eigenkapital; 5.37, 9.37, 29 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Der am 21. April 2016 in das Handelsregister eingetragene Formwechsel der bisherigen HARTING KGaA in die HARTING AG & Co. KG
führt zur Umwidmung des bisherigen Grundkapitals und der Kapitalanteile der persönlich haftenden Gesellschafter in
Kommanditkapital. Die Höhe der Kapitalanteile von insgesamt EUR 4,12 Mio. ist unverändert."; 5.37, 9.37, 29 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
In den Konzernbilanzgewinn in Höhe von T€ 105.475 ist ein Konzerngewinnvortrag in Höhe von T€ 84.828 einbezogen.; 5.45, 9.45, 29, 38 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
Die Entwicklung des Konzerneigenkapitals entsprechend DRS 7 ist im Konzerneigenkapitalspiegel dargestellt; 5.37, 9.37, 29, 162 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Die Veränderung im Eigenkapital aufgrund der Währungsumrechnung in Höhe von T€ -1.685 auf T€ 5.401 setzt sich aus dem
Unterschiedsbetrag aus der Umrechnung der Gewinn- und Verlustrechnung zu Durchschnittskursen und dem Jahresergebnis in der
Bilanz zu Stichtagskursen mit T€ 254 sowie aus der Umrechnung des Eigenkapitals zu historischen Kursen mit einem
Währungsunterschied von T€ -1.939 zusammen"; 5.37, 9.37, 29 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
Rückstellungen für Pensionen und ähnliche Verpflichtungen; 5.48, 9.48, 29 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Rückstellungen für Pensionen und ähnliche Verpflichtungen wurden auf Basis der zum 30. September 2016 erstellten Gutachten nach
der Teilwertmethode versicherungsmathematisch ermittelt. Die Rückstellungen für Pensionen und ähnliche Verpflichtungen wurden
pauschal mit einem von der Deutschen Bundesbank veröffentlichen durchschnittlichen Marktzinssatz der vergangenen zehn Jahre
(Vorjahr sieben Jahre) abgezinst, der sich bei einer angenommenen Restlaufzeit von 15 Jahren ergibt (§ 253 Abs. 2 Satz 2 HGB).
Dieser Zinssatz beträgt 4,14% p.a. Der Rententrend beträgt 1,0% p.a., der Gehaltstrend 0,0 % p.a. Ferner erfolgten die
versicherungsmathematischen Berechnungen unter Zugrundelegung der Richttafeln 2005 G von Prof. Dr. Klaus Heubeck. In der
Alternativberechnung nach § 253 Abs. 6 HGB beträgt der Zinssatz 3,47 % für den durchschnittlichen Marktzins der letzten sieben
Jahre. Der Unterschiedsbetrag zum verwendeten Marktzins beträgt TEUR 323."; 5.48, 9.4, 29, 40, 41 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Die Verpflichtungen aus Pensionen und ähnliche Verpflichtungen werden mit den Vermögensgegenständen, die ausschließlich der
Erfüllung der Altersversorgungs- und ähnlichen Verpflichtungen dienen und dem Zugriff aller übrigen Gläubiger entzogen sind (sog.
Deckungsvermögen), in Höhe von T€ 2.799 verrechnet. Die Bewertung des Deckungsvermögens erfolgt zum beizulegenden Zeitwert.
Der beizulegende Zeitwert der verrechneten Vermögensgegenstände wurde anhand von Marktpreisen auf einem aktiven Markt
bestimmt."; 5.48, 9.4, 29, 43 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
Sonstige Rückstellungen und Steuerrückstellungen; 5.49, 5.50  ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Die sonstigen Rückstellungen beinhalten im Wesentlichen Tantiemen und Mitarbeiterboni (T€ 17.657), ausstehende Rechnungen (T€
2.949), Drohverlustrückstellungen (T€ 1.502), Kundenboni (T€ 2.096) und Urlaubsverpflichtungen (T€ 3.382)."; 5.49, 5.50  ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Die Rückstellungen für bereits bestehende Verpflichtungen aus Altersteilzeit beruhen auf versicherungsmathematischen Gutachten
zum 30. September 2016 und wurden nach den Vorgaben des IDW RS HFA 3 gebildet. Die Barwertermittlung erfolgte mit einem
Zinssatz 3,42 % p.a., der Berechnung des Gehaltstrends liegt ein Zinssatz von 0,0% p.a. zugrunde. Seit dem Geschäftsjahr 2009/10
besteht nicht mehr die Möglichkeit des Abschlusses von Altersteilzeitverträgen. Entsprechend gibt es auch keine Mitarbeitenden mit
ungeregelten Anwartschaften. Die Absicherung der Ansprüche der Mitarbeitenden erfolgt ausschließlich über Bürgschaften."; 5.50, 39, 40 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Die Jubiläumsrückstellungen wird nach der „Projected-Unit-Credit-Methode“ bewertet. Der Berechnung liegt ein Zinssatz von 3,42 %
p.a., eine Fluktuationsannahme von 2,0% p.a., ein Lohn- und Gehaltstrend von 2,0% sowie ein Zinssatz der
Beitragsbemessungsgrenze von 0,0% p.a. zugrunde. Als biometrische Rechnungsgrundlagen wurden die „Richttafeln 2005 G“ von
Prof. Dr. Klaus Heubeck verwendet."; 5.50, 29 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Die übrigen Rückstellungen sowie die Steuerrückstellungen decken alle erkennbaren Risiken und Verpflichtungen in angemessener
Höhe ab."; 5.50, 29 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
Verbindlichkeiten; 9.51, 29 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
Verbindlichkeiten sind zu ihrem Erfüllungsbetrag angesetzt.; 9.51, 29 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
Die in der Bilanz ausgewiesenen Verbindlichkeiten teilen sich hinsichtlich der Restlaufzeiten wie folgt auf:; 5.51, 29 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Gesamt- davon mit einer Restlaufzeit
betrag
30.09.2016
T€
bis zu 1 Jahr
T€
von 1 bis 5 Jahre
T€
über 5 Jahre
T€
Verbindlichkeiten gegenüber Kreditinstituten 1.999 1.999 0 0
(3.630) (3.630) 0 0
Erhaltene Anzahlungen auf Bestellungen 2.428 2.428 0 0
(3.249) (3.249) 0 0
Verbindlichkeiten aus Lieferungen und Leistungen 26.015 26.015 0 0
(22.935) (22.935) 0 0
aus der Annahme gezogener Wechsel und aus der
Ausstellung
eigener Wechsel 13 13 0 0
(63) (63) 0 0
gegenüber verbundenen Unternehmen 9 9 0 0
(1) (1) 0 0
Sonstige 180.330 180.330 0 0
(192.778) (192.778) 0 0
210.794 210.794 0 0
(222.656) (222.656) 0 0"; 5.51, 29, 47 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
Passive Rechnungsabgrenzungsposten; 5.63, 9.63 29 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Der Posten enthält Einnahmen vor dem Abschlussstichtag, die Ertrag für einen bestimmten Zeitraum nach dem Bilanzstichtag
darstellen."; 5.63, 9.63, 29 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
Antizipative Bewertungseinheiten; 9.0 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Zum Ausgleich gegenläufiger Wertänderungen oder Zahlungsströme aus Rohstoffpreisschwankungen, Wechselkurs- und Zinsrisiken
wurden mit hoher Wahrscheinlichkeit erwartete Transaktionen aus Grundgeschäften mit als Sicherungsgeschäft eingesetzten
Finanzinstrumenten zusammengefasst (Bewertungseinheit). Soweit die Voraussetzungen für Bewertungseinheiten mit den jeweiligen
Grundgeschäften nicht erfüllt sind, erfolgt die Bilanzierung nach allgemeinen Bewertungsgrundsätzen."; 9.0 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
Währungsumrechnung laufender Geschäftsvorfälle; 9.0 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Geschäftsvorfälle in fremder Währung werden grundsätzlich mit dem Kurs zum Zeitpunkt der Erstverbuchung erfasst. Bilanzposten
werden zum Stichtag wie folgt bewertet:"; 9.0 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Langfristige Fremdwährungsforderungen werden zum Devisenmittelkurs bei Entstehung der Forderung oder zum niedrigeren
beizulegenden Wert, unter Zugrundelegung des Devisenmittelkurses am Abschlussstichtag, angesetzt (Imparitätsprinzip). Kurzfristige
Fremdwährungsforderungen (Restlaufzeit von einem Jahr oder weniger) sowie liquide Mittel oder andere kurzfristige
Vermögensgegenstände in Fremdwährungen werden gem. § 256a HGB zum Devisenmittelkurs am Bilanzstichtag umgerechnet."; 9.0 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Langfristige Fremdwährungsverbindlichkeiten werden zum Devisenmittelkurs bei Entstehung der Verbindlichkeit oder zum höheren
Stichtagskurswert, unter Zugrundelegung des Devisenmittelkurses am Abschlussstichtag, bewertet (Imparitätsprinzip). Kurzfristige
Fremdwährungsverbindlichkeiten (Restlaufzeit von einem Jahr oder weniger) werden zu Devisenmittelkurs am Bilanzstichtag
umgerechnet."; 9.0 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
Saldierung von Deckungsvermögen mit Altersvorsorgeverpflichtungen; 9.0 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Rückstellungspflichtige Pensionsverpflichtungen / Altersteilzeitverpflichtungen bestehen zum Bilanzstichtag in Höhe von T€ 8.464 bzw.
T€ 531. Diese wurden mit Deckungsvermögen (T€ 2.799) gemäß § 246 Abs. 2 Satz 2 HGB verrechnet. Als Deckungsvermögen
wurden die zweckexklusiven, verpfändeten und insolvenzgeschützten Wertpapierdepots klassifiziert. Die Aufwendung aus der
Aufzinsung der Pensionsrückstellungen sind im Zinsaufwand mit T€ 272 (Vorjahr T€ 287) enthalten."; 9.0 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Verrechnete
Vermögensgegenstände
(Deckungsvermögen)
Wertpapiere des
Anlagevermögens
Verrechnete
Vermögensgegenstände
(Deckungsvermögen)
Wertpapiere des
Anlagevermögen"; 9.0 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Latente Steuern
Latente Steuern beruhen gem. § 274 und § 306 HGB auf folgenden Sachverhalten:"; 5.35, 9.35, 5.64, 9.64 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Differenzen zwischen Handels- und Steuerrecht bei Pensionsrückstellungen, Drohverlustrückstellungen,
Altersteilzeitrückstellungen, Jubiläumsrückstellungen sowie der Fortschreibung von Betriebsprüfungssachverhalten
(überwiegend aktive temporäre Differenzen)
• Differenzen zwischen der lokalen ausländischen Handelsbilanz und der Handelsbilanz nach deutschem Recht (überwiegend
passive temporäre Differenzen)
• Erfolgswirksamen Konsolidierungsmaßnahmen im Rahmen des Konzernabschlusses (überwiegend aktive temporäre
Differenzen)
• Aus der Aktivierung werthaltiger steuerlicher Verlustvorträge (nur aktive Differenzen)"; 5.35, 9.35, 5.64, 9.64 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Die latenten Steuern zeigen per Saldo eine aktive latente Steuer in Höhe von T€ 5.167. Die Zusammensetzung ergibt sich aus
nachfolgender Übersicht:"; 5.35, 9.35, 5.64, 9.64, 29, 30 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Latente Steuern in der Konzernbilanz aus: 30.09.2016 30.09.2015 Bilanzposten
Angleichung HBI - HBII Einzelabschlüsse 2.396 1.820 Aktive Steuerabgrenzung
werthaltigen steuerlichen Verlustvorträgen 1.105 724 Aktive Steuerabgrenzung
Zwischengewinneliminierung Umlaufvermögen 1.137 1.242 Aktive Steuerabgrenzung
Zwischengewinneliminierung Anlagevermögen 529 557 Aktive Steuerabgrenzung
5.167 4.343"; 5.35, 9.35, 5.64, 9.64, 29, 30 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Der Berechnung latenter Steuern liegt jeweils der landesindividuelle Steuersatz zugrunde. Dieser beträgt für latente Steuern aus
Großbritannien 20,0 %, aus China 25,0 %, aus Tschechien 19,0 % sowie für die deutschen Gesellschaften 14,1 %. Aktive und passive
latente Steuern werden soweit wie möglich auf Gruppenebene saldiert."; 5.35, 9.35, 5.64, 9.64, 29, 30 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
5 Haftungsverhältnisse und sonstige finanzielle Verpflichtungen; 48, 85 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
Haftungsverhältnisse gemäß §§ 251, 268 Abs. 7 HGB bestehen am Abschlussstichtag wie folgt:; 48, 85 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"30.09.2016
T€
30.09.2015
T€
Anzahlungsbürgschaften 3.406 2.229
Altersteilzeitsicherung 926 0
Zollbürgschaften 216 216
Mietbürgschaften 96 78
Gewährleistungsbürgschaften 43 25
4.687 2.548"; 48, 85 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Die Wahrscheinlichkeit einer Inanspruchnahme aus den vorstehenden Haftungsverhältnissen halten wir für nahezu ausgeschlossen, da
keine Anhaltspunkte erkennbar sind, nach denen die haftende HARTING-Gesellschaft ihren Verpflichtungen nicht nachkommen können
sollte."; 48, 50, 85 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
Sonstige finanzielle Verpflichtungen gemäß § 285 Nr. 3a HGB bestehen wie folgt:;;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"30.09.2016
T€
30.09.2015
T€
Verpflichtungen aus
Miet- und Leasingverträgen 10.861 11.262
Bestellobligo 34.664 0
45.525 0";;2015/2016;AG & Co. KG;Konzernabschluss;PwC
6 Erläuterungen zur Gewinn- und Verlustrechnung;;2015/2016;AG & Co. KG;Konzernabschluss;PwC
Die Aufteilung der Umsatzerlöse auf Geschäftsbereiche ergibt folgende Gliederung:; 5.66 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"2015/16 Gesamt 2014/15 Gesamt
Connectivity & Networks 528.297 508.989
Mitronics 4.527 3.993
Sonstige 52.779 54.223
585.603 567.205
Die Umsatzerlöse wurden in folgenden Märkten erzielt:
2015/16
T€
2014/15
T€
2015/16
T€
2014/15
T€
Europa 394.048 375.262
Übrige Welt 191.555 191.943
585.603 567.2
585.603 567.205"; 5.66, 53 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
Die Material- und Personalaufwendungen stellen sich wie folgt dar:; 5.70, 9.70 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
