Ab S. 23; Annotierung (Angabe Nummer in Anahngscheckliste) ;Gesch„ftsjahr;Gesellschaft;Abschlussart;Prfer
"Der Vorstand war durch Beschluss der Hauptversammlung vom 29. Juli 2011 erm„chtigt, mit Zustimmung des Aufsichtsrats bis zum 28. Juli 2016 das Grundkapital der Gesellschaft einmal oder mehrmals um bis
zu EUR 2.520.000,00 gegen Bar- und/oder Sacheinlage zu erh”hen. Das Bezugsrecht der Aktion„re kann ausgeschlossen werden. Dieses bis Juli 2016 befristete genehmigte Kapital wurde in gleicher H”he durch
ein genehmigtes Kapital 2015 ersetzt. Das Bezugsrecht der Aktion„re kann ausgeschlossen werden. Der Vorstand ist erm„chtigt, mit Zustimmung des Aufsichtsrats das Grundkapital bis zum 17. Juni 2020 einmalig
oder in Teilbetr„gen mehrmals um bis zu insgesamt EUR 2.520.000,00 gegen Bar- und/oder Sacheinlagen durch Ausgabe neuer, auf den Namen lautender Stckaktien zu erh”hen (Genehmigtes Kapital 2015)."; 21 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
Bedingtes Kapital;;2016;asknet AG;Konzernabschluss;Ebner Stolz
"Mit Beschluss der auáerordentlichen Hauptversammlung vom 23. August 2016 wird der Vorstand erm„chtigt, mit Zustimmung des Aufsichtsrates bis zum 22. August 2021 einmalig oder mehrmals auf den
Inhaber oder auf den Namen lautende Optionsschuldverschreibungen, Wandelschuldverschreibungen, Genussrechte und/oder Gewinnschuldverschreibungen oder eine Kombination dieser Instrumente (zusammen
""Schuldverschreibungen"") im Gesamtnennbetrag von bis zu EUR 3.000.000,00 mit einer Laufzeit von l„ngstens 10 Jahren zu begeben und den Inhabern oder Gl„ubigern von Optionsschuldverschreibungen
oder Optionsgenussscheinen oder Optionsgewinnschuldverschreibungen Optionsrechte oder -pflichten oder den Inhabern oder Gl„ubigern von Wandelschuldverschreibungen oder Wandelgenussscheinen oder
Wandelgewinnschuldverschreibungen Wandlungsrechte oder -pflichten auf bis zu 1.500.000 neue, auf den Namen lautende Stckaktien der asknet AG mit einem anteiligen Betrag des Grundkapitals von insgesamt
bis zu EUR 1.500.000,00 nach n„herer Maágabe der Bedingungen dieser Schuldverschreibungen zu gew„hren oder aufzuerlegen. Die Schuldverschreibungen k”nnen auáer in Euro auch - unter Begrenzung auf
den entsprechenden Euro-Gegenwert - in der gesetzlichen W„hrung eines OECD-Landes begeben werden. Sie k”nnen auch durch ein nachgeordnetes Konzernunternehmen der asknet AG ausgegeben werden;
fr diesen Fall wird der Vorstand erm„chtigt, mit Zustimmung des Aufsichtsrates fr die asknet AG die Garantie fr die Schuldverschreibungen zu bernehmen und den Inhabern oder Gl„ubigern Options- und
Wandlungsrechte oder -pflichten auf den Namen lautende Stckaktien der asknet AG zu gew„hren oder aufzuerlegen."; 60 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
Sonstige Rckstellungen; 5.50 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
"Die sonstigen Rckstellungen wurden im Wesentlichen fr Inkassoansprche, Urlaubsansprche und Sondervergtungen, Berufsgenossenschaftsbeitr„ge, Jahresabschlusskosten und Kosten der Steuerberatung
sowie ausstehende Lieferantenrechnungen gebildet."; 5.50 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
Verbindlichkeiten; 5.51 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
S„mtliche Verbindlichkeiten haben wie im Vorjahr Restlaufzeiten bis zu einem Jahr und sind nicht besichert.; 5.51 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
ERLUTERUNGEN ZUR GEWINN- UND VERLUSTRECHNUNG;;2016;asknet AG;Konzernabschluss;Ebner Stolz
nderungen durch BilRUG bei Ausweis und Gliederung; 2 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
"Darstellung und Gliederung der Gewinn- und Verlustrechnung wurden im Berichtsjahr an die durch das BilRUG ge„nderten Vorschriften des HGB angepasst. Infolge der ge„nderten Gliederungsvorschriften des
õ 275 HGB ist der im Vorjahr noch ausgewiesene Posten ""Ergebnis der gew”hnlichen Gesch„ftst„tigkeit"" (TEUR 92) entfallen. Neu eingefgt wurde im Berichtsjahr der Posten ""Ergebnis nach Steuern""."; 2,5.91 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
Umsatzerl”se in T?; 5.66 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
"2016 2015
UMSATZERL™SE NACH SPARTEN
Digital 44.909 42.865
Physical 3.857 4.080
Academics 19.958 26.378
68.724 73.323
UMSATZERL™SE NACH REGIONEN
Inland 24.319 30.147
Europa (exkl. Deutschland) 15.333 16.556
USA 15.338 14.573
Asien 8.183 6.774
šbrige L„nder 5.551 5.273
68.724 73.323"; 5.66,47 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
Sonstige betriebliche Ertr„ge; 5.69 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
Die sonstigen betrieblichen Ertr„ge beinhalten Ertr„ge aus der W„hrungsumrechnung i.H.v. TEUR 277 (Vj. TEUR 546).; 3.69,5.69,53 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
Sonstige betriebliche Aufwendungen; 5.80 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
Die sonstigen betrieblichen Aufwendungen beinhalten Aufwendungen aus der W„hrungsumrechnung i.H.v. TEUR 462 (Vj TEUR 1.039).; 3.80,5.80,53 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
Steuern vom Einkommen und vom Ertrag; 5.90 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
Die Steuern vom Einkommen und vom Ertrag betreffen ausschlieálich Erstattungen fr Vorjahre.; 5.90,51,55 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
Zinsaufwand und sonstige Steuern; 5.88,5.92 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
"In den Posten Zinsaufwand und sonstige Steuern sind Aufwendungen von auáergew”hnlicher Bedeutung in Form von m”glichen Umsatzsteuernachzahlungen inkl. Zinsen an die norwegische Steuerbeh”rde
i.H.v. TEUR 829 enthalten."; 5.88,5.92 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
ERLUTERUNGEN ZUR KONZERNKAPITALFLUSSRECHNUNG;;2016;asknet AG;Konzernabschluss;Ebner Stolz
Der Finanzmittelfonds setzt sich wie im Vorjahr aus dem Bilanzposten Kassenbestand und Guthaben bei Kreditinstituten zusammen. Von dem Finanzmittelfonds unterliegen unver„ndert TEUR 150 Verfgungsbeschr„nkungen.;;2016;asknet AG;Konzernabschluss;Ebner Stolz
SONSTIGE ANGABEN;;2016;asknet AG;Konzernabschluss;Ebner Stolz
SONSTIGE FINANZIELLE VERPFLICHTUNGEN;;2016;asknet AG;Konzernabschluss;Ebner Stolz
Es bestehen sonstige finanzielle Verpflichtungen aus Miet- und Leasingvertr„gen in H”he von TEUR 286.; 62 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
"in ? MIETE LEASING TOTAL
F„llig innerhalb 1 Jahr 205.737,18 38.578,76 244.315,94
F„llig nach 1-5 Jahren 8.072,35 33.696,64 41.768,99
F„llig nach 5 Jahren 0,00 0,00 0,00
213.809,53 72.275,40 286.084,93"; 62 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
"Die Mietverh„ltnisse fr Immobilien betreffen den Hauptsitz der Gesellschaft in Deutschland, den Standort in der Schweiz sowie die Customer Service Standorte in Japan und den USA. Bei den Leasing-Vertr„gen
handelt es sich um sog. Operating-Leasing-Vertr„ge, die zu keiner Bilanzierung der Objekte bei der Gesellschaft fhren. Der Vorteil dieser Vertr„ge liegt in der geringeren Kapitalbindung im Vergleich zum Erwerb
und im Wegfall des Verwertungsrisikos. Risiken k”nnen sich aus der Vertragslaufzeit ergeben, sofern die Objekte nicht mehr vollst„ndig genutzt werden k”nnen, wozu es derzeit jedoch keine Anzeichen gibt."; 62 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
"In einer am 9. Dezember 2016 geschlossenen Transaktionsvereinbarung hat sich die asknet AG zu einem Gesamtumsatz bezglich bestimmter Lizenzen in H”he von TEUR 1.555 fr den Vertragszeitraum bis
zum 31. Dezember 2021 verpflichtet."; 62 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
MITARBEITER;;2016;asknet AG;Konzernabschluss;Ebner Stolz
Die Zahl der durchschnittlich Besch„ftigten im Konzern (ohne Vorst„nde, Auszubildende und Aushilfen) betrug im Gesch„ftsjahr 87 Angestellte im Inland (Vj. 88) und 8 Angestellte im Ausland (Vj. 6).; 57 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
ORGANE DER AKTIENGESELLSCHAFT;;2016;asknet AG;Konzernabschluss;Ebner Stolz
Vorstand;;2016;asknet AG;Konzernabschluss;Ebner Stolz
Im Gesch„ftsjahr war zum Vorstand bestellt:;;2016;asknet AG;Konzernabschluss;Ebner Stolz
?Herr Tobias Kaulfuss, Dipl. Kaufmann, MBA, Essen.;;2016;asknet AG;Konzernabschluss;Ebner Stolz
Auf die Angabe ber die H”he der Gesamtbezge des Vorstands nach õ 285 Nr. 9a HGB wird gem„á õ 286 Abs. 4 HGB verzichtet.; 78 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
Aufsichtsrat;;2016;asknet AG;Konzernabschluss;Ebner Stolz
"Der Aufsichtsrat setzte sich im Gesch„ftsjahr wie folgt zusammen:
?Dr. Joachim Bernecker, Unternehmensberater, Straubenhardt: Vorsitzender
?Thomas Krger, Eichenau, Gesch„ftsfhrer der Ad Astra Erste Beteiligungs GmbH, und der Ad Astra Venture Consult GmbH, beide Mnchen: stellvertretender Vorsitzender
?Marc Wurster, Rechtsanwalt/Steuerberater, Karlsruhe (bis 1. Juli 2016)
?Michael Neises, Rechtsanwalt und Partner bei der Soziet„t Heuking Khn Ler Wojtek, Frankfurt (ab 1. Juli 2016)";;2016;asknet AG;Konzernabschluss;Ebner Stolz
Die Bezge des Aufsichtsrats beliefen sich fr 2016 auf TEUR 45.; 78 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
Prfungs- und Beratungsgebhren;;2016;asknet AG;Konzernabschluss;Ebner Stolz
Das von dem Abschlussprfer fr das Gesch„ftsjahr berechnete Gesamthonorar belief sich auf TEUR 30.; 66 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
EREIGNISSE NACH DEM BILANZSTICHTAG (NACHTRAGSBERICHT);;2016;asknet AG;Konzernabschluss;Ebner Stolz
"Zum 1. M„rz 2017 ordnete die Deutsche B”rse Frankfurt die Qualit„tssegmente des Open Markets neu. Der Entry Standard, in dem die asknet AG bislang notierte, wurde durch die Segmente Scale und Basic
Board ersetzt. Da das Segment Scale fr Aktiengesellschaften mit einer h”heren Marktkapitalisierung aufgesetzt wurde, als die asknet AG derzeit aufweist, notiert die Aktie der Gesellschaft seit dem 1. M„rz
2017 im Basic Board."; 64 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
Darber hinaus sind keine Vorg„nge von besonderer Bedeutung nach dem Bilanzstichtag eingetreten, die einen wesentlichen Einfluss auf die Ertrags-, Finanz- und Verm”genslage des Konzerns hatten.; 64 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
Karlsruhe, 13. M„rz 2017;;2016;asknet AG;Konzernabschluss;Ebner Stolz
asknet AG;;2016;asknet AG;Konzernabschluss;Ebner Stolz
Der Vorstand;;2016;asknet AG;Konzernabschluss;Ebner Stolz
Tobias Kaulfuss;;2016;asknet AG;Konzernabschluss;Ebner Stolz
ENTWICKLUNG DES KONZERNANLAGEVERM™GENS 2016 in ?;;2016;asknet AG;Konzernabschluss;Ebner Stolz
"Anschaffungs- und Herstellungskosten
01.01.2016 Zug„nge Abg„nge 31.12.16
I. Immaterielle Verm”gensgegenst„nde
1. Entgeltlich erworbene Konzessionen,
gewerbliche Schutzrechte und
„hnliche Rechte und Werte sowie
Lizenzen an solchen Rechten und
Werten
1.733.702,94 519.204,17 0,00 2.252.907,11
II. Sachanlagen
2. andere Anlagen, Betriebs- und
Gesch„ftsausstattung
1.315.559,23 66.139,94 0,00 1.381.699,17
3.049.262,17 585.344,11 0,00 3.634.606,28
Kumulierte Abschreibungen
01.01.2016 Umrechnungsdifferenzen Zug„nge Abg„nge 31.12.16
I. Immaterielle Verm”gensgegenst„nde
1. Entgeltlich erworbene
Konzessionen, gewerbliche
Schutzrechte und „hnliche
Rechte und Werte sowie Lizenzen
an solchen Rechten
und Werten
676.630,43 0,00 3.220,00 0,00 679.850,43
II. Sachanlagen
2. andere Anlagen, Betriebsund
Gesch„ftsausstattung
980.703,66 -73,01 143.308,98 0,00 1.124.012,64
1.657.334,09 -73,01 146.528,98 0,00 1.803.863,07
Buchwerte
31.12.2016 31.12.2015
I. Immaterielle Verm”gensgegenst„nde
1. Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte
und „hnliche Rechte und Werte sowie Lizenzen an
solchen Rechten und Werten
1.573.056,68 1.057.072,51
II. Sachanlagen
2. andere Anlagen, Betriebs- und Gesch„ftsausstattung 257.686,53 334.855,57
1.830.743,21 1.391.928,08"; 15,16 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
