Anhang für das Geschäftsjahr 2016; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
–Forderungen und sonstige Vermögensgegenstände wurden mit dem Nennbetrag angesetzt. Soweit es sich um das Körperschaftsteuerguthaben nach § 37 Abs. 2 Satz 3 KStG handelt, wurde es mit dem Barwert nach dem Bewertungsgesetz angesetzt.; 8.25 ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
4. Verbindlichkeiten; 8.51 ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
–Die Verbindlichkeiten wurden mit den Erfüllungsbeträgen ausgewiesen. Es sind keine Verbindlichkeiten mit einer Restlaufzeit von mehr als fünf Jahren vorhanden.; 8.51, 49 ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
5. Rückstellungen; 8.47 ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
–Die Rückstellungen wurden mit dem nach vernünftiger kaufmännischer Beurteilung notwendigen Erfüllungsbetrag angesetzt. Die sonstigen Rückstellungen berücksichtigen alle erkennbaren Risiken und ungewissen Verpflichtungen.; 8.47 ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
–Die Rückstellungen haben eine Laufzeit von bis zu einem Jahr und wurden nicht abgezinst.; 8.47 ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
6. Eigene Anteile; 8.0 ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
–Die eigenen Anteile wurden als rechnerischer Wert vom gezeichneten Kapital abgesetzt.; 8.0, 24 ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
–Der Unterschiedsbetrag vom rechnerischen Wert zu den Anschaffungskosten wird mit den anderen Gewinnrücklagen in der Verlängerungsrechnung der Gewinn- und Verlustrechnung verrechnet worden.; 8.0, 24 ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
–Bei einer Veräußerung der eigenen Anteile wird der Unterschiedsbetrag in die jeweilige Rücklage eingestellt. Die eigenen Anteile wurden im Wirtschaftsjahr 2016 angeschafft.; 8.0 24 ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
–Die Gesellschaft hat auf Grundlage des § 71 Abs. 1 Nr. 2 AktG gemäß Vorstandsbeschluss vom 14.10.2016 im Laufe des Geschäftsjahres eigene Anteile von insgesamt 199.996 Aktien erworben.; 8.0, 24 ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
Eigene Aktien der HÖVELRAT HOLDING AG 2016; 8.0, 24 ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
"Datum Stück (Zu- und Abgang) Anteil am Grundkapital Preis/Stück
01.01.2016 0 0,00%
09.11.2016 199.996 9,26% 4,50
31.12.2016 199.996 9,26% 4,50
Grundkapital: 2.158.333"; 8.0, 24 ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
B. Erläuterungen zur Bilanz;;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
1. Sachanlagevermögen; 4.7 ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
–Sachanlagevermögen ist nicht vorhanden.; 4.7 ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
2. Anteile an verbundenen Unternehmen und Forderungen gegenüber verbundenen Unternehmen; 4.13, 94 ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
"Name/Sitz
Anteil.
in %
Eigenkapital.
EUR
Jahresergebnis.
EUR
PROAKTIVA AG, Hamburg 100 696.041,07 0,00"; 4.13, 94 ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
–Bei der Gesellschaft handelt es sich um eine Gesellschaft, die im Rahmen der Anlage- und Abschlussvermittlung sowie der Finanzportfolioverwaltung tätig ist. Mit dieser Gesellschaft wurde ein Gewinnabführungsvertrag abgeschlossen. Aus der Aktivierung des Abführungsanspruches resultiert im Wesentlichen die entsprechende Forderung. Die Reduzierung der Anschaffungskosten um T€ 600 im Geschäftsjahr resultiert aus ergebnisneutralen Rückzahlungen aus der Kapitalrücklage der PROAKTIVA AG.; 4.13, 94 ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
3. Sonstige Vermögensgegenstände; 4.29 ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
–Die sonstigen Vermögensgegenstände enthalten das Körperschaftsteuerguthaben nach § 37 KStG (24.397,63 EUR) sowie das Körperschaftsteuerguthaben nebst Solidaritätszuschlag für 2016 (14.160,21 EUR). Das Körperschaftsteuerguthaben nach § 37 KStG ist mit dem Barwert aktiviert worden.; 4.29 ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
4. Guthaben bei Kreditinstituten; 4.33 ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
–Die Guthaben an Kreditinstitute bestehen gegenüber einem inländischen Kreditinstitut.; 4.33 ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
5. Sonstige Verbindlichkeiten; 4.60 ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
–Die sonstigen Verbindlichkeiten enthalten im Wesentlichen Verbindlichkeiten aus Steuern und Abgaben (3.098,82 EUR). Sie haben eine Restlaufzeit von bis zu einem Jahr.; 4.60 ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
6. Sonstige Rückstellungen; 4.50, 47 ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
–Die sonstigen Rückstellungen setzen sich insbesondere aus Rückstellungen für Rechts-, Beratungs- und Prüfungskosten (12.000,00 EUR), sowie Rückstellungen für Aufsichtsratsvergütungen (9.752,04 EUR) zusammen.; 4.50, 47 ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
7. Latente Steuern; 4.35, 4.64, 27 ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
–Aktive oder passive Steuerlatenzen sind nicht vorhanden.; 4.35, 4.64, 27 ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
8. Eigenkapital; 4.37 ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
–Das voll eingezahlte Aktienkapital beläuft sich auf 2.158.333,00 EUR und ist eingeteilt in 2.158.333,00 Stückaktien, die auf den Inhaber lauten.; 4.37, 32 ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
–Die Kapitalrücklage beträgt zum Stichtag 2.780.672,05 EUR. Die Gewinnrücklagen setzen sich aus der gesetzlichen Rücklage (27.655,05 EUR) und anderen Gewinnrücklagen (8.387,49 EUR) zusammen.; 4.37 ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
–Die Gesellschaft hat auf der Grundlage des § 71 Abs. 1 Nr. 2 AktG gem. Vorstandsbeschluss vom 14.10.2016 im Laufe des Geschäftsjahres eigene Anteile von insgesamt 199.996 Aktien erworben. Die Rücklagen veränderten sich wie folgt:; 4.37, 24 ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
"Gewinnrücklagen
Kapitalrücklagen gesetzliche Rücklage andere Rücklagen
Stand 1.1.2016 2.780.672,05 27.655,05 476.373,49
Einstellung lt. Hauptversammlung 232.000,00
Entnahmen aus anderen Gewinnrücklagen -699.986,00
Einstellung in andere Gewinnrücklagen 0,00
Stand 31.12.2016 2.780.672,05 27.655,05 8.387,49"; 4.39, 4.40, 34, 35 ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
C. Erläuterungen zur Gewinn- und Verlustrechnung;;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
1. Regionale Aufgliederung der Posten der Gewinn- und Verlustrechnung; 58 ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
–Die laufenden Erträge aus Anteilen an verbundenen Unternehmen und die sonstigen betrieblichen Erträge sind in der Bundesrepublik Deutschland angefallen.; 58   ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
2. Sonstiges;;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
–Erträge und Aufwendungen von außergewöhnlicher Größenordnung oder außergewöhnlicher Bedeutung sind nicht angefallen.; 68   ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
D. Anlagenspiegel; 15   ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
"Anschaffungskosten
1.1.2016 Zugänge Abgänge 31.12.2016
EUR EUR EUR EUR
I. Finanzanlagen
Anschaffungskosten
1.1.2016 Zugänge Abgänge 31.12.2016
EUR EUR EUR EUR
1. Anteile an verbundenen Unternehmen
5.041.041,07 0,00 600.000,00 4.441.041,07
5.041.041,07 0,00 600.000,00 4.441.041,07
Kumulierte Abschreibungen
1.1.2016 Zugänge Abgänge 31.12.2016
EUR EUR EUR EUR
I. Finanzanlagen
1. Anteile an verbundenen Unternehmen
0,00 0,00 0,00 0,00
0,00 0,00 0,00 0,00
Buchwerte
01.01.2016 31.12.2016
EUR TEUR
I. Finanzanlagen
1. Anteile an verbundenen Unternehmen 5.041.041,07 4.441.041,07
5.041.041,07 4.441.041,07"; 15, 16 ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
E. Haftungsverhältnisse und sonstige finanzielle Verpflichtungen;;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
Sonstige finanzielle Verpflichtungen, die nicht in der Bilanz auszuweisen und auch keine Haftungsverhältnisse i.S. von § 251 HGB sind, bestanden am Abschlussstichtag nicht.; 54, 83 ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
F. Ergänzende Angaben;;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
"(1) Vorstand
Familienname Vorname Funktion Vertretungsbefugnis
Peters Torben Vorstandssprecher Vermögensverwaltung Gesamtvertretung
Treiber Susanne Vorstand, Finanzen, Personal, Controlling,
Organisation und Verwaltung
Gesamtvertretung"; 102   ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
Die HÖVELRAT Holding AG hat im Geschäftsjahr 2016 keinerlei Bezüge an die Vorstandsmitglieder gewährt. In diesem Zusammenhang verweisen wir auf die Angaben zu den Gesamtbezügen der Vorstandsmitglieder im Jahresabschluss und Anhang der PROAKTIVA AG.; 103   ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
(2) Mitarbeiter; 80   ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
Die Gesellschaft beschäftigte durchschnittlich einen Mitarbeiter.; 80   ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
(3) Aufsichtsrat; 102   ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
"Familienname Vorname Funktion Beruf
Prof.Dr. Mittnik Stefan Vorsitzender (ab 20.07.2016) Universitätsprofessor
Krohn Bernd Martin Vorsitzender (bis 20.07.2016), ab 20.07.2016
Stv. Vorsitzender
Diplom-Volkswirt und Privatier, Appen/Holstein
Dr. Fischer-Zernin Justus Stv. Vorsitzender (bis 20.07.2016) Selbständiger Rechtsanwalt, Hamburg
Springer Reinhard Mitglied (ab 20.07.2016) Brand Coach
Leuenberger Adrian Mitglied (bis 20.07.2016) Kaufmann, Zürich/Schweiz"; 102   ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
Weitere Mandate der Aufsichtsratsmitglieder:; 102   ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
"Herr Prof. Dr. Stefan Mittnik ist außerdem
•Mitglied, Wissenschaftlicher Beirat und Gesellschafter, Institut für Quantitative Finanzanalyse IQFin GmbH
•Vorstandsvorsitzender, Gesellschaft für Finanz- und Versicherungsökonomie e.V.
•Mitglied des Aufsichtsrats der Union Investment Institutional GmbH
•Mitglied des Aufsichtsrats der Union Investment Privatfonds GmbH
•Mitglied des Beirats des Frankfurter Instituts für Risikomanagement und Regulierung (FIRM)
•Mitglied Wissenschaftlicher Beirat Scalable Capital GmbH
•Aufsichtsratsvorsitzender des Aufsichtsrats der MYRA Capital AG
Herr Bernd Krohn ist außerdem
•Vorsitzender des Aufsichtsrates der rubean AG, München
Herr Dr. Justus Fischer-Zernin ist außerdem
•Vorsitzender des Aufsichtsrats der Dennso AG, Hamburg
Herr Reinhard Springer ist außerdem
•Mitglied im Beirat der Katjes Holding GmbH & Co. KG sowie bei Katjes International GmbH & Co. KG
•Im Beirat der Schleich GmbH
Herr Adrian Leuenberger ist außerdem
•Vorsitzender des Aufsichtsrats der Experta AG, Luxembourg
•Vorsitzender des Aufsichtsrats der BIL Manage Invest AG, Luxembourg
•Mitglied des Aufsichtsrats der Internationale a Luxembourg Schweiz AG"; 102   ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
Die Bezüge der Aufsichtsratsmitglieder beliefen sich im Berichtsjahr auf 14.000,00 EUR.; 103   ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
(4) Konzernverhältnisse;;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
Ein Konzernabschluss wird aufgrund der Größenklassenbefreiung für das Geschäftsjahr 2016 nicht erstellt.;;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
(5) Geschäftstätigkeit;;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
Die Geschäftstätigkeit der Gesellschaft besteht im Wesentlichen in der Verwaltung von Beteiligungen.;;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
(6) Vorschüsse und Kredite an Mitglieder der Geschäftsführung sowie Haftungsverhältnisse zugunsten von Mitgliedern des Vorstands und des Aufsichtsrats.; 112   ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
An Mitglieder des Vorstands wurden im Jahr 2016 keine Kredite vergeben.; 122   ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
Haftungsverhältnisse zugunsten von Vorstands- oder Aufsichtsratsmitgliedern bestanden zum Bilanzstichtag nicht.; 122   ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
(7) Honorar des Abschlussprüfers; 89   ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
Das auf das Jahr 2016 entfallende Honorar des Abschlussprüfers beträgt für Abschlussprüfungsleistungen 9.031,25 EUR.; 89   ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
(8) Genehmigtes Kapital; 33   ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
Der Vorstand ist ermächtigt, das Grundkapital der Gesellschaft bis zum 31. Januar 2018 mit Zustimmung des Aufsichtsrats durch Ausgabe neuer auf den Inhaber lautenden Stückaktien mit Gewinnberechtigung ab Beginn des Geschäftsjahres ihrer Ausgabe gegen Bar- oder Sacheinlage einmalig oder mehrmalig um bis zu insgesamt EUR 1.079.166,00 zu erhöhen. Der Vorstand ist ermächtigt, den weiteren Inhalt der Aktienrechte und die Bedingungen der Aktienausgabe mit Zustimmung des Aufsichtsrates festzulegen. Den Aktionären ist grundsätzlich ein Bezugsrecht einzuräumen. Der Vorstand ist jedoch ermächtigt, mit Zustimmung des Aufsichtsrates dieses Bezugsrecht bei Kapitalerhöhungen gegen Sacheinlagen auszuschließen, soweit diese dem Zweck des Erwerbs von Unternehmen, Unternehmensteilen oder Beteiligungen an Unternehmen dienen, sowie Spitzenbeträge vom Bezugsrecht auszunehmen.; 33   ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
G. Ergebnisverwendung;;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
"Der Bilanzgewinn ergibt sich wie folgt:
1. Jahresüberschuss 437.617,80
2. Gewinnvortrag aus dem Vorjahr 885,04
3. Bilanzgewinn 438.502,84"; 37   ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
Der Vorstand schlägt in Übereinstimmung mit dem Aufsichtsrat vor, das Ergebnis wie folgt zu verwenden:; 84   ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
"Ausschüttung an die Aktionäre 280.583,29
Einstellung in die Gewinnrücklagen 157.000,00
Vortrag auf neue Rechnung 919,55
Bilanzgewinn 438.502,84"; 84   ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
Der Vorstand schlägt der Hauptversammlung vor, eine Dividende von 13 Cent pro Aktie an die Aktionäre auszuschütten, in die anderen Gewinnrücklagen einen Betrag von 157.000,00 EUR einzustellen und den Restbetrag (EUR 919,55) auf neue Rechnung vorzutragen.; 84   ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
H. Nachtragsbericht; 85   ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
Nach dem Schluss des Geschäftsjahres haben sich keine Vorgänge von besonderer Bedeutung ergeben, die Auswirkungen auf die Ertrags-, Finanz- und Vermögenslage der Gesellschaft haben.; 85   ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
Hamburg, 24. März 2017;;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
