Konzernanhang für das Geschäftsjahr 2016; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
"Assoziierte Unternehmen werden nach der Buchwertmethode at-equity bewertet. Die Ermittlung des Unterschiedsbetrages aus der Equity-Bilanzierung erfolgt zu dem Zeitpunkt, zu dem das Unternehmen
assoziiertes Unternehmen geworden ist beziehungsweise zum Zeitpunkt der erstmaligen Einbeziehung, sofern bisher wegen untergeordneter Bedeutung auf eine Einbeziehung verzichtet wurde. Ein bei erstmaliger
Equity-Bewertung entstehender Geschäfts- oder Firmenwert wird innerhalb der Anteile an Assoziierten at-equity Unternehmen geführt und planmäßig über 15 Jahre abgeschrieben. Die Geschäfts- oder Firmenwerte
aus der Equity-Bewertung betrugen zum Bilanzstichtag 497 T €, bei Abschreibungen von 84 T €. Vor Durchführung der Equity-Bewertung bestand eine Differenz zwischen den Beteiligungsbuchwerten und dem
anteiligen Eigenkapital der Assoziierten at-equity Unternehmen von 12.546 T € beziehungsweise -1.417 T €."; 9.0, 14, 92, 97 ;2016;KG;Konzernabschluss;PwC
"Die vollkonsolidierten einbezogenen Abschlüsse der in- und ausländischen Tochtergesellschaften werden nach den in der Werhahn Accounting-Richtlinie vorgegebenen Bilanzierungs- und Bewertungsmethoden
einheitlich aufgestellt."; 9.0 ;2016;KG;Konzernabschluss;PwC
"Forderungen und Verbindlichkeiten, Umsätze, Aufwendungen und Erträge sowie Zwischenergebnisse zwischen konsolidierten Unternehmen werden eliminiert. Bei den nach der Equity-Methode bewerteten
Unternehmen werden ebenfalls Zwischenergebnisse im Anlage- und Umlaufvermögen eliminiert."; 9.0 ;2016;KG;Konzernabschluss;PwC
WÄHRUNGSUMRECHNUNG;;2016;KG;Konzernabschluss;PwC
"Die Berichtswährung der Werhahn-Gruppe ist der Euro. Bei Abschlüssen konsolidierter Tochterunternehmen, die in fremder Währung aufgestellt sind, werden die Bilanzposten zum Devisenkassamittelkurs des
Bilanzstichtags in Euro bewertet. Ausnahme ist das Eigenkapital, das zum historischen Kurs angesetzt wird. Posten der Gewinn- und Verlustrechnung werden zum Jahresdurchschnittskurs in Euro umgerechnet."; 9.0 ;2016;KG;Konzernabschluss;PwC
Durch die Währungsumrechnung bedingte Differenzen werden erfolgsneutral innerhalb des Konzerneigenkapitals im Ausgleichsposten aus Währungsumrechnung ausgewiesen.; 9.0 ;2016;KG;Konzernabschluss;PwC
Die für die Werhahn-Gruppe wichtigsten Wechselkurse sind:;;2016;KG;Konzernabschluss;PwC
"DURCHSCHNITTSKURS STICHTAGSKURS
in € 2016 2015 2016 2015
US-Dollar 1,1068 1,1100 1,0541 1,0887
Kanadischer Dollar 1,4665 1,4178 1,4188 1,5116
Polnischer Zloty 4,3631 4,1824 4,4103 4,2639
Chinesischer Renminbi 7,3519 6,9761 7,3252 7,0728
Japanischer Yen 120,3126 134,3209 123,4000 131,0700";;2016;KG;Konzernabschluss;PwC
BEFREIUNG VON OFFENLEGUNGSPFLICHTEN;;2016;KG;Konzernabschluss;PwC
Die nachfolgenden Personengesellschaften sind gemäß § 264b HGB durch die Einbeziehung in den vorliegenden Konzernabschluss von der Verpflichtung des § 264a Abs. 1 HGB befreit:; 9.0, 101 ;2016;KG;Konzernabschluss;PwC
–ETL Leasing GmbH & Co. KG, Dortmund; 101 ;2016;KG;Konzernabschluss;PwC
"Für folgende Tochtergesellschaften wird von der Befreiung gemäß § 264 Abs. 3 HGB in Verbindung mit § 264 Abs. 4 HGB Gebrauch gemacht:
–abcfinance GmbH, Köln
–Alpha Beteiligungen GmbH, Monheim am Rhein
–Charlie Acquisition GmbH, Monheim am Rhein
–debcash Forderungsmanagement GmbH, Köln
–DeTeWe Finance GmbH, Köln
–Dresdner Factoring AG, Köln
–Hako Finance GmbH, Köln
–Schneidereit Finance GmbH, Köln
–WW Sechste Acquisition GmbH, Monheim am Rhein
–WW Siebte Acquisition GmbH, Monheim am Rhein
–Werhahn Beteiligungs- und Projektgesellschaft mbH, Neuss
–Yareto GmbH, Neuss"; 100 ;2016;KG;Konzernabschluss;PwC
BILANZIERUNGS- UND BEWERTUNGSGRUNDSÄTZE;;2016;KG;Konzernabschluss;PwC
"Die Bilanzierungs- und Bewertungsgrundsätze der Wilh. Werhahn KG gelten auch für den Konzernabschluss. Abschlüsse einbezogener Tochterunternehmen, die nach abweichenden Grundsätzen bilanzieren,
werden angepasst. Nur in unwesentlichen Fällen unterbleibt eine Anpassung. Aktivierungswahlrechte werden grundsätzlich nicht in Anspruch genommen."; 9.0 ;2016;KG;Konzernabschluss;PwC
"Immaterielle Vermögensgegenstände einschließlich der Geschäfts- oder Firmenwerte aus der Kapitalkonsolidierung werden mit den Anschaffungskosten abzüglich planmäßiger und außerplanmäßiger Abschreibungen
bewertet. Die Abschreibungen erfolgen nach der linearen Methode pro rata temporis über Nutzungsdauern von 3 bis 10 Jahren. Die Nutzungsdauer für Geschäfts- oder Firmenwerte beträgt 5 bis 15 Jahre."; 9.2 ;2016;KG;Konzernabschluss;PwC
"Sachanlagen werden zu Anschaffungs- oder Herstellungskosten bewertet, bei abnutzbaren Gegenständen abzüglich planmäßiger Abschreibungen auf Basis der betriebsgewöhnlichen Nutzungsdauer. Abschreibungen
auf Vermögensgegenstände, die vor dem 1. Januar 2010 angeschafft wurden, werden - soweit im Konzernabschluss zulässig -auf der Grundlage der steuerlich zulässigen Höchstbeträge vorgenommen.
Danach erworbene Vermögensgegenstände werden linear pro rata temporis abgeschrieben. Außerplanmäßige Abschreibungen werden vorgenommen, soweit der Ansatz mit einem niedrigeren Wert erforderlich
ist. Zinsen für die Aufnahme von Fremdkapital finden keine Berücksichtigung in den Herstellungskosten."; 9.7, 10 ;2016;KG;Konzernabschluss;PwC
"Anteile an Verbundenen nicht konsolidierten Unternehmen, Sonstigen assoziierten Unternehmen und Sonstigen Beteiligungen sind zu Anschaffungskosten beziehungsweise fortgeführten niedrigeren Buchwerten
bilanziert. Wesentliche Beteiligungen an Assoziierten Unternehmen werden at-equity nach der Buchwertmethode in den Konzernabschluss einbezogen. Ausleihungen sind mit dem Nennbetrag oder dem niedrigeren
Barwert angesetzt. Wertpapiere des Anlagevermögens werden zu Anschaffungskosten angesetzt. Außerplanmäßige Abschreibungen werden vorgenommen, soweit der Ansatz mit einem niedrigeren Wert
erforderlich ist."; 9.12 ;2016;KG;Konzernabschluss;PwC
"Leasinggegenstände aus Finanzdienstleistungen werden zu Anschaffungskosten abzüglich planmäßiger und außerplanmäßiger Abschreibungen angesetzt. Leasinggegenstände werden nach der linearen Methode
über die betriebsgewöhnliche Nutzungsdauer abgeschrieben. Die Abschreibung von vor 2015 angeschafften Leasinggegenständen erfolgt über die Vertragslaufzeit."; 9.1 ;2016;KG;Konzernabschluss;PwC
Forderungen aus Finanzdienstleistungen werden mit ihren Nennbeträgen angesetzt. Sowohl Einzelrisiken als auch das allgemeine Kreditrisiko werden durch angemessene Wertabschläge berücksichtigt.; 9.25 ;2016;KG;Konzernabschluss;PwC
"Bei den Vorräten werden die Roh-, Hilfs- und Betriebsstoffe und Waren zu ihren Anschaffungs- oder Herstellungskosten bewertet. Die Bewertung der unfertigen und fertigen Erzeugnisse erfolgt zu Herstellungskosten.
Die Herstellungskosten bestehen aus den Material- und Fertigungseinzelkosten sowie den Sondereinzelkosten der Fertigung. Daneben werden auch notwendige Material- und Fertigungsgemeinkosten
sowie der Werteverzehr von Anlagevermögen, soweit es durch die Herstellung des Wirtschaftsguts veranlasst ist, einbezogen. Bestandsrisiken, die sich aus der Lagerdauer sowie geminderter Verwendbarkeit
ergeben, finden durch angemessene Wertabschläge Berücksichtigung. Der verlustfreien Bewertung wird Rechnung getragen."; 9.20 ;2016;KG;Konzernabschluss;PwC
"Der Ansatz der Forderungen und Sonstigen Vermögensgegenstände erfolgt zu den jeweiligen Nennbeträgen. Möglichen Risiken wird durch individuelle Abschreibungen und Pauschalwertberichtigungen Rechnung
getragen. Die Umrechnung der langfristigen Fremdwährungsforderungen erfolgt zum Einbuchungs- beziehungsweise zum ungünstigeren Kurs des Bilanzstichtags. Kurzfristige Fremdwährungsforderungen werden
grundsätzlich zum Devisenkassamittelkurs des Bilanzstichtags umgerechnet."; 9.25 ;2016;KG;Konzernabschluss;PwC
Wertpapiere des Umlaufvermögens sind zu Anschaffungskosten oder niedrigeren Tageswerten angesetzt.; 9.30 ;2016;KG;Konzernabschluss;PwC
"Derivative Finanzinstrumente, zum Beispiel Termingeschäfte und Swaps, werden für Sicherungszwecke eingesetzt, um Währungs- und Preisrisiken aus dem operativen Geschäft beziehungsweise den daraus
resultierenden Finanzierungserfordernissen zu reduzieren."; 9.30 ;2016;KG;Konzernabschluss;PwC
"Kassen- und Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks werden mit dem Nominalwert angesetzt. Bestände in Fremdwährung werden zum Devisenkassamittelkurs des Bilanzstichtags
umgerechnet."; 9.33 ;2016;KG;Konzernabschluss;PwC
"Latente Steuern werden für zeitliche Unterschiede zwischen den handelsrechtlichen und steuerlichen Wertansätzen von Vermögensgegenständen, Schulden und Rechnungsabgrenzungsposten gebildet. Zusätzlich
werden latente Steuern auf steuerliche Verlust- und Zinsvorträge, die voraussichtlich innerhalb der nächsten 5 Jahre genutzt werden können, aktiviert. Von dem Wahlrecht zur Saldierung von aktiven und passiven
latenten Steuern wird Gebrauch gemacht. Verbleibt anschließend ein Aktivüberhang aus dem Einzelabschluss, so wird dieser im Konzernabschluss nicht gebucht. Soweit sich ein Passivüberhang ergibt und weitere
aufrechnungsfähige und unbeschränkt vortragsfähige Verlust- und Zinsvorträge bestehen, werden darauf bis zur Höhe des passiven Überhangs weitere latente Steuern aktiviert."; 9.35, 9.64, 25 ;2016;KG;Konzernabschluss;PwC
"Auf Geschäfts- oder Firmenwerte, die erst durch die Kapitalkonsolidierung entstehen, werden keine latenten Steuern passiviert. Latenzen werden ebenfalls nicht gebildet auf Differenzen aus dem steuerlichen
Wertansatz an einem Verbundenen konsolidierten oder Assoziierten at-equity Unternehmen und dem handelsrechtlichen Wert des im Konzernabschluss angesetzten Nettovermögens. Latente Steuern gemäß § 306
HGB werden mit denen aus Einzelabschlüssen gemäß § 274 HGB zusammengefasst."; 9.35, 9.64, 25 ;2016;KG;Konzernabschluss;PwC
Es kommen die unternehmensindividuellen Steuersätze zur Anwendung, die zum Zeitpunkt der Auflösung der zeitlichen Differenzen voraussichtlich gelten. Die Steuersätze liegen zwischen 9 % und 37 %.; 9.35, 9.64, 25 ;2016;KG;Konzernabschluss;PwC
"Rückstellungen werden mit dem nach vernünftiger kaufmännischer Beurteilung erforderlichen Erfüllungsbetrag angesetzt und bei einer Restlaufzeit von über einem Jahr mit dem von der Deutschen Bundesbank
für die jeweilige Laufzeit ermittelten Marktzinssatz abgezinst. Von dem Wahlrecht zur Beibehaltung eines höheren Rückstellungsbetrages, wenn der aufzulösende Betrag bis spätestens zum 31. Dezember 2024
wieder zugeführt werden müsste, wird Gebrauch gemacht."; 9.47, 35 ;2016;KG;Konzernabschluss;PwC
"Der Erfüllungsbetrag von Pensionsrückstellungen wird, soweit vorhanden, mittels zukünftig zu erwartender Gehalts- und Rententrends von 0,0 % bis 3,5 % sowie Annahmen über zukünftige Mitarbeiterfluktuationen
errechnet. Soweit zulässig wird das Teilwertverfahren auf Basis der Richttafeln 2005 G von Prof. Dr. Heubeck angewendet. Im Rahmen des Gesetzes zur Umsetzung der Wohnimmobilienkreditrichtlinie und
zur Änderung handelsrechtlicher Vorschriften wurden die Vorschriften zur Abzinsung von Rückstellungen für Altersversorgungsverpflichtungen reformiert. Zur Abzinsung der Pensionsrückstellungen wird der von
der Deutschen Bundesbank ermittelte durchschnittliche Marktzinssatz der letzten zehn Jahre angewendet, im Gegensatz zum bislang verwendeten Zinssatz der letzten sieben Jahre, der sich bei einer angenommenen
Restlaufzeit von 15 Jahren ergibt. Bei der Bewertung der Pensionsrückstellungen wurde zum 31. Dezember 2016 ein Zinssatz von 4,0 % herangezogen. Bei Vorliegen von Vermögensgegenständen, die dem
Zugriff aller übrigen Gläubiger entzogen sind und ausschließlich der Erfüllung von Altersversorgungsverpflichtungen o. Ä. dienen (Deckungsvermögen), erfolgte eine Verrechnung mit den Rückstellungen. Der
beizulegende Zeitwert des Deckungsvermögens wird mittels externer Bewertungsgutachten oder kursnotierter Marktpreise ermittelt. In der Position Pensionsrückstellungen werden außerdem die Verpflichtungen
der US-Tochtergesellschaften für die Krankenversicherung der Mitarbeiter nach Eintritt in den Ruhestand berücksichtigt."; 9.47, 35, 38 ;2016;KG;Konzernabschluss;PwC
"In dem gesondert ausgewiesenen Posten Verpflichtungen aus Finanzdienstleistungen werden die Verbindlichkeiten der Finanzdienstleistungsgesellschaften mit den jeweiligen Erfüllungsbeträgen bilanziert. Daneben
werden Abgrenzungen aus dem Finanzdienstleistungsgeschäft erfasst."; 9.51 ;2016;KG;Konzernabschluss;PwC
"Verbindlichkeiten werden mit dem Erfüllungsbetrag bilanziert. Langfristige Verbindlichkeiten in fremden Währungen werden zum Kurs des Einbuchungs- beziehungsweise zum ungünstigeren Kurs des Bilanzstichtags
umgerechnet. Abweichend davon werden kurzfristige Verbindlichkeiten grundsätzlich zum Kurs des Bilanzstichtags bewertet."; 9.51 ;2016;KG;Konzernabschluss;PwC
STICHTAG DER IN DEN KONZERNABSCHLUSS EINBEZOGENEN UNTERNEHMEN;;2016;KG;Konzernabschluss;PwC
"Die in den Konzernabschluss einbezogenen vollkonsolidierten Tochterunternehmen bilanzieren grundsätzlich zum 31. Dezember. Ausnahmen sind die Gesellschaften Tweezerman (India) Pvt. Ltd., Ital Beauty
Nippers (India) Pvt. Ltd. und ZWILLING Kitchen India Pvt. Ltd., die zum 31. März bilanzieren. Diese Gesellschaften werden mit einem Zwischenabschluss in den Konzernabschluss der Werhahn-Gruppe
einbezogen."; 9.0 ;2016;KG;Konzernabschluss;PwC
Stichtag der Assoziierten at-equity Unternehmen ist der 31. Dezember.; 9.0 ;2016;KG;Konzernabschluss;PwC
Erläuterungen zur Bilanz;;2016;KG;Konzernabschluss;PwC
(1) ANLAGEVERMÖGEN; 5.1 ;2016;KG;Konzernabschluss;PwC
Die Aufgliederung und Entwicklung des Immateriellen und Materiellen Anlagevermögens, der Finanzanlagen sowie der Leasinggegenstände aus Finanzdienstleistungen sind auf den Seiten 84/85 dargestellt.; 5.1, 15, 16 ;2016;KG;Konzernabschluss;PwC
Die Geschäfts- oder Firmenwerte stammen überwiegend aus der Kapitalkonsolidierung.; 5.1 ;2016;KG;Konzernabschluss;PwC
Das Anlagevermögen beinhaltet Leasinggegenstände aus Finanzdienstleistungen von 1.415.171 T € (i. Vj. 1.262.636 T €).; 5.1 ;2016;KG;Konzernabschluss;PwC
In den Abschreibungen sind außerplanmäßige Abschreibungen von 24.861 T € (i. Vj. 14.728 T €) enthalten. Davon entfallen 21.535 T € auf Leasinggegenstände aus Finanzdienstleistungen.; 5.1, 7, 50 ;2016;KG;Konzernabschluss;PwC
(2) FORDERUNGEN AUS FINANZDIENSTLEISTUNGEN; 5.1 ;2016;KG;Konzernabschluss;PwC
"in T€ 31.12.2016
davon mit einer Restlaufzeit
von mehr als 1 Jahr 31.12.2015
davon mit einer Restlaufzeit
von mehr als 1 Jahr
Forderungen gegen Kreditinstitute aus Finanzdienstleistungen 376.434 30.662 415.236 26.055
Gekaufte Forderungen 8.596 6.331 6.809 106
Forderungen aus Bankgeschäft 1.673.025 1.113.312 1.326.650 867.313
Forderungen aus Factoringgeschäft 205.591 - 166.197 4.763
Mietkaufforderungen 598.834 363.865 511.746 303.500
Sonstige Forderungen aus Finanzdienstleistungen 20.899 6.428 37.791 66
Abgrenzungen 16.266 15.072 - -"; 5.1 ;2016;KG;Konzernabschluss;PwC
"in T€ 31.12.2016
davon mit einer Restlaufzeit
von mehr als 1 Jahr 31.12.2015
davon mit einer Restlaufzeit
von mehr als 1 Jahr
2.899.645 2.464.429"; 5.1 ;2016;KG;Konzernabschluss;PwC
(3) VORRÄTE; 5.20 ;2016;KG;Konzernabschluss;PwC
"in T€ 31.12.2016 31.12.2015
Roh-, Hilfs- und Betriebsstoffe 97.494 96.128
Unfertige Erzeugnisse und Leistungen 57.766 59.307
Fertige Erzeugnisse und Waren 260.594 271.610
Geleistete Anzahlungen 2.068 1.678
417.922 428.723"; 5.20 ;2016;KG;Konzernabschluss;PwC
(4) FORDERUNGEN UND SONSTIGE VERMÖGENSGEGENSTÄNDE; 5.25 ;2016;KG;Konzernabschluss;PwC
"in T€ 31.12.2016
davon mit einer Restlaufzeit
von mehr als 1 Jahr 31.12.2015
davon mit einer Restlaufzeit
von mehr als 1 Jahr
Forderungen aus Lieferungen und Leistungen 224.192 53 201.441 60
Forderungen gegen Verbundene Unternehmen 3.683 - 2.971 -
Forderungen gegen Unternehmen, mit denen ein Beteiligungsverhältnis
besteht
18.908 4.071 22.009 6.375
Sonstige Vermögensgegenstände 83.890 8.529 81.828 17.511
330.673 308.249"; 5.25 ;2016;KG;Konzernabschluss;PwC
Aus Lieferungs- und Leistungsbeziehung resultieren 544 T € der Forderungen gegen Verbundene Unternehmen und 2.412 T € der Forderungen gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht.; 5.25, 7 ;2016;KG;Konzernabschluss;PwC
(5) WERTPAPIERE; 5.30 ;2016;KG;Konzernabschluss;PwC
"Bei den Wertpapieren handelt es sich mit insgesamt 88.609 T € überwiegend um Schuldverschreibungen, die im Wesentlichen von der Bankhaus Werhahn GmbH und der Bank11 für Privatkunden und Handel
GmbH gehalten werden. Aktien werden nicht gehalten."; 5.30 ;2016;KG;Konzernabschluss;PwC
(6) KASSENBESTAND, BUNDESBANKGUTHABEN, GUTHABEN BEI KREDITINSTITUTEN UND SCHECKS; 5.33 ;2016;KG;Konzernabschluss;PwC
Von dem Bestand an Kassen- und Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks in Höhe von 456.406 T € unterliegen 1.418 T € einer Verfügungsbeschränkung.; 5.33 ;2016;KG;Konzernabschluss;PwC
In dieser Position sind Kassen- und Bundesbankguthaben sowie Schecks des Unternehmensbereichs Finanzdienstleistungen und der Bankhaus Werhahn GmbH von 240.267 T € enthalten.; 5.33 ;2016;KG;Konzernabschluss;PwC
(7) EIGENKAPITAL; 5.37 ;2016;KG;Konzernabschluss;PwC
"Das Eigenkapital im Konzernabschluss beinhaltet neben dem ausgewiesenen Eigenkapital der Wilh. Werhahn KG und den Rücklagen im Konzern die nicht beherrschenden Anteile am Eigenkapital der in den
Konzernabschluss einbezogenen Tochterunternehmen. Diese betreffen überwiegend außenstehende Gesellschafter in den Unternehmensbereichen Baustoffe und Konsumgüter. Die Anteile von nicht beherrschenden
Gesellschaftern am Gewinn und Verlust betrugen 27.647 T € beziehungsweise 289 T €. Die zum Bilanzstichtag vorgesehenen Ausschüttungen an nicht beherrschende Gesellschafter sowie an Gesellschafter der
Wilh. Werhahn KG werden in den sonstigen Verbindlichkeiten dargestellt."; 5.37, 57 ;2016;KG;Konzernabschluss;PwC
Die Entwicklung des Konzerneigenkapitals ist im Eigenkapitalspiegel dargestellt.; 5.37 ;2016;KG;Konzernabschluss;PwC
"Zum Bilanzstichtag lagen Ausschüttungssperren nach deutschem Recht in Höhe von 8.790 T € und nach lokalem Recht
in Höhe von 4.575 T € vor."; 5.37 ;2016;KG;Konzernabschluss;PwC
Aufgrund gesellschaftsrechtlicher Vereinbarung wird der Jahresüberschuss in die Rücklage eingestellt.; 5.37, 63 ;2016;KG;Konzernabschluss;PwC
(8) RÜCKSTELLUNGEN; 5.47 ;2016;KG;Konzernabschluss;PwC
"in T€ Stand 1.1.2016 Verbrauch Auflösung Zuführung Sonstige Änderungen Stand 31.12.2016
Pensionen und ähnliche
Verpflichtungen
111.217 8.046 1.036 1.428 -661 102.902
Steuerrückstellungen 32.440 26.361 1.124 13.867 -1.460 17.362
Sonstige Rückstellungen
Personalkosten 66.241 54.765 1.673 47.977 376 58.156
Rekultivierung 60.077 1.281 2.604 3.311 3.076 62.579
Gewährleistung und Garantie
14.834 2.146 2.824 3.767 42 13.673
Ausstehende und fehlende
Rechnungen
16.651 14.476 1.159 19.063 -35 20.044
Übrige sonstige Rückstellungen
82.858 54.544 10.833 59.604 -43 77.042
384.318 161.619 21.253 149.017 1.295 351.758"; 5.47 ;2016;KG;Konzernabschluss;PwC
"Mit den Pensionsrückstellungen und mit den Rückstellungen für Personalkosten sind Vermögensgegenstände zur Deckung von Altersversorgungs- und ähnlichen Verpflichtungen mit Zeitwerten von insgesamt
2.376 T € beziehungsweise 299 T € verrechnet worden. Die historischen Anschaffungskosten des Deckungsvermögens beziffern sich auf 2.047 T € beziehungsweise 273 T €. Ohne Verrechnung hätten die
Pensionsrückstellungen 105.278 T € und die Rückstellungen für Personalkosten 58.455 T € betragen."; 5.47, 38 ;2016;KG;Konzernabschluss;PwC
Der Unterschiedsbetrag zwischen der Bewertung der Pensionsrückstellungen mit dem 10-Jahresdurchschnittszinssatz und dem 7-Jahresdurchschnittszinssatz beträgt zum Bilanzstichtag 9.018 T €.; 5.47, 36 ;2016;KG;Konzernabschluss;PwC
