Konzernanhang für das Geschäftsjahr 2016; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
"Im Geschäftsjahr wurde die Bioenergie Kerpen-Sindorf GmbH, Kerpen, (BiKS) mit einem Anteil von 100 Prozent des Stammkapitals von 25 TEUR gegründet. Diese Gesellschaft hat zwei Biogasanlagen
zur Erzeugung von Biogas beziehungsweise Strom gekauft. Die Anlage in Kerpen wurde mit Vertrag vom 4. Juli 2016 und Übergang der Kontrollrechte am 1. August 2016 von der STAWAG Energie GmbH,
Aachen, erworben. Der Kauf der anderen Anlage in Lustadt erfolgte mit Vertrag vom 3. November 2016 zum 16. Dezember 2016 von der im Insolvenzverfahren befindlichen BioEnergie Südpfalz GmbH &
Co. KG, Freckenfeld.
Neben den Investitionen in Biogasanlagen wurde für geplante Entwicklungsprojekte neben der BiKS die Danpower Biomasse Papenburg GmbH mit einem Anteil von 100 Prozent des Stammkapitals von
25 TEUR gegründet. Diese Gesellschaft hat ihren operativen Betrieb derzeit noch nicht aufgenommen und damit nur eine unwesentliche Auswirkung auf die Konzernbilanz und trug nur unwesentlich zum
Konzernergebnis bei."; 85 ;2016;GmbH;Konzernabschluss;KPMG
Außerdem wurden alle Bestandsimmobilien der SWH an den Standorten Glocksee und Ricklingen in die enercity Immobilien GmbH & Co. KG, Hannover, (eIG) ausgegliedert.; 85 ;2016;GmbH;Konzernabschluss;KPMG
"Bereits im Vorjahr wurden sämtliche Anteile an der Unternehmensgruppe um die Windpark Groß Eilstorf GmbH (WPGE; bestehend aus zwölf Einzelgesellschaften) erworben. Die Unternehmen betreiben
17 Windkraftanlagen mit einer Gesamtleistung von 52,3 MW und wurden nach dem Anteilserwerb auf die WPGE verschmolzen. Das zum Vorjahresstichtag noch bestehende Informationsdefizit wurde im
Berichtsjahr ausgeräumt, sodass die Konsolidierung durchgeführt werden konnte."; 85   ;2016;GmbH;Konzernabschluss;KPMG
"Die sieben (Vorjahr: sieben) nicht im Konzernabschluss konsolidierten Unternehmen sind auch bei zusammengefasster Betrachtung für die Darstellung der Finanz-, Vermögens- und Ertragslage des Konzerns
von untergeordneter Bedeutung. Diese Tochterunternehmen wurden auch nicht nach der Equity-Methode einbezogen."; 96 ;2016;GmbH;Konzernabschluss;KPMG
Als assoziierte Unternehmen beziehungsweise Gemeinschaftsunternehmen werden nach der at Equity-Methode elf Unternehmen (Vorjahr: elf) konsolidiert.; 69 ;2016;GmbH;Konzernabschluss;KPMG
Die Aufstellung des gesamten Anteilsbesitzes des Konzerns ist als Anlage zum Anhang beigefügt; 68 ;2016;GmbH;Konzernabschluss;KPMG
3.2 Konsolidierungsmethoden;;2016;GmbH;Konzernabschluss;KPMG
"Die Kapitalkonsolidierung der in den Konzernabschluss einbezogenen Tochterunternehmen erfolgte ab dem Geschäftsjahr 2010 entsprechend der Änderung durch das BilMoG gemäß § 301 Abs. 1 HGB nach der
Neubewertungsmethode zum Zeitpunkt des Erwerbs beziehungsweise der erstmaligen Einbeziehung der Tochterunternehmen in den Konzernabschluss. In Vorjahren kam die Buchwertmethode zur Anwendung,
wobei die Unterschiedsbeträge mit dem Eigenkapital verrechnet wurden.";;2016;GmbH;Konzernabschluss;KPMG
"Die Bewertung der Beteiligungen an assoziierten Unternehmen nach der Equity-Methode erfolgt im Wege der Buchwertmethode gemäß § 312 Abs. 1 HGB zum Zeitpunkt der erstmaligen Einbeziehung der
Gesellschaft. Der Konzernanteil am Jahresüberschuss beziehungsweise -fehlbetrag der assoziierten Unternehmen wird periodengleich dem Anteilswert zugeschrieben beziehungsweise vermindert diesen; vereinnahmte
Gewinnausschüttungen von assoziierten Unternehmen werden im Jahr des Zuflusses vom Anteilswert abgesetzt.";;2016;GmbH;Konzernabschluss;KPMG
"Gemäß § 307 HGB wurden die nicht dem Mutterunternehmen gehörenden Anteile an den in den Konzernabschluss durch Vollkonsolidierung einbezogenen Tochterunternehmen in Höhe ihres Anteils an deren
Eigenkapital als gesonderter Einzelposten „Anteile anderer Gesellschafter“ im Eigenkapital des Konzerns ausgewiesen.";;2016;GmbH;Konzernabschluss;KPMG
"Forderungen und Verbindlichkeiten sowie Umsätze, Aufwendungen und Erträge innerhalb des Konsolidierungskreises werden eliminiert. Zwischenergebnisse aus dem konzerninternen Lieferungs- und Leistungsverkehr
werden unter Berücksichtigung latenter Ertragsteuern ergebniswirksam zurückgenommen.";;2016;GmbH;Konzernabschluss;KPMG
II. Bilanzierungs- und Bewertungsgrundsätze;;2016;GmbH;Konzernabschluss;KPMG
"Die Einzelabschlüsse der in den Konzernabschluss einbezogenen Unternehmen wurden entsprechend den für die VVG geltenden gesetzlichen Vorschriften nach einheitlichen Bilanzierungs- und Bewertungsmethoden
einbezogen. Der Konzernabschluss wurde unter Beachtung der Grundsätze der §§ 290 bis 314 HGB erstellt."; 9.0 ;2016;GmbH;Konzernabschluss;KPMG
Im Einzelnen wird nach folgenden Grundsätzen bewertet:;;2016;GmbH;Konzernabschluss;KPMG
"Entgeltlich erworbene immaterielle Vermögensgegenstände werden zu Anschaffungskosten aktiviert und planmäßig über ihre wirtschaftliche Nutzungsdauer abgeschrieben. Geschäfts- oder Firmenwerte werden
über einen begründeten Zeitraum abgeschrieben (weitere Ausführungen siehe Erläuterungen zur Bilanz)."; 9.4 ;2016;GmbH;Konzernabschluss;KPMG
"Das Sachanlagevermögen wird zu Anschaffungs- beziehungsweise Herstellungskosten, vermindert um die nach § 253 Abs. 3 HGB nutzungsbedingten Abschreibungen, bewertet. In den Herstellungskosten der
selbsterstellten Anlagen sind neben den Einzelkosten auch angemessene Gemeinkostenzuschläge einschließlich Verwaltungskosten enthalten. Fremdkapitalkosten werden nicht als Teil der Herstellungskosten
aktiviert. Die Abschreibungen erfolgen linear und degressiv mit Übergang auf die lineare Methode. Die planmäßigen Abschreibungen erfolgen über die wirtschaftlichen Nutzungsdauern der Anlagegegenstände."; 9.7, 10 ;2016;GmbH;Konzernabschluss;KPMG
"Geringwertige Wirtschaftsgüter des Anlagevermögens mit einem Anschaffungswert zwischen EUR 150,01 und EUR 410 werden im Zugangsjahr in voller Höhe aufwandswirksam erfasst. Geringwertige Wirtschaftsgüter,
die in den Geschäftsjahren 2008 bis 2010 angeschafft worden sind und deren Anschaffungskosten zwischen EUR 150 und EUR 1.000 betragen haben, wurden nach der steuerlichen Sammelpostenmethode
bewertet. Hierfür wurden die geringwertigen Wirtschaftsgüter in einem Sammelposten zusammengefasst und ab dem Jahr der Anschaffung oder Herstellung gleichmäßig zu 20 Prozent abgeschrieben.
Sie wird bis zur vollständigen Abschreibung für die betreffenden Vermögensgegenstände fortgeführt."; 9.10 ;2016;GmbH;Konzernabschluss;KPMG
"Zur Ermittlung der Entwertungsverläufe werden die steuerlichen Abschreibungstabellen herangezogen, soweit die dort genannten Nutzungsdauern innerhalb der Bandbreite der handelsrechtlich zulässigen Nutzungsdauern
liegen. Für die Vermögensgegenstände werden nachfolgende Entwertungsverläufe p. a. unterstellt:
Anlagenklasse
Entwertungsverlauf p. a.
Prozent
Technische Anlagen und Maschinen 10 - 25
Verteilungsanlagen 6,25 - 12,5
Erzeugungsanlagen 10 - 25
Betriebs- und Geschäftsausstattung 25"; 9.7 ;2016;GmbH;Konzernabschluss;KPMG
"Die Finanzanlagen werden zu Anschaffungskosten unter Berücksichtigung von Wertberichtigungen bilanziert. Die unter den sonstigen Ausleihungen ausgewiesenen niedrig verzinslichen Wohnungsbaudarlehen
werden zu Barwerten angesetzt."; 9.12 ;2016;GmbH;Konzernabschluss;KPMG
Bei den Vorräten werden die Roh-, Hilfs- und Betriebsstoffe sowie Waren zu durchschnittlichen Anschaffungskosten unter Beachtung des Niederstwertprinzips bewertet.; 9.21, 9.23 ;2016;GmbH;Konzernabschluss;KPMG
"Unfertige Leistungen und fertige Erzeugnisse sind auf Basis direkt zurechenbarer Herstellungskosten zuzüglich Gemeinkostenzuschläge bewertet. Unentgeltlich zugeteilte Emissionsrechte werden zum Erinnerungswert
angesetzt; entgeltlich erworbene Emissionsrechte werden mit den Anschaffungskosten bewertet."; 9.22, 9.23. 9.32 ;2016;GmbH;Konzernabschluss;KPMG
"Forderungen und sonstige Vermögensgegenstände sind zum Nominalwert unter Berücksichtigung der erkennbaren Risiken bewertet. Forderungen in fremder Währung werden entsprechend § 256a HGB zum
Devisenkassamittelkurs am Abschlussstichtag bewertet."; 9.25 ;2016;GmbH;Konzernabschluss;KPMG
Die Bewertung der eigenen Genussscheine und sonstigen Wertpapiere des Umlaufvermögens erfolgt zu Anschaffungskosten unter Berücksichtigung des strengen Niederstwertprinzips.; 9.32 ;2016;GmbH;Konzernabschluss;KPMG
"Die empfangenen Baukosten- und Investitionszuschüsse werden passivisch als Sonderposten für Investitionszuschüsse und -zulagen und empfangene Ertragszuschüsse ausgewiesen. Die bis zum 31. Dezember
2002 empfangenen Baukostenzuschüsse werden jährlich mit 5 Prozent ertragswirksam aufgelöst, die Neuzugänge ab dem 1. Januar 2003 werden analog den Nutzungsdauern der entsprechenden Aktivposten
erfolgswirksam erfasst."; 9.95, 9.96, 9.97 ;2016;GmbH;Konzernabschluss;KPMG
"Die Rückstellungen für Pensionen und ähnliche Verpflichtungen werden nach versicherungsmathematischen Grundsätzen ermittelt. Zur Bewertung der Pensionsrückstellungen wird die „Projected Unit Credit
Method (PUCM)“ mit einem Zinsfuß gemäß § 253 Abs. 2 Satz 2 HGB von 4,0 Prozent p. a. beziehungsweise 4,1 Prozent sowie mit erwarteten Einkommenssteigerungen von 2,5 Prozent p. a. beziehungsweise
3,0 Prozent p. a. verwendet und Rentensteigerungen von 2,0 Prozent p. a. beziehungsweise 1,0 Prozent p. a. Den Verpflichtungen liegen die Richttafeln 2005 G von Prof. Dr. Heubeck zu Grunde. Hier ebenfalls
bilanzierte Rückstellungen für Vorruhestandsverpflichtungen werden mit dem Erfüllungsbetrag erfasst. Die Verpflichtungen für Altersteilzeit werden nach versicherungsmathematischen Grundsätzen ermittelt.
Bei der Ermittlung der Verpflichtungen aus Altersteilzeit werden ebenfalls die Richttafeln 2005 G von Prof. Dr. Heubeck zu Grunde gelegt. Bei der Bewertung der Verpflichtungen aus der Altersteilzeit wird
eine erwartete Einkommenssteigerung von 2,5 Prozent p. a. beziehungsweise 3,0 Prozent p. a. berücksichtigt. Die Verpflichtungen aus der Altersteilzeit werden mit 1,6 Prozent p. a. beziehungsweise 1,7 Prozent
p. a. abgezinst."; 9.48, 35 ;2016;GmbH;Konzernabschluss;KPMG
"Bei den übrigen Rückstellungen sind alle erkennbaren Risiken berücksichtigt. Sie sind in Höhe des Erfüllungsbetrags angesetzt, der nach vernünftiger kaufmännischer Beurteilung notwendig ist. Rückstellungen
mit einer Restlaufzeit von mehr als einem Jahr werden mit dem ihrer Restlaufzeit entsprechenden durchschnittlichen Marktzinssatz der vergangenen sieben Geschäftsjahre abgezinst (soweit nicht für zum 31.
Dezember 2010 vorhandene Rückstellungen vom Beibehaltungswahlrecht gemäß Art. 67 Abs. 1 EGHGB Gebrauch gemacht wurde)."; 9.50 ;2016;GmbH;Konzernabschluss;KPMG
"Latente Steuern wurden bei der Zuordnung stiller Reserven und stiller Lasten berücksichtigt, die sich bei der Aufteilung des Kaufpreises auf die einzelnen Vermögensgegenstände und Schulden des entsprechenden
Tochterunternehmens aus Konzernsicht ergeben. Des Weiteren wurde auf die Aktivierung aktiver latenter Steuern bei der Erstellung der Einzelabschlüsse verzichtet. Darüber hinaus wurde das Wahlrecht der
Saldierung von aktiven und passiven latenten Steuern in Anspruch genommen. Zwischenergebnisse aus dem konzerninternen Lieferungs- und Leistungsverkehr werden unter Berücksichtigung latenter Ertragsteuern
ergebniswirksam zurückgenommen. Die latenten Steuern werden mit den unternehmensindividuellen Ertragsteuersätzen bewertet, die im Zeitpunkt der Umkehr der temporären Differenzen oder der Nutzung von
steuerlichen Verlustvorträgen voraussichtlich gelten werden. Die Steuersätze variieren zwischen 16,1 Prozent und 32,6 Prozent und setzen sich aus einem Körperschaftsteuersatz von 15,0 Prozent zuzüglich eines
Solidaritätszuschlags von 5,5 Prozent auf die Körperschaftsteuer und dem individuellen Gewerbesteuersatz zusammen."; 9.35, 9.64, 25 ;2016;GmbH;Konzernabschluss;KPMG
Die Verbindlichkeiten sind mit dem Erfüllungsbetrag passiviert. Fremdwährungsverbindlichkeiten werden gemäß § 256a HGB zum Devisenkassamittelkurs am Abschlussstichtag bewertet.; 9.51 ;2016;GmbH;Konzernabschluss;KPMG
III. Erläuterungen zu einzelnen Posten des Jahresabschlusses zum 31. Dezember 2016;;2016;GmbH;Konzernabschluss;KPMG
1. Bilanz;;2016;GmbH;Konzernabschluss;KPMG
Anlagevermögen;;2016;GmbH;Konzernabschluss;KPMG
"Der zum Bilanzstichtag ausgewiesene Geschäfts- oder Firmenwert in Höhe von insgesamt 1,2 Mio. EUR ist der NGL zuzuordnen (Vorjahr: 1,3 Mio. EUR). Dieser wird aufgrund der bestehenden Kooperationsvereinbarung
mit der Stadt Laatzen über eine Nutzungsdauer von 16 Jahren abgeschrieben."; 5.3, 14, 92, 97 ;2016;GmbH;Konzernabschluss;KPMG
Erzeugungsanlagen des Konzerns wurden im Geschäftsjahr 2016 in Höhe von 29,9 Mio. EUR (Vorjahr: 16,8 Mio. EUR) außerplanmäßig abgeschrieben.; 5.9, 50 ;2016;GmbH;Konzernabschluss;KPMG
"Die Erstkonsolidierung der WPGE ist Grund für die Erhöhung der Erzeugungs-, Gewinnungs- und Bezugsanlagen um 84,9 Mio. EUR. Demgegenüber steht der Rückgang des Anlagevermögens KWM durch
die außerplanmäßigen Abschreibungen um 50,3 Mio. EUR."; 5.9, 50 ;2016;GmbH;Konzernabschluss;KPMG
Die Aufgliederung sowie die Entwicklung der in der Bilanz zusammengefassten Anlagepositionen zeigt der als Anlage zu diesem Anhang beigefügte Anlagespiegel.; 5.1, 15, 16 ;2016;GmbH;Konzernabschluss;KPMG
Umlaufvermögen;;2016;GmbH;Konzernabschluss;KPMG
"In den Forderungen aus Lieferungen und Leistungen sind im Wesentlichen die Verbrauchsabgrenzungen für Energie- und Wasserverkauf enthalten. Die in Abzug gebrachten erhaltenen Anzahlungen in Höhe von
324,3 Mio. EUR betreffen hauptsächlich eingegangene Teilbeträge auf den noch nicht abgelesenen Energie- und Wasserverkauf (Vorjahr: 312,6 Mio. EUR)."; 5.26 ;2016;GmbH;Konzernabschluss;KPMG
"Die Forderungen gegen verbundene Unternehmen betreffen nicht konsolidierte Tochterunternehmen. Die Mitzugehörigkeit der Forderungen gegen verbundene Unternehmen und Beteiligungsunternehmen zu
anderen Posten stellt sich wie folgt dar:
Verbundene Unternehmen.
Mio. EUR
Beteiligungsunternehmen.
Mio. EUR
Forderungen aus
Lieferungen und Leistungen 0,3 3,5
Finanzierungsverkehr 0,0 21,4
Sonstige Forderungen 0,1 0,2
0,4 25,1"; 5.27, 5.28 ;2016;GmbH;Konzernabschluss;KPMG
Forderungen gegen Gesellschafter von 22,6 Mio. EUR (Vorjahr: 8,4 Mio. EUR) sind im Wesentlichen in den sonstigen Forderungen enthalten; 5.25 ;2016;GmbH;Konzernabschluss;KPMG
Kassenbestand und Guthaben bei Kreditinstituten;;2016;GmbH;Konzernabschluss;KPMG
"Der in der Kapitalflussrechnung dargestellte Finanzmittelfonds bestehend aus Zahlungsmitteln und Zahlungsmitteläquivalenten unterlag im Geschäftsjahr einer Verfügungsbeschränkungen in Höhe von 10,5 Mio.
EUR (Vorjahr: 2,4 Mio. EUR)."; 5.33 ;2016;GmbH;Konzernabschluss;KPMG
Eigenkapital;;2016;GmbH;Konzernabschluss;KPMG
Das Eigenkapital verringerte sich um 53,8 Mio. EUR. Dabei verringerte sich der Anteil anderer Gesellschafter um 5,4 Mio. EUR und der Anteil der VVG-Gesellschafter um 48,4 Mio. EUR.; 5.37 ;2016;GmbH;Konzernabschluss;KPMG
Der Konzernjahresüberschuss verringerte sich um 58,9 Mio. EUR auf 12,5 Mio. EUR. Hiervon entfallen 3,3 Mio. EUR auf die VVG-Gesellschafter.; 5.46 ;2016;GmbH;Konzernabschluss;KPMG
"Der bei konsolidierten Gesellschaften ausschüttungsgesperrte Unterschiedsbetrag gemäß § 253 Absatz 2 Satz 1 in Verbindung mit Absatz 6 HGB für die Rückstellungen für Altersvorsorgeverpflichtungen beträgt
zum 31. Dezember 2016 7,7 Mio. EUR."; 5.37 ;2016;GmbH;Konzernabschluss;KPMG
Die Entwicklung des Eigenkapitals zeigt der als Anlage zu diesem Anhang beigefügte Konzerneigenkapitalspiegel.;;2016;GmbH;Konzernabschluss;KPMG
Genussscheine;;2016;GmbH;Konzernabschluss;KPMG
"Die Genussscheine wurden im Geschäftsjahr 1990 mit einem Gesamtnennbetrag von 5.112.918,81 Euro (10,0 Mio. Deutsche Mark) emittiert und lauten auf den Inhaber. Die Stückelung beträgt 511.291.881
Stück über je 0,01 Euro Nennbetrag. Die Genussscheine werden an der Mittelstandsbörse Deutschland (Freiverkehr), einem Handelssegment innerhalb des Freiverkehrs der Börsen Hamburg und Hannover,
gehandelt. Das Unternehmen hält aktuell 39,4 Prozent der Genussscheine als eigene Wertpapiere. Auf die Genussscheine erfolgt eine jährliche Ausschüttung, die sich in Abhängigkeit von der Höhe des an die
Muttergesellschaft abgeführten Gewinns und des gezeichneten Kapitals der Stadtwerke Hannover AG bemisst. Das Genussscheinkapital wurde insgesamt für das Geschäftsjahr 2016 in Höhe von 2,2 Mio. EUR
verzinst (Vorjahr: 2,7 Mio. EUR). Die Laufzeit der Genussscheine ist unbefristet. Eine Kündigung ist weder durch die Inhaber noch durch die Stadtwerke Hannover AG erfolgt."; 5.37 ;2016;GmbH;Konzernabschluss;KPMG
Unterschiedsbetrag aus der Kapitalkonsolidierung;;2016;GmbH;Konzernabschluss;KPMG
Die Auflösungen erfolgen über eine gewichtete durchschnittliche Restnutzungsdauer von 13 Jahren und werden in den sonstigen betrieblichen Erträgen erfasst.; 92 ;2016;GmbH;Konzernabschluss;KPMG
Rückstellungen;;2016;GmbH;Konzernabschluss;KPMG
"Die Rückstellungen für Pensionen und ähnliche Verpflichtungen von 100,2 Mio. EUR (Vorjahr: 91,9 Mio. EUR) resultieren aus Pensionszusagen und ähnlichen Verpflichtungen. Hiervon wurden 45,4 Mio. EUR
(Vorjahr: 39,2 Mio. EUR) zur Reduzierung der Deckungslücke bei der Versorgungseinrichtung, dem üstra e.V., Hannover, zurückgestellt."; 5.48 ;2016;GmbH;Konzernabschluss;KPMG
"Die auf die Versorgungseinrichtung der üstra Hannoversche Verkehrsbetriebe Aktiengesellschaft (üstra), Hannover, (VE) übertragenen Pensionsverpflichtungen belaufen sich zum 31. Dezember 2016 auf 231,8
Mio. EUR (Vorjahr: 233,3 Mio. EUR). Das zum beizulegenden Zeitwert bewertete Kassenvermögen (Deckungskapital) der VE beträgt 141,1 Mio. EUR (Vorjahr: 140,0 Mio. EUR) und wurde als Planvermögen
mit den Pensionsverpflichtungen verrechnet, so dass sich nach Passivierung der Rückstellungen bei der üstra ein Fehlbetrag in Höhe von 45,3 Mio. EUR (Vorjahr: 54,1 Mio. EUR) ergibt. Im Geschäftsjahr wurden
6,6 Mio. EUR zur Reduzierung der Deckungslücke bei der Versorgungseinrichtung, dem üstra e.V., Hannover, zugeführt."; 5.48, 38, 39 ;2016;GmbH;Konzernabschluss;KPMG
"Der Unterschiedsbetrag zwischen dem Ansatz der Rückstellungen für Altersvorsorgeverpflichtungen nach Maßgabe des durchschnittlichen Marktzinssatzes aus den vergangenen zehn Geschäftsjahren und dem
entsprechenden durchschnittlichen Marktzinssatzes aus den vergangenen sieben Geschäftsjahren beträgt für das Geschäftsjahr 2016 33,2 Mio. EUR. Der beschriebene Fehlbetrag beträgt entsprechend 70,8 Mio.
EUR."; 5.48, 36 ;2016;GmbH;Konzernabschluss;KPMG
"Die Steuerrückstellungen mit 3,7 Mio. EUR (Vorjahr: 2,1 Mio. EUR) betreffen im Wesentlichen für das Geschäftsjahr gebildete Rückstellungen für Gewerbesteuer von 1,4 Mio. EUR (Vorjahr: 1,1 Mio. EUR)
und Körperschaftsteuer einschließlich Solidaritätszuschlag von 2,2 Mio. EUR (Vorjahr: 0,7 Mio. EUR)."; 5.49 ;2016;GmbH;Konzernabschluss;KPMG
"Die sonstigen Rückstellungen enthalten hauptsächlich Verpflichtungen gegenüber dem Personalbereich, für die Rehabilitierung und den Rückbau von Anlagen, Risiken aus schwebenden Geschäften und ausstehende
Rechnungen."; 5.50 ;2016;GmbH;Konzernabschluss;KPMG
Bei den sonstigen Rückstellungen wurde von dem Wahlrechte des Art. 67 Abs. 1 Satz 2 EGHGB Gebrauch gemacht. Der Betrag der Überdeckung beläuft sich zum Bilanzstichtag auf 0,1 Mio. EUR.; 5.50 ;2016;GmbH;Konzernabschluss;KPMG
Verbindlichkeiten;;2016;GmbH;Konzernabschluss;KPMG
Die Zusammensetzung der Verbindlichkeiten in Mio. EUR nach Fristigkeiten ergibt sich aus der nachstehenden Übersicht:; 5.51 ;2016;GmbH;Konzernabschluss;KPMG
"davon mit einer Restlaufzeit
Gesamtbetrag 31.12.2016.
Mio. EUR
bis zu einem Jahr.
Mio. EUR
über ein Jahr.
Mio. EUR
über fünf Jahre.
Mio. EUR
Verbindlichkeiten gegenüber Kreditinstituten 1.116,6 225,5 891,1 267,1
(Vorjahr) (1.037,3) (121,6) (915,7) (343,0)
Verbindlichkeiten aus Lieferungen und Leistungen 75,0 74,5 0,5 0,0
(Vorjahr) (99,5) (97,2) (2,3) (0,0)
Verbindlichkeiten gegenüber verbundenen Unternehmen 1,1 1,1 0,0 0,0
(Vorjahr) (1,0) (1,0) (0,0) (0,0)
Verbindlichkeiten gegenüber assoziierten Unternehmen 0,6 0,6 0,0 0,0
(Vorjahr) (1,2) (1,2) (0,0) (0,0)
Verbindlichkeiten gegen Unternehmen, mit denen ein Beteiligungsverhältnis
besteht
12,5 12,5 0,0 0,0
(Vorjahr) (12,5) (12,5) (0,0) (0,0)
Sonstige Verbindlichkeiten 129,9 93,5 36,4 0,0"; 5.54, 5.56, 5.58, 5.59, 5.60 ;2016;GmbH;Konzernabschluss;KPMG
"davon mit einer Restlaufzeit
Gesamtbetrag 31.12.2016.
Mio. EUR
bis zu einem Jahr.
Mio. EUR
über ein Jahr.
Mio. EUR
über fünf Jahre.
Mio. EUR
(Vorjahr) (140,5) (102,2) (38,3) (0,0)
1.335,7 407,7 928,0 267,1
(Vorjahr) (1.292,0) (335,7) (956,3) (343,0)"; 5.54, 5.56, 5.58, 5.59, 5.60, 42 ;2016;GmbH;Konzernabschluss;KPMG
Von den Verbindlichkeiten gegenüber Kreditinstituten sind 201,1 Mio. EUR durch Sicherungsübereignung gesichert.; 5.54, 43 ;2016;GmbH;Konzernabschluss;KPMG
"Die Verbindlichkeiten gegenüber verbundenen Unternehmen betreffen nicht konsolidierte Tochterunternehmen. Die Mitzugehörigkeit der Verbindlichkeiten gegenüber verbundenen Unternehmen und Beteiligungsunternehmen
zu anderen Posten stellt sich wie folgt dar:
Verbundene Unternehmen.
Mio. EUR
Beteiligungsunternehmen.
Mio. EUR
Verbindlichkeiten aus
Lieferungen und Leistungen 1,0 2,8
Finanzierungsverkehr 0,0 10,2
Sonstige Verbindlichkeiten 0,1 0,1
1,1 13,1"; 5.58 ;2016;GmbH;Konzernabschluss;KPMG
In den sonstigen Verbindlichkeiten sind Verbindlichkeiten aus Zinsabgrenzungen in Höhe von 6,2 Mio. EUR (Vorjahr: 6,3 Mio. EUR) enthalten.; 5.60 ;2016;GmbH;Konzernabschluss;KPMG
"Verbindlichkeiten gegenüber Gesellschaftern von 6,7 Mio. EUR (Vorjahr: 7,6 Mio. EUR) sind sowohl in den Verbindlichkeiten aus Lieferungen und Leistungen als auch in den sonstigen Verbindlichkeiten
enthalten."; 5.58, 7, 19 ;2016;GmbH;Konzernabschluss;KPMG
Latente Steuern;;2016;GmbH;Konzernabschluss;KPMG
"Im VVG-Konzern sind am 31. Dezember 2016 passive latente Steuern in Höhe von 8,8 Mio. EUR (Vorjahr: 19,2 Mio. EUR) bilanziert worden. Dabei wurden aktive latente Steuern in Höhe von 8,7 Mio. EUR
(Vorjahr: 5,4 Mio. EUR) verrechnet."; 5.64, 25 ;2016;GmbH;Konzernabschluss;KPMG
"Im Einzelnen entfallen die aktiven latenten Steuern auf folgende Bilanzposten:
31.12.2016.
in TEUR
31.12.2015.
in TEUR
Immaterielle Vermögenswerte 492 0
Sachanlagen 1.841 2.126
Rückstellungen 2.470 798
Verbindlichkeiten 2.770 0
Verlustvorträge 1.190 2.433"; 5.35, 25 ;2016;GmbH;Konzernabschluss;KPMG
"31.12.2016.
in TEUR
31.12.2015.
in TEUR
8.762 5.357
Saldierung –8.762 –5.357
0 0"; 5.35, 25 ;2016;GmbH;Konzernabschluss;KPMG
Die passiven latenten Steuern stellen sich wie folgt dar:; 5.64 ;2016;GmbH;Konzernabschluss;KPMG
