Ab PDF s. 1 bis 16;;;;;;;;;;;;;;;;;;;;;;;;
Anhang für das Geschäftsjahr 2014;;;;;;;;;;;;;;;;;;;;;;;;
der New-York Hamburger Gummi-Waaren Compagnie Aktiengesellschaft, Lüneburg;;;;;;;;;;;;;;;;;;;;;;;;
; Annotierung (Angabe Nummer in Anhangscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer;;;;;;;;;;;;;;;;;;;
Im Jahresabschluss zum 31. Dezember 2013 wurden Anschaffungskosten einer Beteiligung (TEUR 103) sowie Ausleihungen aus der Gewährung eines langfristigen Darlehens an das Unternehmen, mit dem dieses Beteiligungsverhältnis besteht (TEUR 50), fehlerhaft unter den sonstigen Vermögensgegenständen im Umlaufvermögen ausgewiesen. Zum 31. Dezember 2014 erfolgte die Umgliederung in das Finanz- anlagevermögen.; 1, 10 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Fehlerkorrektur: Geleistete Anzahlungen; 1, 10 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
"Im Jahresabschluss zum 31. Dezember 2014 werden die geleisteten Anzahlungen (TEUR 215; Vj. TEUR 143) entsprechend der handelsrechtlichen Vorschriften nicht mehr unter den sonstigen Vermögensgegen- ständen, sondern unter den Vorräten ausgewiesen. Zur besseren Vergleichbarkeit haben wir den Vorjahresabschluss angepasst."; 1, 10, 3 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Fehlerkorrektur: Eigene Anteile; 1, 10 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Im Jahresabschluss zum 31. Dezember 2014 wird entsprechend der handelsrechtlichen Kommentierung erstmals der rechnerische Wert (TEUR 1) der 983 im Bestand der Gesellschaft vorhandenen eigenen Anteile offen vom Posten „Gezeichnetes Kapital“ abgesetzt bilanziert.; 1, 10 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Fehlerkorrektur: Andere Gewinnrücklagen, Rückstellungen für Pensionen; 1, 10 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Im Rahmen der im Geschäftsjahr 2010 erfolgten Umstellung auf das Bilanzrechtsmodernisierungsgesetz (BilMoG) hat die NYH AG bei der Bewertung der Pensionsrückstellungen das Übergangswahlrecht nach Art. 67 Abs. 1 Satz 1 EGHGB angewandt, nachdem der bewertungsänderungsbedingte Unterschiedsbetrag über eine Laufzeit von 15 Jahren auf die Pensionsrückstellungen angesammelt werden kann. Der infolge der Aufstockung resultierende jährliche außerordentliche Aufwand von TEUR 35 wurde bis zum 31. Dezember 2013 statt zur Erhöhung der Pensionsrückstellungen fehlerhaft in die anderen Gewinnrücklagen in das Eigenkapital eingestellt (kumuliert TEUR 140).; 1, 10, 11, 40, 43 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Gleichzeitig wurde in den letzten vier Geschäftsjahren der jeweils fehlende Aufstockungsbetrag zu den Pensionsrückstellungen (TEUR 35 p.a.) durch eine erhöhte Erfassung von Personalaufwand zugeführt. Im Ergebnis wurde somit der erhöhte Ausweis von Gewinnrücklagen durch entsprechend höhere Personalaufwendungen und dem somit zu geringen Jahresergebnis kompensiert. Zum 31. Dezember 2014 erfolgte die Ausbuchung der zu hohen Gewinnrücklagen von TEUR 140 durch die Erfassung eines außerordentlichen Ertrags, so dass zum Jahresende das Bilanzergebnis wieder korrekt ausgewiesen wird.; 1, 10, 35, 36, 74 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Fehlerkorrektur: Sonstige Rückstellungen; 1, 10, 47 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Zur Absicherung von Zinsänderungsrisiken nutzt die NYH AG einen Zinsswap, der entgegen unseren Ausführungen im Anhang des Vorjahresabschlusses sowohl zum 31. Dezember 2013 (TEUR -357) als auch zum 31. Dezember 2014 (TEUR -367) einen negativen Marktwert aufweist. Mangels Vorliegen der Voraussetzungen zur Bildung einer Bewertungseinheit wurde im Geschäftsjahr 2014 erstmals eine Drohverlustrückstellung in Höhe von TEUR 367 gebildet. Wir verweisen auf unsere Ausführungen zu den derivativen Finanzinstrumenten unter Punkt F.3.; 1, 10, 47 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Fehlerkorrektur, Ausweisänderung: Sonstige betriebliche Aufwendungen; 1, 10 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
"Darüber hinaus werden seit dem Geschäftsjahr 2014 verschiedene bisher im Materialaufwand ausgewiesene Aufwandsposten (TEUR 139; Vj. TEUR 253) , die überwiegend Ausgangsfrachten und Leiharbeitskräfte betreffen, bisher im außerordentlichen Aufwand erfasste periodenfremde Aufwendungen (TEUR 27; Vj. TEUR 79) sowie bisher unter den Abschreibungen ausgewiesene Forderungsverluste (TEUR 128; Vj. TEUR 126) unter den sonstigen betrieblichen Aufwendungen ausgewiesen. Zur besseren Vergleichbarkeit haben wir die Vorjahreswerte angepasst."; 1, 10, 3 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Fehlerkorrektur, Ausweisänderung: Materialaufwand; 1, 10 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
"Weiterhin wird seit dem Geschäftsjahr 2014 auf den separaten Ausweis der Energieaufwendungen (TEUR 453; Vj. TEUR 635) im Materialaufwand als gesonderter Posten der Gewinn- und Verlustrechnungen verzichtet. Zur besseren Vergleichbarkeit haben wir den Vorjahresabschluss angepasst."; 1, 10, 3 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
C. Bilanzierungs- und Bewertungsgrundsätze; 8   ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Selbst geschaffene immaterielle Vermögensgegenstände werden mit den Herstellungskosten, vermindert um planmäßige kumulierte Abschreibungen bewertet. Die Herstellungskosten umfassen Material- und Fertigungseinzelkosten sowie angemessene Teile zugehöriger Gemeinkosten. Die Abschreibungen werden linear über die betriebsgewöhnliche Nutzungsdauer von zehn Jahren vorgenommen.; 8.3 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Entgeltlich erworbene immaterielle Vermögensgegenstände sind zu Anschaffungskosten, vermindert um planmäßige kumulierte Abschreibungen bewertet. Die Abschreibungen werden linear über die betriebs- gewöhnliche Nutzungsdauer vorgenommen.; 8.4 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Das Sachanlagevermögen ist mit den aktivierungspflichtigen Anschaffungs-/Herstellungskosten angesetzt und, soweit abnutzbar, um planmäßige Abschreibungen vermindert. Die Abschreibungen erfolgen über die betriebsgewöhnliche Nutzungsdauer.; 8.7 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Bei der selbst erstellten Immobilie wurden in der Vergangenheit anteilige Bauzeitzinsen unter der Inanspruchnahme der Bewertungshilfe des § 255 Abs. 3 S. 2 HGB aktiviert. Sowohl im Geschäftsjahr 2014 als auch im Vorjahr erfolgten keine Aktivierungen.; 8.7, 9 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Abschreibungen werden ausschließlich linear vorgenommen. Bewegliche geringwertige Anlagegüter werden mit ihren Anschaffungskosten aktiviert und über ihre betriebsgewöhnliche Nutzungsdauer abgeschrie- ben, wenn die Anschaffungskosten EUR 410,00 überschritten haben.; 8.7 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Finanzanlagen werden zu Anschaffungskosten bzw. mit dem niedrigeren beizulegenden Wert bewertet.; 8.12 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Soweit der nach vorstehenden Grundsätzen ermittelte Wert von Gegenständen des Anlagevermögens über dem Wert liegt, der ihnen am Bilanzstichtag beizulegen ist, wird dem durch außerplanmäßige Abschrei- bungen Rechnung getragen. Stellt sich in einem späteren Geschäftsjahr heraus, dass die Gründe hierfür nicht mehr bestehen, so wird der Betrag dieser Abschreibungen im Umfang der Werterhöhung unter Berücksichtigung der Abschreibungen, die inzwischen vorzunehmen gewesen wären, zugeschrieben.; 8.12 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Die in den Vorräten enthaltenen Roh-, Hilfs- und Betriebsstoffe sind zu durchschnittlichen Einstandspreisen oder zu niedrigeren Tagespreisen am Bilanzstichtag aktiviert. Die unfertigen und fertigen Erzeugnisse werden unter Heranziehung von Maschinenstundensätzen zu Herstellungskosten einschließlich angemessener Gemeinkosten bewertet oder zum niedrigeren beizulegenden Wert angesetzt. Handelswaren sind zu Anschaffungskosten oder niedrigeren Marktpreisen bilanziert. Alle erkennbaren Risiken im Vorratsvermögen, die sich aus überdurchschnittlicher Lagerdauer oder geminderter Verwendbarkeit ergeben, werden durch angemessene Abwertung berücksichtigt.; 8.21, 8.22, 8.23 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Forderungen und sonstige Vermögensgegenstände werden zum Nennwert oder mit dem niedrigeren beizulegenden Wert am Bilanzstichtag bewertet. Alle erkennbaren Einzelrisiken werden bei der Bewertung berücksichtigt. Für das allgemeine Kreditrisiko ist eine Pauschalwertberichtigung für Forderungen aus dem Liefer- und Leistungsverkehr mit 1 % gebildet.; 8.25 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Die Kassenbestände und Guthaben bei Kreditinstituten sind zum Nominalwert bewertet.; 8.33 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Die Pensions- und Jubiläumsverpflichtungen werden versicherungsmathematisch unter Zugrundelegung biometrischer Wahrscheinlichkeiten (Richttafeln 2005 G von Prof. Dr. Klaus Heubeck) nach dem Anwart- schaftsbarwertverfahren (PUC-Methode) ermittelt. Bei der Festlegung des laufzeitkongruenten Rechnungszinssatzes wurde in Anwendung des Wahlrechts nach § 253 Abs. 2 Satz 2 HGB der von der Deutschen Bundesbank ermittelte und veröffentlichte durchschnittliche Marktzinssatz der letzten sieben Jahre verwendet, der sich bei einer angenommenen Restlaufzeit von 15 Jahren ergibt. Der zum Bilanzstichtag ver- wendete Rechnungszinssatz beträgt 4,53 % (Vj. 4,88 %).; 8.48, 41 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Bei der Ermittlung der Pensionsverpflichtungen wurde von jährlichen Rentensteigerungen von 1,5 % sowie von keinen Gehaltssteigerungen ausgegangen. Bei der Ermittlung der Jubiläumsverpflichtungen wurden dagegen keine Rentensteigerungen, dafür aber Gehaltssteigerungen von 2,5 % berücksichtigt. Die Bewertung berücksichtigt sowohl bei den Pensions- als auch bei den Jubiläumsverpflichtungen bei der Fluktuationswahrscheinlichkeit einen pauschalen Abschlag von 1,0 % bei den aktiven Anwärtern.; 8.48, 41 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Zum 31. Dezember 2014 bestehen nicht in der Bilanz ausgewiesene Pensionsverpflichtungen aus der im Jahr 2010 erfolgten Umstellung auf das BilMoG in Höhe von TEUR 349. In Anwendung des Übergangs- wahlrechts nach Art. 67 Abs. 1 Satz 1 EGHGB soll der ursprüngliche Unterschiedsbetrag (TEUR 524) über eine Laufzeit von 15 Jahren verteilt werden. Im Geschäftsjahr 2014 erfolgte entsprechend eine Zuführung zu den Pensionsrückstellungen in Höhe von TEUR 35, die im außerordentlichen Aufwand ausgewiesen ist. Hierzu verweisen wir auf unsere Ausführungen im Abschnitt B.; 8.48, 11, 40, 45, 68 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Die sonstigen Rückstellungen berücksichtigen alle erkennbaren Risiken und ungewissen Verpflichtungen und sind in Höhe des nach vernünftiger kaufmännischer Beurteilung notwendigen Erfüllungsbetrages bewertet. Zukünftige Preis- und Kostensteigerungen werden berücksichtigt, sofern ausreichend objektive Hinweise für deren Eintritt vorliegen. Bezüglich angewendeter Schätzverfahren verweisen wir auf die Angaben zu den derivativen Finanzinstrumenten unter Punkt F.3.; 8.50 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Die Verbindlichkeiten werden zum Erfüllungsbetrag passiviert.; 8.51 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Bestehende Differenzen zwischen den handelsrechtlichen Wertansätzen von Vermögensgegenständen, Schulden und Rechnungsabgrenzungsposten und ihren steuerlichen Wertansätzen, die sich in späteren Geschäftsjahren voraussichtlich abbauen, werden unter Berücksichtigung etwaig vorhandener Verlustvorträge bei einer sich insgesamt ergebenden Steuerbelastung als passive latente Steuern angesetzt.; 8.64, 27 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Forderungen und Verbindlichkeiten in Fremdwährung mit einer Restlaufzeit bis zu einem Jahr werden zum Devisenkassamittelkurs am Bilanzstichtag umgerechnet. Insofern sind im vorliegenden Jahresabschluss unrealisierte Gewinne und Verluste aus der Währungsumrechnung enthalten. Bei einer Restlaufzeit über einem Jahr erfolgt die Umrechnung mit dem Wechselkurs zum Zeitpunkt des Entstehens. Bei Wechsel- kursänderungen bis zum Bilanzstichtag erfolgt die Bewertung grundsätzlich zum Wechselkurs des Bilanzstichtags unter Beachtung des Niederstwertprinzips auf der Aktiv- und des Höchstwertprinzips auf der Passivseite.; 8.25, 8.51 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
D. Erläuterungen zur Bilanz;;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
1. Anlagevermögen; 4.1 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Die gesondert dargestellte Entwicklung des Anlagevermögens der NYH AG ist integraler Bestandteil des Anhangs.; 4.1 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
2. Forderungen und sonstige Vermögensgegenstände; 4.25 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Die Forderungen und sonstigen Vermögensgegenstände haben grundsätzlich wie im Vorjahr eine Restlaufzeit von unter einem Jahr.; 4.25 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Die sonstigen Vermögensgegenstände betreffen mit TEUR 35 (Vj. TEUR 59) Darlehensansprüche an den Vorstand. Das Darlehen wird mit 5 % p.a. verzinst und hatte ursprünglich eine vertragliche Laufzeit bis zum 30. Juni 2015. Im Geschäftsjahr 2014 erfolgten Tilgungen in Höhe von TEUR 19 sowie Wertberichtigungen in Höhe von TEUR 9. Aufgrund einer Vertragsanpassung hatte das Darlehen in Höhe von TEUR 7 (Vj. TEUR 44) eine Restlaufzeit von über einem Jahr.; 4.29 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
3. Eigenkapital; 4.37 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
3.1. Grundkapital; 4.38 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Das Grundkapital der Gesellschaft beträgt zum 31. Dezember 2014 EUR 8.555.687,46 (Vj. EUR 8.555.687,46) und ist in 7.997.914 nennwertlose Stückaktien eingeteilt.; 4.38, 32 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
3.2. Eigene Aktien; 4.38, 24, 32 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Die Gesellschaft besitzt 983 eigene Aktien. Dies entspricht einem Anteil von EUR 1.051,55 (0,01229 %) des Grundkapitals.; 4.38, 24, 32 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
3.3. Genehmigtes Kapital; 4.38, 32, 33 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Der Vorstand ist durch Beschluss der Hauptversammlung vom 17. März 2011 ermächtigt, das Grundkapital mit Zustimmung des Aufsichtsrats bis zum 16. März 2016 innerhalb von fünf Jahren seit dem Tag der Eintragung am 4. Mai 2011 um einen Betrag bis zu EUR 2.655.865,98 durch einmalige oder mehrmalige Ausgabe neuer, auf den Inhaber lautender nennwertloser Stückaktien gegen Bar- und/oder Sacheinlage zu erhöhen (Genehmigtes Kapital 2011/I). Von der Ausnutzung des genehmigten Kapitals 2011/I wurde bis zum Ablauf der Frist kein Gebrauch gemacht.; 4.38, 32, 33 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
3.4. Bedingtes Kapital; 4.38, 32 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Die Hauptversammlung vom 17. März 2011 hat die bedingte Erhöhung des Grundkapitals um einen Betrag bis zu EUR 845.094,50 zur Gewährung von Bezugsrechten an Mitglieder des Vorstandes der Gesellschaft und an Arbeitnehmer der Gesellschaft oder eines verbundenen Unternehmens beschlossen (Bedingtes Kapital 2011/I). Bezugsrechte aus dem bedingten Kapital 2011/I wurden bis zum Aufstellungszeitpunkt dieses Jahresabschlusses nicht ausgereicht.; 4.38, 32, 53 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Die Hauptversammlung vom 17. Juli 2013 hat die bedingte Erhöhung des Grundkapitals um einen Betrag bis zu EUR 869.000,00 durch Ausgabe von bis zu 790.000,00 neuen auf den Inhaber lautenden nennwertlosen Stückaktien zur Durchführung von Wandlungsrechten/von Wandlungspflichten an die Inhaber bzw. an die Gläubiger von Wandelanleihen, die jeweils bis zum 31. Dezember 2014 begeben werden, beschlossen (Bedingtes Kapital 2013/I). Bis zum Ablauf der Frist erfolgte keine entsprechende Kapitalerhöhung.; 4.38, 32 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
3.5. Kapital- und Gewinnrücklagen; 4.39, 4.40 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Der Gesamtwert der Kapitalrücklage betrifft geleistete Aufgelder aus Kapitalerhöhungen gemäß § 272 Abs. 2 Nr. 1 HGB.; 4.39 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Die Gewinnrücklagen beinhalten unverändert zum Vorjahr die gesetzliche Rücklage in Höhe von TEUR 307. Bezüglich der zum 31. Dezember 2013 ausgewiesenen anderen Gewinnrücklagen verweisen wir auf unsere Ausführungen im Abschnitt B.; 4.39, 4.41, 35, 36 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
3.6. Ausschüttungssperre; 4.37, 38 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Gemäß § 268 Abs. 8 HGB unterliegt die Aktivierung selbst geschaffener immaterieller Vermögensgegenstände in Höhe von EUR 125.883,00 (Vj. EUR 141.618,00) einer Ausschüttungssperre. Passive latente Steuern infolge der Aktivierung selbst geschaffener immaterieller Vermögensgegenstände sind in der Bilanz aufgrund des Aktivüberhangs latenter Steuern nicht ausgewiesen.; 4.37, 27, 38 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
4. Sonstige Rückstellungen; 4.50, 47 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Die sonstigen Rückstellungen erfassen folgende wesentliche Sachverhalte:; 4.50, 47 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
"31.12.2014.
TEUR
31.12.2013.
TEUR
Personalbereich 828 415
Drohverlust aus Zinsswapvereinbarung 367 0
Übrige 203 309
1.398 724"; 4.50, 47 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Die Rückstellungen im Personalbereich resultieren mit TEUR 649 (Vj. TEUR 0) aus der Sanierung der NYH AG und erfassen erwartete Abfindungen sowie drohende Verluste aus der Freistellung von Mitarbeitern. Bezüglich der Rückstellung für drohende Verluste aus der Zinsswapvereinbarung verweisen wir auf unsere Ausführungen zu den derivativen Finanzinstrumenten unter Punkt F.3.; 4.50, 47 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
5. Verbindlichkeiten; 4.51 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Die Verbindlichkeiten setzen sich wie folgt zusammen:; 4.51 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
