Anhang; Annotierung (Angabe Nummer in Anhangcheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
"Die Finanzanlagen werden zu Anschaffungskosten bilanziert. Bei erwarteter dauerhafter Wertminderung werden diese auf den
niedrigeren beizulegenden Wert außerplanmäßig abgeschrieben. Bei erfolgter Werterholung werden Zuschreibungen bis zur
Obergrenze der historischen Anschaffungskosten der Finanzanlagen vorgenommen."; 7.12 ;2016;EMNOS GmbH;Jahresabschluss;
"Die Forderungen und sonstigen Vermögensgegenstände werden zu ihren Nennwerten abzüglich angemessener
Wertberichtigungen angesetzt. Sämtliche Forderungen weisen eine Restlaufzeit von bis zu einem Jahr auf."; 7.25 ;2016;EMNOS GmbH;Jahresabschluss;
"Forderungen in fremder Währung werden zunächst mit dem Devisenkassamittelkurs im Entstehungszeitpunkt bewertet. Am
Abschlussstichtag erfolgt eine Bewertung zum Devisenkassamittelkurs."; 7.25 ;2016;EMNOS GmbH;Jahresabschluss;
"Allen erkennbaren Ausfallrisiken bei Forderungen und sonstigen Vermögensgegenständen ist durch angemessene Wertberichtigung
Rechnung getragen."; 7.25 ;2016;EMNOS GmbH;Jahresabschluss;
"Die Forderungen gegen verbundene Unternehmen enthalten auch Forderungen gegen verbundene Unternehmen, welche ihre
liquiden Mittel im Rahmen des europäischen Cashpools bei der Loyalty Partner GmbH angelegt haben."; 7.27 ;2016;EMNOS GmbH;Jahresabschluss;
"Für Ausgaben vor dem Bilanzstichtag, die Aufwand für das Folgejahr darstellen, wurden aktive Rechnungsabgrenzungsposten
gebildet."; 7.34 ;2016;EMNOS GmbH;Jahresabschluss;
Das Eigenkapital wird zum Nennwert bilanziert.; 7.37 ;2016;EMNOS GmbH;Jahresabschluss;
"Die Rückstellungen berücksichtigen alle erkennbaren Risiken sowie ungewisse Verbindlichkeiten der Gesellschaft und sind mit den
Erfüllungsbeträgen angesetzt, die nach vernünftiger kaufmännischer Beurteilung notwendig sind."; 7.47 ;2016;EMNOS GmbH;Jahresabschluss;
Alle Verbindlichkeiten sind mit Erfüllungsbeträgen bewertet.; 7.51 ;2016;EMNOS GmbH;Jahresabschluss;
"Es bestehen keine temporären Differenzen zwischen den handelsrechtlichen Wertansätzen von Vermögensgegenständen, Schulden
und Rechnungsabgrenzungsposten und deren steuerlichen Wertansätzen, für die passive latente Steuern anzusetzen wären. Soweit
temporäre Differenzen zwischen den handelsrechtlichen Wertansätzen von Vermögensgegenständen, Schulden und
Rechnungsabgrenzungsposten und deren steuerlichen Wertansätzen bestehen, für die aktive latente Steuern angesetzt werden
könnten, wurde von dem Wahlrecht gemäß § 274 Abs. 1 Satz 2 HGB Gebrauch gemacht, keine aktiven latenten Steuern anzusetzen."; 7.35, 7.64 ;2016;EMNOS GmbH;Jahresabschluss;
"Die Währungsumrechnung für Rechnungen in fremder Währung erfolgt zum Kurs des Transaktionstages. Die Folgebewertung der
Forderungen und Verbindlichkeiten erfolgt zum jeweils am Bilanzstichtag gültigen Devisenkassamittelkurs."; 7.0 ;2016;EMNOS GmbH;Jahresabschluss;
"Gewinne und Verluste aus der Umrechnung von Fremdwährungsgeschäften in lokale Währung werden erfolgswirksam erfasst;
die in den Posten ""Sonstige betriebliche Erträge"" bzw. ""Sonstige betriebliche Aufwendungen"" enthaltenen Erträge bzw.
Aufwendungen aus der Währungsumrechnung werden in den entsprechenden Aufgliederungen im Anhang gesondert ausgewiesen."; 7.69, 7.80 ;2016;EMNOS GmbH;Jahresabschluss;
Die Umsatzrealisierung erfolgt mit der Erbringung der Dienstleistungen.; 7.66 ;2016;EMNOS GmbH;Jahresabschluss;
C. Erläuterung zur Bilanz;;2016;EMNOS GmbH;Jahresabschluss;
Die Entwicklung des Anlagevermögens ist dem beigefügten Anlagenspiegel zu entnehmen.; 4.1 ;2016;EMNOS GmbH;Jahresabschluss;
"Die Forderungen und sonstigen Vermögensgegenstände belaufen sich auf TEUR 140 (Vorjahr TEUR 1.109) und haben eine
Laufzeit von bis zu einem Jahr."; 4.25 ;2016;EMNOS GmbH;Jahresabschluss;
"Die Forderungen gegen verbundene Unternehmen setzt sich wie folgt zusammen und haben eine Laufzeit von bis zu einem Jahr. Forderungen gegen verbundene Unternehmen 31.12.2016 31.12.2015
TEUR TEUR
Interne Leistungsverrechnung 44 3
Cashpooling 0 827
Verlustübernahme durch Gesellschafter 0 76
Umsatzsteuerorganschaft 64 47
Gesamt 108 953"; 4.27 ;2016;EMNOS GmbH;Jahresabschluss;
"Sonstige Vermögensgegenstände 31.12.2016 31.12.2015
TEUR TEUR
Umsatzsteuerforderungen 0 0
Kaution 8 8
Übrige 13 13
Gesamt 21 21
Die Kaution in Höhe von TEUR 8 hat eine Laufzeit von bis zu einem Jahr."; 4.29 ;2016;EMNOS GmbH;Jahresabschluss;
"Die aktiven Rechnungsabgrenzungsposten betragen TEUR 816 (Vorjahr: TEUR 520). Hierin enthalten sind TEUR 366 (Vorjahr:
TEUR 70) für IT-Wartung sowie TEUR 443 (Vorjahr: TEUR 438) für sonstige Wartungsverträge."; 4.34 ;2016;EMNOS GmbH;Jahresabschluss;
"In den sonstigen Rückstellungen sind folgende Posten enthalten:
Rückstellung 31.12.2016 31.12.2015
TEUR TEUR
Ausstehende Rechnungen 397 504
Bonifikationen 296 984
Urlaub und Überstunden 26 18
Abschluss und Prüfung 18 25
Übrige 19 30
Gesamt 756 1.561"; 4.50 ;2016;EMNOS GmbH;Jahresabschluss;
"Die Verbindlichkeiten gliedern sich wie folgt nach Arten und Laufzeiten auf:
Verbindlichkeiten zum 31.12.2016 bis 1 Jahr > 1 Jahr davon > 5 Jahre Gesamt
TEUR TEUR TEUR TEUR
Erhaltene Anzahlungen 0 0 0 0
Lieferungen und Leistungen 5 0 0 5
Verbundene Unternehmen 4.368 0 0 4.368
- davon gegenüber Gesellschaftern 4.314 0 0 4.314
Sonstige 204 0 0 204
Gesamt 4.577 0 0 4.577"; 4.51 ;2016;EMNOS GmbH;Jahresabschluss;
"Verbindlichkeiten zum 31.12.2015 bis 1 Jahr > 1 Jahr davon > 5 Jahre Gesamt
TEUR TEUR TEUR TEUR
Lieferungen und Leistungen 27 0 0 27
Verbundene Unternehmen 24 0 0 24
- davon gegenüber Gesellschaftern 0 0 0 0
Sonstige 251 0 0 251
- davon aus Steuern 212 0 0 212
- davon im Rahmen der sozialen Sicherheit 39 0 0 39
Gesamt 302 0 0 302"; 4.51 ;2016;EMNOS GmbH;Jahresabschluss;
"Die Verbindlichkeiten gegenüber verbundenen Unternehmen setzen sich wie folgt zusammen:
Verbindlichkeiten verbundene Unternehmen 31.12.2016 31.12.2015
TEUR TEUR
Cashpooling 4.229 0
Ergebnisabführung 85 0
Interne Leistungsverrechnung 54 24
Gesamt 4.368 24"; 4.58 ;2016;EMNOS GmbH;Jahresabschluss;
D. Erläuterung zur Gewinn- und Verlustrechnung;;2016;EMNOS GmbH;Jahresabschluss;
"Die sonstigen betrieblichen Erträge setzen sich wie folgt zusammen* **:
Sonstige betriebliche Erträge 2016 2015 * 2015**
TEUR TEUR TEUR
Auflösung von Rückstellungen 321 104 104
Verrechnet Sachbezüge Mitarbeiter 80 84 84
Wechselkursdifferenzen 76 34 34
Interne Leistungsverrechnung 0 0 985
Übrige 120 0 0
Gesamt 597 223 1.207
In den sonstigen betrieblichen Erträgen sind periodenfremde Erträge in Höhe von TEUR 441 (Vorjahr: TEUR 104) aus der
Auflösung von Rückstellungen (TEUR 321) sowie übrige Erträge (TEUR 120) aufgrund einer Gutschrift, die die Vorperiode betrifft,
enthalten."; 4.69, 33 ;2016;EMNOS GmbH;Jahresabschluss;
"Der Materialaufwand setzt sich wie folgt zusammen.12
Materialaufwand 2016 2015* 2015**
TEUR TEUR TEUR
Aufwendungen für Roh-, Hilfs- und Betriebsstoffe -4 -7 0
Aufwendungen für bezogene Leistungen 3.937 2.371 0
IT Kosten 3.891 2.344 0
Übrige 46 27 0
Gesamt 3.932 2.364 0"; 4.70 ;2016;EMNOS GmbH;Jahresabschluss;
"Die sonstigen betrieblichen Aufwendungen setzen sich wie folgt zusammen:3 **
Sonstige betriebliche Aufwendungen 2016 2015* 2015**
TEUR TEUR TEUR
IT-Kosten 5.377 5.723 6.393
Reisekosten 363 407 407
Personalbetreuung 232 329 329
Externe Dienstleitungen 126 318 318
Werbung und Kommunikation 94 70 70
Beratung und Prüfung 76 29 29
Telekommunikation 41 55 55
Währungsumrechnung 29 31 31
Beiträge, Gebühren, Spenden 23 25 25
Bürobetriebskosten 14 3 3
Raumkosten 12 14 14
Repräsentation 1 3 3
Business Consulting 0 0 1.332
Qualitätskosten 0 11 11
Übrige 17 7 376
Gesamt 6.405 7.025 9.396
Die Zinsaufwendungen beinhalten Zinsen aus verbundenen Unternehmen in Höhe von TEUR 38 (Vorjahr: TEUR 10) aus der
Verzinsung von Cashpooling Verbindlichkeiten."; 4.80, 33 ;2016;EMNOS GmbH;Jahresabschluss;
E. Sonstige Angaben;;2016;EMNOS GmbH;Jahresabschluss;
"Das Jahresergebnis für das Geschäftsjahr vom 1. Januar bis 31. Dezember 2016 wird aufgrund des bestehenden Beherrschungs- und
Gewinnabführungsvertrages an die Loyalty Partner GmbH, München, abgeführt. Eine entsprechende Verbindlichkeit
gegenüber verbundenen Unternehmen bzw. Gesellschafter ist erfasst."; 12   ;2016;EMNOS GmbH;Jahresabschluss;
"Die Jahresabschlüsse der emnos GmbH, München und ihrer Tochterunternehmen werden in den Konzernabschluss der American
Express Company, New York, New York, USA, einbezogen, der nach den US-amerikanischen Rechnungslegungsvorschriften (US
GAAP) aufgestellt ist. Dieser kann bei der US Securities and Exchange Commission (SEC) unter der Commission File Number 1-7657
eingesehen werden. Dieser Abschluss ist der Konzernabschluss für den größten Kreis von Unternehmen."; 40   ;2016;EMNOS GmbH;Jahresabschluss;
"Darüber hinaus wird der Jahresabschluss der emnos GmbH auch in den Konzernabschluss der American Express International Inc,
New York, New York, USA, einbezogen, der einen befreienden Konzernabschluss für die Loyalty Partner Holdings S.A, Luxemburg,
darstellt. Dieser wird beim Registre de Commerce et des Sociétés Luxembourg, unter der Registernummer B110640 hinterlegt.
Dieser Abschluss ist der Konzernabschluss für den kleinsten Kreis von Unternehmen."; 37   ;2016;EMNOS GmbH;Jahresabschluss;
"Zum Bilanzstichtag bestehen folgende wesentliche sonstige finanzielle Verpflichtungen:
Sonstige finanzielle Verpflichtungen 31.12.2016
bis 1 Jahr 1 - 5 Jahre Gesamt
TEUR TEUR TEUR
IT Leasing 477 497 974
Gesamt 477 497 974"; 36   ;2016;EMNOS GmbH;Jahresabschluss;
"Die Geschäftsführung der Gesellschaft wurde im Geschäftsjahr 2016 bis heute von dem nachfolgend genannten Geschäftsführer
wahrgenommen:
• Jesús Angel García Gonzales, München,
Alleingeschäftsführer";;2016;EMNOS GmbH;Jahresabschluss;
Auf die Angabe der Gesamtbezüge der Geschäftsführer im Geschäftsjahr 2016 wird gemäß § 286 Abs. 4 HGB verzichtet.;;2016;EMNOS GmbH;Jahresabschluss;
"Die Gesellschaft beschäftigte während des Geschäftsjahrs 2016 durchschnittlich 39 Angestellte (Vorjahr 43 Angestellte).
Mitarbeiter nach Gruppen 2016 2015
Mitarbeiter nach Gruppen 2016 2015
Leitende Angestellte 10 13
- davon männlich 7 9
- davon weiblich 3 4
Angestellte 29 30
- davon männlich 13 13
- davon weiblich 16 17
Gesamt 39 43"; 35   ;2016;EMNOS GmbH;Jahresabschluss;
"Das Honorar des Abschlussprüfers für die Abschlussprüfungstätigkeit beträgt TEUR 25 (Vorjahr: TEUR 25). Dabei handelt es sich
ausschließlich um Abschlussprüfungsleistungen.";;2016;EMNOS GmbH;Jahresabschluss;
"Vorgänge von besonderer Bedeutung, die nach dem Schluss des Geschäftsjahres eingetreten und weder in der Gewinn- und
Verlustrechnung noch in der Bilanz berücksichtigt sind, liegen nicht vor.";;2016;EMNOS GmbH;Jahresabschluss;
"Anteilsbesitz der emnos GmbH (Stand 31.12.2016)
Tochterunternehmen Sitz Beteiligung Eigenkapital * Jahresergebnis *
31.12.2016 31.12.2016 2016
% TEUR TEUR
emnos UK Ltd. Richmond, Großbritannien 100 -2.196 -246
emnos S.à.r.l. Paris, Frankreich 100 1.230 713
emnos Iberia S.L.
Madrid,
Spanien 100 1.319 447
emnos US Corp.
Chicago,
USA 100 4.338 -994
* Die Angaben stammen aus den nach lokalen Bilanzierungsvorschriften zum 31.12.2016 aufgestellten, ungeprüften
Jahresabschlüssen der Gesellschaften emnos Iberia S.L. und emnos US Corp. Die Angabe für emnos S.a.r.l. und emnos UK Ltd.
stammen aus den geprüften Jahresabschlüssen.";;2016;EMNOS GmbH;Jahresabschluss;
"Jesús Angel García Gonzalez
1 ** Ausweis gemäß der für das Geschäftsjahr 2016 geltenden Rechtslage unter Berücksichtigung der Vorschriften des Bilanzrichtlinie-
Umsetzungsgesetzes (BilRUG)
2 ** Ausweis gemäß der für das Geschäftsjahr 2015 geltenden Rechtslage
3 Ausweis gemäß der für das Geschäftsjahr 2016 geltenden Rechtslage unter Berücksichtigung der Vorschriften des Bilanzrichtlinie-
Umsetzungsgesetzes (BilRUG)
** Ausweis gemäß der für das Geschäftsjahr 2015 geltenden Rechtslage";;2016;EMNOS GmbH;Jahresabschluss;
"Entwicklung des Anlagevermögens
im Zeitraum vom 1. Januar bis 31. Dezember 2016
Anschaffungs- bzw. Herstellungskosten
01.01.2016 Zugänge Abgänge 31.12.2016
€ € € €
I. Immaterielle
Vermögensgegenstände
Entgeltlich erworbene Konzessionen,
gewerbliche Schutzrechte und ähnliche
Rechte und Werte sowie Lizenzen
an solchen Rechten und Werten 690.177,60 493.699,45 0,00 1.183.877,05
II. Sachanlagen
Betriebs- und Geschäftsausstattung 1.590.757,48 674.838,25 537.659,70 1.727.936,03
III. Finanzanlagen
Anteile an verbundenen Unternehmen 7.519.062,08 3.280.956,27 0,00 10.800.018,35
9.799.997,16 4.449.493,97 537.659,70 13.711.831,43
Abschreibungen
01.01.2016 Zugänge Abgänge 31.12.2016
€ € € €
I. Immaterielle
Vermögensgegenstände
Entgeltlich erworbene Konzessionen,
gewerbliche Schutzrechte und ähnliche
Rechte und Werte sowie Lizenzen
an solchen Rechten und Werten 542.777,80 126.440,43 0,00 669.218,23
II. Sachanlagen
Betriebs- und Geschäftsausstattung 1.264.993,48 180.159,81 537.659,77 907.493,52
III. Finanzanlagen
Anteile an verbundenen Unternehmen 7.430.068,65 0,00 0,00 7.430.068,65
9.237.839,93 306.600,24 537.659,77 9.006.780,40
Restbuchwerte
31.12.2016 31.12.2015
€ €
I. Immaterielle Vermögensgegenstände
Entgeltlich erworbene Konzessionen,
gewerbliche Schutzrechte und ähnliche
Rechte und Werte sowie Lizenzen
an solchen Rechten und Werten 514.658,82 147.399,80 Restbuchwerte
31.12.2016 31.12.2015
€ €
II. Sachanlagen
Betriebs- und Geschäftsausstattung 820.442,51 325.764,00
III. Finanzanlagen
Anteile an verbundenen Unternehmen 3.369.949,70 88.993,43
4.705.051,03 562.157,23"; 4.1 ;2016;EMNOS GmbH;Jahresabschluss;
Der Jahresabschluss zum 31.12.2016 wurde am 19.06.2017 festgestellt.;;2016;EMNOS GmbH;Jahresabschluss;
