,annotation_original,annotation_unique,annotation_unique_extra,blob
10,"4.27, 8","H3a, H7","H3a.27, H7","In den Forderungen gegen verbundene Unternehmen sind Forderungen aus Lieferungen und Leistungen gegen verbundene
Unternehmen in Höhe von EUR 187.511,45 (i. Vj. EUR 164.979,80) enthalten."
11,"4.29, 8","H3a, H7","H3a.29, H7","Die sonstigen Vermögensgegenstände enthalten Bonusforderungen, die erst nach dem Bilanzstichtag fällig werden."
12,"4.35, 4.64, 24","H3a, H3a, H30","H3a.35, H3a.64, H30","Latente Steuern werden für sich in den folgenden Geschäftsjahren voraussichtlich abbauende Unterschiede zwischen den
handelsrechtlichen und steuerlichen Wertansätzen von Vermögensgegenständen, Schulden und Rechnungsabgrenzungsposten
ermittelt und unverrechnet ausgewiesen."
13,"4.35, 4.64, 31","H3a, H3a, H46","H3a.35, H3a.64, H46","Die ausgewiesenen aktiven latenten Steuern übersteigen die passiven latenten Steuern um EUR 10.432,30. Gemäß § 285 Nr. 28 HGB
in Verbindung mit § 268 Abs. 8 HGB besteht eine Ausschüttungssperre in dieser Höhe."
14,4.38,H3a,H3a.38,"Das gezeichnete Kapital der Gesellschaft beträgt DEM 200.000,00 (EUR 102.258,38)."
15,"4.47, 34","H3a, H50","H3a.47, H50","Die Rückstellungen sind mit dem Erfüllungsbetrag angesetzt, der nach vernünftiger kaufmännischer Beurteilung notwendig ist.
Rückstellungen mit einer Restlaufzeit von mehr als einem Jahr sind mit dem ihrer Restlaufzeit entsprechenden durchschnittlichen
Marktzinssatz der vergangenen sieben Geschäftsjahre abgezinst worden. Rückstellungen für Altersversorgungsverpflichtungen oder
vergleichbare langfristig fällige Verpflichtungen werden pauschal mit dem durchschnittlichen Marktzinssatz abgezinst, der sich bei
einer angenommenen Restlaufzeit von 15 Jahren ergibt."
16,"4.50, 40","H3a, H56","H3a.50, H56","Die sonstigen Rückstellungen betreffen im Wesentlichen Rückstellungen für noch nicht abgegoltene Urlaubs- sowie Lohn- und
Gehaltsansprüche, ausstehende Kostenrechnungen, Gewährleistungsverpflichtungen und Tantieme."
17,"4.51, 42","H3a, H61","H3a.51, H61",Verbindlichkeiten sind mit dem Erfüllungsbetrag angesetzt. Sämtliche Verbindlichkeiten haben eine Restlaufzeit bis zu einem Jahr.
18,"4.58, 20","H3a, H19","H3a.58, H19","Die Verbindlichkeiten gegenüber verbundenen Unternehmen beinhalten Verbindlichkeiten gegenüber der Gesellschafterin Media-
Saturn Deutschland GmbH, Ingolstadt, in Höhe von EUR 374.343,19 (i. Vj. EUR 367.888,51)."
19,"4.58, 8","H3a, H7","H3a.58, H7","In den Verbindlichkeiten gegenüber verbundenen Unternehmen sind Verbindlichkeiten aus Lieferungen und Leistungen gegenüber
verbundenen Unternehmen in Höhe von EUR 600.819,34 (i. Vj. EUR 607.632,41) enthalten."
20,"4.63, 8","H3a, H7","H3a.63, H7","Der passive Rechnungsabgrenzungsposten beinhaltet im Wesentlichen die Abgrenzung verkaufter Garantie-Plus Versicherungen in
Höhe von EUR 336.263,91."
21,,None,None,III. Angaben zu einzelnen Posten der Gewinn- und Verlustrechnung
22,"4.66, 50","H3a, None","H3a.66, None","Die Umsatzerlöse enthalten Erlöse aus dem stationären Verkauf von Waren, Provisionserlöse aus der Erbringung von Dienstleistungen
sowie Umsätze aus dem Online-Handel, soweit die Abholung der Waren im Markt erfolgt."
23,"4.66, 57","H3a, H84","H3a.66, H84","Auf eine gesonderte Erläuterung der periodenfremden Erträge wird verzichtet, da die auszuweisenden Beträge für die Beurteilung der
Ertragslage von untergeordneter Bedeutung sind."
24,"4.80, 57","H3a, H84","H3a.80, H84","In den sonstigen betrieblichen Aufwendungen sind periodenfremde Aufwendungen in Höhe von TEUR 61 enthalten, im Wesentlichen
Aufwendungen für das Außenlager (TEUR 15), Aufwendungen aus Mieten (TEUR 14) und Aufwendungen aus Werbekosten (TEUR 12)."
25,4.85,H3a,H3a.85,"Der Zinsertrag enthält Erträge aus der Aufzinsung von Forderungen in Höhe von EUR 331,51 (i. Vj. EUR 1.590,76)."
26,4.88,H3a,H3a.88,"Der Zinsaufwand enthält Aufwendungen aus der Rückstellungsaufzinsung in Höhe von EUR 571,00 (i. Vj. EUR 600,00)."
27,,None,None,IV. Sonstige Angaben
28,67,H104,H104,"Die Gesellschaft betreibt ihr Geschäft in gemieteten Räumlichkeiten; zum Bilanzstichtag bestehen nicht bilanzierte sonstige
finanzielle Verpflichtungen aus Mietverträgen in Höhe von EUR 5.054.026,00."
29,67,H104,H104,"Zum 30. September 2016 bestehen sonstige finanzielle Verpflichtungen aus Leasingverträgen in Höhe von EUR 5.382,12."
30,64,FS57a,FS57a,"Im Jahresdurchschnitt beschäftigte die Gesellschaft 74 Mitarbeiter. Dabei handelt es sich um 58 Vollzeitbeschäftigte und 16
Teilzeitbeschäftigte."
31,72.75,E38d,E38d.75,"Die Angaben zum Gesamthonorar des Abschlussprüfers werden im Konzernabschluss der METRO AG, Düsseldorf, veröffentlicht."
32,,None,None,Geschäftsführung
33,83,E43,E43,"Bernhard Reimers, Geschäftsführer"
34,83,E43,E43,"Sabine Meißner, Geschäftsführerin"
35,30,H44,H44,"Wir schlagen vor, den Jahresüberschuss und die frei verfügbaren Rücklagen insoweit auszuschütten, als dass kein Aktivüberhang der
ausgewiesenen latenten Steuern dem entgegensteht."
36,70,E38a,E38a,"Die Gesellschaft wird in den Konzernabschluss der METRO AG, Düsseldorf, sowie in den Konzernabschluss der Media-Saturn-Holding
GmbH, Ingolstadt, einbezogen. Beide Abschlüsse werden im Bundesanzeiger bekannt gemacht."
37,,None,None,"München, den 23. Dezember 2016"
38,,None,None,Konzernanhang FÜR DAS GESCHÄFTSJAHR 2016
39,,None,None,RECHNUNGSLEGUNGSGRUNDSÄTZE
40,,None,None,Allgemeine Hinweise
41,84,H151,H151,"Der vorliegende Konzernabschluss der asknet AG mit Sitz in Karlsruhe (Amtsgericht Mannheim, HRB 108713) wurde gemäß §§ 290 ff. HGB aufgestellt."
42,5,H3a,H3a,Die für einzelne Posten geforderten Zusatzangaben haben wir in den Anhang übernommen.
43,9,H7,H7,Geschäftsjahr ist das Kalenderjahr.
44,9,H7,H7,Die Konzern-Gewinn- und Verlustrechnung ist nach dem Gesamtkostenverfahren aufgestellt.
45,,None,None,Konsolidierungskreis
46,69,FS61b,FS61b,"Der Konzernabschluss umfasst die asknet AG, Karlsruhe, als Muttergesellschaft sowie die im Rahmen der Vollkonsolidierung einbezogenen 100 % igen Tochtergesellschaften asknet Inc., San Francisco / USA,
asknet KK, Tokio /Japan sowie asknet Switzerland GmbH, Uster / Schweiz."
47,,None,None,Bilanzierungs- und Bewertungsgrundsätze
48,"2,9.4","H1b, H7","H1b, H7.4",Aufgrund der Umwidmung der im Vorratsvermögen ausgewiesenen Lizenzen der asknet AG wurden diese zum 31. Dezember 2016 ins Anlagevermögen umgegliedert (TEUR 519).
49,9,H7,H7,Darüber hinaus waren für die Aufstellung des Konzernabschlusses unverändert die nachfolgenden Bilanzierungs- und Bewertungsmethoden maßgebend.
50,9,H7,H7,Die Abschlüsse der in den Konzernabschluss der Muttergesellschaft einbezogenen Unternehmen wurden nach einheitlichen Bilanzierungs- und Bewertungsgrundsätzen erstellt.
51,9.2,H7,H7.2,"Erworbene immaterielle Vermögensgegenstände des Anlagevermögens sind zu Anschaffungskosten bilanziert und werden, sofern sie der Abnutzung unterliegen, entsprechend ihrer Nutzungsdauer um planmäßige
Abschreibungen vermindert."
52,9.7,H7,H7.7,Das Sachanlagevermögen ist zu Anschaffungs- bzw. Herstellungskosten angesetzt und wird um planmäßige Abschreibungen (lineare Methode) nach Maßgabe der voraussichtlichen Nutzungsdauer vermindert.
53,9.77,H7,H7.77,Seit dem 1. Januar 2010 werden geringwertige Wirtschaftsgüter im Jahr des Zugangs voll abgeschrieben.
54,9.78,H7,H7.78,Die Abschreibungen auf Zugänge des Sachanlagevermögens werden im Übrigen zeitanteilig vorgenommen.
55,9.21,H7,H7.21,"Alle erkennbaren Risiken im Vorratsvermögen, die sich aus geminderter Verwertbarkeit und niedrigeren Wiederbeschaffungskosten ergeben, sind durch angemessene Abwertungen berücksichtigt. Handelswaren
sind zu Anschaffungskosten oder niedrigeren Marktpreisen bilanziert."
56,9.21,H7,H7.21,Abgesehen von handelsüblichen Eigentumsvorbehalten sind die Vorräte frei von Rechten Dritter.
57,9.25,H7,H7.25,"Forderungen und sonstige Vermögensgegenstände sind zum Nennwert angesetzt. Allen risikobehafteten Posten ist durch die Bildung angemessener Einzelwertberichtigungen Rechnung getragen; das allgemeine
Kreditrisiko ist durch pauschale Abschläge berücksichtigt."
58,9.33,H7,H7.33,Die flüssigen Mittel sind zum Nennwert am Bilanzstichtag angesetzt.
59,"9.34,22","H7, H28","H7.34, H28","Als aktive Rechnungsabgrenzungsposten sind Auszahlungen vor dem Abschlussstichtag angesetzt, soweit sie Aufwand für einen bestimmten Zeitraum nach diesem Zeitpunkt darstellen."
60,"9.37,9.38","H7, H7","H7.37, H7.38",Das Grundkapital und die Kapitalrücklage werden zum Nennwert angesetzt.
61,9.50,H7,H7.50,"Die sonstigen Rückstellungen berücksichtigen alle ungewissen Verbindlichkeiten und drohenden Verluste aus schwebenden Geschäften. Sie sind in der Höhe des nach vernünftiger kaufmännischer Beurteilung
notwendigen Erfüllungsbetrags (d. h. einschließlich zukünftiger Kosten- und Preissteigerungen) angesetzt."
62,9.51,H7,H7.51,Die Verbindlichkeiten wurden mit den Erfüllungsbeträgen angesetzt.
63,9.63,H7,H7.63,"Als passive Rechnungsabgrenzungsposten sind Einzahlungen vor dem Abschlussstichtag angesetzt, soweit sie Ertrag für einen bestimmten Zeitraum nach diesem Zeitpunkt darstellen."
64,9,H7,H7,"Auf fremde Währung lautende Vermögensgegenstände und Verbindlichkeiten wurden grundsätzlich mit dem Devisenkassamittelkurs zum Abschlussstichtag umgerechnet. Bei einer Restlaufzeit von mehr als
einem Jahr wurde dabei das Realisationsprinzip (§ 298 Abs. 1 i.V.m. § 252 Abs. 1 Nr. 4 Halbsatz 2 HGB) und das Anschaffungskostenprinzip (§ 298 Abs. 1 i.V.m. § 253 Abs. 1 Satz 1 HGB) beachtet."
65,9,H7,H7,"Die Aktiv- und Passivposten der in ausländischer Währung aufgestellten Jahresabschlüsse wurden, mit Ausnahme des Eigenkapitals (gezeichnetes Kapital, Rücklagen, Ergebnisvortrag zu historischen Kursen)
zum jeweiligen Devisenkassamittelkurs am Abschlussstichtag in Euro umgerechnet."
66,9,H7,H7,"Die Posten der Gewinn- und Verlustrechnung sind zum Durchschnittskurs in Euro umgerechnet. Die sich ergebende Umrechnungsdifferenz ist innerhalb des Konzerneigenkapitals nach den Rücklagen unter dem
Posten ""Eigenkapitaldifferenz aus Währungsumrechnung"" ausgewiesen."
67,9,H7,H7,"Latente Steuern werden auf die Unterschiede in den Bilanzansätzen der Handelsbilanz und der Steuerbilanz angesetzt, sofern sich diese in späteren Geschäftsjahren voraussichtlich abbauen. Aktive und passive
latente Steuern werden saldiert ausgewiesen. Im Falle eines Aktivüberhangs der latenten Steuern zum Bilanzstichtag wird von dem Aktivierungswahlrecht des § 274 Abs. 1 Satz 2 HGB kein Gebrauch gemacht."
68,,None,None,Konsolidierungsgrundsätze
69,86,H153,H153,Die Kapitalkonsolidierung für Erstkonsolidierungen vor 2010 erfolgte nach der Buchwertmethode zum Zeitpunkt der erstmaligen Konsolidierung.
70,86,H153,H153,Die Kapitalkonsolidierung für Erstkonsolidierungen seit 2010 erfolgte nach der Neubewertungsmethode.
71,100,H164,H164,"Forderungen und Verbindlichkeiten, Umsätze, Aufwendungen und Erträge zwischen den Konzernunternehmen wurden eliminiert. Zwischenergebniseliminierungen waren nicht vorzunehmen."
72,24,H31,H31,Latente Steuern ergaben sich nicht.
73,,None,None,ERLÄUTERUNGEN ZUR KONZERNBILANZ
74,5.1,H3a,H3a.1,Anlagevermögen
75,5.1,H3a,H3a.1,Die Entwicklung der einzelnen Posten des Anlagevermögens ist unter Angabe der Abschreibungen des Geschäftsjahres im Anlagenspiegel dargestellt.
76,5.25,H3a,H3a.25,Forderungen und sonstige Vermögensgegenstände
77,5.25,H3a,H3a.25,"Die Forderungen und sonstigen Vermögensgegenstände haben wie im Vorjahr, bis auf die Solidarbürgschaft der Eidgenössischen Steuerverwaltung (CHF 23.000), eine Restlaufzeit bis zu einem Jahr."
78,5.33,H3a,H3a.33,Flüssige Mittel
79,5.33,H3a,H3a.33,Von den Guthaben bei Kreditinstituten sind TEUR 150 als Sicherheiten für Avalzusagen gebunden.
80,5.37,H3a,H3a.37,Eigenkapital
81,5.38,H3a,H3a.38,Gezeichnetes Kapital
82,"5.38,21","H3a, H26a","H3a.38, H26a","Das gezeichnete Kapital beträgt EUR 5.094.283,00 und entspricht dem bei der Muttergesellschaft ausgewiesenen Posten. Es ist in nennwertlose, auf den Namen lautende Stückaktien (Stammaktien) eingeteilt.
Jede Stückaktie gewährt eine Stimme. Das gezeichnete Kapital wurde in voller Höhe einbezahlt."
83,,None,None,Der Konzernbilanzverlust entwickelte sich wie folgt:
84,,None,None,"in T€
01.01.2016 -1.095,1
Konzernjahresfehlbetrag -2.495,5
31.12.2016 -3.590,6"
85,,None,None,Genehmigtes Kapital
86,21,H26a,H26a,"Der Vorstand war durch Beschluss der Hauptversammlung vom 29. Juli 2011 ermächtigt, mit Zustimmung des Aufsichtsrats bis zum 28. Juli 2016 das Grundkapital der Gesellschaft einmal oder mehrmals um bis
zu EUR 2.520.000,00 gegen Bar- und/oder Sacheinlage zu erhöhen. Das Bezugsrecht der Aktionäre kann ausgeschlossen werden. Dieses bis Juli 2016 befristete genehmigte Kapital wurde in gleicher Höhe durch
ein genehmigtes Kapital 2015 ersetzt. Das Bezugsrecht der Aktionäre kann ausgeschlossen werden. Der Vorstand ist ermächtigt, mit Zustimmung des Aufsichtsrats das Grundkapital bis zum 17. Juni 2020 einmalig
oder in Teilbeträgen mehrmals um bis zu insgesamt EUR 2.520.000,00 gegen Bar- und/oder Sacheinlagen durch Ausgabe neuer, auf den Namen lautender Stückaktien zu erhöhen (Genehmigtes Kapital 2015)."
87,,None,None,Bedingtes Kapital
88,60,FS60a,FS60a,"Mit Beschluss der außerordentlichen Hauptversammlung vom 23. August 2016 wird der Vorstand ermächtigt, mit Zustimmung des Aufsichtsrates bis zum 22. August 2021 einmalig oder mehrmals auf den
Inhaber oder auf den Namen lautende Optionsschuldverschreibungen, Wandelschuldverschreibungen, Genussrechte und/oder Gewinnschuldverschreibungen oder eine Kombination dieser Instrumente (zusammen
""Schuldverschreibungen"") im Gesamtnennbetrag von bis zu EUR 3.000.000,00 mit einer Laufzeit von längstens 10 Jahren zu begeben und den Inhabern oder Gläubigern von Optionsschuldverschreibungen
oder Optionsgenussscheinen oder Optionsgewinnschuldverschreibungen Optionsrechte oder -pflichten oder den Inhabern oder Gläubigern von Wandelschuldverschreibungen oder Wandelgenussscheinen oder
Wandelgewinnschuldverschreibungen Wandlungsrechte oder -pflichten auf bis zu 1.500.000 neue, auf den Namen lautende Stückaktien der asknet AG mit einem anteiligen Betrag des Grundkapitals von insgesamt
bis zu EUR 1.500.000,00 nach näherer Maßgabe der Bedingungen dieser Schuldverschreibungen zu gewähren oder aufzuerlegen. Die Schuldverschreibungen können außer in Euro auch - unter Begrenzung auf
den entsprechenden Euro-Gegenwert - in der gesetzlichen Währung eines OECD-Landes begeben werden. Sie können auch durch ein nachgeordnetes Konzernunternehmen der asknet AG ausgegeben werden;
für diesen Fall wird der Vorstand ermächtigt, mit Zustimmung des Aufsichtsrates für die asknet AG die Garantie für die Schuldverschreibungen zu übernehmen und den Inhabern oder Gläubigern Options- und
Wandlungsrechte oder -pflichten auf den Namen lautende Stückaktien der asknet AG zu gewähren oder aufzuerlegen."
89,5.50,H3a,H3a.50,Sonstige Rückstellungen
90,5.50,H3a,H3a.50,"Die sonstigen Rückstellungen wurden im Wesentlichen für Inkassoansprüche, Urlaubsansprüche und Sondervergütungen, Berufsgenossenschaftsbeiträge, Jahresabschlusskosten und Kosten der Steuerberatung
sowie ausstehende Lieferantenrechnungen gebildet."
91,5.51,H3a,H3a.51,Verbindlichkeiten
92,5.51,H3a,H3a.51,Sämtliche Verbindlichkeiten haben wie im Vorjahr Restlaufzeiten bis zu einem Jahr und sind nicht besichert.
93,,None,None,ERLÄUTERUNGEN ZUR GEWINN- UND VERLUSTRECHNUNG
94,2,H1b,H1b,Änderungen durch BilRUG bei Ausweis und Gliederung
95,"2,5.91","H1b, H3a","H1b, H3a.91","Darstellung und Gliederung der Gewinn- und Verlustrechnung wurden im Berichtsjahr an die durch das BilRUG geänderten Vorschriften des HGB angepasst. Infolge der geänderten Gliederungsvorschriften des
§ 275 HGB ist der im Vorjahr noch ausgewiesene Posten ""Ergebnis der gewöhnlichen Geschäftstätigkeit"" (TEUR 92) entfallen. Neu eingefügt wurde im Berichtsjahr der Posten ""Ergebnis nach Steuern""."
96,5.66,H3a,H3a.66,Umsatzerlöse in T€
97,"5.66,47","H3a, None","H3a.66, None","2016 2015
UMSATZERLÖSE NACH SPARTEN
Digital 44.909 42.865
Physical 3.857 4.080
Academics 19.958 26.378
68.724 73.323
UMSATZERLÖSE NACH REGIONEN
Inland 24.319 30.147
Europa (exkl. Deutschland) 15.333 16.556
USA 15.338 14.573
Asien 8.183 6.774
Übrige Länder 5.551 5.273
68.724 73.323"
98,5.69,H3a,H3a.69,Sonstige betriebliche Erträge
99,"3.69,5.69,53","H2, H3a, H88","H2.69, H3a.69, H88",Die sonstigen betrieblichen Erträge beinhalten Erträge aus der Währungsumrechnung i.H.v. TEUR 277 (Vj. TEUR 546).
100,5.80,H3a,H3a.80,Sonstige betriebliche Aufwendungen
101,"3.80,5.80,53","H2, H3a, H88","H2.80, H3a.80, H88",Die sonstigen betrieblichen Aufwendungen beinhalten Aufwendungen aus der Währungsumrechnung i.H.v. TEUR 462 (Vj TEUR 1.039).
102,5.90,H3a,H3a.90,Steuern vom Einkommen und vom Ertrag
103,"5.90,51,55","H3a, H84, H91","H3a.90, H84, H91",Die Steuern vom Einkommen und vom Ertrag betreffen ausschließlich Erstattungen für Vorjahre.
104,"5.88,5.92","H3a, H3a","H3a.88, H3a.92",Zinsaufwand und sonstige Steuern
105,"5.88,5.92","H3a, H3a","H3a.88, H3a.92","In den Posten Zinsaufwand und sonstige Steuern sind Aufwendungen von außergewöhnlicher Bedeutung in Form von möglichen Umsatzsteuernachzahlungen inkl. Zinsen an die norwegische Steuerbehörde
i.H.v. TEUR 829 enthalten."
106,,None,None,ERLÄUTERUNGEN ZUR KONZERNKAPITALFLUSSRECHNUNG
107,,None,None,Der Finanzmittelfonds setzt sich wie im Vorjahr aus dem Bilanzposten Kassenbestand und Guthaben bei Kreditinstituten zusammen. Von dem Finanzmittelfonds unterliegen unverändert TEUR 150 Verfügungsbeschränkungen.
108,,None,None,SONSTIGE ANGABEN
109,,None,None,SONSTIGE FINANZIELLE VERPFLICHTUNGEN
110,62,H105,H105,Es bestehen sonstige finanzielle Verpflichtungen aus Miet- und Leasingverträgen in Höhe von TEUR 286.
111,62,H105,H105,"in € MIETE LEASING TOTAL
Fällig innerhalb 1 Jahr 205.737,18 38.578,76 244.315,94
Fällig nach 1-5 Jahren 8.072,35 33.696,64 41.768,99
Fällig nach 5 Jahren 0,00 0,00 0,00
213.809,53 72.275,40 286.084,93"
112,62,H105,H105,"Die Mietverhältnisse für Immobilien betreffen den Hauptsitz der Gesellschaft in Deutschland, den Standort in der Schweiz sowie die Customer Service Standorte in Japan und den USA. Bei den Leasing-Verträgen
handelt es sich um sog. Operating-Leasing-Verträge, die zu keiner Bilanzierung der Objekte bei der Gesellschaft führen. Der Vorteil dieser Verträge liegt in der geringeren Kapitalbindung im Vergleich zum Erwerb
und im Wegfall des Verwertungsrisikos. Risiken können sich aus der Vertragslaufzeit ergeben, sofern die Objekte nicht mehr vollständig genutzt werden können, wozu es derzeit jedoch keine Anzeichen gibt."
113,62,H105,H105,"In einer am 9. Dezember 2016 geschlossenen Transaktionsvereinbarung hat sich die asknet AG zu einem Gesamtumsatz bezüglich bestimmter Lizenzen in Höhe von TEUR 1.555 für den Vertragszeitraum bis
zum 31. Dezember 2021 verpflichtet."
114,,None,None,MITARBEITER
115,57,FS58,FS58,"Die Zahl der durchschnittlich Beschäftigten im Konzern (ohne Vorstände, Auszubildende und Aushilfen) betrug im Geschäftsjahr 87 Angestellte im Inland (Vj. 88) und 8 Angestellte im Ausland (Vj. 6)."
116,,None,None,ORGANE DER AKTIENGESELLSCHAFT
117,,None,None,Vorstand
118,,None,None,Im Geschäftsjahr war zum Vorstand bestellt:
119,,None,None,"–Herr Tobias Kaulfuss, Dipl. Kaufmann, MBA, Essen."
120,78,E45,E45,Auf die Angabe über die Höhe der Gesamtbezüge des Vorstands nach § 285 Nr. 9a HGB wird gemäß § 286 Abs. 4 HGB verzichtet.
121,,None,None,Aufsichtsrat
122,,None,None,"Der Aufsichtsrat setzte sich im Geschäftsjahr wie folgt zusammen:
–Dr. Joachim Bernecker, Unternehmensberater, Straubenhardt: Vorsitzender
–Thomas Krüger, Eichenau, Geschäftsführer der Ad Astra Erste Beteiligungs GmbH, und der Ad Astra Venture Consult GmbH, beide München: stellvertretender Vorsitzender
–Marc Wurster, Rechtsanwalt/Steuerberater, Karlsruhe (bis 1. Juli 2016)
–Michael Neises, Rechtsanwalt und Partner bei der Sozietät Heuking Kühn Lüer Wojtek, Frankfurt (ab 1. Juli 2016)"
123,78,E45,E45,Die Bezüge des Aufsichtsrats beliefen sich für 2016 auf TEUR 45.
124,,None,None,Prüfungs- und Beratungsgebühren
125,66,E39,E39,Das von dem Abschlussprüfer für das Geschäftsjahr berechnete Gesamthonorar belief sich auf TEUR 30.
126,,None,None,EREIGNISSE NACH DEM BILANZSTICHTAG (NACHTRAGSBERICHT)
127,64,None,None,"Zum 1. März 2017 ordnete die Deutsche Börse Frankfurt die Qualitätssegmente des Open Markets neu. Der Entry Standard, in dem die asknet AG bislang notierte, wurde durch die Segmente Scale und Basic
Board ersetzt. Da das Segment Scale für Aktiengesellschaften mit einer höheren Marktkapitalisierung aufgesetzt wurde, als die asknet AG derzeit aufweist, notiert die Aktie der Gesellschaft seit dem 1. März
2017 im Basic Board."
128,64,None,None,"Darüber hinaus sind keine Vorgänge von besonderer Bedeutung nach dem Bilanzstichtag eingetreten, die einen wesentlichen Einfluss auf die Ertrags-, Finanz- und Vermögenslage des Konzerns hatten."
129,,None,None,"Karlsruhe, 13. März 2017"
130,,None,None,asknet AG
131,,None,None,Der Vorstand
132,,None,None,Tobias Kaulfuss
133,,None,None,ENTWICKLUNG DES KONZERNANLAGEVERMÖGENS 2016 in €
134,"15,16","H17a, H17c","H17a, H17c","Anschaffungs- und Herstellungskosten
01.01.2016 Zugänge Abgänge 31.12.16
I. Immaterielle Vermögensgegenstände
1. Entgeltlich erworbene Konzessionen,
gewerbliche Schutzrechte und
ähnliche Rechte und Werte sowie
Lizenzen an solchen Rechten und
Werten
1.733.702,94 519.204,17 0,00 2.252.907,11
II. Sachanlagen
2. andere Anlagen, Betriebs- und
Geschäftsausstattung
1.315.559,23 66.139,94 0,00 1.381.699,17
3.049.262,17 585.344,11 0,00 3.634.606,28
Kumulierte Abschreibungen
01.01.2016 Umrechnungsdifferenzen Zugänge Abgänge 31.12.16
I. Immaterielle Vermögensgegenstände
1. Entgeltlich erworbene
Konzessionen, gewerbliche
Schutzrechte und ähnliche
Rechte und Werte sowie Lizenzen
an solchen Rechten
und Werten
676.630,43 0,00 3.220,00 0,00 679.850,43
II. Sachanlagen
2. andere Anlagen, Betriebsund
Geschäftsausstattung
980.703,66 -73,01 143.308,98 0,00 1.124.012,64
1.657.334,09 -73,01 146.528,98 0,00 1.803.863,07
Buchwerte
31.12.2016 31.12.2015
I. Immaterielle Vermögensgegenstände
1. Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte
und ähnliche Rechte und Werte sowie Lizenzen an
solchen Rechten und Werten
1.573.056,68 1.057.072,51
II. Sachanlagen
2. andere Anlagen, Betriebs- und Geschäftsausstattung 257.686,53 334.855,57
1.830.743,21 1.391.928,08"
135,,None,None,(1) Allgemeine Angaben
136,,None,None,Anhang für das Geschäftsjahr 2016
137,113,H151,H151,"Die BP Europa SE (BP ESE) mit Sitz in Hamburg, eingetragen im Handelsregister beim Amtsgericht Hamburg unter HRB 113611, hat den Jahresabschluss nach den Vorschriften der §§ 242 bis 256a und der §§ 264 bis 288 des Handelsgesetzbuches (HGB) und den Sondervorschriften des Aktiengesetzes (AktG) i.V.m. Art. 61 EG-Verordnung 2157/2001 über das Statut der Europäischen Gesellschaft und des Gesetzes zur Einführung der europäischen Gesellschaft aufgestellt."
