Anhang; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
Die Wertansätze der Eröffnungsbilanz des Geschäftsjahres stimmen mit denen der Schlussbilanz des vorangegangenen Geschäftsjahres überein. Bei der Bewertung wurde von der Fortführung des Konzerns ausgegangen. Die Vermögensgegenstände und Schulden wurden einzeln bewertet.; 9.0 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
Es ist vorsichtig bewertet worden, namentlich sind alle vorhersehbaren Risiken und Verluste, die bis zum Abschlussstichtag entstanden sind, berücksichtigt worden, selbst wenn diese erst zwischen Abschlussstichtag und der Aufstellung des Konzernabschlusses bekannt geworden sind. Gewinne sind nur berücksichtigt worden, wenn sie bis zum Abschlussstichtag realisiert wurden. Aufwendungen und Erträge des Geschäftsjahres sind unabhängig vom Zeitpunkt der Zahlung berücksichtigt worden.; 9.0 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
Anlagevermögen; 9.1 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
Die immateriellen Vermögensgegenstände werden zu Anschaffungskosten, vermindert um lineare Abschreibungen, bewertet. Als Nutzungsdauer werden regelmäßig drei bis fünf Jahre angenommen.; 9.2 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
"Das Sachanlagevermögen wird zu Anschaffungs- bzw. Herstellungskosten, vermindert um planmäßige nutzungsbedingte Abschreibungen, angesetzt. Die Abschreibungen werden bei Gebäuden linear über eine Nutzungsdauer von maximal 40 Jahren, beim beweglichen Anlagevermögen linear vorgenommen; die Nutzungsdauer beträgt bei technischen Anlagen und Maschinen 4 bis 20 Jahre, bei anderen Anlagen, Betriebs- und Geschäftsausstattung 3 bis 10 Jahre."; 9.7 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
Finanzanlagen werden zu Anschaffungskosten bewertet. Unverzinsliche oder unterhalb der marktüblichen Verzinsung liegende Ausleihungen sind auf den Barwert abgezinst.; 9.12 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
Auf die Gegenstände des Anlagevermögens werden außerplanmäßige Abschreibungen vorgenommen, wenn voraussichtlich dauerhafte Wertminderungen vorliegen. Zuschreibungen aufgrund des Wertaufholungsgebots erfolgen bis zu den fortgeführten Anschaffungskosten, wenn die Gründe für eine dauerhafte Wertminderung nicht mehr bestehen.; 9.1 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
Umlaufvermögen; 9.19 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
Die Bewertung der Vorräte erfolgt grundsätzlich zu Anschaffungs- bzw. Herstellungskosten unter Beachtung des strengen Niederstwertprinzips. Von in den Konzernabschluss einbezogenen Tochterunternehmen bezogene Vorräte werden im Rahmen der Zwischengewinneliminierung zu Konzernherstellungskosten bewertet. In die Herstellungskosten werden neben den direkt zurechenbaren Kosten auch Fertigungs- und Materialgemeinkosten sowie Abschreibungen einbezogen.; 9.20 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
Im Vorratsvermögen wurden Bewertungsvereinfachungen in Form von Festwerten in Anspruch genommen.; 9.20 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
Forderungen und sonstige Vermögensgegenstände werden zum Nennbetrag beziehungsweise zu Anschaffungskosten oder niedrigeren Tageswerten angesetzt. Abschreibungen auf Forderungen werden entsprechend der Wahrscheinlichkeit des Ausfalls gebildet. Dem allgemeinen Kreditrisiko wird durch eine Pauschalwertberichtigung zu Forderungen ausreichend Rechnung getragen. Unverzinsliche oder unterhalb der marktüblichen Verzinsung liegende Forderungen mit Laufzeiten von über einem Jahr sind abgezinst.; 9.25 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
Flüssige Mittel sind mit dem Nominalwert angesetzt.; 9.33 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
Latente Steuern; 9.35, 9.64, 25 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
Für temporäre Differenzen zwischen den handelsrechtlichen Wertansätzen von Vermögensgegenständen, Schulden und Rechnungsabgrenzungsposten und ihren steuerlichen Wertansätzen auf Ebene der Einzelabschlüsse und aus der Anpassung an die konzerneinheitliche Bilanzierung und Bewertung (Handelsbilanzen II) und für steuerliche Verlustvorträge werden aktive bzw. passive latente Steuern gebildet. Das Wahlrecht, auf die Aktivierung eines verbleibenden aktiven Überhangs an latenten Steuern zu verzichten, wird nicht ausgeübt. Aktive und passive latente Steuern werden saldiert ausgewiesen.; 9.35, 9.64, 25 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
Die Bewertung der latenten Steuern erfolgt dabei mit den Steuersätzen, die im Geschäftsjahr der Umkehrung der zeitlichen Bewertungsunterschiede oder der Nutzung der Verlustvorträge gültig sein werden. Steuersatzänderungen werden berücksichtigt, sobald die maßgebliche gesetzgebende Körperschaft die Änderung verabschiedet hat.; 9.35, 9.64, 25 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
Pensionen und ähnliche Verpflichtungen; 9.48 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
Die Leistungsverpflichtungen aus Pensionszusagen wurden unter Zugrundelegung biometrischer Wahrscheinlichkeiten mit dem anhand des Anwartschaftsbarwertverfahrens (Projected-Unit-Credit-Methode) ermittelten Erfüllungsbetrag bewertet. Zukünftig erwartete Gehalts- und Rentensteigerungen werden bei der Ermittlung des Erfüllungsbetrags berücksichtigt. Für die Abzinsung wird von dem Wahlrecht nach § 253 Abs. 2 Satz 2 HGB Gebrauch gemacht und der jeweilige von der Deutschen Bundesbank für eine Restlaufzeit von 15 Jahren veröffentlichte Zinssatz verwendet. Die Abzinsung erfolgt mit dem durchschnittlichen Marktzinssatz der vergangenen zehn Geschäftsjahre, der von der deutschen Bundesbank ermittelt und bekannt gegeben wird.; 9.48, 35 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
Die Berechnung der Rückstellung für die Witwen-/Witwerrente erfolgte nach der sog. kollektiven Methode, bei der eine sich aus den verwendeten Rechnungsgrundlagen ergebende Verheiratungswahrscheinlichkeit zugrunde gelegt wurde.; 9.48, 35 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
Der Zuführungsbetrag zu den Rückstellungen für Pensionen und ähnliche Verpflichtungen aufgrund der geänderten Bewertungsvorschriften des BilMoG wird über einen Zeitraum von 15 Jahren verteilt und jährlich mit einem Fünfzehntel angesammelt (Artikel 67 Abs. 1 Satz 1 EGHGB). Die nicht in der Bilanz augewiesenen Rückstellungen für Pensionen und ähnliche Verpflichtungen belaufen sich zum Bilanzstichtag auf 6.030 TEUR (Vorjahr 6.700 TEUR).; 9.48, 39 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
Eine Deckung der Pensionen durch einen externen Pensionsfonds besteht nicht.; 9.48 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
Übrige Rückstellungen; 9.50 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
Die Steuerrückstellungen beinhalten die tatsächlichen Steuerverpflichtungen.; 9.49 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
Die sonstigen Rückstellungen berücksichtigen alle erkennbaren Risiken und ungewissen Verpflichtungen unter Berücksichtigung erwarteter künftiger Preis- und Kostensteigerungen. Wesentliche Rückstellungen mit einer Restlaufzeit von mehr als einem Jahr werden mit dem laufzeitadäquaten durchschnittlichen Marktzinssatz der vergangenen sieben Geschäftsjahre, der von der Deutschen Bundesbank ermittelt und bekannt gegeben wird, abgezinst.; 9.50 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
Verbindlichkeiten; 9.51 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
Verbindlichkeiten werden mit ihrem Erfüllungsbetrag am Bilanzstichtag angesetzt.; 9.51 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
Währungsumrechnung; 9.0 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
"Auf fremde Währung lautende Finanzanlagen, Forderungen, Wertpapiere, flüssige Mittel, Rückstellungen und Verbindlichkeiten sowie Haftungsverhältnisse werden grundsätzlich zum Devisenkassamittelkurs am Bilanzstichtag bewertet. Zum Bilanzstichtag ergaben sich nur geringfügige Aufwendungen/Erträge aus Währungsumrechnung.
"; 9.0, 54 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
"Derivative Finanzinstrumente
"; 47 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
Derivative Finanzinstrumente werden ausschließlich zu Sicherungszwecken eingesetzt. Die Bilanzierung von derivativen Finanzinstrumenten erfolgt imparitätisch, d.h. für negative Marktwerte werden Rückstellungen gebildet, positive Marktwerte werden nicht angesetzt.; 47 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
Erläuterungen der Konzernbilanz;;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
1 Konzern-Anlagenspiegel; 5.1, 15 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
"Anschaffungs- und Herstellungskosten
Stand 1.8.2015
TEUR Währungs-
differenzen
TEUR Veränderung Konsoli-
dierungs-
kreis
TEUR Zugänge
TEUR Umbu-
chungen
TEUR Abgänge
TEUR Stand 31.7.2016
TEUR
Immaterielle Vermögensgegenstände              
- entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten 32.775 -53 4.284 3.065 816 -740 40.147
- Geschäfts- oder Firmenwert 8.385 1 0 1.200 0 0 9.586
- davon aus der Kapitalkonsolidierung 8.219 0 0 0 0 0 8.219
- geleistete Anzahlungen 855 0 0 226 -815 -40 226
  42.015 -52 4.284 4.491 1 -780 49.959
Sachanlagen              
- Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken 90.922 -879 50.516 6.101 0 -2.873 143.787
- technische Anlagen und Maschinen 72.881 -1.066 94.174 2.939 1.173 -1.849 168.252
- andere Anlagen, Betriebs- und Geschäfts- Ausstattung 65.290 -227 7.386 10.369 -72 -10.709 72.037
- geleistete Anzahlungen und Anlagen im Bau 1.291 3 24 5.341 -1.102 -199 5.358
  230.384 -2.169 152.100 24.750 -1 -15.630 389.434
Finanzanlagen              
- Anteile an assoziierten Unternehmen 1.368 0 0 267 0 -225 1.410
- Beteiligungen 4.108 0 0 54 0 -3 4.159
- Ausleihungen an Unternehmen, mit denen ein Beteiligungsverhältnis besteht 17 0 0 0 0 0 17
- sonstige Ausleihungen 50.650 59 -6.000 7.512 0 -5.473 46.748
  56.143 59 -6.000 7.833 0 -5.701 52.334
  328.542 -2.162 150.384 37.074 0 -22.111 491.727"; 5.1, 15 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
