Anhang für das Geschäftsjahr 2016; Annotierung (Angabe Nummer in Anhangscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
"Die Sachanlagen werden zu Anschaffungs- oder Herstellungskosten abzüglich erhaltener Investitionszuschüsse und planmäßiger linearer Abschreibungen angesetzt. Bei voraussichtlich dauernder Wertminderung
werden die Vermögensgegenstände außerplanmäßig abgeschrieben, um diese mit dem niedrigeren Wert anzusetzen, der ihnen am Abschlussstichtag beizulegen ist. Die Herstellungskosten enthalten die aktivierungspflichtigen
Bestandteile gemäß § 255 Abs. 2 HGB. Bei den aktivierten Bestandteilen ist keine Änderung gegenüber dem Vorjahr vorgenommen worden. Der Zeitraum der Abschreibungen entspricht der
betriebsgewöhnlichen Nutzungsdauer der Vermögensgegenstände. Die Nutzungsdauern der wesentlichen Gruppen sind folgender Tabelle zu entnehmen:"; 8.7 ;2016;Rehau AG+Co;Jahresabschluss;PwC
"Jahre
Betriebsgebäude und Grundstückseinrichtungen 15 - 33
Technische Anlagen und Maschinen 3 - 15
Andere Anlagen sowie Betriebs- und Geschäftsausstattungen 3 - 15"; 8.8, 8.9, 8.10 ;2016;Rehau AG+Co;Jahresabschluss;PwC
"Zugänge mit einem Anschaffungswert bis zu 150 EUR werden als laufender Aufwand erfasst und Zugänge mit einem Wert größer 150 EUR und höchstens 410 EUR als geringwertige Anlagegüter sofort
abgeschrieben. Vermögensgegenstände mit höheren Anschaffungswerten werden einzeln inventarisiert."; 8.10 ;2016;Rehau AG+Co;Jahresabschluss;PwC
"Finanzanlagen werden zu Anschaffungskosten angesetzt. Vom Wahlrecht des § 253 Abs. 3 Satz 4 HGB, wonach bei Finanzanlagen eine außerplanmäßige Abschreibung auch bei voraussichtlich nicht dauernder
Wertminderung vorgenommen werden kann, wird Gebrauch gemacht."; 8.12 ;2016;Rehau AG+Co;Jahresabschluss;PwC
Im Übrigen verweisen wir auf den diesem Anhang als Anlage beigefügte Entwicklung des Anlagevermögens.;;2016;Rehau AG+Co;Jahresabschluss;PwC
"Die Bewertung der Vorräte erfolgt zu Anschaffungs- oder Herstellungskosten oder dem niedrigeren beizulegenden Wert. Die Anschaffungskosten werden nach der gleitenden Durchschnittsmethode abgebildet.
Magazinwaren sowie Küchen- und Kantinenbestände sind mit einem Festwert gemäß §§ 256 Satz 2, 240 Abs. 3 HGB angesetzt. Soweit Bestandsrisiken vorliegen, die sich aus der Lagerdauer ergeben, sind
Abwertungen im ausreichenden Umfang berücksichtigt. In allen Fällen, in denen die voraussichtlichen Verkaufspreise abzüglich der bis zum Verkauf anfallenden Kosten zu einem niedrigeren beizulegenden
Wert führen, werden entsprechende Abwertungen vorgenommen."; 8.20 ;2016;Rehau AG+Co;Jahresabschluss;PwC
"Im Rohstoffbestand werden Rücklaufmaterialien nur so lange ausgewiesen, bis sie die für den neuerlichen Einsatz notwendigen Aufbereitungsstufen durchlaufen haben. Danach erfolgt der Ausweis innerhalb
der unfertigen Erzeugnisse."; 8.21, 8.22 ;2016;Rehau AG+Co;Jahresabschluss;PwC
"Die fertigen und unfertigen Leistungen und Erzeugnisse sind zu Herstellungskosten bewertet. Die Herstellungskosten enthalten die aktivierungspflichtigen Bestandteile gemäß § 255 Abs. 2 HGB. Bei den
aktivierten Bestandteilen ist keine Änderung gegenüber dem Vorjahr vorgenommen worden."; 8.22, 8.23 ;2016;Rehau AG+Co;Jahresabschluss;PwC
"Die unfertigen Leistungen und Erzeugnisse beinhalten auch die Aufwendungen für kundenbeauftragte Artikelentwicklungen und den Bau formgebender Werkzeuge. Die aktivierungspflichtigen Bestandteile
werden während der Phase der Artikelentwicklung bzw. während der Phase des Baus der Werkzeuge in diesem Bilanzposten erfasst und mit Beginn der Serienbelieferungsdauer zeitanteilig aufwandswirksam
verrechnet. Analog wird mit den korrespondierenden Kundendirektbezahlungen verfahren, die in den erhaltenen Anzahlungen abgebildet werden. Jene werden über die Serienbelieferungsdauer umsatzwirksam
aufgelöst. Die aufwands- bzw. umsatzwirksame Vereinnahmung erfolgt linear über die projektspezifische Serienbelieferungsdauer."; 8.22 ;2016;Rehau AG+Co;Jahresabschluss;PwC
"Forderungen und sonstige Vermögensgegenstände werden mit dem Nennwert bzw. mit dem niedrigeren beizulegenden Wert am Bilanzstichtag angesetzt, sofern für erkennbare Einzelrisiken Wertberichtigungen
erforderlich waren. Dem allgemeinen Kreditrisiko wird durch eine Pauschalwertberichtigung auf die nicht einzelwertberichtigten Nettoforderungen ausreichend Rechnung getragen."; 8.25 ;2016;Rehau AG+Co;Jahresabschluss;PwC
"Auf fremde Währung lautende Vermögensgegenstände werden am Tag des Geschäftsvorfalls und am Abschlussstichtag mit dem Devisenkassamittelkurs unter Beachtung des Realisations- und Imparitätsprinzips
bewertet. Eine Ausnahme stellen Posten mit einer Restlaufzeit bis zu einem Jahr dar, die ohne Beachtung des Realisations- sowie des Anschaffungskostenprinzips umgerechnet werden."; 8.29 ;2016;Rehau AG+Co;Jahresabschluss;PwC
Kassenbestände und Bankguthaben sind zum Nennwert angesetzt.; 8.33 ;2016;Rehau AG+Co;Jahresabschluss;PwC
Innerhalb des aktiven Rechnungsabgrenzungspostens werden Ausgaben erfasst, die im abzuschließenden Geschäftsjahr im Voraus bezahlt wurden und in den folgenden Geschäftsjahren zu Aufwendungen führen.; 8.34,  ;2016;Rehau AG+Co;Jahresabschluss;PwC
"Latente Steuern. Das Ansatzwahlrecht für aktive latente Steuern wird wahrgenommen. Aktive und passive latente Steuern werden unsaldiert ausgewiesen. Bei der Ermittlung der latenten Steuern wurde zum 31.
Dezember 2016 ein Steuersatz von 12,25% zugrundegelegt. Im Übrigen verweisen wir auf den diesem Anhang als Anlage beigefügten Steuerlatenzspiegel."; 8.35, 27, 28 ;2016;Rehau AG+Co;Jahresabschluss;PwC
Das gezeichnete Kapital ist zum Nennwert angesetzt.; 8.36 ;2016;Rehau AG+Co;Jahresabschluss;PwC
Die Rückstellungen werden in Höhe des nach vernünftiger kaufmännischer Beurteilung notwendigen Erfüllungsbetrages angesetzt.; 8.47 ;2016;Rehau AG+Co;Jahresabschluss;PwC
"Rückstellungen mit einer Restlaufzeit von mehr als einem Jahr werden mit dem ihrer Restlaufzeit entsprechenden durchschnittlichen Marktzinssatz abgezinst. Angemessene Preis- und Kostensteigerungen wurden
berücksichtigt."; 8.47 ;2016;Rehau AG+Co;Jahresabschluss;PwC
Rückstellungen für Pensionen und vergleichbare langfristig fällige Verpflichtungen werden nach versicherungsmathematischen Grundsätzen bewertet.; 8.48, 41 ;2016;Rehau AG+Co;Jahresabschluss;PwC
"Bei Versorgungszusagen, die auf Entgeltumwandlungen der Mitarbeiter beruhen und bei Leistungszusagen findet das Anwartschaftsbarwertverfahren Anwendung. Der Berechnung werden eine Restlaufzeit
von 15 Jahren, ein Rechnungszins von 4,01% p.a. sowie die „Richttafeln 2005 G“ nach Prof. Klaus Heubeck zugrunde gelegt."; 8.50, 41 ;2016;Rehau AG+Co;Jahresabschluss;PwC
Bei Versorgungszusagen wird ein Rententrend von 1% p.a. berücksichtigt, bei den Leistungszusagen jährliche Lohn- und Gehaltssteigerungen von 2,8 % sowie jährliche Rentensteigerungen von 1,75 %.; 8.48, 41 ;2016;Rehau AG+Co;Jahresabschluss;PwC
"Gemäß Art. 75 Abs. 6 EGHGB ist die Regelung des § 253 Abs. 6 HGB erstmalig im Jahresabschluss zum 31.12.2016 anzuwenden. Daraus ergeben sich unter Verwendung des durchschnittlichen Marktzinssatzes
aus den vergangenen 10 Geschäftsjahren zum 31.12.2016 Rückstellungen für Pensionen in Höhe von TEUR 77.785. Diese liegen um TEUR 6.708 unter dem Bewertungsansatz dieser Rückstellungen, der sich
zum 31.12.2016 bei Anwendung des 7-Jahres-Durchschnittszinssatzes ergeben hätte. Der Unterschiedsbetrag aus der Änderung des Abzinsungssatzes wurde im operativen Ergebnis erfasst."; 8.48, 42 ;2016;Rehau AG+Co;Jahresabschluss;PwC
"BeiRückstellungen für Verpflichtungen aus Altersteilzeit (Blockmodell) findet das Anwartschaftsbarwertverfahren Anwendung. Der Berechnung werden eine Restlaufzeit von 15 Jahren, ein Rechnungszins
von 3,24% p.a. sowie die „Richttafeln 2005 G“ nach Prof. Klaus Heubeck zugrunde gelegt. Berücksichtigung finden jährliche Lohn- und Gehaltssteigerungen von 2,8 %."; 8.48 ;2016;Rehau AG+Co;Jahresabschluss;PwC
"Die Bewertung der Rückstellungen für Jubiläen und Sterbegeld wird unter Zugrundelegung einer Restlaufzeit von 15 Jahren mit einem Rechnungszins von 3,24% p.a. entsprechend der Rückstellungsabzinsungsverordnung
vorgenommen. Die Rückstellung wird auf Basis des Anwartschaftsbarwertverfahrens sowie unter Berücksichtigung eines jährlichen Gehaltstrends von 2,8 %, einem Inflationstrend von 1,75
% p.a. und einer Standardfluktuationsrate ermittelt."; 8.50 ;2016;Rehau AG+Co;Jahresabschluss;PwC
"Für Mitarbeiter im Lohnverhältnis sowie für Mitarbeiter mit einer Arbeitszeitregelung in der Produktion oder in produktionsnahen Bereichen wird ein Wertkontenmodell angeboten, das es ermöglicht durch
Lohnumwandlung oder durch Übertragung von Plusstunden aus dem Arbeitszeitkonto ein Zeitwertkonto aufzubauen. Das angesparte Wertguthaben kann vom Mitarbeiter für eine bezahlte Freistellung vor Beginn
der Altersrente verwendet werden. Zur Sicherung des Wertguthabens ist eine doppelseitige Treuhandschaft (Verwaltungs- und Sicherheitstreuhand) abgeschlossen, welche die Kriterien für Deckungsvermögen
i.S.d. § 246 Abs. 2 Satz 2 HGB erfüllt und somit mit der Verpflichtung aus dem Wertkontenmodell zu verrechnen ist. Das Deckungsvermögen ist gemäß § 253 Abs. 1 Satz 4 HGB mit dem beizulegenden
Zeitwert zu bewerten. Der beizulegende Zeitwert bemisst sich nach dem Aktivwert der Rückdeckungsversicherung. Die Höhe der Verpflichtung aus dem Wertkontenmodell richtet sich ebenfalls nach dem
beizulegenden Zeitwert der Direktversicherung. Der beizulegende Zeitwert der saldierten Rückdeckungsversicherungsansprüche entspricht den fortgeführten Anschaffungskosten (Deckungskapital zuzüglich
Überschussbeteiligung) gemäß versicherungsmathematischer Gutachten bzw. den Mitteilungen der Versicherer."; 8.50, 44 ;2016;Rehau AG+Co;Jahresabschluss;PwC
"Ein hinsichtlich der Sicherung des Wertguthabens und der Bewertung des Deckungsvermögens vergleichbares Wertkontenmodell basierend auf Gehaltsumwandlungen steht auch für Mitarbeiter im Gehaltsbereich
offen."; 8.50, 44 ;2016;Rehau AG+Co;Jahresabschluss;PwC
"Das Deckungsvermögen und die Höhe der Verpflichtung aus den beiden Wertkontenmodellen belaufen sich zum 31. Dezember 2016 auf 6.789.514,74 EUR, die Anschaffungskosten des Deckungsvermögens
betragen 6.491.111,35 EUR."; 8.50, 44 ;2016;Rehau AG+Co;Jahresabschluss;PwC
Die sonstigen Rückstellungen berücksichtigen alle erkennbaren Risiken und ungewissen Verpflichtungen.; 8.50 ;2016;Rehau AG+Co;Jahresabschluss;PwC
"Für schwebenden Absatzgeschäfte, bei denen sich ein Verpflichtungsüberschuss aus den aktivierten Anschaffungs- und Herstellungskosten zuzüglich der voraussichtlich noch anfallenden Aufwendungen über
den Wert des Anspruchs auf die Gegenleistung ergibt, wird eine Rückstellung für drohende Verluste gebildet. Dabei werden die noch anfallenden Aufwendungen zu Vollkosten bewertet, wobei allgemeine Verwaltungs- und Vertriebskosten, wie etwa die Kosten des Engineering oder der Vertriebsbüros unberücksichtigt bleiben müssen. Aus der Vergangenheit belegte und damit hinreichend konkretisierte Produktivitätssteigerungen
zur Kompensation von vertraglich geschuldeten Savings werden bei den zukünftig noch anfallenden aktivierten Anschaffungs- und Herstellungskosten in Abzug gebracht."; 8.50, 31 ;2016;Rehau AG+Co;Jahresabschluss;PwC
"Unter den erhaltenen Anzahlungen sind neben Schulden auf Lieferungen gegenüber Kunden auch Kundendirektbezahlungen der Automotive-OEMs für beauftragte Artikelentwicklungen und den Bau formgebender
Werkzeuge ausgewiesen. Über den Zeitraum der Serienbelieferung werden die Zahlungen linear und spiegelbildlich zur Behandlung der aktivierten Herstellungskosten für diese Werkzeug- und Entwicklungskosten
ertragswirksam verrechnet."; 8.55, 8.56 ;2016;Rehau AG+Co;Jahresabschluss;PwC
Die Verbindlichkeiten sind zu ihrem Erfüllungsbetrag angesetzt.; 8.51 ;2016;Rehau AG+Co;Jahresabschluss;PwC
"Auf fremde Währung lautende Verbindlichkeiten werden am Tag des Geschäftsvorfalls und am Abschlussstichtag mit dem Devisenkassamittelkurs unter Beachtung des Realisations- und Imparitätsprinzips
bewertet. Eine Ausnahme bilden die Posten mit einer Restlaufzeit bis zu einem Jahr, die ohne Beachtung des Realisations- sowie des Anschaffungskostenprinzips umgerechnet werden."; 8.51 ;2016;Rehau AG+Co;Jahresabschluss;PwC
III. Erläuterungen zur Bilanz und zur Gewinn- und Verlustrechnung;;2016;Rehau AG+Co;Jahresabschluss;PwC
A. Erläuterungen zur Bilanz;;2016;Rehau AG+Co;Jahresabschluss;PwC
Entwicklung der Posten des Anlagevermögens. Die Entwicklung des Anlagevermögens ist dem Anhang als Anlage beigefügt.; 4.1 ;2016;Rehau AG+Co;Jahresabschluss;PwC
"Forderungen und sonstige Vermögensgegenstände. Die Forderungen aus Lieferungen und Leistungen in Höhe von TEUR 210.960 sind bis auf Posten in Höhe von TEUR 146 innerhalb eines Jahres fällig.
Die sonstigen Vermögensgegenstände in Höhe von TEUR 35.800 sind innerhalb eines Jahres fällig."; 4.25 ;2016;Rehau AG+Co;Jahresabschluss;PwC
Die Forderungen gegen Gesellschafter beinhalten ausschließlich Forderungen aus Lieferungen und Leistungen.; 4.26 ;2016;Rehau AG+Co;Jahresabschluss;PwC
"Kapitalkonten. Die variablen Kapitalkonten sind gem. § 264c Abs. 1 HGB in einer eigenen Position als Verbindlichkeiten gegenüber Gesellschaftern ausgewiesen. Die im Eigenkapital ausgewiesenen Einlagen
sind zum Nennwert angesetzt."; 4.38 ;2016;Rehau AG+Co;Jahresabschluss;PwC
"Rückstellungen. In den sonstigen Rückstellungen sind überwiegend Gewährleistungsleistungsverpflichtungen und drohende Verluste aus schwebenden Geschäften berücksichtigt. Darüber hinaus enthalten sie
erkennbare Risiken und ungewisse Verpflichtungen aus Beschäftigungsverhältnissen, wie beispielsweise Altersteilzeitverpflichtungen, Verpflichtungen aus Jubiläumszuwendungen und Sterbegeldern und Abfindungsvergütungen
/ Restrukturierungskosten sowie aus nachträglichen Erlösminderungen, Prozessrisiken und Patentverletzungen, gesetzlichen Auflagen, ausstehende Lieferantenrechnungen, Rücknahmeverpflichtungen,
Lizenzen, Umweltschutzmaßnahmen sowie Vorsorge wegen unterlassener Instandhaltungen, die in den ersten drei Monaten des folgenden Geschäftsjahres nachgeholt werden."; 4.50, 47 ;2016;Rehau AG+Co;Jahresabschluss;PwC
Die Verbindlichkeiten beinhalten Posten aus Finanzierungsleasing mit einer Restlaufzeit von mehr als 5 Jahren in Höhe von TEUR 2.515.; 4.51, 49 ;2016;Rehau AG+Co;Jahresabschluss;PwC
"Die Verbindlichkeiten gegenüber Gesellschaftern beinhalten die Kapitalkonten der Kommanditisten, denen aufgrund der gesellschaftsvertraglichen Regelungen der entnahmefähige Gewinn gutgeschrieben
wird. Unter diesem Posten ist auch das von der Komplementärin unterhaltene, verzinste Kapitalkonto ausgewiesen, über das die Haftungsvergütung, ein Aufwandsersatz und Entnahmen abgebildet werden. Das
Kapitalkonto der Komplementärin wird in der Währung CHF geführt und zum Abschlussstichtag mit dem Devisenkassamittelkurs bewertet."; 4.59 ;2016;Rehau AG+Co;Jahresabschluss;PwC
"Die Kommanditistin Fränkische Plastiks GmbH stellt der Gesellschaft über ihr Kapitalkonto finanzielle Mittel zur Verfügung. Zur Finanzierung des operativen Geschäfts hat die Gesellschaft darüber hinaus von
der Gruppenholding ein langfristiges Darlehen in Höhe von 340 Mio. EUR und ein kurzfristiges Darlehen in Höhe von 50 Mio. EUR zu marktüblichen Konditionen aufgenommen. Um einen besseren Einblick
in die Finanzlage zu gewährleisten, werden die Darlehensverbindlichkeiten gegenüber der Gruppenholding zusammen mit weiteren Darlehensverbindlichkeiten gegenüber Gruppenunternehmen des obersten
Mutterunternehmens gesondert als Davon-Vermerk bei den sonstigen Verbindlichkeiten angegeben. Das langfristige Darlehen der Gruppenholding ist im Geschäftsjahr um 80 Mio. EUR aufgestockt worden."; 4.59, 6 ;2016;Rehau AG+Co;Jahresabschluss;PwC
"In Analogie zum Davon-Vermerk gegenüber Gruppenunternehmen des obersten Mutterunternehmens bei den sonstigen Verbindlichkeiten werden auch bei den Bilanzpositionen Forderungen aus Lieferungen
und Leistungen sowie Verbindlichkeiten aus Lieferungen und Leistungen entsprechende Zusatzinformationen angegeben.";;2016;Rehau AG+Co;Jahresabschluss;PwC
"Zur Optimierung der verfügbaren Liquidität und im Sinne Rückführung der Banklinien besteht ein in Euro geführtes Cash-Pooling mit marktüblicher Verzinsung. Der passivische Saldo des Vorjahres ist unter
den sonstigen Verbindlichkeiten ausgewiesen worden. Der aktivische Saldo zum Geschäftsjahresende in Höhe von TEUR 12.111 ist Teilmenge der sonstigen Vermögensgegenstände."; 4.60, 4.29 ;2016;Rehau AG+Co;Jahresabschluss;PwC
"Sonstige finanzielle Verpflichtungen. Sonstige finanzielle Verpflichtungen im Sinne des § 285 Nr. 3a HGB bestehen in folgender Höhe und spiegeln Verpflichtungen aus Miet-, Leasing und anderen Drittschuldverhältnissen
sowie Schuldverhältnissen innerhalb der REHAU-Gruppe mit einer Laufzeit bis zu fünf Jahren wider:"; 83 ;2016;Rehau AG+Co;Jahresabschluss;PwC
"Jahr TEUR
2017 16.244
2018 15.677
2019 15.306
2020 15.058
2021 14.885
2022 14.858
75.785"; 83 ;2016;Rehau AG+Co;Jahresabschluss;PwC
B. Erläuterungen zur Gewinn- und Verlustrechnung;;2016;Rehau AG+Co;Jahresabschluss;PwC
Gliederung der Umsatzerlöse.;;2016;Rehau AG+Co;Jahresabschluss;PwC
Die Umsatzerlöse gliedern sich nach Tätigkeitsbereichen wie folgt:; 4.66, 58 ;2016;Rehau AG+Co;Jahresabschluss;PwC
"Tätigkeitsbereich Division TEUR %
Automobilindustrie Automotive 961.877 51
Fenster-/Fassadentechnik Window Solutions 192.397 10
Möbelindustrie Furniture Solutions 233.076 12
Gebäudetechnik und Infrastruktur Building and 333.588 18
Infrastructure Solutions
Technische Programme/Industrielle Lösungen Industrial Solutions 168.935 9
1.889.873 100"; 4.66 ;2016;Rehau AG+Co;Jahresabschluss;PwC
Nach geographisch bestimmten Märkten teilen sich die Umsätze wie folgt auf:; 4.66, 58 ;2016;Rehau AG+Co;Jahresabschluss;PwC
"TEUR TEUR
Inland 1.203.226
Ausland 686.647
davon
Europa 598.745"; 4.66 ;2016;Rehau AG+Co;Jahresabschluss;PwC
"TEUR TEUR
Nordamerika 17.673
Australien 18.080
Südamerika 9.445
Asien 25.158
Afrika 17.546
1.889.873"; 4.66 ;2016;Rehau AG+Co;Jahresabschluss;PwC
"Die Umsatzerlöse sind in der in der Gewinn- und Verlustrechnung für die Geschäftsjahre 2016 und 2015 jeweils unter Beachtung der Vorgaben des § 277 Abs. 1 HGB i.d.F. des BilRUG dargestellt. Erlöse aus
Vermietung und Verpachtung (TEUR 693 in 2015 / TEUR 846 in 2016) sowie aus Küche, Kantine, Basar und Verkaufsautomaten (TEUR 1.173 in 2015 / TEUR 1.164 in 2016) sind gegenüber der Darstellung
im Vorjahr aus dem Posten sonstige betriebliche Erträge in die Umsatzerlöse umgegliedert worden."; 4.66, 2, 59 ;2016;Rehau AG+Co;Jahresabschluss;PwC
"Darstellung gem. Darstellung gem.
§ 277 Abs. 1 HGB § 277 Abs. 1 HGB
i.d.F.des BilRUG a.F.
2016.
Mio. EUR %
2015.
Mio. EUR %
2015.
Mio. EUR %
Umsatzerlöse 1.890 98,2 1.801 99,0 1.799 99,0
Gesamtleistung 1.924 100,0 1.819 100,0 1.817 100,0
Rohertrag 860 44,7 813 44,7 811 44,6
Sonstige betriebliche Erträge
33 1,7 21 1,2 23 1,3
Rohergebnis 893 46,4 834 45,8 834 45,9"; 4.66 ;2016;Rehau AG+Co;Jahresabschluss;PwC
"Infolge der Neudefinition der Umsatzerlöse hat sich auch die Zusammenstellung der Positionen Forderungen aus Lieferungen und Leistungen sowie sonstige Vermögensgegenstände geändert. Entsprechend der
Umgliederung der Küchen- und Kantinenerlöse werden die korrespondierenden Forderungen gegenüber Mitarbeitern (TEUR 29 in 2015 / TEUR 34 in 2016) unter der Position Forderungen aus Lieferungen und
Leistungen erfasst. Die Vorjahreszahlen wurden entsprechend angepasst."; 4.66, 3, 59 ;2016;Rehau AG+Co;Jahresabschluss;PwC
"Zusammensetzung sonstiger betrieblicher Erträge und sonstiger betrieblicher Aufwendungen. Die sonstigen betrieblichen Erträge und die sonstigen betrieblichen Aufwendungen setzen sich im Geschäftsjahr
2016 wie folgt zusammen:";;2016;Rehau AG+Co;Jahresabschluss;PwC
"2016.
EUR
2015.
EUR
Sonstige betriebliche Erträge
betriebliche Nebenerträge 3.714.895,43 3.665.732,07
andere betriebliche Erträge"; 4.69 ;2016;Rehau AG+Co;Jahresabschluss;PwC
"2016.
EUR
2015.
EUR
Erträge aus der Auflösung von sonstigen Rückstellungen 22.056.122,45 10.168.331,40
Gewinne aus der Veräußerung von Gegenständen des Anlagevermögens 1.633.343,03 1.944.692,53
Erträge aus der Auflösung von Wertberichtigungen zu
Forderungen aus Lieferungen und Leistungen 0,00 162.973,37
Erträge aus Zuschreibungen zum Anlagevermögen 149.492,37 40.786,39
Investitionszulagen 1.256.636,44 742.878,99
Schadensersatzleistungen 211.580,95 402.338,74
Kursgewinne 177.789,19 422.889,34
Übrige 3.425.547,01 3.755.967,19
28.910.511,44 17.640.857,95
32.625.406,87 21.306.590,02"; 4.69, 65 ;2016;Rehau AG+Co;Jahresabschluss;PwC
Als periodenfremden Erträge sind im Wesentlichen die Erträge aus der Auflösung von Rückstellungen anzuführen.; 4.69, 65 ;2016;Rehau AG+Co;Jahresabschluss;PwC
"2016.
EUR
2015.
EUR
Sonstige betriebliche Aufwendungen
Vertriebs- und Kommunikationsaufwendungen 116.018.685,80 100.312.148,67
Aufwendungen für die Inanspruchnahme von Rechten und Diensten 80.786.640,27 76.132.391,71
Aufwendungen für Beiträge, Wertkorrekturen
und periodenfremde Aufwendungen
Zuführungen zu sonstigen Rückstellungen 8.308.469,67 40.167.791,62
Abschreibungen sowie Wertberichtigungen auf Forderungen 622.248,60 62.930,83
Versicherungsbeiträge 2.330.295,98 2.401.286,79
Übrige 8.900.528,01 2.454.494,59
Personalaufwendungen 6.346.176,53 5.661.233,16
223.313.044,86 227.192.277,37"; 4.80 ;2016;Rehau AG+Co;Jahresabschluss;PwC
Wesentliche periodenfremde Aufwendungen sind im Geschäftsjahr nicht angefallen.; 4.80, 65 ;2016;Rehau AG+Co;Jahresabschluss;PwC
"Verpackungskosten werden hinsichtlich ihrer Zugehörigkeit zu den Vertriebs- oder zu den Standardherstellungskosten differenziert. Verpackungsmaterialien für den innerbetrieblichen Transport, für die Lagerung
der Ware zwischen den Produktionsschritten, warenumschließende und die Haltbarkeit unterstützende Verpackungsmaterialien sowie Verpackungsmaterial, durch das Produkte erst verkaufsfähig werden, sind aufgrund ihrer Zugehörigkeit zu den Standardherstellkosten in den Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren ausgewiesen. Die übrigen Verpackungskosten fließen in die sonstigen betrieblichen Aufwendungen ein."; 4.80 ;2016;Rehau AG+Co;Jahresabschluss;PwC
C. Haftungsverhältnisse;;2016;Rehau AG+Co;Jahresabschluss;PwC
"Am Bilanzstichtag bestanden Haftungsverhältnisse i.S.d. § 251 HGB aus der Bestellung von Sicherheiten für Finanzverbindlichkeiten der Kommanditistin Fränkischen Plastiks GmbH, Rehau / Deutschland,
in Form einer gesamtschuldnerischen Haftung in Höhe von 14,0 Mio. EUR (Vorjahr 14,0 Mio. EUR). Die Fränkische Plastiks GmbH hat hiervon zum Bilanzstichtag 1,0 Mio. EUR der Kreditlinie als Bürgschaft
beansprucht."; 54 ;2016;Rehau AG+Co;Jahresabschluss;PwC
"Desweiteren bestanden zum Bilanzstichtag Haftungsverhältnisse aus Grundschulden ohne Brief aus der Besicherung von Finanzverbindlichkeiten aus dem Kauf von Grundstücken von Dritten in Höhe von 920
TEUR."; 54 ;2016;Rehau AG+Co;Jahresabschluss;PwC
