Konzernanhang für das Geschäftsjahr vom 1. Januar 2016 bis 31. Dezember 2016; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
3.1. Konsolidierungskreis und Konzernabschlussstichtag;;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
In den Konzernabschluss sind neben dem Mutterunternehmen alle direkt und indirekt gehaltenen in- und ausländischen Tochterunternehmen einbezogen, sofern nicht wegen untergeordneter Bedeutung von einer Einbeziehung abgesehen wird.;;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Tochterunternehmen, bei denen die COSMO CONSULT AG einen beherrschenden Einfluss im Sinne § 290 Abs. 2 HGB ausübt, werden nach den Grundsätzen der Vollkonsolidierung einbezogen.;;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Der Konsolidierungskreis der COSMO CONSULT AG für das Geschäftsjahr 2016 umfasst die folgenden verbundenen Unternehmen:;;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
"Name der Gesellschaft Sitz der Gesellschaft Kapitalanteil 31.12.2016
in %
Vollkonsolidierte Unternehmen    
COSMO CONSULT GmbH Berlin 100,00
COSMO CONSULT GmbH Hamburg 70,00
COSMO CONSULT GmbH Dresden 100,00
COSMO CONSULT GmbH Münster 70,00
COSMO CONSULT International GmbH Berlin 100,00
COSMO CONSULT GmbH Nürnberg 70,00
COSMO CONSULT SI GmbH Nürnberg 100,00
COSMO CONSULT AB Stockholm, Schweden 100,00
COSMO CONSULT Licensing GmbH Schlieren, Schweiz 100,00
COSMO CONSULT Iniker S.A. San Sebastian, Spanien 75,00
COSMO CONSULT SSC AG Münster 100,00
COSMO CONSULT BI GmbH Würzburg 51,00
COSMO CONSULT AG Schlieren, Schweiz 85,00
COSMO CONSULT SAS Fontenay-sous-Bois, Frankreich 100,00
COSMO CONSULT TIC GmbH Magdeburg 100,00
COSMO CONSULT Chile SaP Santiago de Chile, Chile 60,00
COSMO CONSULT Colombia S.A.S. Bogotá D.C., Kolumbien 75,00
COSMO CONSULT Panamá & Centro América S.A. Bella Vista, Panama 45,00 1)
COSMO CONSULT 365 GmbH (vormals: dynamics 365.com GmbH) Berlin 100,00"; 69 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
1) Einbeziehung im Wege der Vollkonsolidierung aufgrund Beherrschung; 69 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Erstmals im Wege der Vollkonsolidierung einbezogen wurde die COSMO CONSULT 365 GmbH, Berlin (vormals: dynamics365.com GmbH). Die Gesellschaft wurde Anfang 2016 neu gegründet und bietet Microsoft Dynamics NAV als Online-Lösung aus der Cloud für kleine Unternehmen und Start-ups an.; 85 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Die COSMO CONSULT Business Solutions S.L., San Sebastian, Spanien, wurde mit Wirkung zum 1. Januar 2016 auf die COSMO CONSULT Iniker S.A., San Sebastian, Spanien, verschmolzen.; 85 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Die vorgenannten Konsolidierungskreisänderungen hatten keinen wesentlichen Einfluss auf die Vermögens- und Ertragslage des Konzerns.; 85 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Folgende Unternehmen waren sowohl einzeln als auch insgesamt für die Vermögens-, Finanz- und Ertragslage des Konzerns von untergeordneter Bedeutung und wurden nicht in den Konzernabschluss einbezogen:; 94 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
"Name der Gesellschaft Sitz der Gesellschaft Kapitalanteil 31.12.2016
in % Eigenkapital
TEUR Ergebnis
TEUR
1. Verbundene Unternehmen        
20 IT Aktion S.L. San Sebastian, Spanien 75,00 2) -112 26
21 Ankor E-Consulting S.L. San Sebastian, Spanien 63,75 2) 18 -
2. Beteiligungen        
22 COSMO CONSULT Iniker Mexico S.A.P.I. de C.V. Huixquilucan, Mexiko 37,50 3) 2 8
23 Southarena Networks S.L. Lasarte Oria, Spanien 16,50 3) 37 -"; 72, 94 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
"2) Keine Einbeziehung im Wege der Vollkonsolidierung aufgrund untergeordneter Bedeutung
3) Keine Einbeziehung im Wege der Equity-Bilanzierung aufgrund untergeordneter Bedeutung"; 72, 94 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
3.2. Konsolidierungsmethoden;;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Das Geschäftsjahr für den Konzern und alle konsolidierten Unternehmen entspricht dem Kalenderjahr, so dass der Stichtag der Einzelabschlüsse aller in den Konzernabschluss der COSMO CONSULT AG einbezogenen Unternehmen mit dem Stichtag des Konzernabschlusses übereinstimmt.;;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Die Kapitalkonsolidierung erfolgt nach der Neubewertungsmethode (§ 301 Abs. 1 Satz 2 HGB) durch Verrechnung der Buchwerte der Anteile mit dem auf den Konzern entfallenden Eigenkapital der einbezogenen Tochterunternehmen zum Zeitpunkt des Erwerbs der Anteile.;;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Ein verbleibender Unterschiedsbetrag wird gemäß § 301 Abs. 3 HGB, wenn er auf der Aktivseite entsteht, als Geschäfts- oder Firmenwert und, wenn er auf der Passivseite entsteht, als Unterschiedsbetrag aus der Kapitalkonsolidierung ausgewiesen. Soweit die im Rahmen der Erstkonsolidierung einzelner Tochtergesellschaften entstandenen passiven Unterschiedsbeträge auf Gewinnthesaurierungen dieser Gesellschaften in den Jahren vor ihrer erstmaligen Einbeziehung in den Konzernabschluss der COSMO CONSULT AG zurückzuführen sind, erfolgt eine sofortige Einstellung des Unterschiedsbetrags in die Konzerngewinnrücklagen.; 97 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Forderungen, Rückstellungen, Verbindlichkeiten und Rechnungsabgrenzungsposten zwischen den in den Konzernabschluss einbezogenen Unternehmen wurden gegeneinander aufgerechnet.;;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Gewinne und Verluste aus den konzerninternen Lieferungs- und Leistungsbeziehungen wurden ebenso eliminiert wie Beteiligungserträge aus einbezogenen Unternehmen.;;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Konzerninterne Umsatzerlöse und Erträge wurden mit den auf sie entfallenden Aufwendungen verrechnet.;;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
3.3. Währungsumrechnung;;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Die Umrechnung der in ausländischer Währung aufgestellten Einzelabschlüsse erfolgt nach der modifizierten Stichtagskursmethode. Dabei wurden alle Bilanzposten der einbezogenen ausländischen Konzernunternehmen mit Ausnahme des Eigenkapitals (gezeichnetes Kapital, Rücklagen, Ergebnisvortrag), das zu historischen Kursen umgerechnet wurde, mit dem jeweiligen Devisenkassamittelkurs des Bilanzstichtags in Euro umgerechnet. Die aus der Veränderung der Devisenkurse entstehenden Umrechnungsdifferenzen wurden erfolgsneutral in die Eigenkapitaldifferenz aus Währungsumrechnung im Eigenkapital eingestellt.; 9.0 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Die Umrechnung der Aufwendungen und Erträge erfolgte mit dem Jahresdurchschnittskurs. Das Jahresergebnis der umgerechneten Gewinn- und Verlustrechnung wurde in die Bilanz übernommen und die Differenz erfolgsneutral in den Ausgleichsposten aus der Währungsumrechnung eingestellt.; 9.0 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Für die Umrechnung der Währungen im Konzern wurden folgende Wechselkurse für einen Euro zugrunde gelegt:;;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
"ISO-Code Durchschnittskurs Stichtagskurs
2016 2015 31.12.2016 31.12.2015
Schweizer Franken CHF 1,0892 1,0634 1,0739 1,0827
Schwedische Krone SEK 9,4697 9,3371 9,5511 9,1827
Chilenischer Peso CLP 751,8797 772,2008 704,2254 772,2008
Kolumbianischer Peso COP 3.355,7047 3.436,4261 3.125,0000 3.436,4261
US-Dollar USD 1,1090 1,0905 1,0610 1,0905";;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
4. Bilanzierungs- und Bewertungsmethoden;;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Die Abschlüsse der in den Konzernabschluss einbezogenen Unternehmen wurden in Übereinstimmung mit einheitlichen Bilanzierungs- und Bewertungsrichtlinien erstellt. Gegebenenfalls wurden notwendige Anpassungen der Abschlüsse an die in der COSMO CONSULT Gruppe geltenden Bilanzierungs- und Bewertungsvorschriften vorgenommen.; 9.0 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Entgeltlich erworbene immaterielle Vermögensgegenstände des Anlagevermögens werden zu Anschaffungskosten angesetzt und, sofern sie der Abnutzung unterliegen, entsprechend ihrer voraussichtlichen Nutzungsdauer planmäßig abgeschrieben. Die Nutzungsdauern für erworbene immaterielle Anlagegegenstände betragen drei bis sechs Jahre.; 9.2 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Selbst geschaffene immaterielle Vermögensgegenstände werden nicht aktiviert.; 9.3 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Infolge der Kapitalkonsolidierung werden Geschäfts- oder Firmenwerte ausgewiesen, die über einen Zeitraum von 5 bis 15 Jahren linear abgeschrieben werden. Die Abschreibungszeiträume für die Geschäfts- oder Firmenwerte wurden jeweils unter Berücksichtigung der Geschäftstätigkeit und der betriebsindividuellen Umstände der einbezogenen Einheit ermittelt. Hinsichtlich der Entwicklung der Geschäfts- oder Firmenwerte wird auf die entsprechenden Erläuterungen zum Anlagevermögen verwiesen.; 9.5, 14 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Das Sachanlagevermögen ist zu Anschaffungs- bzw. Herstellungskosten angesetzt und wird, soweit abnutzbar, um planmäßige Abschreibungen vermindert (§ 253 Abs. 3 HGB). Die planmäßigen Nutzungsdauern betragen drei bis dreizehn Jahre. Voraussichtlich dauernden Wertminderungen, die über den nutzungsbedingten Werteverzehr hinausgehen, wird durch außerplanmäßige Abschreibungen Rechnung getragen. Die planmäßigen Abschreibungen auf Zugänge erfolgen zeitanteilig.; 9.7 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Bewegliche sowie immaterielle Gegenstände des Anlagevermögens mit einem Wert bis zu EUR 1.000,00 stellen keine wesentliche Position in der Bilanz dar. Es wurde deshalb ein Ansatz in analoger Anwendung des § 6 Abs. 2 a EStG gewählt. Hiernach wurden solche Vermögensgegenstände mit einem Wert bis zu EUR 150,00 im Jahr des Zugangs sofort als Aufwand erfasst. Geringwertige Anlagegüter mit einem Wert zwischen EUR 150,01 und EUR 1.000,00 werden zu einem Sammelposten zusammengefasst und über eine Nutzungsdauer von 5 Jahren abgeschrieben.; 9.1 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Bei den Finanzanlagen werden Anteile an nicht konsolidierten verbundenen Unternehmen und Beteiligungen sowie Wertpapiere des Anlagevermögens zu Anschaffungskosten oder, bei voraussichtlich dauerhafter Wertminderung, mit den niedrigeren beizulegenden Werten angesetzt.; 9.12 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Vorräte werden zu Anschaffungs- und Herstellungskosten bzw. zu den niedrigeren Tageswerten angesetzt. Die unfertigen und fertigen Erzeugnisse sind zu Herstellungskosten bewertet. Die Bestände an Waren sind zu Anschaffungskosten oder zu niedrigeren Tagespreisen am Bilanzstichtag bilanziert.; 9.20 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Forderungen und sonstige Vermögensgegenstände sind zum Nominalwert angesetzt. Allen risikobehafteten Posten ist durch die Bildung angemessener Einzelwertberichtigungen Rechnung getragen. Dem allgemeinen Ausfall- und Kreditrisiko wird durch angemessene Pauschalwertberichtigungen Rechnung getragen.; 9.25 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Soweit es sich bei den sonstigen Vermögensgegenständen um Zweckvermögen zur Absicherung von Altersversorgungsverpflichtungen handelt, erfolgt gemäß § 246 Abs. 2 Satz 2 HGB eine Saldierung mit den Rückstellungen für Pensionen und ähnliche Verpflichtungen.; 9.29 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
"Flüssige Mittel werden zu ihrem Nominalwert angesetzt; die Kassenbestände mit dem Nennwert bilanziert."; 9.33 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Latente Steuern werden für zeitliche, sich in der Zukunft voraussichtlich umkehrende Differenzen zwischen den handelsrechtlichen und steuerlichen Wertansätzen von Vermögensgegenständen, Schulden und Rechnungsabgrenzungsposten gebildet. Eine sich insgesamt ergebende Steuerbelastung auf Ebene der Einzelabschlüsse wird in der Bilanz als passive latente Steuer angesetzt. Im Falle einer sich insgesamt auf Gesellschaftsebene ergebenden Steuerentlastung (Aktiv-Überhang) wird vom Wahlrecht gem. § 274 Abs. 1 S. 2 HGB Gebrauch gemacht und auf die Aktivierung verzichtet. Im Konzernabschluss waren zudem Steuerabgrenzungen aufgrund der Anwendung von konzerneinheitlichen Bilanzierungs- und Bewertungsvorschriften sowie der Durchführung von Konsolidierungsmaßnahmen vorzunehmen. Vom Aktivierungswahlrecht für aktive latente Steuern aus der Anwendung der konzerneinheitlichen Bilanzierungsvorschriften sowie für steuerliche Verlustvorträge wird ebenfalls kein Gebrauch gemacht. Eine Verrechnung der latenten Steueransprüche mit latenten Steuerverpflichtungen erfolgt nicht.; 9.35, 9.64, 24 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Der Berechnung sowohl der laufenden als auch der latenten Steuern liegen die in den einzelnen Ländern zum Realisierungszeitpunkt erwarteten unternehmensindividuellen Steuersätze zugrunde.; 9.35, 9.64, 24 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Die Rückstellungen für Pensionen und ähnliche Verpflichtungen werden in Höhe des nach vernünftiger kaufmännischer Beurteilung notwendigen Erfüllungsbetrages angesetzt. Der Erfüllungsbetrag wurde auf Basis des Anwartschaftsbarwertverfahrens („Projected Unit Credit Method“) ermittelt. Die Bilanzierung nach dem Anwartschaftsbarwertverfahren erfasst die Verpflichtung am Bewertungsstichtag nach der wahrscheinlichen Inanspruchnahme unter Berücksichtigung von zukünftigen Gehalts- und Rentensteigerungen. Für die Abzinsung wurde pauschal gemäß § 253 Abs. 2 Satz 2 HGB der durchschnittliche Marktzinssatz berücksichtigt, der sich bei einer angenommenen Restlaufzeit von 15 Jahren ergibt.; 9.48, 34 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Die Bewertung beruht auf einem versicherungsmathematischen Gutachten, welches neben den Heubeck-Richttafeln (2005 G) den Marktzinssatz von 4,01%, erwartete Gehaltssteigerungen mit 0,0% (Vorjahr: 0,0%) und erwartete Rentensteigerungen mit 2,0% (Vorjahr: 2,0%) berücksichtigt. Bei dem Marktzinssatz handelt es sich aufgrund der Neuregelung durch das Gesetz zur Umsetzung der Wohnimmobilienkreditrichtlinie und zur Änderung handelsrechtlicher Vorschriften um den für den Bilanzstichtag prognostizierten durchschnittlichen Marktzinssatz der vergangenen zehn Geschäftsjahre, der sich bei einer angenommenen Restlaufzeit von 15 Jahren ergibt. Im Vorjahr wurde der durchschnittliche Marktzinssatz der vergangenen sieben Geschäftsjahre von 3,89% angewendet. Unter Anwendung des für den Bilanzstichtag prognostizierten durchschnittlichen Marktzinssatzes der vergangenen sieben Geschäftsjahre von 3,24% würde sich im Geschäftsjahr 2016 der Erfüllungsbetrag in Höhe von TEUR 760 ergeben. Der Unterschiedsbetrag i. S. d. § 253 Abs. 6 S. 1 HGB beträgt im Geschäftsjahr TEUR 89 und unterliegt bei der betreffenden Tochtergesellschaft einer Ausschüttungssperre.; 9.48, 34, 35 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Das Deckungsvermögen i.S.d. § 246 Abs. 2 Satz 2 HGB wurde mit seinem beizulegenden Zeitwert mit den Rückstellungen verrechnet.;;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Die Steuerrückstellungen sowie die sonstigen Rückstellungen berücksichtigen alle erkennbaren Risiken und ungewissen Verpflichtungen. Die Bewertung erfolgt jeweils in Höhe des Erfüllungsbetrags, der nach vernünftiger kaufmännischer Beurteilung notwendig ist, um zukünftige Zahlungsverpflichtungen abzudecken. Zukünftige Preis- und Kostensteigerungen werden berücksichtigt, sofern ausreichende objektive Hinweise für deren Eintritt vorliegen.; 9.49 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Die Verbindlichkeiten werden mit ihrem Erfüllungsbetrag bilanziert.; 9.51 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Vor dem Bilanzstichtag geleistete Ausgaben sowie Einnahmen, die Aufwand bzw. Ertrag für eine bestimmte Zeit nach diesem Stichtag darstelen, werden als aktive bzw. passive Rechnungsabgrenzungsposten ausgewiesen.; 9.51 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
5. Angaben und Erläuterungen zu einzelnen Posten der Konzernbilanz;;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
5.1. Anlagevermögen;;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Immaterielle Vermögensgegenstände; 5.2 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
"Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten Geschäfts- und Firmenwerte Geleistete Anzahlungen Summe
Anschaffungs- und Herstellungskosten 31.12.2015 2.928 5.546 17 8.491
Zugänge 19 - - 19
Währungsdifferenzen 21 - - 21
Abgänge -17 -25 -17 -59
Anschaffungs- und Herstellungskosten 31.12.2016 2.951 5.521 - 8.472
Abschreibungen 31.12.2015 2.067 1.035 - 3.102
Abschreibungen 2016 307 630 - 937
Währungsdifferenzen 18 - - 18
Abgänge -17 -5 - -22
Abschreibungen 31.12.2016 2.375 1.660 - 4.035
Restbuchwerte 31.12.2016 576 3.861 - 4.437
Restbuchwerte 31.12.2015 861 4.511 17 5.389"; 5.2 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Die ausgewiesenen Geschäfts- oder Firmenwerte resultieren sowohl aus Einzelabschlüssen als auch aus der Kapitalkonsolidierung und haben sich im Geschäftsjahr 2016 wie folgt entwickelt:; 5.5, 97 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
"Geschäftswerte aus Einzelabschlüssen Geschäftswerte aus Kapitalkonsolidierung
in TEUR Erstkonsolidierung 01.01.2014 Akquisition Tectura in 2014 Akquisition Iniker in 2015 Summe
Anschaffungskosten 31.12.2015 1.223 222 2.201 1.900 5.546
Zugänge - - - - 
Abgänge - - - -25 -25
Anschaffungskosten 31.12.2016 1.223 222 2.201 1.875 5.521
Abschreibungen 31.12.2015 722 30 220 63 1.035
Abschreibungen 2016 89 15 147 379 630
Abgänge - - - -5 -5
Abschreibungen 31.12.2016 811 45 367 437 1.660
Restbuchwerte 31.12.2016 412 177 1.834 1.438 3.861
Restbuchwerte 31.12.2015 501 192 1.981 1.837 4.511"; 5.5, 97 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Die aus Einzelabschlüssen der einbezogenen Unternehmen übernommenen Geschäfts- oder Firmenwerte werden linear über einen Zeitraum von 15 Jahren abgeschrieben.; 5.5, 97 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Die im Rahmen der erstmaligen Aufstellung des Konzernabschlusses zum 01.01.2014 entstandenen Geschäftswerte sowie der Geschäftswert aus der in 2014 erfolgten Akquisition von Unternehmen der Tectura-Gruppe werden ebenfalls linear über 15 Jahre abgeschrieben. Der Abschreibungszeitraum trägt der langfristigen Ausrichtung der Geschäftsaktivitäten der einbezogenen Unternehmen Rechnung.; 5.5, 14, 97 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Der Geschäftswert aus dem im Geschäftsjahr 2015 erfolgten Erwerb der Anteile an der Iniker S.A., Spanien, sowie deren Tochter- und Beteiligungsgesellschaften in Lateinamerika wird linear über einen Zeitraum von 5 Jahren abgeschrieben. Der Abschreibungsdauer liegt die Einschätzung des Managements zur Geschäftsentwicklung und den damit verbundenen Chancen und Risiken der Iniker­Unternehmensgruppe zugrunde.; 5.5, 14, 97 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Sachanlagen; 5.7 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
"in TEUR Bauten auf fremden Grundstücken Andere Anlagen, Betriebs- und Geschäftsausstattung Summe
Anschaffungs- und Herstellungskosten 31.12.2015 261 2.893 3.154
Zugänge 140 795 935
Währungsdifferenzen -1 -6 -7
Abgänge - -71 -71
Anschaffungs- und Herstellungskosten 31.12.2016 400 3.611 4.011
Abschreibungen 31.12.2015 148 1.837 1.985
Abschreibungen 2016 42 502 544
Währungsdifferenzen - -3 -3
Abgänge - -50 -50
Abschreibungen 31.12.2016 190 2.286 2.476
Restbuchwerte 31.12.2016 210 1.325 1.535
Restbuchwerte 31.12.2015 113 1.056 1.169"; 5.7, 15, 16 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Unter den Finanzanlagen werden die Anteile der nicht in den Konsolidierungskreis einbezogenen verbundenen Unternehmen und Beteiligungen ausgewiesen.; 5.12, 15, 16 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
"in TEUR Anteile an verbundenen Unternehmen Beteiligungen Summe
Anschaffungskosten 31.12.2015 21 92 113
Zugänge - 15 15
Abgänge - -1 -1
Anschaffungskosten 31.12.2016 21 106 127
Abschreibungen 31.12.2015 15 8 23
Abschreibungen 2016 - 42 42
Abgänge - - -
Abschreibungen 31.12.2016 15 50 65
Restbuchwerte 31.12.2016 6 56 62
Restbuchwerte 31.12.2015 6 84 90"; 5.12, 15, 16 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
5.2. Forderungen und sonstige Vermögensgegenstände; 5.25 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Die Forderungen gegen verbundene Unternehmen in Höhe von TEUR 265 umfassen Forderungen aus Lieferungen und Leistungen (TEUR 29) sowie sonstige Forderungen (TEUR 236). Sämtliche Forderungen gegen verbundene Unternehmen haben eine Restlaufzeit von weniger als einem Jahr.; 5.25, 7 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Die sonstigen Vermögensgegenstände beinhalten im Wesentlichen Darlehensforderungen einschließlich anteiliger Zinsforderungen gegen Gesellschafter der COSMO CONSULT AG (TEUR 3.886, Vorjahr: TEUR 3.870), Steuererstattungsansprüche (TEUR 917, Vorjahr: TEUR 605) sowie Kautionsforderungen (TEUR 343, Vorjahr: TEUR 341). Unter den sonstigen Vermögensgegenständen ausgewiesene Forderungen in Höhe von TEUR 4.159 haben eine Restlaufzeit von mehr als einem Jahr (Vorjahr: TEUR 4.181).; 5.25 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
