Anhang; Annotierung (Angabe Nummer in Anhangcheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
7.3 Konsolidierungsgrundsätze;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
"Die Abschlüsse der in den Konzern einbezogenen Gesellschaften sind nach einheitlichen Bilanzierungs- und Bewertungsmethoden aufgestellt. Die Kapitalkonsolidierung wurde nach der Neubewertungsmethode
vorgenommen."; 9.0 ;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
"Dabei wird der Wertansatz der dem Mutterunternehmen gehörenden Anteile mit dem auf diesen Anteil entfallenden Betrag des Eigenkapitals des Tochterunternehmens verrechnet. Das Eigenkapital wird mit dem
Betrag angesetzt, der zum Konsolidierungszeitpunkt beizulegenden Zeitwert, der in den Konzernabschluss aufzunehmenden Vermögensgegenstände, Schulden, Rechnungsabgrenzungsposten und Sonderposten
entspricht. Ein nach der Verrechnung verbleibender Unterschiedsbetrag wird, wenn er auf der Aktivseite entsteht, als Geschäfts- und Firmenwert ausgewiesen. Der für die Bestimmung des Zeitwerts, der in den
Konzernabschluss aufzunehmenden Vermögensgegenstände, Schulden, Rechnungsabgrenzungsposten und Sonderposten und der für Kapitalkonsolidierung maßgeblichen Zeitpunkt ist grundsätzlich der, zu dem
das Unternehmen Tochterunternehmen geworden ist."; 9.0 ;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
7.4 Bilanzierungs- und Bewertungsmethoden;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
"Im Folgenden werden die im Konzernabschluss angewandten Bilanzierungs- und Bewertungsmethoden dargestellt. Die Bilanzierungs- und Bewertungsgrundsätze wurden gegenüber dem Vorjahr unverändert
angewandt. Informationen zu einzelnen Positionen der Bilanz und der Gewinn- und Verlustrechnung des Konzerns sowie entsprechende Zahlenangaben finden sich in den weiteren Erläuterungen."; 9.0 ;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Immaterielle Vermögensgegenstände;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
"Selbst entwickelte immaterielle Vermögensgegenstände werden mit ihren Herstellungskosten angesetzt, vermindert um lineare Abschreibungen (bei einer betriebsgewöhnlichen Nutzungsdauer von drei Jahren).
Die Einbeziehung angemessener Teile der allgemeinen Verwaltungskosten erfolgt in Ausübung des Wahlrechts gemäß §255 Abs. S. 3 HGB."; 9.3 ;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Geschäfts- und Firmenwert werden aktiviert und über einen Zeitraum von 10 bzw. 15 Jahren abgeschrieben. Bei Bedarf werden zusätzlich außerplanmäßige Abschreibungen vorgenommen.; 9.5 ;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Vor dem Hintergrund des langfristigen Geschäftsmodells und der sehr langen Kundenbeziehungen werden vorhandene Geschäfts- und Firmenwerte über zehn Jahre bis 15 Jahre abgeschrieben.; 9.5, 22 ;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Sachanlagen;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
"Das Sachanlagevermögen wurde zu Anschaffungskosten, vermindert um planmäßige lineare Abschreibungen über die gewöhnliche Nutzungsdauer, bewertet. Die Abschreibungen auf Zugänge des Sachanlagevermögens
werden zeitanteilig vorgenommen. Die Nutzungsdauer beträgt in der Regel bei Hardware drei Jahre sowie bei sonstigen Betriebs- und Geschäftsausstattungen sieben bis zehn Jahre. Die unterjährige
Veränderung der Sachanlagen ist der Entwicklung des Anlagevermögens zu entnehmen."; 9.7, 24 ;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Vorräte;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
"Unfertige Leistungen werden zu Herstellungskosten bewertet. In die Herstellungskosten werden neben den Material- und Fertigungseinzelkosten angemessene Teile der Material- bzw. Fertigungsgemeinkosten
und des Wertverzehrs des Anlagevermögens einbezogen. In allen Fällen wurde verlustfrei bewertet, d.h. für die Werthaltigkeitsprüfung wurden von den voraussichtlichen Verkaufspreisen Abschläge für noch
anfallende Kosten vorgenommen."; 9.22 ;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Latente Steuern;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
"Latente Steuern werden auf die Unterschiede in den Bilanzansätzen der Handelsbilanz und der Steuerbilanz angesetzt, sofern sich diese in späteren Geschäftsjahren voraussichtlich steuerlich wirksam abbauen.
Darüber hinaus werden aktive latente Steuern auf die bestehenden Verlustvorträge gebildet, soweit innerhalb der nächsten fünf Jahre eine Verlustverrechnung zu erwarten ist. Aktive und passive latente Steuern
werden saldiert ausgewiesen. Der Berechnung der aktiven und passiven latenten Steuern liegt der maßgebliche Steuersatz der betroffenen Konzernunternehmen zugrunde."; 9.35, 9.64 ;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Forderungen und sonstige Vermögensgegenstände;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
"Forderungen und sonstige Vermögensgegenstände sind zu Nominalbeträgen bilanziert. Bei den Forderungen aus Lieferung- und Leistungen wird eine Pauschalwertberichtigung in Höhe von einem Prozent
vorgenommen. Einzelwertberichtigungen werden vorgenommen, wenn auf Grund der Bonität Zweifel an der Erfüllung besteht. Die sonstigen Vermögensgegenstände beziehen sich auf hinterlegten Kautionen
und Forderungen gegen verbundene Unternehmen."; 9.25 ;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Aktive Rechnungsabgrenzung;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Der aktive Rechnungsabgrenzungsposten beinhaltet Ausgaben vor dem Abschlussstichtag, die einen Aufwand für eine bestimmte Zeit nach dem Abschlussstichtag darstellen.; 9.34 ;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Rückstellungen;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
"Die Rückstellungen berücksichtigen alle erkennbaren Risiken und ungewissen Verbindlichkeiten mit dem Betrag der voraussichtlichen Inanspruchnahme. Zukünftige Preis- und Kostensteigerungen werden in
die Bewertung mit einbezogen."; 9.47 ;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Verbindlichkeiten;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Die Verbindlichkeiten werden mit den Erfüllungsbeträgen am Bilanzstichtag angesetzt.; 9.51 ;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Passive Rechnungsabgrenzung;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Der passive Rechnungsabgrenzungsposten beinhaltet Geschäftsvorfälle, die vor dem Bilanzstichtag zu einer Einnahme geführt haben, aber einen Ertrag für eine bestimmte Zeit danach darstellen.; 9.63 ;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
7.5 Erläuterungen zur Gewinn- und Verlustrechnung;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Umsatzerlöse;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
"Die Umsatzerlöse konnten gegenüber dem Vorjahr um rd. 60% gesteigert werden. Die Umsatzerlöse werden durch Consulting-Leistungen und Managed-Services erbracht, sowie durch eigenentwickelte mobile
Lösungen und dem Verkauf eigenentwickelter Software-Produkte. Die Umsatzerlöse des Berichtsjahres lassen sich folgenden Tätigkeitsbereichen zuzuordnen:"; 5.66, 6 ;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
"Umsatzerlöse I
2016.
(in TEUR)
2015.
(in TEUR)
Consulting 6053 3956
Products & Solutions 3116 1606
Verrieb/Verwaltung & Konsolidierung -1283 -618
Summe 7886 4944
Umsatzerlöse II
2016.
(in TEUR)
2015.
(in TEUR)
Davon EU-Länder 7738 4746
Anteil am Gesamtumsatz 98% 96%
Davon Drittland 148 198
Anteil am Gesamtumsatz 2% 4%
Summe 7886 4944"; 5.66, 6, 84 ;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Andere aktivierte Eigenleistungen;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
"Die aktivierten Eigenleistungen in Höhe von 1256 TEUR betreffen die Weiterentwicklung des Produktes SaleSphere in Höhe von 824 TEUR, sowie die Weiterentwicklung des Produktes ICC der Just Intelligence
in Höhe von 432 TEUR. Aktivierte Eigenleistungen werden entsprechend ihrer Nutzungsdauer über drei Jahre abgeschrieben."; 5.68, 21 ;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Sonstige betriebliche Erträge;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
"Die sonstigen betrieblichen Erträge blieben auf Vorjahresniveau. Sie beinhalten im Wesentlichen pauschal versteuerte Sachbezüge, periodenfremde Erträge und Versicherungsentschädigungen. Die sonstigen
betrieblichen Erträge stellen sich für den Berichtszeitraum wie folgt dar:"; 5.69 ;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
"2016.
(in TEUR)
2015.
(in TEUR)
Verrechnete Sachbezüge 127 112
Periodenfremde Erträge 61 137
Versicherungsentschädigung 34 0
Sonstige 11 24
Summe 233 273"; 5, 110 ;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Personalaufwand;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
"Der Personalaufwand gliedert sich gemäß §275 Abs. 2 Nr. 6 HGB wie folgt:
Personalaufwand
2016.
(in TEUR)
2015.
(in TEUR)
Löhne und Gehälter 4060 3637
Soziale Abgaben und Aufwendungen für Altersvorsorge 620 533
Davon für Altersvorsorge 4 4
Summe 4684 4174"; 5.73, 132 ;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Sonstige betriebliche Aufwendungen;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
In der folgenden Auflistung sind alle wesentlichen sonstigen betrieblichen Ausgaben beziffert. Weitere sonstige betriebliche Ausgaben liegen alle unterhalb von 100 TEUR.; 5.80 ;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
"Sonstige betriebliche Aufwendungen
2016.
(in TEUR)
2015.
(in TEUR)
Raumkosten inkl. Rechenzentrum 330 296
Fahrzeugkosten 296 259
Werbe- und Reisekosten 185 117
Kapitalmarktkosten 120 160
Rechts-/Beratungs-/Prüfungskosten 98 74
Fortbildungskosten 87 12
Fremdleistungen 82 46
Sonstige 292 593
Summe 1491 1557"; 5.80 ;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Abschreibungen;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
"Die Abschreibungen auf immaterielle Vermögensgegenstände des Anlagevermögens und Sachanlagen umfassten planmäßige Abschreibungen in Höhe von 665 TEUR (Vorjahr 429 TEUR). Die bestehenden
Firmenwerte und Kundenstämme werden planmäßig über die voraussichtliche Nutzungsdauer von 10 bis 15 Jahren abgeschrieben. Die weiteren immateriellen Wirtschaftsgüter werden generell über 3 Jahre
abgeschrieben."; 5.78 ;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Finanzergebnis;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
"Zinsen und ähnliche Aufwendungen umfassen im Jahr 2016 Zinsen für Gesellschafterdarlehen, sowie die Inanspruchnahme einer Bankkreditlinie. Die Aufwendungen sanken im Jahr 2016 deutlich auf 48 TEUR
gegenüber dem Vorjahr mit 191 TEUR. Grund hierfür war neben der Tilgung von Gesellschafterdarlehen der gesunkene Zins auf Grund sich verbessernder Bonität."; 5.88 ;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Zinsen und ähnliche Erträge beliefen sich im Geschäftsjahr auf 1 TEUR (im Vorjahr 1 TEUR).; 5.85 ;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Steuern;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Steuern beinhalten im Geschäftsjahr sonstige Steuern in Höhe von 13 TEUR.; 5.92 ;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Ergebnisanteil Konzernfremder Gesellschafter;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
"Als auf Konzernfremde entfallender Ergebnisanteil wird der nicht auf Aktionäre der mVISE AG entfallende Anteil am Ergebnis des vierten Quartals 2016 der Just Intelligence GmbH ausgewiesen. Der Anteil des
auf Konzernfremde Gesellschafter entfallenden Ergebnisses wurde nach den Verhältnissen bemessen, die sich nach der Anteilserhöhung der mVISE auf 78 % am Eigenkapital der Just Intelligence ergeben. Die
Zurechnung dieses Ergebnisses erfolgte abweichend von dem bilanzierten Eigenkapitalanteil, da die für den Erwerb der GmbH Anteile ausgegebenen Aktien der mVISE AG erst im Januar 2017 mit der Eintragung
der Sachkapitalerhöhung in das Handelsregister entstanden, der auf die erworbene GmbH Anteile entfallenden Gewinn des Jahres 2016 jedoch der mVISE AG zusteht.";;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
7.6 Erläuterungen zur Konzernbilanz;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Angaben zu dem vollkonsolidierten Unternehmen;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
In 2016 wurde der Anteil an der Just Intelligence GmbH auf 50,1% aufgestockt und die Just Intelligence erstmals ab dem 01.10.2016 vollkonsolidiert.;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Immaterielle Vermögenswerte;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
"Im Geschäftsjahr 2016 wurden die Just Intelligence GmbH, Hamburg erstkonsolidiert, deren Anteile zu 50,1% erworben wurden. Auf Grund des Kaufpreises ergab sich ein aktivischer Unterschiedsbetrag aus
der Kapitalkonsolidierung in Höhe von 474 TEUR der als Geschäfts- und Firmenwert ausgewiesen wurde. Dieser wird gemäß §309 Abs. 1 HGB planmäßig über seine voraussichtliche Nutzungsdauer von 15
Jahren abgeschrieben. Im Geschäftsjahr wurden Abschreibungen in Höhe von 7 TEUR auf den Geschäfts- oder Firmenwert der Just Intelligence vorgenommen. Der verbleibende Restbuchwert zum 31.12.2016
beträgt 466 TEUR."; 5.2 ;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
"Die weiteren Zugänge des immateriellen Anlagevermögens in Höhe von 1257 TEUR (im Vorjahr 728 TEUR) betreffen im Wesentlichen die Fortentwicklung des Produkts SaleSphere. Auf die Erläuterungen
im Lagebericht der Gesellschaft wird hingewiesen."; 5.2 ;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Sachanlagen;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Die unterjährige Entwicklung des Anlagevermögens ist der Entwicklung des Anlagevermögens zu entnehmen. Das Sachanlagevermögen umfasst fast ausschließlich Betriebs- und Geschäftsausstattung.; 5.7 ;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Finanzanlagen;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Die Investition in Finanzanlagen über 7 TEUR betreffen nachträgliche Anschaffungskosten an der mVISE Professional Services GmbH.; 5.12 ;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Vorräte;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Der ausgewiesene Vorratsbestand umfasst die bilanzierten unfertigen Leistungen, d.h. zum Stichtag noch nicht abgenommene Projektleistungen in Höhe von 107 TEUR (im Vorjahr: 269 TEUR) ausgewiesen.; 5.20 ;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Forderungen aus Lieferungen und Leistungen und sonstige Vermögensgegenstände;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
"Der ausgewiesene Bestand an Forderungen aus Lieferungen und Leistungen betrug zum Stichtag 1152 TEUR, (im Vorjahr: 732 TEUR).
Die sonstigen Vermögensgegenstände beinhalten mit 75 TEUR Kautionen für Mietobjekte in Düsseldorf, Frankfurt und Hamburg."; 5.26 ;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Aktive Rechnungsabgrenzung;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Die Rechnungsabgrenzungsposten enthalten im Wesentlichen Abgrenzungen für im Voraus geleistete Aufwendungen für Fremdleistungen.; 5.34 ;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Liquide Mittel;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
"Die liquiden Mittel in Höhe von 274 TEUR (im Vorjahr 69 TEUR) beinhalten die laufenden Bankguthaben. Sämtliche Guthaben bei Kreditinstituten sind zum Stichtag unbelastet. Fremdwährungskonten lagen
zum Bilanzstichtag nicht mehr vor."; 5.33 ;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Aktive latente Steuern;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
"Die ausgewiesenen aktiven latenten Steuern stellen den Saldo aus einem aktiven latenten und einem passiven latenten Steuerposten dar. Im Jahr 2016 wurden 221 TEUR latente Steuern gebildet. Für das Vorjahr
gilt, dass der aktive latente Steuerposten auf bestehende steuerliche Verlustvorträge unter Berücksichtigung der zukünftigen Ergebnisplanung und des Ertragssteuersatzes der Gesellschaft mit Sitz in Düsseldorf
gebildet wurde und der passive latente Steuerposten auf aktivierte Aufwendungen für selbstgeschaffene immaterielle Vermögensgegenstände gebildet wurde, sofern diese in der Handelsbilanz, nicht jedoch in
der Steuerbilanz der Gesellschaft Ansatz finden."; 5.35 ;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
"Die passiven latenten Steuern ergeben sich dadurch, dass sich Wertansätze im handelsrechtlichen Abschluss von denen in der Steuerbilanz unterscheiden. Auf bestehende Verlustvorträge wurden zum 31.12.2016
aktive latenten Steuern berücksichtigt."; 5.64 ;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
"Die aktiven und passiven latenten Steuern verteilen sich auf folgende Positionen:
Sachverhalt.
(TEUR) 31.12.2015 31.12.2016
Aktiva Passiva Aktiva Passiva
Unterschiedsbeträge Anlagevermögen 862 2.328
Bilanzausweis auf Unterschiedbeträge Latente Steuern 269 736
Bilanzausweis auf Verlustvorträge Latente Steuern 2.189 2.877
Sachverhalt.
(TEUR) 31.12.2015 31.12.2016
Aktiva Passiva Aktiva Passiva
Saldierter Bilanzausweis Latente Steuern 1.920 2.141"; 5.35, 5.64, 43, 44 ;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Die den latenten Steuern zugrundeliegenden Steuerquoten im Konzern belaufen sich auf 31,23% bzw. 32,27%.; 5.35, 5.64 ;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Konzerneigenkapital;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
"Das Grundkapital zum 31.12.2016 der Muttergesellschaft umfasst 8.164.052 EUR, aufgeteilt in 8.164.052 nennwertlose auf den Inhaber lautende Stückaktien. Im Vorjahr betrug das Grundkapital zum Bilanzstichtag
7.941.052 EUR."; 5.37 ;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
In Zusammenhang mit der Einzahlung aus der Kapitalerhöhung erhöhte sich die Kapitalrücklage von 13.652 TEUR zum Jahresbeginn auf 13.782 TEUR zum 31.12.2016.; 5.39, 55 ;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Der Konzernüberschuss belief sich im Geschäftsjahr auf 626 TEUR. Es wird vorgeschlagen den Jahresüberschuss auf neue Rechnung vorzutragen.; 5.46 ;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Die Entwicklung des Eigenkapitals des Konzerns ist nachfolgend dargestellt:;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Eigenkapitalspiegel zum 31.12.2016;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
"Gezeichnetes Kapital der mViseAG
Kapitalrücklage der mViseAG
Bilanzverlust Konzern Minderheitenkapital Summe
Veränderung des Eigenkapitals
TEURO
Stand 1.1.2015 6.355 13.085 -18.896 545
Kapitalaus- / -einzahlung 1.559 567 2.126
Ergebnis -400 -400
Übrige Veränderung
Stand 31.12.2015 7.914 13.652 -19.296 0 2.270
Kapitalaus- / -einzahlung 250 130 380
Ergebnis 426 201 627
Akquisitionen 55 55
Stand 31.12.2016 8.164 13.782 -18.870 256 3.332"; 5.38, 55 ;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Erläuterungen zu Kapitalmaßnahmen der mVISE AG:;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Kapitalerhöhungen;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Im Februar des Berichtsjahres erhöhte die Gesellschaft ihr Eigenkapital durch Nutzung des genehmigten Kapitals gemäß § 4 Abs. 8 der Satzung unter Ausschluss des Bezugsrechts der Aktionäre.; 5.37 ;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
"Das Grundkapital der Gesellschaft wurde durch Ausgabe von 250.000 Stückaktien mit einem anteiligen Betrag am Grundkapital von 1,00 Euro je Aktie zum Bezugspreis von 1,52 Euro pro Stückaktie auf 8.164.052
EUR erhöht. Die neuen Aktien waren ab dem 01.01.2016 gewinnberechtigt"; 5.38 ;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Genehmigtes Kapital 2016;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
"Der Vorstand wurde durch Beschluss der Hauptversammlung vom 09.06.2016 bezüglich des genehmigten Kapitals ermächtigt, das Grundkapital bis zum 08.06.2021 mit Zustimmung des Aufsichtsrats durch
Ausgabe neuer Aktien gegen Bar- oder Sacheinlagen einmal oder mehrmals um bis zu EUR 4.082.026,00 zu erhöhen. Dabei ist den Aktionären ein Bezugsrecht zu gewähren. Das Bezugsrecht kann den Aktionären
auch mittelbar gemäß § 186 Abs. 5 AktG gewährt und unter bestimmten Bedingungen durch den Vorstand mit Zustimmung des Aufsichtsrates vollständig ausgeschlossen werden. Zum 31.12.2016 besteht das
genehmigte Kapital noch in voller Höhe."; 5.37, 39, 54 ;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Bedingtes Kapital VII;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
"Der Beschluss der Hauptversammlung vom 28.06.2012 (Bedingtes Kapital VII) wurde geändert und neu gefasst. Das Grundkapital ist um bis zu 500.000 Euro zur Erfüllung von Bezugsrechten, die an Mitglieder
des Vorstands und Arbeitnehmer der Gesellschaft sowie Mitglieder der Geschäftsführung und Arbeitnehmer von im Verhältnis zur Gesellschaft abhängig verbundenen Unternehmen im Sinne von §§ 15,17 AktG
nach Maßgabe der Beschlüsse der Hauptversammlung vom 28.06.2012, vom 27.08.2015, sowie vom 09.06.2016 ausgegeben werden, bedingt erhöht (Bedingtes Kapital VII).";;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
"""Bedingtes Kapital 2016""";;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
