Anhang für das Geschäftsjahr 2016; Annotierung (Angabe Nummer in Anhangscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
"Beim Jahresabschluss konnten die bisher angewandten Bilanzierungs- und Bewertungsmethoden im Wesentlichen übernommen
werden."; 9 ;2016;GmbH;Jahresabschluss;
Ein grundlegender Wechsel von Bilanzierungs- und Bewertungsmethoden gegenüber dem Vorjahr fand nicht statt.; 9 ;2016;GmbH;Jahresabschluss;
Angaben zur Bilanz;;2016;GmbH;Jahresabschluss;
Angabe zu Forderungen mit einer Restlaufzeit größer einem Jahr;;2016;GmbH;Jahresabschluss;
Der Betrag der Forderungen mit einer Restlaufzeit größer einem Jahr beträgt Euro 0,00 (Vorjahr: Euro 0,00).; 4.25 ;2016;GmbH;Jahresabschluss;
Pensionsrückstellungen;;2016;GmbH;Jahresabschluss;
"Bei den Rückstellungen für Altersversorgungsverpflichtungen ergibt sich zwischen dem Ansatz nach dem durchschnittlichen
Marktzinssatz aus den vergangenen zehn Geschäftsjahren und dem Ansatz nach dem durchschnittlichen Marktzinssatz aus den
vergangenen sieben Geschäftsjahren ein Unterschiedsbetrag im laufenden Geschäftsjahr in Höhe von Euro 74.402,00."; 4.48 ;2016;GmbH;Jahresabschluss;
Unterlassene Rückstellungsbildung für Pensionen und ähnliche Verpflichtungen;;2016;GmbH;Jahresabschluss;
"Die Erleichterungsmöglichkeit gemäß Artikel 28 Abs. 1 EGHGB wurde in Anspruch genommen. Der Betrag der nicht gebildeten
Rückstellungen für laufende Pensionen, Anwartschaften und ähnliche Verpflichtungen gliedert sich wie folgt: 25.483,00."; 20 ;2016;GmbH;Jahresabschluss;
Die Pensionsrückstellungen decken die erteilten Versorgungszusagen im vollen Umfang.; 22 ;2016;GmbH;Jahresabschluss;
Betrag der Verbindlichkeiten mit einer Restlaufzeit > 5 Jahre und der Sicherungsrechte;;2016;GmbH;Jahresabschluss;
"Der Gesamtbetrag der bilanzierten Verbindlichkeiten mit einer Restlaufzeit von mehr als 5 Jahren beträgt Euro 0,00 (Vorjahr: Euro
0,00)."; 4.50, 25 ;2016;GmbH;Jahresabschluss;
Angabe zu Restlaufzeitvermerken;;2016;GmbH;Jahresabschluss;
Der Betrag der Verbindlichkeiten mit einer Restlaufzeit bis zu einem Jahr beträgt Euro 145.638,14 (Vorjahr: Euro 92.484,55).; 4.51 ;2016;GmbH;Jahresabschluss;
Sonstige Angaben;;2016;GmbH;Jahresabschluss;
Durchschnittliche Zahl der während des Geschäftsjahrs beschäftigten Arbeitnehmer;;2016;GmbH;Jahresabschluss;
Die durchschnittliche Zahl der während des Geschäftsjahres im Unternehmen beschäftigten Arbeitnehmer betrug 28.; 35 ;2016;GmbH;Jahresabschluss;
