Ab PDF S. 4; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
"Der Unterschiedsbetrag nach § 253 Abs. 6 S.1 HGB zwischen dem Ansatz der Rückstellung für Altersversorgungsverpflichtungen nach Maßgabe des entsprechenden durchschnittlichen Marktzinssatzes aus den
vergangenen zehn Geschäftsjahren und dem Ansatz der Rückstellungen nach Maßgabe des entsprechenden durchschnittlichen Marktzinssatzes aus den vergangenen sieben Geschäftsjahren beträgt 50,9 Mio. Euro."; 8.48, 35 ;2016;GmbH;Jahresabschluss;EY
"Seit 2009 ist die neue betriebliche Altersversorgung im Rahmen eines Contractual Trust Arrangement (CTA) organisiert. Hierbei führt EWE NETZ die zur Erfüllung der Versorgungsverpflichtungen erforderlichen
Mittel einem Treuhandvermögen zu, welches vom EWE Treuhandverein e.V. verwaltet und für die Arbeitnehmer gesichert wird. Die Versorgungsverpflichtungen setzen sich aus der betrieblichen Direktzusage,
aus der Versorgungsordnung zur Entgeltumwandlung und aus dem Lebensarbeitszeitkontenmodell zusammen. Die betriebliche Direktzusage betrifft Mitarbeiter, deren Arbeitsverhältnis nach dem 31. August
2007 begonnen hat."; 8.48 ;2016;GmbH;Jahresabschluss;EY
"Die angelegten Vermögensgegenstände dienen ausschließlich der Erfüllung der Verpflichtungen und sind dem Zugriff übriger Gläubiger entzogen. Die Verpflichtungen wurden nach den Grundsätzen der Bilanzierung
von Deckungsvermögen bemessen und gemäß § 246 Abs. 2 HGB mit den Vermögensgegenständen verrechnet. Bei den Vermögensgegenständen handelt es sich i.W. um Zielfonds, deren Anlagekonzept
sich jeweils nach dem voraussichtlichen Zeitpunkt der Fälligkeit der Verpflichtung richtet."; 8.36, 37 ;2016;GmbH;Jahresabschluss;EY
Der in der nachstehenden Tabelle genannte beizulegende Zeitwert des durch den EWE Treuhandverein verwalteten Vermögens wurde aus den Börsenkursen des Fondsvermögens am Abschlussstichtag abgeleitet.; 8.36, 37 ;2016;GmbH;Jahresabschluss;EY
"in Mio. € 31.12.2016 31.12.2015
Erfüllungsbetrag aus der betr. Altersvorsorge -8,6 -6,8
Erfüllungsbetrag aus Lebensarbeitszeitkonten -1,5 -1,0
Beizulegender Zeitwert des angelegten Planvermögens 10,1 7,8
Überschuss des Vermögens (Aktiver Unterschiedsbetrag) 0,0 0,0
Anschaffungskosten des angelegten Vermögens 8,8 6,7"; 8.36, 37 ;2016;GmbH;Jahresabschluss;EY
"Die aus dem Deckungsvermögen resultierenden Nettoerträge sowie die Verrechnung mit den Zinsaufwendungen der korrespondierenden Erfüllungsbeträge der Verpflichtungen im Geschäftsjahr stellen sich wie
folgt dar:"; 8.36, 37 ;2016;GmbH;Jahresabschluss;EY
"in Mio. € 31.12.2016 31.12.2015
Nettoertrag aus dem CTA-Vermögen 0,2 0,2
Zinsaufwand aus der korrespondierenden Pensionsrückstellung -0,2 -0,2
Saldo nach Verrechnung 0,0 0,0"; 8.36, 37 ;2016;GmbH;Jahresabschluss;EY
"Die sonstigen Rückstellungen beinhalten alle erkennbaren Risiken und ungewissen Verpflichtungen und sind nach vernünftiger kaufmännischer Beurteilung mit dem notwendigen Erfüllungsbetrag bewertet. Bei
Rückstellungen mit einer Restlaufzeit von mehr als einem Jahr werden künftige Preis- und Kostensteigerungen berücksichtigt und eine Abzinsung auf den Bilanzstichtag vorgenommen. Als Diskontierungszins
werden die den Restlaufzeiten der Rückstellungen entsprechenden Marktzinssätze gemäß § 253 Abs. 2 HGB verwendet."; 8.50 ;2016;GmbH;Jahresabschluss;EY
"Verbindlichkeiten aus Lieferungen und Leistungen für dezentrale Einspeisungen im Jahresabrechnungsverfahren werden auf Basis einer einzelvertraglichen Hochrechnung mit den geleisteten Anzahlungen saldiert.
Die Verbindlichkeiten sind mit ihren Erfüllungsbeträgen angesetzt."; 8.56 ;2016;GmbH;Jahresabschluss;EY
Erläuterungen zur Bilanz;  5 ;2016;GmbH;Jahresabschluss;EY
1. Anlagevermögen; 4.1, 6 ;2016;GmbH;Jahresabschluss;EY
Die Aufgliederung der in der Bilanz zusammengefassten Posten des Anlagevermögens und die Entwicklung des Anlagevermögens stellt sich wie folgt dar:; 4.1, 7 ;2016;GmbH;Jahresabschluss;EY
"Anschaffungs- und Herstellungskosten
zum 01.01.2016 Zugänge Abgänge Umbuchungen
Anschaffungs- und Herstellungskosten
zum 31.12.2016
I. Immaterielle Vermögensgegenstände:
Entgeltlich erworbene Konzessionen
und ähnliche Rechte
79,7 20,1 1,3 0,1 98,6
II. Sachanlagen
1. Grundstücke, grundstücksgleiche
Rechte und Bauten
einschließlich der Bauten auf
fremden Grundstücken
93,7 1,0 0,8 1,7 95,6
2. Technische Anlagen und
Maschinen
a.) Stromversorgungsanlagen 2282,5 33,2 16,8 10,5 2.309,4
a.) Gasversorgungsanlagen 1.981,0 16,5 10,5 5,7 1.992,7
b.) Sonstige 884,2 32,1 14,9 2,2 903,6
3. Andere Anlagen, Betriebsund
Geschäftsausstattung
39,4 2,1 5,7 0,4 36,2
4. Geleistete Anzahlungen
und Anlagen im Bau
31,8 20,2 0,1 -20,6 31,3
5.312,6 105,1 48,8 -0,1 5.368,8
III. Finanzanlagen
1. Anteile an verbundenen
Unternehmen
0,1 0,0 0,0 0,0 0,1
2. Sonstige Ausleihungen 0,0 0,0 0,0 0,0 0,0
0,1 0,0 0,0 0,0 0,1
Gesamt 5.392,4 125,2 50,1 0,0 5.467,5"; 4.1, 8 ;2016;GmbH;Jahresabschluss;EY
"Abschreibungen zum
01.01.2016 Zugänge Abgänge Umbuchungen
Abschreibungen zum
31.12.2016
I. Immaterielle Vermögensgegenstände:
Entgeltlich erworbene Konzessionen
und ähnliche Rechte
35,9 4,7 1,3 0,0 39,3
II. Sachanlagen
1. Grundstücke, grundstücksgleiche
Rechte und Bauten
einschließlich der Bauten auf
fremden Grundstücken
2. Technische Anlagen und
Maschinen
a.) Stromversorgungsanlagen 1.976,3 33,3 16,2 0,0 1.993,4
a.) Gasversorgungsanlagen 1.653,3 38,7 10,3 0,0 1.681,7
b.) Sonstige 664,9 42,5 14,1 0,0 693,3
3. Andere Anlagen, Betriebsund
Geschäftsausstattung
28,0 3,0 5,6 0,0 25,4
4. Geleistete Anzahlungen
und Anlagen im Bau
0,0 0,0 0,0 0,0 0,0
4.374,3 124,8 46,9 0,0 4.452,2
III. Finanzanlagen
1. Anteile an verbundenen
Unternehmen
0,0 0,0 0,0 0,0 0,0
2. Sonstige Ausleihungen 0,0 0,0 0,0 0,0 0,0
0,0 0,0 0,0 0,0 0,0
Gesamt 4.410,2 129,5 48,2 0,0 4.491,5"; 4.1, 9 ;2016;GmbH;Jahresabschluss;EY
"31.12.2016 Buchwerte 31.12.2015
I. Immaterielle Vermögensgegenstände:
Entgeltlich erworbene Konzessionen und ähnliche Rechte 59,3 43,8
II. Sachanlagen
1. Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich
der Bauten auf fremden Grundstücken
37,2 41,9
2. Technische Anlagen und Maschinen
a.) Stromversorgungsanlagen 316,0 306,2
a.) Gasversorgungsanlagen 311,0 327,7
b.) Sonstige 210,3 219,3
3. Andere Anlagen, Betriebs- und Geschäftsausstattung 10,8 11,4
4. Geleistete Anzahlungen und Anlagen im Bau 31,3 31,8
916,6 938,3
III. Finanzanlagen
1. Anteile an verbundenen Unternehmen 0,1 0,1
2. Sonstige Ausleihungen 0,0 0,0
0,1 0,1
Gesamt 976,0 982,2"; 4.1, 10 ;2016;GmbH;Jahresabschluss;EY
"Aufgrund der ertragsteuerlichen Behandlung der Baukostenzuschüsse werden die im Berichtsjahr vereinnahmten Zuschüsse in Höhe von 32,1 Mio. Euro (Vorjahr 30,1 Mio. Euro) bei den Zugängen im Anlagevermögen
aktivisch abgesetzt."; 4.1, 11 ;2016;GmbH;Jahresabschluss;EY
2. Vorräte; 4.20, 12 ;2016;GmbH;Jahresabschluss;EY
"in Mio. € 31.12.2016 31.12.2015
Roh-, Hilfs- und Betriebsstoffe 3,8 3,2
Unfertige Erzeugnisse, unfertige Leistungen 2,1 1,8
Gesamt 5,9 5,0"; 4.20, 13 ;2016;GmbH;Jahresabschluss;EY
Bei den unfertigen Erzeugnissen und unfertigen Leistungen handelt es sich um noch nicht abgeschlossene Projektaufträge.; 4.22, 14 ;2016;GmbH;Jahresabschluss;EY
3. Forderungen und sonstige Vermögensgegenstände; 4.25, 15 ;2016;GmbH;Jahresabschluss;EY
"in Mio. € 31.12.2016 davon RLZ*) über 1 Jahr 31.12.2015
Forderungen aus Lieferungen und Leistungen 159,8 0,0 158,7
Forderungen gegen verbundene Unternehmen 22,4 0,0 23,7
Sonstige Vermögensgegenstände 28,6 0,0 21,1
Gesamt 210,8 0,0 203,5
*) Restlaufzeit"; 4.25, 16, 6 ;2016;GmbH;Jahresabschluss;EY
"Die Forderungen gegen verbundene Unternehmen beinhalten Forderungen gegenüber Gesellschaftern in Höhe von 0,7 Mio. Euro (Vorjahr 0,6 Mio. Euro). Innerhalb der Forderungen gegen verbundene Unternehmen
sind Forderungen aus Lieferungen und Leistungen von 21,7 Mio. Euro (Vorjahr 22,5 Mio. Euro) enthalten, welche im Wesentlichen die EWE VERTRIEB GmbH und die EWE TEL GmbH mit Forderungen
aus der Netznutzung betreffen."; 4.27, 17, 6, 20 ;2016;GmbH;Jahresabschluss;EY
"Die sonstigen Vermögensgegenstände beinhalten Körperschaftsteuererstattungsansprüche in Höhe von 0,1 Mio. Euro (Vorjahr 0,1 Mio. Euro) sowie Umsatzsteuerforderungen von 9,0 Mio. Euro (Vorjahr 12,6
Mio. Euro)."; 4.29, 18 ;2016;GmbH;Jahresabschluss;EY
4. Gezeichnetes Kapital; 4.38, 19 ;2016;GmbH;Jahresabschluss;EY
"Das Stammkapital der EWE NETZ GmbH beträgt 41,0 Mio. Euro.
in Mio. € 2016 2015
Stand 1. Januar 41,0 41,0
Stand 31. Dezember 41,0 41,0"; 4.38, 20 ;2016;GmbH;Jahresabschluss;EY
"5. Kapitalrücklage
in Mio. € 2016 2015
Stand 1. Januar 181,6 181,6
Stand 31. Dezember 181,6 181,6"; 4.39, 21 ;2016;GmbH;Jahresabschluss;EY
"6. Gewinnrücklagen
Die anderen Gewinnrücklagen betragen zum Stichtag 0,2 Mio. Euro.
in Mio. € 2016 2015
Stand 1. Januar 0,2 0,2
Stand 31. Dezember 0,2 0,2"; 4.40, 22 ;2016;GmbH;Jahresabschluss;EY
"7. Bau- und Investitionszuschüsse
in Mio. € 2016 2015
Stand 1. Januar 63,0 83,3
Auflösungen -17,5 -20,3
Stand 31. Dezember 45,5 63,0"; 4.0, 23 ;2016;GmbH;Jahresabschluss;EY
"8. Rückstellungen
in Mio. € 31.12.2016 31.12.2015
Rückstellungen für Pensionen 493,4 508,9
Sonstige Rückstellungen 137,4 188,3
Gesamt 630,8 697,2"; 4.47, 24 ;2016;GmbH;Jahresabschluss;EY
"Die sonstigen Rückstellungen betreffen überwiegend abgegrenzte Aufwendungen für Stromlieferungen durch dezentrale Einspeiser, Verpflichtungen aus dem Personalbereich, die abgegrenzten Aufwendungen
im Rahmen der Konzessionsabgaben und der vorgelagerten Netze sowie die Abrechnung der noch nicht abgelesenen Abnahmestellen."; 4.50, 25 ;2016;GmbH;Jahresabschluss;EY
"9. Verbindlichkeiten
davon RLZ*) über 1 bis 5
Jahre davon RLZ*) über 5 Jahre 31.12.2015
Erhaltene Anzahlungen auf Bestellungen
4,9 4,9 0,0 0,0 6,1
Verbindlichkeiten aus Lieferungen
und Leistungen
135,3 135,2 0,1 0,0 20,2
Verbindlichkeiten gegenüber verbundenen
Unternehmen
146,5 146,5 0,0 0,0 168,9
Sonstige Verbindlichkeiten 7,9 7,9 0,0 0,0 12,9
Gesamt 294,6 294,5 0,1 0,0 208,1
*) RLZ = Restlaufzeit"; 4.51, 26 ;2016;GmbH;Jahresabschluss;EY
"Die Verbindlichkeiten gegenüber verbundenen Unternehmen beinhalten Verbindlichkeiten gegenüber Gesellschaftern in Höhe von 118,2 Mio. Euro (Vorjahr 146,9 Mio. Euro). Innerhalb der Verbindlichkeiten
gegenüber verbundenen Unternehmen sind Verbindlichkeiten aus Lieferungen und Leistungen von 30,8 Mio. Euro (Vorjahr 20,9 Mio. Euro) enthalten, welche u.a. die Mehr- und Mindermengenabrechnung mit
der EWE VERTRIEB GmbH betreffen."; 4.58, 27, 6, 20 ;2016;GmbH;Jahresabschluss;EY
Die Sonstigen Verbindlichkeiten enthalten u.a. Verbindlichkeiten aus Steuern in Höhe von 1,4 Mio. Euro (Vorjahr 1,7 Mio. Euro).; 4.61, 28 ;2016;GmbH;Jahresabschluss;EY
10. Sonstige finanzielle Verpflichtungen; 29 ;2016;GmbH;Jahresabschluss;EY
Aus Bestellobligos bestehen sonstige Verpflichtungen in Höhe von 49 Mio. Euro (Vorjahr 47 Mio. Euro).; 30 ;2016;GmbH;Jahresabschluss;EY
Erläuterungen zur Gewinn- und Verlustrechnung; 31 ;2016;GmbH;Jahresabschluss;EY
"11. Umsatzerlöse
in Mio. € 2016
2015.
vor BilRUG
2015.
nach BilRUG
Regenerative Energien 1.361,9 1.387,3 1.387,3
Strom 711,6 626,9 626,9
Gas 383,4 325,5 325,5
TK/Sonstiges 135,8 123,9 173,8
Gesamt 2.592,7 2.463,6 2.513,5"; 4.66, 32 ;2016;GmbH;Jahresabschluss;EY
"Die erstmalige Anwendung des Bilanzrichtlinie-Umsetzungsgesetzes (BilRUG) hat unter anderem die Struktur der Gewinn- und Verlustrechnung beeinflusst. Durch die Neufassung der Umsatzerlösdefinition
werden Erlöse, die im Vorjahr den sonstigen betrieblichen Erträgen zugeordnet waren, unter den Umsatzerlösen gezeigt. Des Weiteren sind korrespondierende sonstige betriebliche Aufwendungen in den Materialaufwand
umgegliedert worden. Eine Anpassung der Vorjahreswerte wurde nicht vorgenommen."; 4.66, 33 ;2016;GmbH;Jahresabschluss;EY
"Aufgrund des EEG-Belastungsausgleichs erfolgt im Rahmen der EEG-Systematik eine Anpassung der Erlöse an die tatsächlich festgestellten Einspeisemengen und Vergütungssätze. Aus dieser Systematik
resultieren periodenfremde Umsatzerlöse aus regenerativen Energien in Höhe von 35,7 Mio. Euro (Vorjahr 45,5 Mio. Euro)."; 4.66, 34, 57 ;2016;GmbH;Jahresabschluss;EY
"Die Umsatzerlöse resultieren neben der EEG-Vergütung aus den Aufgaben der EWE NETZ GmbH als Netzbetreiber. Dazu zählen die Betriebsführung, Instandhaltung, Wartung und der Ausbau der Netzinfrastruktur
sowie der Netzvertrieb. Sämtliche Umsatzerlöse werden in Deutschland erzielt."; 4.66, 35 ;2016;GmbH;Jahresabschluss;EY
12. Sonstige betriebliche Erträge; 4.69, 36 ;2016;GmbH;Jahresabschluss;EY
"Die sonstigen betrieblichen Erträge enthalten u.a. Erträge aus Anlagenabgängen von 1 Mio. Euro (Vorjahr 1 Mio. Euro) sowie Erträge aus der Auflösung von Rückstellungen in Höhe von 4 Mio. Euro (Vorjahr
33 Mio. Euro)."; 4.69, 37 ;2016;GmbH;Jahresabschluss;EY
13. Materialaufwand; 4.70, 38 ;2016;GmbH;Jahresabschluss;EY
"in Mio. € 2016 2015
Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren 1.550,2 1.529,8
Aufwendungen für bezogene Leistungen 360,2 272,9
Gesamt 1.910,4 1.802,7"; 4.71, 4.72, 39 ;2016;GmbH;Jahresabschluss;EY
"Die Materialaufwendungen aus regenerativen Energien enthalten Aufwendungen von 37,2 Mio. Euro (Vorjahr 45,2 Mio. Euro), die das Vorjahr betreffen. Aufgrund des EEG-Belastungsausgleichs erfolgt jährlich
im Rahmen des EEG-Testats eine Anpassung der Vorjahreserlöse und Vorjahresaufwendungen an die tatsächlich festgestellten Einspeisemengen und Vergütungssätze."; 4.70, 40 ;2016;GmbH;Jahresabschluss;EY
14. Personalaufwand; 4.73, 41 ;2016;GmbH;Jahresabschluss;EY
"in Mio. € 2016 2015
Löhne und Gehälter 129,8 125,6
Soziale Abgaben 19,4 19,2
davon für Altersversorgung -2,1 -2,8
Gesamt 149,2 144,8"; 4.73, 42 ;2016;GmbH;Jahresabschluss;EY
15. Abschreibungen; 4.77, 43 ;2016;GmbH;Jahresabschluss;EY
Dieser Posten enthält ausschließlich Abschreibungen auf immaterielle Vermögensgegenstände und Sachanlagen. In den Abschreibungen sind außerplanmäßige Abschreibungen in Höhe von 12 Mio. Euro enthalten.; 4.77, 44, 55 ;2016;GmbH;Jahresabschluss;EY
16. Sonstige betriebliche Aufwendungen; 4.80, 45 ;2016;GmbH;Jahresabschluss;EY
"Innerhalb der sonstigen betrieblichen Aufwendungen werden außergewöhnliche Aufwendungen im Zusammenhang mit der erstmaligen Anwendung des BilMoG ausgewiesen, welche im Wesentlichen aus der
geänderten Bewertung der laufenden Pensionen und Anwartschaften auf Pensionen resultieren und über einen Zeitraum von sieben Jahren verteilt werden."; 4.80, 46 ;2016;GmbH;Jahresabschluss;EY
Mit der Einführung des BiLRUG wird dieser Betrag von 1 Mio. Euro im Berichtsjahr offen in der Gewinn- und Verlustrechnung innerhalb des sonstigen betrieblichen Aufwandes ausgewiesen.; 4.80, 47 ;2016;GmbH;Jahresabschluss;EY
17. Zinsergebnis; 4.85, 4.88, 48 ;2016;GmbH;Jahresabschluss;EY
"2016 2015
Zinsen und ähnliche Aufwendungen 15,2 63,1
davon an verbundene Unternehmen 0,2 0,2
davon Aufwendungen aus der Aufzinsung von Rückstellungen 15,0 62,8
Gesamt 15,2 63,1"; 4.85, 4.88, 49, 58 ;2016;GmbH;Jahresabschluss;EY
18. Steuern vom Einkommen und vom Ertrag (Steuerumlage);  4.90, 50 ;2016;GmbH;Jahresabschluss;EY
"Mit der EWE AG besteht eine ertragsteuerliche Organschaft. Demzufolge weist die Organgesellschaft EWE NETZ gegenüber dem Organträger einen Aufwand aus Steuerumlage in Höhe von 55,6 Mio. Euro
(Vorjahr: Aufwand 59,6 Mio. Euro) aus. Die latenten Steuern werden auf Ebene des Organträgers berücksichtigt.";  4.90, 51, 24, 25 ;2016;GmbH;Jahresabschluss;EY
19. Aufgrund eines Ergebnisabführungsvertrags abgeführte Gewinne; 52 ;2016;GmbH;Jahresabschluss;EY
"Zwischen der EWE NETZ GmbH und der EWE AG besteht ein Ergebnisabführungsvertrag. Das von der EWE NETZ GmbH erwirtschaftete Ergebnis nach Steuerumlage in Höhe von 128,0 Mio. Euro (Vorjahr:
122,9 Mio. Euro) wird vollständig an die EWE AG abgeführt.";  53 ;2016;GmbH;Jahresabschluss;EY
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
