Ab S. 22; Annotierung (Angabe Nummer in Anahngscheckliste) ;Gesch„ftsjahr;Gesellschaft;Abschlussart;Prfer
"Firma, Sitz Beteiligungsquote Eigenkapital Ergebnis 2016
Duravit Sanit„rporzellan Meiáen
GmbH, Meiáen
100 % EUR 256.000,00 EUR 0,00 nach Ergebnisabfhrung
an Duravit AG, Hornberg
DURALOG Duravit Logistik
GmbH, Hornberg
100 % EUR 256.000,00 EUR 0,00 nach Ergebnisabfhrung
an Duravit AG, Hornberg
Duravit S.A., Bischwilier, Frankreich
100 % EUR 10.297.927,20 EUR 277.595,52
Duravit USA Inc., Atlanta, USA 100 % USD 3.211.658,78 USD 950.708,00
(Kurs: 0,94697) EUR 3.041.344,51 EUR 900.291,95
Duravit Egypt Sanitary Ware Manufacturing
Company (S.A.E.), Kairo,
gypten*
79,97 % EGP 345.970.393,37 EGP 68.631.098,26
(Kurs: 0,05223) EUR 18.070.033,65 EUR 3.584.602,26
DURAVIT BeLux S.P.R.L., Overijse,
Belgien
100 % EUR -2.157.740,80 EUR -91.521,66
Duravit Espana, S. L., Barcelona,
Spanien
100 % EUR 781.582,64 EUR 218.919,65
Duravit Nederland B.V.,
S'Hertogenbosch, Niederlande
100 % EUR -230.992,00 EUR -40.994,00
Duravit Trkiye A.S., Istanbul, Trkei
84,62 % TRY 18.630.141,77 TRY 1.045.700,72
(Kurs: 0,26832) EUR 4.998.839,64 EUR 280.582,42
Duravit Middle East S.A.L., Beirut,
Libanon
100 % EUR 1.908.777,95 EUR -471.262,87
Duravit UK Ltd., Milton Keynes,
Groábritannien
100 % GBP 1.915.273,43 GBP 395.698,68
(Kurs: 1,16469) EUR 2.230.699,81 EUR 460.866,30
Duravit Asia Ltd., Hongkong, China 100 % EUR 36.856.603,81 EUR 7.425.228,62
Duravit China Sani taryware Co.
Ltd., Chongqing, China**
100 % RMB 392.585.271,27 RMB 63.483.530,43
(Kurs: 0,13652) EUR 53.595.741,23 EUR 8.666.771,57
Duravit India Pvt. Ltd., Ahmedabad,
Indien
100 % INR 722.525.901,23 INR 67.123.835,90
(Kurs 0,01396) EUR 10.086.461,58 EUR 937.048,75
uravit Austria GmbH, Wien, ™sterreich
100 % EUR -297.118,41 EUR 651.557,53
Duravit Denmark A/S, Hasselager,
D„nemark
100 % DKK 4.496.260,94 DKK 1.827.586,79
(Kurs: 0,13450) EUR 604.747,10 EUR 245.810,42
Duravit Italia S.r.l., Ravenna, Italien 100 % EUR -63.106,99 EUR -88.898,67
Duravit Schweiz AG, Othmarsingen,
Schweiz
100 % CHF -208.401,08 CHF 258.775,12
(Kurs: 0,93023) EUR -193.860,94 EUR 240.720,38
Duravit Sweden AB, G”teborg,
Schweden
100 % SEK 79.015,06 SEK 2.039.649,42
(Kurs: 0,10453) EUR 8.259,44 EUR 213.204,55
Duravit Japan Co. Ltd., Osaka, Japan
**
100 % JPY -100.143.187,00 JPY -8.903.059,00
(Kurs: 0,00810) EUR -811.159,81 EUR -72.114,78
Duravit Tunisia S.A. Bizerte, Tunesien
95 % TND 10.740.256,80 TND -165.058,68
(Kurs: 0,41195) EUR 4.424.448,79 EUR -67.995,92
Duravit South Africa Pty. Ltd., Bedfordview,
Sdafrika
100 % ZAR 9.878.927,22 ZAR 1.974.678,74
(Kurs: 0,06911) EUR 682.732,66 EUR 136.470,05
Duravit Saudi Arabia LLC, Jeddah/
Saudi Arabien***
100 % SAR 1.470.484,99 SAR -20.853,02
(Kurs: 0,25251) EUR 371.312,16 EUR -5.265,60
Duravit Polska Sp. Raszyn, z.o.o.,
Polen
100 % PLN 1.516.962,12 PLN 359.430,11
(Kurs: 0,22655) EUR 343.667,77 EUR 81.428,89
Duravit Sanitaryware Technology
Ltd., Shanghai, China**
100 % RMB 46.051.101,97 RMB 2.479.488,39
(Kurs: 0,13652) EUR 6.286.896,44 EUR 338.499,76
Duravit do Brasil Ltda., SÆo Paulo,
Brasilien
100 % BRL -8.296.516,65 BRL -1.620.668,99
(Kurs: 0,29097) EUR -2.414.037,45 EUR -471.566,06
Duravit Ceska republika s.r.o., Znojmo,
Tschechische Republik
100 % CZK 2.300.014,40 CZK 148.648,73
(Kurs: 0,03701) EUR 85.123,53 EUR 5.501,49
OOO Duravit Rus, Moskau, Russland
100 % RUB 5.685.005,26 RUB 3.736.984,51
(Kurs: 0,01546) EUR 87.890,18 EUR 57.773,78
Duravit Grundstcksverwaltungsgesellschaft
mbH & Co. Objekt Hornberg-
KG, Pullach
100 % EUR 1.694.977,27 EUR 251.467.50
Duravit Grundstcksverwaltungsgesellschaft
mbH & Co. Vermietungs-
KG, Pullach
94 % EUR 37.107,10 EUR -2.263,68
Duravit Distribution SARL., Tunis,
Tunesien
49 % TND 2.852.734,75 TND 512.108,30
(Kurs: 0,41195) EUR 1.175.184,08 EUR 210.963,01
* Die Angaben beziehen sich auf den Teilkonzernabschluss der Gesellschaft
** 100 % Tochtergesellschaft von Duravit Asia Ltd.
*** 95 % Tochtergesellschaft von Duravit Middle East SAL., 5 % Tochtergesellschaft von Duravit AG"; 4.15,94 ;2016;AG;Jahresabschluss;Kesel & Partner
4. Anlagenspiegel Duravit AG; 4.2 ;2016;AG;Jahresabschluss;Kesel & Partner
"Immaterielle Verm”gensgegenst„nde
Sachanlagen
Entgeltlich erworbene
Software Nutzungsrechte
Kundenstamm Grundstcke und Bauten
Technische Anlagen u.
Maschinen
Betriebs- u. Gesch„ftsausstattung
Geleistete Anzahlungen
und Anlagen im Bau Sachanlagen Gesamt
EUR EUR EUR EUR EUR EUR
Anschaffungsund
Herstellungskosten
Stand 01.01.2016 7.765.114,15 18.284.712,63 21.064.235,55 30.019.761,74 812.616,67 70.181.326,59
Zug„nge 402.378,42 473.220,42 1.073.471,33 3.564.777,04 571.650,61 5.683.119,40
Umbuchungen 0,00 0,00 611.500,00 194.450,00 -805.950,00 0,00
Abg„nge 33.777,91 0,00 2.853.849,53 3.939.054,29 0,00 6.792.903,82
Stand 31.12.2016 8.133.714,66 18.757.933,05 19.895.357,35 29.839.934,49 578.317,28 69.071.542,17
Kumulierte Abschreibungen
Stand 01.01.2016 7.231.346,15 8.701.745,25 17.827.478,55 24.149.687,74 0,00 50.678.911,54
Zug„nge = Jahres-
abschreibung
2016
378.822,42 394.255,42 893.493,33 2.335.909,04 0,00 3.623.657,79
Umbuchungen 0,00 0,00 0,00 0,00 0,00 0,00
Abg„nge 33.772,91 0,00 2.853.750,53 3.834.548,29 0,00 6.688.298,82
Stand 31.12.2016 7.576.395,66 9.096.000,67 15.867.221,35 22.651.048,49 0,00 47.614.270,51
Buchwerte
Stand 01.01.2016 533.768,00 9.582.967,38 3.236.757,00 5.870.074,00 812.616,67 19.502.415,05
Zug„nge 402.378,42 473.220,42 1.073.471,33 3.564.777,04 571.650,61 5.683.119,40
Umbuchungen 0,00 0,00 611.500,00 194.450,00 -805.950,00 0,00
Abg„nge 5,00 0,00 99,00 104.506,00 0,00 104.605,00
Abschreibung 378.822,42 394.255,42 893.493,33 2.335.909,04 0,00 3.623.657,79
Stand 31.12.2016 557.319,00 9.661.932,38 4.028.136,00 7.188.886,00 578.317,28 21.457.271,66
Finanzanlagen
Anteile an verbundenen
Unternehmen Anlageverm”gen Gesamt
EUR EUR
Anschaffungs- und Herstellungskosten
Stand 01.01.2016 109.885.310,00 187.831.750,74
Zug„nge 3.200.000,00 9.285.497,82
Umbuchungen 0,00 0,00
Abg„nge 6.826.681,73
Stand 31.12.2016 113.085.310,00 190.290.566,83
Kumulierte Abschreibungen
Stand 01.01.2016 362.070,00 58.272.327,69
Zug„nge = Jahres- abschreibung 2016 0,00 4.002.480,21
Umbuchungen 0,00 0,00
Abg„nge 6.722.071,73
Stand 31.12.2016 362.070,00 55.552.736,17
Buchwerte
Stand 01.01.2016 109.523.240,00 129.559.423,05
Zug„nge 3.200.000,00 9.285.497,82
Umbuchungen 0,00 0,00
Abg„nge 0,00 104.610,00
Abschreibung 0,00 4.002.480,21
Stand 31.12.2016 112.723.240,00 134.737.830,66"; 15,16 ;2016;AG;Jahresabschluss;Kesel & Partner
5. VORRTE; 4.20 ;2016;AG;Jahresabschluss;Kesel & Partner
"Die Vorr„te werden zu Anschaffungs- bzw. Herstellungskosten oder mit dem niedrigeren beizulegenden Wert angesetzt. In den Herstellungskosten werden neben den direkt zurechenbaren Kosten auch Fertigungsgemeinkosten,
nicht jedoch Verwaltungs- und Vertriebskosten erfasst."; 4.20,8.20 ;2016;AG;Jahresabschluss;Kesel & Partner
6. FORDERUNGEN UND SONSTIGE VERM™GENSGEGENSTNDE; 4.25 ;2016;AG;Jahresabschluss;Kesel & Partner
Bei der Bewertung der Forderungen aus Lieferungen und Leistungen ist das spezielle Kreditrisiko durch Einzelwertberichtigungen, das latente Kreditrisiko durch eine Pauschalwertberichtigung bercksichtigt.; 4.26,8.26 ;2016;AG;Jahresabschluss;Kesel & Partner
Die Forderungen gegen verbundene Unternehmen und die sonstigen Verm”gensgegenst„nde sind mit den Nominalwerten, abzglich wertangemessener Einzelwertberichtigungen, angesetzt.; 4.27,8.27 ;2016;AG;Jahresabschluss;Kesel & Partner
"In den Forderungen aus Lieferungen und Leistungen sind Forderungen mit einer Restlaufzeit von mehr als einem Jahr in H”he von EUR 4.923,81 (Vj. TEUR 6), in den Forderungen gegen verbundene Unternehmen
von EUR 2.286.352,65 (Vj. TEUR 760) und in den sonstigen Verm”gensgegenst„nden solche von EUR 120,00 (Vj. TEUR 299) enthalten."; 4.26,20 ;2016;AG;Jahresabschluss;Kesel & Partner
7. LATENTE STEUERN; 4.35,4.64 ;2016;AG;Jahresabschluss;Kesel & Partner
Ausgewiesen wird der Saldo aus aktiven und passiven latenten Steuern.; 4.35,4.64,8.35,8.64,27 ;2016;AG;Jahresabschluss;Kesel & Partner
Aktive latente Steuern beruhen auf Unterschieden zwischen handelsrechtlichem und steuerrechtlichem Bilanzansatz von Pensions- und Jubil„umsrckstellungen.; 4.35,8.35,27 ;2016;AG;Jahresabschluss;Kesel & Partner
Passive latente Steuern beruhen auf Unterschieden zwischen handelsrechtlichem und steuerrechtlichem Bilanzansatz von Sachanlagen, Fremdw„hrungsforderungen und Fremdw„hrungsverbindlichkeiten.; 4.64,8.64,27 ;2016;AG;Jahresabschluss;Kesel & Partner
Die Bewertungsunterschiede zwischen Handelsbilanz und Steuerbilanz wurden mit dem unternehmensindividuellen Steuersatz von 28,1 % berechnet.; 4.35,4.64,27 ;2016;AG;Jahresabschluss;Kesel & Partner
In folgender Tabelle werden die Ver„nderungen der latenten Steuersalden im Laufe des Gesch„ftsjahrs und die latenten Steuersalden am Ende des Gesch„ftsjahrs dargestellt.; 4.35,4.64,28 ;2016;AG;Jahresabschluss;Kesel & Partner
"01.01.2016 Ver„nderung 2016 31.12.2016
EUR EUR EUR
Aktive latente Steuern 1.749.000,00 8.000,00 1.757.000,00
Passive latente Steuern 1.131.000,00 -14.000,00 1.117.000,00
618.000,00 22.000,00 640.000,00"; 4.35,4.64,28 ;2016;AG;Jahresabschluss;Kesel & Partner
8. GEZEICHNETES KAPITAL; 4.38 ;2016;AG;Jahresabschluss;Kesel & Partner
Das Grundkapital der Duravit AG betr„gt EUR 12.480.000,00. Es ist eingeteilt in 480.000 auf den Inhaber lautende Nennbetragsaktien zu je EUR 26,00.; 4.38,32 ;2016;AG;Jahresabschluss;Kesel & Partner
Aktienurkunden sind derzeit noch nicht ausgegeben.;;2016;AG;Jahresabschluss;Kesel & Partner
9. GEWINNRšCKLAGEN; 4.40 ;2016;AG;Jahresabschluss;Kesel & Partner
"01.01.2016
Einstellung aus dem Bilanzgewinn
des Vorjahres
Einstellung aus dem Jahresberschuss
des Gesch„ftsjahres
31.12.2016
EUR EUR EUR EUR
Gesetzliche Rcklage 1.248.000,00 0,00 0,00 1.248.000,00
ndere Gewinnrcklagen 152.876.000,00 2.920.000,00 7.056.000,00 162.852.000,00
154.124.000,00 2.920.000,00 7.056.000,00 164.100.000,00"; 4.40,74,77 ;2016;AG;Jahresabschluss;Kesel & Partner
10. BILANZGEWINN;;2016;AG;Jahresabschluss;Kesel & Partner
Im Bilanzgewinn ist ein Gewinnvortrag aus dem Vorjahr in H”he von EUR 3.104,48 enthalten.; 37,72 ;2016;AG;Jahresabschluss;Kesel & Partner
11. RšCKSTELLUNGEN FšR PENSION UND HNLICHE VERPFLICHTUNGEN; 4.48 ;2016;AG;Jahresabschluss;Kesel & Partner
"Die Bewertung der Pensionsverpflichtungen erfolgte nach den anerkannten Grunds„tzen der Versicherungsmathematik mittels der sog. ?Projected-Unit-Credit-Methode"" (PUC-Methode). Als biometrische Rechnungsgrundlagen
wurden die Richttafeln 2005 G von Prof. Dr. Klaus Heubeck verwendet."; 4.48,8.48,41 ;2016;AG;Jahresabschluss;Kesel & Partner
"Folgende weitere Annahmen liegen der Bewertung zugrunde:
Rechnungszinssatz p. a.: 4,00 %
Rententrend p. a.: 1,60 %
Fluktuation p. a. (Pensionsordnung): 6,04 %
Fluktuation p. a. (Einzelzusagen): 6,04 %"; 4.48,41 ;2016;AG;Jahresabschluss;Kesel & Partner
Die Bewertung der Pensionsrckstellungen erfolgte gem„á õ 253 Abs. 2 S. 2 HGB mit dem durchschnittlichen Marktzinssatz der vergangenen zehn Jahre.; 4.48,8.48,41,42 ;2016;AG;Jahresabschluss;Kesel & Partner
Der Unterschiedsbetrag gem„á õ 253 Abs. 6 HGB zwischen dem Erfllungsbetrag bei Anwendung des Durchschnittszinssatzes der vergangenen sieben Jahre bzw. zehn Jahre ergibt sich wie folgt:; 4.48,42 ;2016;AG;Jahresabschluss;Kesel & Partner
"Erfllungsbetrag bei Anwendung
- Durchschnittszinssatz 7 Jahre (3,22 %) 22.552.692,00
- Durchschnittszinssatz 10 Jahre (4,00 %) 19.799.158,00
Unterschiedsbetrag gem„á õ 253 Abs. 6 HGB 2.753.534,00"; 4.48,42 ;2016;AG;Jahresabschluss;Kesel & Partner
"Der Unterschiedsbetrag fhrt gem„á õ 253 Abs. 6 S. 2 HGB grunds„tzlich zu einer Ausschttungssperre. Diese kommt jedoch nicht zum Tragen, soweit nach der Gewinnausschttung die verfgbaren freien
Rcklagen sowie der Ergebnisvortrag dem Unterschiedsbetrag mindestens entsprechen."; 4.48,42 ;2016;AG;Jahresabschluss;Kesel & Partner
Zum 31.12.2016 betragen die freien Rcklagen (andere Gewinnrcklagen EUR 162.852.000,00).; 4.44 ;2016;AG;Jahresabschluss;Kesel & Partner
"Aufgrund der durch das BilMoG ge„nderten Bewertungsvorschriften fr Rckstellungen fr Pensionen war zum 01.01.2010 eine Zufhrung von EUR 3.347.291,00 erforderlich. Die Gesellschaft hat - wie im
Vorjahr - von dem Wahlrecht Gebrauch gemacht, den Mindestbetrag von einem Fnfzehntel des Unterschiedsbetrags (EUR 223.153,00) zuzufhren (Art. 67 Abs. 1 Satz 1 EGHGB). Abweichend vom Vorjahr
wurde der Zufhrungsbetrag unter den sonstigen betrieblichen Aufwendungen ausgewiesen."; 2,4.48,45 ;2016;AG;Jahresabschluss;Kesel & Partner
Die in der Bilanz nicht ausgewiesenen Rckstellungen betragen zum 31.12.2016 EUR 1.785.220,00.; 47 ;2016;AG;Jahresabschluss;Kesel & Partner
12. SONSTIGE RšCKSTELLUNGEN; 4.50 ;2016;AG;Jahresabschluss;Kesel & Partner
"Die sonstigen Rckstellungen werden in H”he des Erfllungsbetrags angesetzt, der nach vernnftiger kaufm„nnischer Beurteilung notwendig ist, um alle erkennbaren Risiken und ungewissen Schulden zu
bercksichtigen; dem Vorsichtsprinzip wurde bei der Berechnung der Rckstellungen angemessen Rechnung getragen."; 4.50,8.50,47 ;2016;AG;Jahresabschluss;Kesel & Partner
"Die sonstigen Rckstellungen enthalten Rckstellungen aus folgenden Bereichen:
31.12.2016 31.12.2015
EUR TEUR
Personalbereich
Ausstehende Urlaube, Berufsgenossenschaft, Jubil„umszahlungen, Erfolgspr„mien, Produktivit„tspr„mien, aufgelaufene Stunden
Jahresarbeitszeit, Gleitzeitberhang, Altersteilzeit, sonstige Personalrisiken
7.501.695,00 6.750
Vertriebsbereich
Reklamationen und Gew„hrleistungen, Austauschkosten 1.319.500,00 1.285
Andere
Jahresabschlusskosten, ausstehende Rechnungen, unterlassene Instandhaltung, Aufbewahrung Gesch„ftsunterlagen 1.137.700,00 695
9.958.895,00 8.730"; 4.50,47 ;2016;AG;Jahresabschluss;Kesel & Partner
13. VERBINDLICHKEITEN; 4.51 ;2016;AG;Jahresabschluss;Kesel & Partner
Verbindlichkeiten sind mit dem Erfllungsbetrag passiviert.; 4.51 ;2016;AG;Jahresabschluss;Kesel & Partner
"Restlaufzeiten Gesamt
bis zu 1 Jahr 1 - 5 Jahre mehr als 5 Jahre
31.12.2016 31.12.2015 31.12.2016 31.12.2015 31.12.2016 31.12.2015 31.12.2016 31.12.2015
EUR TEUR EUR TEUR EUR TEUR EUR TEUR
Verbindlichkeiten
gegenber Kreditinstituten
6.875.000,00 6.875 14.000.000,00 20.875 0,00 0 20.875.000,00 27.750
Verbindlichkeiten
aus Lieferungen
und Leistungen
4.914.107,31 3.974 0,00 0 0,00 0 4.914.107,31 3.974
Verbindlichkeiten
gegenber verbundenen
Unternehmen
14.657.915,16 15.808 0,00 226 0,00 0 14.657.915,16 16.034
Sonstige Verbindlichkeiten
7.775.098,77 7.479 2.864,54 2 0,00 0 7.777.963,31 7.481
davon aus Steuern:
EUR 685.780,70
(Vj. TEUR 886)
davon im Rahmen
der sozialen
Sicherheit: EUR
63.332,77 (Vj.
TEUR 69)
34.222.121,24 34.136 14.002.864,54 21.103 0,00 0 48.224.985,78 55.239"; 4.51,49,50 ;2016;AG;Jahresabschluss;Kesel & Partner
"Von den Verbindlichkeiten gegenber Kreditinstituten sind keine durch Grundpfandrechte besichert. Bei den Verbindlichkeiten aus Lieferungen und Leistungen bestehen branchenbliche Eigentumsvorbehalte
der Lieferanten. Die brigen Verbindlichkeiten sind unbesichert."; 4.51,51,52 ;2016;AG;Jahresabschluss;Kesel & Partner
14. HAFTUNGSVERHLTNISSE;;2016;AG;Jahresabschluss;Kesel & Partner
"Gegenber den Tochterunternehmen Duravit Italien, Duravit Nederland und Duravit Asia (fr deren Tochterunternehmen Duravit Japan) bestehen Gew„hrleistungszusagen fr den Erhalt der notwendigen
Liquidit„ts- bzw. Kapitalausstattungen dieser Gesellschaften."; 54 ;2016;AG;Jahresabschluss;Kesel & Partner
"Das Risiko einer Inanspruchnahme aus den Haftungsverh„ltnissen wird aufgrund der positiven Verm”gens-, Finanz- und Ertragslage der Tochterunternehmen als gering eingesch„tzt. Eine Passivierung der
Haftungsverh„ltnisse war somit nicht geboten."; 54,55 ;2016;AG;Jahresabschluss;Kesel & Partner
GEWINN- UND VERLUSTRECHNUNG; 4 ;2016;AG;Jahresabschluss;Kesel & Partner
15. UMSATZKOSTEN VERFAHREN; 4 ;2016;AG;Jahresabschluss;Kesel & Partner
Die Gesellschaft erstellt die Gewinn- und Verlustrechnung nach dem Umsatzkostenverfahren gem„á õ 275 Abs. 3 HGB.; 4,8 ;2016;AG;Jahresabschluss;Kesel & Partner
Hinsichtlich der Anwendung des Umsatzkostenverfahrens werden in den Herstellungskosten der zur Erzielung der Umsatzerl”se erbrachten Leistungen Vollkosten ausgewiesen.; 4,8 ;2016;AG;Jahresabschluss;Kesel & Partner
Die Verwaltungskosten werden vollst„ndig in der Position allgemeine Verwaltungskosten ausgewiesen und sind in den Herstellungskosten nicht enthalten.; 4,8 ;2016;AG;Jahresabschluss;Kesel & Partner
16. UMSATZERL™SE; 4.66 ;2016;AG;Jahresabschluss;Kesel & Partner
Die ausschlieálich im Sanit„rbereich erzielten Umsatzerl”se gliedern sich wie folgt:; 4.66,58 ;2016;AG;Jahresabschluss;Kesel & Partner
"2016.
EUR
2015*) .
TEUR
Inland 73.515.190,51 70.246
Ausland 198.388.024,43 191.776
271.903.214,94 262.022"; 3,4.66,58,59 ;2016;AG;Jahresabschluss;Kesel & Partner
*) Vorjahreswerte gem„á HGB n. F. (BilRUG); 3,4.66,59 ;2016;AG;Jahresabschluss;Kesel & Partner
17. MATERIALAUFWAND; 4.70 ;2016;AG;Jahresabschluss;Kesel & Partner
Aufgliederung nach õ 275 Abs. 2 Nr. 5; 4.70,60 ;2016;AG;Jahresabschluss;Kesel & Partner
"2016.
EUR
2015*) .
TEUR
a) Aufwendungen fr Roh-, Hilfs- und Betriebsstoffe und fr bezogene Waren 140.989.065,68 134.367
b) Aufwendungen fr bezogene Leistungen 2.810.626,47 3.735
143.799.692,15 138.102"; 3,4.70,59,60 ;2016;AG;Jahresabschluss;Kesel & Partner
*) Vorjahreswerte gem„á HGB n. F. (BilRUG); 2,3,4.70,59 ;2016;AG;Jahresabschluss;Kesel & Partner
18. PERSONALAUFWAND; 4.73 ;2016;AG;Jahresabschluss;Kesel & Partner
Aufgliederung nach õ 275 Abs. 2 Nr. 6; 4.73,61 ;2016;AG;Jahresabschluss;Kesel & Partner
"2016.
EUR
2015.
TEUR
a) L”hne und Geh„lter 43.154.753,90 40.667
b) Soziale Abgaben und Aufwendungen fr Altersversorgung und fr Untersttzung 7.623.537,19 7.671
davon fr Altersversorgung: EUR 382.805,30 (707)
50.778.291,09 48.338"; 4.73,59,61 ;2016;AG;Jahresabschluss;Kesel & Partner
19. SONSTIGE BETRIEBLICHE ERTRGE; 4.69 ;2016;AG;Jahresabschluss;Kesel & Partner
"2016 2015*)
EUR TEUR
Ertr„ge aus der W„hrungsumrechnung 561.623,72 58
Sonstige 1.207.194,08 1.592
1.768.817,80 1.650"; 3,4.69,67 ;2016;AG;Jahresabschluss;Kesel & Partner
*) Vorjahreswerte gem„á HGB n. F. (BilRUG); 3,4.69,59 ;2016;AG;Jahresabschluss;Kesel & Partner
20. SONSTIGE BETRIEBLICHE AUFWENDUNGEN; 4.80 ;2016;AG;Jahresabschluss;Kesel & Partner
"2016 2015*)
EUR TEUR
Aufwendungen aus der W„hrungsumrechnung 0,00 0
Sonstige 1.555.396,97 2.219
1.555.396,97 2.219"; 3,4.80,67 ;2016;AG;Jahresabschluss;Kesel & Partner
*) Vorjahreswerte gem„á HGB n. F. (BilRUG); 3,4.80,59 ;2016;AG;Jahresabschluss;Kesel & Partner
"Die sonstigen betrieblichen Aufwendungen enthalten in H”he von EUR 223.153,00 Aufwendungen nach Art. 67 Abs. 1 Satz 1 HGB (Aufstockung der Pensionsrckstellung), die in Vorjahren als auáerordentlicher
Aufwand ausgewiesen wurden."; 2,4.80,65 ;2016;AG;Jahresabschluss;Kesel & Partner
