Anhang für das Geschäftsjahr 2016; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
Anteilige Verbindlichkeiten gegenüber Kreditinstituten in Höhe von k€ 824 sind durch eine im Grundbuch von Duisburg eingetragene Grundschuld im Gleichrang besichert.;45;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
Weitere Verbindlichkeiten gegenüber Kreditinstituten sind durch eine im Grundbuch von Duisburg eingetragene Grundschuld über k€ 14.000 im Gleichrang besichert.;45;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
4. Abschlussprüferhonorar;72;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
Die Gesellschaft macht von dem Wahlrecht gemäß § 285 Nr. 17 letzter Satzteil HGB Gebrauch. Die Angabe der Prüferhonorare erfolgt im Konzernabschluss des Mutterunternehmens, der Ludwig Krohne GmbH & Co. KG, Duisburg.;72;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
5. Mitarbeiterzahl;64;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
Die KROHNE Messtechnik GmbH hat im Geschäftsjahr 2016 durchschnittlich 260 (Vj. 259) gewerbliche Arbeitnehmer, 461 (Vj. 443) Angestellte und 29 (Vj. 34) Auszubildende.;64;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
6. Anteilsbesitz;77;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
"Firma und Sitz Währung Gesellschaftskapital
Beteiligung.
% Eigenkapital Ergebnis
Verbundene Unternehmen
Firma und Sitz Währung Gesellschaftskapital
Beteiligung.
% Eigenkapital Ergebnis
KROHNE Innovation GmbH,
Deutschland
T-EUR 2.556 100 111 -3.630 (vor EAV)
KROHNE CZ spol. r.o., Tschechien T-CZK 3.500 100 19.728 2.142
Krohne Pressure Solutions GmbH,
Deutschland
T-EUR 100 70 - 14.668 -2.396
Krohne Optosens GmbH, Deutschland
T-EUR 30 100 -5.948 2.684
Krohne Otomasyon Sanayi ve Ticaret
Ltd., Türkei
T-TRY 2.200 100 1.906 -758
Krohne Polska SP. Z o.o., Polen T-PLN 1.688 100 1.085 -528
Krohne Energia S.L., Spanien T-EUR 3 100 -485 -155
Krohne AG, Schweiz T-EUR 958 100 2.805 2.873
INOR Process AB, Schweden T-SEK 1.170 100 6.245 -11.095";77;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
7. Geschäftsführung;83;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
Dr. Attila Michael Bilgic, Ratingen, Dipl.-Ing. Ingo Wald, Krefeld, Betriebswirt VWA.;83;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
Die Gesamtbezüge der Geschäftsführung der KROHNE Messtechnik GmbH werden unter Anwendung von § 286 Abs. 4 HGB nicht angegeben.;84;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
8. Konzernverhältnisse;75;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
Mutterunternehmen ist die Ludwig KROHNE GmbH & Co. KG, Duisburg.;75;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
Der Jahresabschluss wird in den Konzernabschluss der Ludwig KROHNE GmbH Co. KG, Duisburg, einbezogen. Die Gesellschaft ist damit nach § 291 HGB von der Pflicht befreit, einen Konzernabschluss und einen Konzernlagebericht aufzustellen.; 70, 75 ;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
Der Konzernabschluss wird beim Betreiber des elektronischen Bundesanzeigers zur Veröffentlichung eingereicht.; 70, 75 ;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
9. Vorschlag Ergebnisverwendung;68;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
Die Geschäftsführung schlägt vor, den Jahresfehlbetrag auf neue Rechnung vorzutragen.;68;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
10. Nachtragsbericht;69;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
Vorgänge von besonderer Bedeutung nach dem Bilanzstichtag liegen nicht vor.;69;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
Duisburg, 3.08.2017;;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
