;  Annotierung (Angabe Nummer in Anahngscheckliste)  ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer;;
–abweichende Allokation des Kaufpreises für die von Chevron erworbenen Minderheitsanteile an der BP Raffinaderij Rotterdam B.V., Rotterdam/ Niederlande, (BP RR) und abweichende Fortschreibung eines Geschäfts- oder Firmenwertes (IFRS 3, IAS 36, IAS 38); 86 ;2016;BP Europa SE;Jahresabschluss;EY;;
–unterschiedliche Abgrenzung zwischen Herstellungskosten und Erhaltungsaufwand (IAS 16); 86 ;2016;BP Europa SE;Jahresabschluss;EY;;
–abweichender Ansatz der Gegenstände des Sachanlagevermögens, Komponentenansatz versus Großwirtschaftsgutbetrachtung (IAS 16); 86 ;2016;BP Europa SE;Jahresabschluss;EY;;
–unterschiedliche Behandlung der Hedgingergebnisse (IAS 39); 86 ;2016;BP Europa SE;Jahresabschluss;EY;;
–keine Bilanzierung von Sonderposten mit Rücklageanteil (IAS 16); 86 ;2016;BP Europa SE;Jahresabschluss;EY;;
–unterschiedliche Anwendung von Bewertungsvereinfachungsverfahren im Vorratsvermögen (IAS 2); 86 ;2016;BP Europa SE;Jahresabschluss;EY;;
–abweichender Ausweis von Emissionsrechten (IAS 38); 86 ;2016;BP Europa SE;Jahresabschluss;EY;;
–keine Bilanzierung von Pauschalwertberichtigungen auf Forderungen (IAS 39); 86 ;2016;BP Europa SE;Jahresabschluss;EY;;
–unterschiedlicher Ausweis der Erträge aus der Auflösung von Rückstellungen (IAS 1); 86 ;2016;BP Europa SE;Jahresabschluss;EY;;
–abweichende Bewertung von Pensionsrückstellungen (IAS 19); 86 ;2016;BP Europa SE;Jahresabschluss;EY;;
–eingeschränkter Ansatz von Rückstellungen für Reparatur- und Instandhaltungsverpflichtungen sowie von Drohverlustrückstellungen (IAS 37); 86 ;2016;BP Europa SE;Jahresabschluss;EY;;
–abweichender Ansatz von Rückstellungen für Abbruchverpflichtungen (IAS 16, IAS 37, IFRIC 1); 86 ;2016;BP Europa SE;Jahresabschluss;EY;;
–unterschiedliche Bewertung von Rückstellungen für Rückbauverpflichtungen (IAS 16, IAS 37, IFRIC 1); 86 ;2016;BP Europa SE;Jahresabschluss;EY;;
–unterschiedliche Bewertung auf Grund abweichender Abzinsungssätze bei langfristigen Rückstellungen (IAS 37); 86 ;2016;BP Europa SE;Jahresabschluss;EY;;
–abweichende Konsolidierungsgrundsätze bei der Konsolidierung von Beteiligungsunternehmen (IFRS 10, IFRS 11); 86 ;2016;BP Europa SE;Jahresabschluss;EY;;
–unterschiedliche Annahmen beim Ansatz der sonstigen finanziellen Verpflichtungen (IAS 1); 86 ;2016;BP Europa SE;Jahresabschluss;EY;;
–abweichender Ansatz von latenten Steuern (IAS 12); 86 ;2016;BP Europa SE;Jahresabschluss;EY;;
–unterschiedliche Abgrenzung und Ausweis von zur Veräußerung gehaltenen langfristigen Vermögenswerten und aufgegebenen Geschäftsbereichen (IFRS 5); 86 ;2016;BP Europa SE;Jahresabschluss;EY;;
–unterschiedlicher Ansatz bei der Berücksichtigung von außerplanmäßigen Wertminderungen von Vermögensgegenständen des Anlagevermögens (IAS 36, IAS 39); 86 ;2016;BP Europa SE;Jahresabschluss;EY;;
(3) Währungsumrechnung; 8.0 ;2016;BP Europa SE;Jahresabschluss;EY;;
Die Umrechnung der Bilanzwerte sowie der Werte in der Gewinn- und Verlustrechnung der in den Jahresabschluss einbezogenen ausländischen Zweigniederlassungen erfolgt zu Konzernkursen. In der Bilanz erfolgt die Umrechnung zum Stichtagskurs und in der Gewinn- und Verlustrechnung zum Durchschnittskurs. Hiervon betroffen sind insbesondere die polnische Zweigniederlassung, deren Bücher in polnischen Zloty geführt werden, die Zweigniederlassung in der Schweiz, deren Bücher in Schweizer Franken geführt werden sowie die ungarische Zweigniederlassung, deren Bücher in ungarischen Forint geführt werden. Darüber hinaus wird diese Umrechnung für je eine Berichtseinheit der belgischen und der niederländischen Zweigniederlassung angewendet, deren Bücher in US-Dollar geführt werden. Die Umrechnungsdifferenzen werden erfolgswirksam erfasst.; 8.0 ;2016;BP Europa SE;Jahresabschluss;EY;;
Die Vermögensgegenstände und Verbindlichkeiten in fremder Währung werden am Abschlussstichtag grundsätzlich mit dem Devisenkassamittelkurs bewertet. Entsprechend dem § 256a HGB wird das Niederst- wert- bzw. das Höchstwertprinzip für Vermögensgegenstände und Verbindlichkeiten mit einer Restlaufzeit von bis zu einem Jahr nicht angewendet.; 8.0 ;2016;BP Europa SE;Jahresabschluss;EY;;
(4) Ansatz-, Ausweis- und Bewertungsmethoden;;2016;BP Europa SE;Jahresabschluss;EY;;
Die Wahl der Bilanzierungsmethoden erfolgt nach dem Prinzip der Stetigkeit. Die für die Aufstellung des Jahresabschlusses der BP ESE maßgebenden Bilanzierungs- und Bewertungsmethoden sind gegenüber dem Vorjahr im Wesentlichen unverändert. Unterschiede zum Vorjahr ergeben sich im Wesentlichen auf Grund der Neuregelungen des BilRUG.; 8.0, 10, 59 ;2016;BP Europa SE;Jahresabschluss;EY;;
Auf die in den Jahresabschluss der BP ESE einbezogenen Zweigniederlassungen werden grundsätzlich dieselben Bilanzierungs- und Bewertungsmethoden angewendet.; 8.0 ;2016;BP Europa SE;Jahresabschluss;EY;;
Selbst geschaffene immaterielle Vermögensgegenstände des Anlagevermögens werden zu Herstellungskosten, bestehend aus den Material- und Fertigungseinzelkosten sowie notwendigen Gemeinkostenbestand- teilen, aktiviert. Die entgeltlich erworbenen immateriellen Vermögensgegenstände des Anlagevermögens werden mit ihren Anschaffungskosten bewertet. Geschäfts- oder Firmenwerte werden gemäß ihrer be- triebsgewöhnlichen Nutzungsdauer abgeschrieben. Die Schätzung der individuellen voraussichtlichen Nutzungsdauer der Geschäfts- oder Firmenwerte basiert auf der Stabilität und Bestandsdauer der Branche, den konstanten wirtschaftlichen Rahmenbedingungen und dem Lebenszyklus der Produkte der erworbenen Unternehmen. Der Abschreibung von EDV-Software wird eine Nutzungsdauer von vier bis fünf Jah- ren zugrunde gelegt. Alle übrigen Vermögensgegenstände werden entsprechend ihrer vertraglichen Laufzeit linear abgeschrieben. Immaterielle Vermögensgegenstände werden im Jahr nach ihrer vollständigen Abschreibung im Anlagenspiegel als Abgang ausgewiesen. Soweit der beizulegende Wert dauerhaft unter den fortgeführten Anschaffungskosten liegt, werden außerplanmäßige Abschreibungen vorgenommen. Zuschreibungen erfolgen, wenn die Gründe für die seinerzeit vorgenommene außerplanmäßige Abschreibung nicht mehr bestehen.; 8.3 ;2016;BP Europa SE;Jahresabschluss;EY;;
Die Bewertung der Sachanlagen erfolgt zu Anschaffungs- oder Herstellungskosten. Die Herstellungskosten enthalten die Material- und Fertigungseinzelkosten sowie die notwendigen Gemeinkostenbestandteile. Abschreibungen werden planmäßig nach branchenüblichen Nutzungsdauern vorgenommen.; 8.7 ;2016;BP Europa SE;Jahresabschluss;EY;;
Gebäude und bewegliche, abnutzbare Anlagegegenstände werden über deren voraussichtliche Nutzungsdauer abgeschrieben. Die Abschreibung auf Zugänge an beweglichen Anlagegegenständen erfolgt zeitan- teilig.; 8.7 ;2016;BP Europa SE;Jahresabschluss;EY;;
Geringwertige Wirtschaftsgüter werden grundsätzlich bis zu länderspezifisch festgelegten Wertgrenzen (zwischen EUR 150 und EUR 832) im Jahr des Zugangs in den Aufwendungen erfasst. Für von der BP ESE in Deutschland genutzte bewegliche Anlagegüter mit Anschaffungskosten von mehr als EUR 150 bis EUR 1.000 wird ein Sammelposten gebildet, der linear über fünf Jahre abgeschrieben wird.; 8.7 ;2016;BP Europa SE;Jahresabschluss;EY;;
Sofern bei Sachanlagen außerplanmäßige Abschreibungen auf Grund dauerhafter Wertminderung notwendig sind, werden diese vorgenommen. Zuschreibungen erfolgen, wenn die Gründe für die seinerzeit vorgenommene außerplanmäßige Abschreibung nicht mehr bestehen.; 8.7 ;2016;BP Europa SE;Jahresabschluss;EY;;
Finanzanlagen werden zu Anschaffungskosten unter Berücksichtigung von notwendigen Abschreibungen und erforderlichen Wertaufholungen bilanziert. Die Ausleihungen werden mit ihrem Nennwert bzw. Barwert bilanziert.; 8.12 ;2016;BP Europa SE;Jahresabschluss;EY;;
Außerplanmäßige Abschreibungen zur Berücksichtigung des niedrigeren beizulegenden Wertes werden vorgenommen, soweit die Wertminderung nicht von vorübergehender Natur ist. Zuschreibungen erfolgen, wenn die Gründe für die seinerzeit vorgenommene außerplanmäßige Abschreibung nicht mehr bestehen.; 8.0 ;2016;BP Europa SE;Jahresabschluss;EY;;
Bei den Vorräten werden grundsätzlich die Roh-, Hilfs- und Betriebsstoffe und die Handelswaren zu Anschaffungskosten sowie die fertigen und unfertigen Erzeugnisse mit ihren Herstellungskosten angesetzt. Die Herstellungskosten enthalten die Material- und Fertigungseinzelkosten sowie die notwendigen Gemeinkostenbestandteile.; 8.20 ;2016;BP Europa SE;Jahresabschluss;EY;;
Die Vorräte werden grundsätzlich nach der Durchschnittsmethode bewertet. Dem Niederstwertprinzip wird, soweit erforderlich, durch Abschreibungen Rechnung getragen.; 8.20 ;2016;BP Europa SE;Jahresabschluss;EY;;
Die auf selbstversteuerte Produkte entfallende Energiesteuer wird, soweit sie auf am Bilanzstichtag auszuweisende Vermögensgegenstände des Vorratsvermögens entfällt, als Bestandteil der Herstellungskosten im Vorratsvermögen ausgewiesen.; 8.20 ;2016;BP Europa SE;Jahresabschluss;EY;;
Die Biorechte sind kurzfristige immaterielle Vermögensgegenstände und werden in den Roh-, Hilfs- und Betriebsstoffen im Vorratsvermögen bilanziert. Biorechte entstehen durch Beimischung von Biokraftstoffen zu Otto- und Dieselkraftstoffen über die gesetzliche Vorgabe hinaus. Seit 2015 ist die prozentuale Reduzierung der Treibhausgasemissionen für fertige Produkte gesetzlich vorgeschrieben, die durch Beimischung von mehr oder höherwertigen Biokraftstoffen erreicht wird. Die Bewertung der Biorechte erfolgt zu Herstellungskosten. In der Gewinn- und Verlustrechnung wird der Ertrag oder Aufwand aus der Veränderung des aktivierten Betrages unter dem Posten Veränderung des Bestandes an fertigen und unfertigen Erzeugnissen ausgewiesen. Sofern eine Untererfüllung der gesetzlichen Vorgabe vorliegt, wird für die Verpflichtung eine sonstige Rückstellung gebildet.; 8.21 ;2016;BP Europa SE;Jahresabschluss;EY;;
Emissionsrechte werden als kurzfristige immaterielle Vermögensgegenstände in den Roh-, Hilfs- und Betriebsstoffen bilanziert. Unentgeltlich erworbene Emissionsrechte werden mit EUR 0,00 angesetzt. Die im Rahmen der Zuteilung anfallenden Kosten werden im Geschäftsjahr der Zuteilung aufwandswirksam erfasst. Entgeltlich erworbene Emissionsrechte werden zu Anschaffungskosten aktiviert. Die Bewertung erfolgt zum gleitenden Durchschnittswert bzw. zum niedrigeren Marktpreis am Bilanzstichtag.; 8.21, 26 ;2016;BP Europa SE;Jahresabschluss;EY;;
Die Forderungen und sonstigen Vermögensgegenstände werden zum Nennwert unter Abzug notwendiger Einzelwertberichtigungen ausgewiesen. Dem allgemeinen Kreditrisiko wird durch den Ansatz von Pauschalwertberichtigungen Rechnung getragen.; 8.25 ;2016;BP Europa SE;Jahresabschluss;EY;;
Die liquiden Mittel werden zum Nennwert ausgewiesen.; 8.33 ;2016;BP Europa SE;Jahresabschluss;EY;;
Der aktive Rechnungsabgrenzungsposten enthält Ausgaben vor dem Bilanzstichtag, die zu Aufwendungen in kommenden Perioden führen. Disagiobeträge werden grundsätzlich aktiviert und über die Laufzeit der zugrunde liegenden Verbindlichkeit planmäßig aufgelöst.; 8.34, 25 ;2016;BP Europa SE;Jahresabschluss;EY;;
In Ausübung des Wahlrechts des § 274 Abs. 1 S. 2 HGB bleiben aktive latente Steuern unberücksichtigt.; 8.35, 27 ;2016;BP Europa SE;Jahresabschluss;EY;;
In Höhe der steuerlich zulässigen Beträge wurden bis zum 31. Dezember 2009 unversteuerte Rücklagen als Sonderposten mit Rücklageanteil ausgewiesen, soweit die steuerliche Anerkennung den Ausweis in der Handelsbilanz voraussetzte. Die BP ESE hat von dem Fortführungswahlrecht gemäß Art. 67 Abs. 3 EGHGB Gebrauch gemacht und die Sonderposten mit Rücklageanteil weiterhin bilanziert.; 8.0, 62 ;2016;BP Europa SE;Jahresabschluss;EY;;
Zum 31. Dezember 2016 wurden die Rückstellungen für Pensionen und ähnliche Verpflichtungen nach versicherungsmathematischen Grundsätzen auf Grundlage des Anwartschaftsbarwertverfahrens (Projected Unit Credit Method) berechnet.; 8.48, 41 ;2016;BP Europa SE;Jahresabschluss;EY;;
In 2010 erfolgte eine Neubewertung der Pensionsrückstellungen aufgrund des Bilanzrechtsmodernisierungsgesetzes (BilMoG). Der verbleibende Unterschiedsbetrag zum 31. Dezember 2015 betrug TEUR 154.627 und wurde im Geschäftsjahr vollständig den Rückstellungen zugeführt.; 8.48, 41 ;2016;BP Europa SE;Jahresabschluss;EY;;
Der Rückstellungsbetrag wird nach versicherungsmathematischen Grundsätzen mit dem ermittelten Barwert unter Berücksichtigung des von der Bundesbank veröffentlichten durchschnittlichen Marktzinssatzes der letzten zehn (Vorjahr: sieben) Jahre grundsätzlich angesetzt. Für das letzte Quartal des Geschäftsjahres wurde anstelle des von der Bundesbank veröffentlichten Zinssatzes unter Berücksichtigung der von der Bundesbank angewandten Ermittlungsmethodik eine Prognose des durchschnittlichen Marktzinssatzes der letzten zehn Jahre zum 31.12. von 4,0 % vorgenommen. Im Vorjahr erfolgte die Prognose des durchschnittlichen Marktzinssatzes auf Basis der letzten sieben Jahre in Höhe von 3,89 %. Der Unterschiedsbetrag zwischen den angesetzten Rückstellungen und den Rückstellungen, die sich bei einem durch- schnittlichen Marktzinssatz der letzten sieben Jahre ergeben würde, beträgt TEUR 136.022. Bei der Wahl des Zinssatzes wird eine pauschale Restlaufzeit der Pensionsverpflichtungen von 15 Jahren unterstellt.; 8.48, 41, 42 ;2016;BP Europa SE;Jahresabschluss;EY;;
"In die Berechnung der Rückstellungen für Pensionen und ähnliche Verpflichtungen wurden für die BP ESE Deutschland erwartete Lohn- und Gehaltssteigerungen in Höhe von 2,9 % (Vorjahr 3,1 %) sowie ein Rententrend in Höhe von 1,5 % (Vorjahr 1,6 %) einbezogen. Basis sind die biometrischen Rechnungsgrundlagen der ""Richttafeln 2005 G"" von Klaus Heubeck."; 8.48, 41 ;2016;BP Europa SE;Jahresabschluss;EY;;
Für die österreichische Zweigniederlassung wurde als Rechnungsgrundlage die AVÖ 2008-P – Pagler & Pagler ohne erwartete Lohn- und Gehaltssteigerungen und einem Pensionstrend in Höhe von 0,5 % (Vorjahr 0,4 %) zugrunde gelegt.; 8.48, 41 ;2016;BP Europa SE;Jahresabschluss;EY;;
Sofern die gesetzlichen Voraussetzungen für das Vorliegen von Planvermögen erfüllt sind, werden die Vermögensgegenstände mit den Schulden aus Altersversorgungsverpflichtungen saldiert.; 8.36, 8.48 ;2016;BP Europa SE;Jahresabschluss;EY;;
Die Bewertung des Planvermögens erfolgt nach dem Anwartschaftsbarwertverfahren. Basis stellen die biometrischen Rechnungsgrundlagen der DAV Sterbetafeln 1994 R und 2004 R dar. Der Berechnung wurden Zinssätze von 1,75 % bis 4,00 % zugrunde gelegt.; 8.36, 8.48 ;2016;BP Europa SE;Jahresabschluss;EY;;
Die Steuerrückstellungen und die sonstigen Rückstellungen tragen den erkennbaren Risiken, ungewissen Verbindlichkeiten und drohenden Verlusten in angemessenem Umfang Rechnung. Die Bewertung erfolgt in der Höhe des nach vernünftiger kaufmännischer Beurteilung notwendigen Erfüllungsbetrages, künftig erwartete Preis- und Kostensteigerungen werden berücksichtigt. Rückstellungen mit einer Laufzeit von mehr als einem Jahr werden mit dem von der Bundesbank veröffentlichten durchschnittlichen Marktzinssatz der letzten sieben Geschäftsjahre abgezinst.; 8.49 ;2016;BP Europa SE;Jahresabschluss;EY;;
Für die Verpflichtung zur Rückgabe von CO2-Emissionsrechten wird eine Rückstellung gebildet. Soweit CO2-Emissionsrechte zur Verfügung stehen, erfolgt die Bewertung der Rückstellung zum Wert der aktivierten Rechte. Es wird davon ausgegangen, dass zur Erfüllung der Rückgabeverpflichtung zuerst die unentgeltlich und dann die entgeltlich erworbenen Rechte eingesetzt werden.; 8.50, 26 ;2016;BP Europa SE;Jahresabschluss;EY;;
Die Verbindlichkeiten werden zum Erfüllungsbetrag, die Rentenverpflichtungen grundsätzlich mit dem Barwert bilanziert. Die Verbindlichkeiten gegenüber dem PENSIONS-SICHERUNGS-VEREIN Versiche- rungsverein auf Gegenseitigkeit, Köln, (PSVaG) werden auf Grund der Regelung der gesetzlichen Insolvenzsicherung für betriebliche Altersversorgung (§§ 10 II, 30i BetrAVG) vom 2. Dezember 2006 unter Anwendung eines Zinssatzes in Höhe von 3 % p.a. mit dem Barwert bilanziert.; 8.51 ;2016;BP Europa SE;Jahresabschluss;EY;;
Der passive Rechnungsabgrenzungsposten enthält Einnahmen vor dem Bilanzstichtag, soweit sie zu Erträgen nach dem Bilanzstichtag führen.; 8.63 ;2016;BP Europa SE;Jahresabschluss;EY;;
Im Rahmen des BilRUG wurde die Definition der Umsatzerlöse angepasst. Umsatzerlöse sind nun auch solche Erlöse, die nicht aus der typischen Geschäftstätigkeit stammen.; 8.66, 59 ;2016;BP Europa SE;Jahresabschluss;EY;;
Von den Brutto-Umsatzerlösen wird die Energiesteuer offen abgesetzt. Diese enthält Aufwendungen aus Energiesteuer in Höhe von TEUR 5.644.789 (Vorjahr TEUR 5.687.740), die gemäß § 277 Abs. 1 HGB direkt mit dem Umsatz verbunden und damit von den Bruttoerlösen abzuziehen sind.; 8.66 ;2016;BP Europa SE;Jahresabschluss;EY;;
Erlöse und Aufwendungen aus Gegenlieferungsgeschäften werden netto in den Umsatzerlösen ausgewiesen.; 8.66 ;2016;BP Europa SE;Jahresabschluss;EY;;
(5) Gesellschaftsrechtliche Veränderungen;;2016;BP Europa SE;Jahresabschluss;EY;;
In 2016 wurden folgende gesellschaftsrechtliche Veränderungen vorgenommen: Gründungen und Verschmelzungen:;;2016;BP Europa SE;Jahresabschluss;EY;;
Die Castrol (Switzerland) AG, Zug/ Schweiz, (Castrol CH) wurde im Wege einer Kettenverschmelzung gemäß Verschmelzungs- und Fusionsvertrag vom 11. Februar 2016 bzw. vom 18. März 2016 auf die BP ESE verschmolzen.;;2016;BP Europa SE;Jahresabschluss;EY;;
In einem ersten Schritt erfolgte die grenzüberschreitende Verschmelzung der Castrol CH auf die BP Mojave Austria 2 GmbH, Sankt Pölten/ Österreich, (BP MA2). In einem zweiten Schritt folgte die Verschmelzung der BP MA2 auf die BP Mojave Germany 3 GmbH, Hamburg, (BP MG3) und im Anschluss die Verschmelzung der BP MG3 auf die BP ESE. Dies erfolgte mit wirtschaftlicher Rückwirkung zum 1. Januar 2016 (wirtschaftlicher Verschmelzungsstichtag).;;2016;BP Europa SE;Jahresabschluss;EY;;
Mit Kauf- und Abtretungsvertrag vom 12. August 2016 hat die BP ESE den Geschäftsanteil an der HAM Fuel and Retail Aviation Deutschland GmbH, Hamburg, (HFRAD) mit sofortiger Wirkung von der alleinigen Gesellschafterin Air BP Norway A/S, Oslo/ Norwegen, (ABPN) erworben. Mit Verschmelzungsvertrag vom 12. August 2016 wurde die HFRAD zum wirtschaftlichen Stichtag 1. Januar 2016 rückwirkend auf die BP ESE verschmolzen.;;2016;BP Europa SE;Jahresabschluss;EY;;
Veräußerungen:;;2016;BP Europa SE;Jahresabschluss;EY;;
Mit Kauf- und Abtretungsvertrag vom 2. Februar 2016 hat die BP ESE sämtliche Geschäftsanteile an der Barrington Amsterdam Terminal B.V., Amsterdam/ Niederlande, (BAT) an den externen Erwerber Zenith Energy Netherlands Amsterdam B.V., Schiphol/ Niederlande, (Zenith) veräußert.;;2016;BP Europa SE;Jahresabschluss;EY;;
Mit Kauf- und Abtretungsvertrag vom 11. Februar 2016 hat die BP ESE sämtliche Geschäftsanteile an den verbundenen Unternehmen TSG Tankstellen-Support GmbH, Köln, (TSG) und TSG Polska Sp. z o.o., Krakau/ Polen, (TSG PL) an Wincor Nixdorf International GmbH, Paderborn, (Wincor) und an deren Tochter Wincor Nixdorf Sp. z o.o., Warschau/ Polen (Wincor PL) veräußert.;;2016;BP Europa SE;Jahresabschluss;EY;;
Mit Kaufvertrag vom 8. April 2016 hat die BP ESE sämtliche Aktienanteile an der UBAG – Unterflurbetankungsanlage Flughafen Zürich AG, Rümlang/ Schweiz, (UBAG) an die DLH Fuel Company mbH, Hamburg, (DLH) veräußert.;;2016;BP Europa SE;Jahresabschluss;EY;;
Mit Kauf- und Abtretungsvertrag vom 21. Dezember 2016 hat die BP ESE sämtliche Geschäftsanteile an der VTA Verfahrenstechnik und Automatisierung GmbH, Gelsenkirchen, (VTA) mit Wirkung zum 1. Januar 2017 veräußert.;;2016;BP Europa SE;Jahresabschluss;EY;;
Am 21. Dezember 2015 haben die BP ESE, die Rosneft Holdings Limited S.A. Luxembourg, (RHL), Rosneft Trading S.A., Genf/ Schweiz, (RTSA) und die Ruhr Oel Gesellschaft mit beschränkter Haftung, Gelsenkirchen, (ROG) einen Vertrag über die Auflösung des in der ROG betriebenen Joint Ventures (JV) geschlossen.;;2016;BP Europa SE;Jahresabschluss;EY;;
Zur Durchführung der JV-Auflösung hat die BP ESE mit notariell beurkundetem Gesellschaftsvertrag vom 11. Januar 2016 die RB Raffinerie GmbH, Gelsenkirchen, (RBRG) gegründet und nachfolgend mit notariellem Abtretungsvertrag vom 15. März 2016 50 % der Geschäftsanteile der RBRG an die RHL veräußert.;;2016;BP Europa SE;Jahresabschluss;EY;;
Zum 1. Juli 2016 (Spaltungsstichtag) wurden ausgewählte Beteiligungen sowie weitere Vermögensgegenstände und Schulden im Wege der Umwandlung durch Abspaltung zur Aufnahme von der ROG auf die RBRG übertragen. Die Abspaltung ist am 2. Dezember 2016 wirksam geworden.;;2016;BP Europa SE;Jahresabschluss;EY;;
Mit Beschluss vom 25. November 2016 und Eintragung in das Handelsregister am 14. Dezember 2016 wurde die RBRG in Rosneft Deutschland GmbH, Gelsenkirchen, (RDG) umfirmiert. Die Sitzverlegung nach Berlin wurde am 20. Januar 2017 beschlossen und am 13. Februar 2017 ins Handelsregister eingetragen.;;2016;BP Europa SE;Jahresabschluss;EY;;
Zum 31. Dezember 2016, 24:00 Uhr, hat die RHL die 50 %ige Beteiligung an der RDG von der BP ESE übernommen und im Gegenzug hat die BP ESE die 50 %ige Beteiligung an der ROG von der RHL übernommen. Die BP ESE ist seitdem alleinige Gesellschafterin der ROG.;;2016;BP Europa SE;Jahresabschluss;EY;;
Erläuterungen der Bilanz;;2016;BP Europa SE;Jahresabschluss;EY;;
Aktiva;;2016;BP Europa SE;Jahresabschluss;EY;;
(6) Anlagevermögen; 4.1 ;2016;BP Europa SE;Jahresabschluss;EY;;
Die Aufgliederung und Entwicklung der einzelnen Posten des Anlagevermögens im Geschäftsjahr 2016 sind in dem Anlagenspiegel für die BP ESE gesondert dargestellt.; 4.1 ;2016;BP Europa SE;Jahresabschluss;EY;;
Immaterielle Vermögensgegenstände; 4.2 ;2016;BP Europa SE;Jahresabschluss;EY;;
Selbst geschaffene immaterielle Vermögensgegenstände des Anlagevermögens sind zum 31. Dezember 2016 in Höhe von TEUR 123.219 (Vorjahr: TEUR 116.774) aktiviert. Davon entfallen TEUR 26.107 auf im Geschäftsjahr aktivierte Entwicklungskosten. Der Gesamtbetrag der in der GuV verbleibenden Forschungs- und Entwicklungskosten beträgt TEUR 41.189 für das Geschäftsjahr (Vorjahr: TEUR 51.772).; 4.3, 13 ;2016;BP Europa SE;Jahresabschluss;EY;;
