Anhang für das Geschäftsjahr 2016; Annotierung (Angabe Nummer in Anhangscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
"Anschaffungs- / Herstellungskosten
Stand
01.01.2016
€
Zugänge
€
Abgänge
€
Umbuchung
€
Stand
31.12.2016
€
I. Immaterielle Vermögensgegenstände
Entgeltlich erworbene Konzessionen, gewerbliche
Schutzrechte und ähnliche Rechte und Werte
990.493,58 20.723,10 0,00 0,00 1.011.216,68
II. Sachanlagen
1. Grundstücke, grundstücksgleiche Rechte und
Bauten, einschließlich der Bauten auf fremden
Grundstücken
8.648.045,90 580.595,09 274.087,20 125.540,31 9.080.094,10
2 Technische Anlagen und Maschinen 19.532.022,32 649.485,55 281.000,36 960.448,65 20.860.956,16
3. Betriebs- und Geschäftsausstattung 25.034.524,07 358.764,82 4.624.066,01 435.205,44 21.204.428,32
4. Geleistete Anzahlungen 1.521.194,39 0,00 0,00 -1.521.194,39 0,00
Summe Sachanlagevermögen 54.735.786,68 1.588.845,46 5.179.153,57 0,01 51.145.478,58
Summe I und II 55.726.280,26 1.609.568,56 5.179.153,57 0,01 52.156.695,26
III. Finanzanlagen
Beteiligungen 2.395.147,00 0,00 0,00 0,00 2.395.147,00
Anlagevermögen gesamt 58.121.427,26 1.609.568,56 5.179.153,57 0,01 54.551.842,26"; 4.1, 15 ;2016;GmbH;Jahresabschluss;LKC
"Kumulierte Abschreibungen
Stand
01.01.2016
€
Zugänge
€
Abgänge
€
Stand
31.12.2016
€
I. Immaterielle Vermögensgegenstände
Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte
und ähnliche Rechte und Werte
896.377,15 47.819,30 0,00 944.196,45
II. Sachanlagen
1. Grundstücke, grundstücksgleiche Rechte und Bauten,
einschließlich der Bauten auf fremden Grundstücken
688.201,18 138.592,00 -6.487,00 833.280,18
2 Technische Anlagen und Maschinen 14.692.555,34 876.465,72 227.646,30 15.341.374,76
3. Betriebs- und Geschäftsausstattung 23.218.805,96 561.143,81 4.624.066,01 19.155.883,76
4. Geleistete Anzahlungen 0,00 0,00 0,00 0,00
Summe Sachanlagevermögen 38.599.562,48 1.576.201,53 4.845.225,31 35.330.538,70
Summe I und II 39.495.939,63 1.624.020,83 4.845.225,31 36.274.735,15
III. Finanzanlagen
Beteiligungen 1.115.147,00 0,00 0,00 1.115.147,00
Kumulierte Abschreibungen
Stand
01.01.2016
€
Zugänge
€
Abgänge
€
Stand
31.12.2016
€
Anlagevermögen gesamt 40.611.086,63 1.624.020,83 4.845.225,31 37.389.882,15"; 4.1, 15, 16 ;2016;GmbH;Jahresabschluss;LKC
"Buchwerte
Stand
31.12.2016
€
Stand
31.12.2015
€
I. Immaterielle Vermögensgegenstände
Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte 67.020,23 94.116,43
II. Sachanlagen
1. Grundstücke, grundstücksgleiche Rechte und Bauten, einschließlich der Bauten auf fremden
Grundstücken
8.246.813,92 7.959.844,72
2 Technische Anlagen und Maschinen 5.519.581,40 4.839.466,98
3. Betriebs- und Geschäftsausstattung 2.048.544,56 1.815.718,11
4. Geleistete Anzahlungen 0,00 1.521.194,39
Summe Sachanlagevermögen 15.814.939,88 16.136.224,20
Summe I und II
III. Finanzanlagen
Beteiligungen 1.280.000,00 1.280.000,00
Anlagevermögen gesamt 17.161.960,11 17.510.340,63"; 4.1, 15 ;2016;GmbH;Jahresabschluss;LKC
2. Forderungen und sonstige Vermögensgegenstände;;2016;GmbH;Jahresabschluss;LKC
"In den Forderungen aus Lieferungen und Leistungen sind Forderungen gegen Gesellschafter mit T€ 29 (Vj. T€ 0) und in den
sonstigen Vermögensgegenständen sind Forderungen gegen Gesellschafter mit T€ 33 (Vj. T€ 17) enthalten. Forderungen gegen
Unternehmen, mit denen ein Beteiligungsverhältnis besteht, sind in den Forderungen aus Lieferungen und Leistungen mit T€ 0 (Vj.
T€ 102) enthalten."; 4.26, 4.29, 20 ;2016;GmbH;Jahresabschluss;LKC
"In den sonstigen Vermögensgegenständen sind als antizipative Posten im Folgejahr abziehbare Vorsteuern in Höhe von T€ 44 (Vj. T€
114) enthalten."; 4.29 ;2016;GmbH;Jahresabschluss;LKC
3. Verbindlichkeiten;;2016;GmbH;Jahresabschluss;LKC
"Sämtliche Verbindlichkeiten mit Ausnahmen von Sicherheitseinbehalten (T€ 40, Vj. T€ 34) und Kautionen (T€ 89, Vj. T€ 90) haben
wie im Vorjahr eine Restlaufzeit von bis zu einem Jahr."; 4.81 ;2016;GmbH;Jahresabschluss;LKC
"In den Verbindlichkeiten aus Lieferungen und Leistungen sind solche gegenüber Beteiligungsunternehmen in Höhe von T€ 11 (Vj. T€
19) enthalten."; 4.56, 4.59 ;2016;GmbH;Jahresabschluss;LKC
"Bei den Verbindlichkeiten aus Lieferungen und Leistungen bestehen die üblichen Eigentumsvorbehalte. Im Übrigen sind die
Verbindlichkeiten weder durch Pfandrechte noch durch ähnliche Rechte gesichert."; 4.56, 44 ;2016;GmbH;Jahresabschluss;LKC
"Die zum Beginn des Geschäftsjahres bestehenden passiven latenten Steuern in Höhe von T€ 788 wurden um T€ 79 auf T€ 867
erhöht."; 4.64 ;2016;GmbH;Jahresabschluss;LKC
4. Haftungsverhältnisse;;2016;GmbH;Jahresabschluss;LKC
"Die Gesellschaft haftet gesamtschuldnerisch mit einem nahestehenden Unternehmen aufgrund von zwei bei inländischen
Kreditinstituten eingeräumten Kreditlinien. Zum Bilanzstichtag bestehen keine diesbezüglichen Bankverbindlichkeiten."; 46 ;2016;GmbH;Jahresabschluss;LKC
5. Sonstige finanzielle Verpflichtungen;;2016;GmbH;Jahresabschluss;LKC
Aus Mietverhältnissen bestehen sonstige finanzielle Verpflichtungen in Höhe von jährlich T€ 2.750 (Vj. T€ 2.713).; 67 ;2016;GmbH;Jahresabschluss;LKC
Aus Altersversorgung bestehen sonstige finanzielle Verpflichtungen in Höhe von jährlich T€ 685 (Vj. T€ 697).; 67 ;2016;GmbH;Jahresabschluss;LKC
V. Erläuterungen zur Gewinn- und Verlustrechnung;;2016;GmbH;Jahresabschluss;LKC
Die Gewinn- und Verlustrechnung wird nach dem Gesamtkostenverfahren aufgestellt.; 8.0 ;2016;GmbH;Jahresabschluss;LKC
"1. Umsatzerlöse
2016
T€
2015
T€
Produktion/Lieferung von Fleisch und Wurst 92.098 91.104
Miet- und Pachterlöse 1.091 1.028
Sonstige Umsatzerlöse 501 436
Kostenverrechnung 1.570 1.695
Erlösschmälerungen -1.798 -4.447
93.462 89.816
Die Umsatzerlöse werden überwiegend in Bayern erzielt."; 4.66, 50 ;2016;GmbH;Jahresabschluss;LKC
2. Verrechnete Aufwendungen und Erträge;;2016;GmbH;Jahresabschluss;LKC
"Bei der Verrechnung von Planvermögen entstand ein Aufwand aus der Verrechnung von Aufwendungen (Erhöhung der
Pensionsrückstellung um € 27.582) und Erträgen (Erhöhung der Rückdeckungsversicherung um € 45.541,66) in Höhe von €
17.959,66 (Vj. € 20.728) (§ 246 Abs. 2 S. 2 HGB), der unter dem Personalaufwand ausgewiesen ist. Zinserträge aus
Rückdeckungsversicherung (€ 4.639) wurden mit Zinsen aus Pensionsrückstellung (€ 205.370) verrechnet und saldiert im
Zinsaufwand ausgewiesen."; 4.73, 4.85 ;2016;GmbH;Jahresabschluss;LKC
VI. Sonstige Pflichtangaben;;2016;GmbH;Jahresabschluss;LKC
1. Anteilsbesitz;;2016;GmbH;Jahresabschluss;LKC
"Die Gesellschaft ist an der Schweineschlachtung München GmbH, München, mit 33 1/3 % beteiligt. Das Eigenkapital zum 31.
Dezember 2016 beträgt insgesamt T€ 675, wovon T€ 27 Stammkapital darstellen. Der Jahresüberschuss des Geschäftsjahres 2016
belief sich auf T€ 23."; 77 ;2016;GmbH;Jahresabschluss;LKC
"2. Mitarbeiter im Jahresdurchschnitt
2016
Anzahl
2015
Anzahl
Produktion 256 262
Verwaltung 65 66
Auszubildende 19 21
340 349"; 64 ;2016;GmbH;Jahresabschluss;LKC
3. Organe der Gesellschaft;;2016;GmbH;Jahresabschluss;LKC
"Geschäftsführung:
Frau Evi Brandl, Geschäftsführerin der Vinzenz-Murr-Firmengruppe
Herr Markus Brandl, Geschäftsführer der Vinzenz Murr Vertriebs GmbH
Herr Alexander Brandl, Geschäftsführer der Vinzenz Murr GmbH
Frau Evi Brandl ist einzelvertretungsberechtigt und von den Beschränkungen des § 181 BGB befreit. Die übrigen Geschäftsführer
vertreten stets gemeinsam oder zusammen mit einem Prokuristen."; 83 ;2016;GmbH;Jahresabschluss;LKC
Die Bezüge für die Geschäftsführung im Berichtsjahr betrugen T€ 819.; 84 ;2016;GmbH;Jahresabschluss;LKC
Die Rückstellungen für laufende Pensionen eines ehemaligen Geschäftsführers betragen T€ 2.901 (Vj. T€ 3.013).; 88 ;2016;GmbH;Jahresabschluss;LKC
"An drei Mitglieder der Geschäftsführung bestanden zum Bilanzstichtag Forderungen aus kurzfristigen Krediten in Höhe von T€ 33.
Aufgrund der Kurzfristigkeit und der geringen Höhe wurden keine Zinsen berechnet."; 89 ;2016;GmbH;Jahresabschluss;LKC
"4. Gesamthonorar des Abschlussprüfers
2016
T€
2015
T€
Abschlussprüfung 40 40
Steuerberaterleistungen 3 3
sonstige Leistungen 9 15
52 58"; 72 ;2016;GmbH;Jahresabschluss;LKC
5. Ergebnisverwendungsvorschlag;;2016;GmbH;Jahresabschluss;LKC
Die Geschäftsführung schlägt vor, den Bilanzgewinn in Höhe von € 39.949.380,17 auf neue Rechnung vorzutragen.; 68 ;2016;GmbH;Jahresabschluss;LKC
