Anhang; Annotierung (Angabe Nummer in Anhangcheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
"Die sonstigen Rückstellungen betreffen im Wesentlichen Rückstellungen für noch nicht abgegoltene Urlaubs- sowie Lohn- und
Gehaltsansprüche, ausstehende Kostenrechnungen, Gewährleistungsverpflichtungen und Tantieme."; 4.50, 40 ;2015/2016;Media Markt TV-HiFi-Elektro GmbH München-Pasing,;Jahresabschluss;KPMG
Verbindlichkeiten sind mit dem Erfüllungsbetrag angesetzt. Sämtliche Verbindlichkeiten haben eine Restlaufzeit bis zu einem Jahr.; 4.51, 42 ;2015/2016;Media Markt TV-HiFi-Elektro GmbH München-Pasing,;Jahresabschluss;KPMG
"Die Verbindlichkeiten gegenüber verbundenen Unternehmen beinhalten Verbindlichkeiten gegenüber der Gesellschafterin Media-
Saturn Deutschland GmbH, Ingolstadt, in Höhe von EUR 374.343,19 (i. Vj. EUR 367.888,51)."; 4.58, 20 ;2015/2016;Media Markt TV-HiFi-Elektro GmbH München-Pasing,;Jahresabschluss;KPMG
"In den Verbindlichkeiten gegenüber verbundenen Unternehmen sind Verbindlichkeiten aus Lieferungen und Leistungen gegenüber
verbundenen Unternehmen in Höhe von EUR 600.819,34 (i. Vj. EUR 607.632,41) enthalten."; 4.58, 8 ;2015/2016;Media Markt TV-HiFi-Elektro GmbH München-Pasing,;Jahresabschluss;KPMG
"Der passive Rechnungsabgrenzungsposten beinhaltet im Wesentlichen die Abgrenzung verkaufter Garantie-Plus Versicherungen in
Höhe von EUR 336.263,91."; 4.63, 8 ;2015/2016;Media Markt TV-HiFi-Elektro GmbH München-Pasing,;Jahresabschluss;KPMG
III. Angaben zu einzelnen Posten der Gewinn- und Verlustrechnung;;2015/2016;Media Markt TV-HiFi-Elektro GmbH München-Pasing,;Jahresabschluss;KPMG
"Die Umsatzerlöse enthalten Erlöse aus dem stationären Verkauf von Waren, Provisionserlöse aus der Erbringung von Dienstleistungen
sowie Umsätze aus dem Online-Handel, soweit die Abholung der Waren im Markt erfolgt."; 4.66, 50 ;2015/2016;Media Markt TV-HiFi-Elektro GmbH München-Pasing,;Jahresabschluss;KPMG
"Auf eine gesonderte Erläuterung der periodenfremden Erträge wird verzichtet, da die auszuweisenden Beträge für die Beurteilung der
Ertragslage von untergeordneter Bedeutung sind."; 4.66, 57 ;2015/2016;Media Markt TV-HiFi-Elektro GmbH München-Pasing,;Jahresabschluss;KPMG
"In den sonstigen betrieblichen Aufwendungen sind periodenfremde Aufwendungen in Höhe von TEUR 61 enthalten, im Wesentlichen
Aufwendungen für das Außenlager (TEUR 15), Aufwendungen aus Mieten (TEUR 14) und Aufwendungen aus Werbekosten (TEUR 12)."; 4.80, 57 ;2015/2016;Media Markt TV-HiFi-Elektro GmbH München-Pasing,;Jahresabschluss;KPMG
Der Zinsertrag enthält Erträge aus der Aufzinsung von Forderungen in Höhe von EUR 331,51 (i. Vj. EUR 1.590,76).; 4.85 ;2015/2016;Media Markt TV-HiFi-Elektro GmbH München-Pasing,;Jahresabschluss;KPMG
Der Zinsaufwand enthält Aufwendungen aus der Rückstellungsaufzinsung in Höhe von EUR 571,00 (i. Vj. EUR 600,00).; 4.88 ;2015/2016;Media Markt TV-HiFi-Elektro GmbH München-Pasing,;Jahresabschluss;KPMG
IV. Sonstige Angaben;;2015/2016;Media Markt TV-HiFi-Elektro GmbH München-Pasing,;Jahresabschluss;KPMG
"Die Gesellschaft betreibt ihr Geschäft in gemieteten Räumlichkeiten; zum Bilanzstichtag bestehen nicht bilanzierte sonstige
finanzielle Verpflichtungen aus Mietverträgen in Höhe von EUR 5.054.026,00."; 67   ;2015/2016;Media Markt TV-HiFi-Elektro GmbH München-Pasing,;Jahresabschluss;KPMG
Zum 30. September 2016 bestehen sonstige finanzielle Verpflichtungen aus Leasingverträgen in Höhe von EUR 5.382,12.; 67   ;2015/2016;Media Markt TV-HiFi-Elektro GmbH München-Pasing,;Jahresabschluss;KPMG
"Im Jahresdurchschnitt beschäftigte die Gesellschaft 74 Mitarbeiter. Dabei handelt es sich um 58 Vollzeitbeschäftigte und 16
Teilzeitbeschäftigte."; 64   ;2015/2016;Media Markt TV-HiFi-Elektro GmbH München-Pasing,;Jahresabschluss;KPMG
Die Angaben zum Gesamthonorar des Abschlussprüfers werden im Konzernabschluss der METRO AG, Düsseldorf, veröffentlicht.; 73   ;2015/2016;Media Markt TV-HiFi-Elektro GmbH München-Pasing,;Jahresabschluss;KPMG
Geschäftsführung;;2015/2016;Media Markt TV-HiFi-Elektro GmbH München-Pasing,;Jahresabschluss;KPMG
Bernhard Reimers, Geschäftsführer; 83   ;2015/2016;Media Markt TV-HiFi-Elektro GmbH München-Pasing,;Jahresabschluss;KPMG
Sabine Meißner, Geschäftsführerin; 83   ;2015/2016;Media Markt TV-HiFi-Elektro GmbH München-Pasing,;Jahresabschluss;KPMG
"Wir schlagen vor, den Jahresüberschuss und die frei verfügbaren Rücklagen insoweit auszuschütten, als dass kein Aktivüberhang der
ausgewiesenen latenten Steuern dem entgegensteht."; 30   ;2015/2016;Media Markt TV-HiFi-Elektro GmbH München-Pasing,;Jahresabschluss;KPMG
"Die Gesellschaft wird in den Konzernabschluss der METRO AG, Düsseldorf, sowie in den Konzernabschluss der Media-Saturn-Holding
GmbH, Ingolstadt, einbezogen. Beide Abschlüsse werden im Bundesanzeiger bekannt gemacht."; 70   ;2015/2016;Media Markt TV-HiFi-Elektro GmbH München-Pasing,;Jahresabschluss;KPMG
München, den 23. Dezember 2016;;;;;
