Anhang; Annotierung (Angabe Nummer in Anhangcheckliste) ;;;;
"Forderungen und sonstige Vermögensgegenstände sind alle innerhalb eines Jahres fällig und grundsätzlich zum Nennwert bewertet.
Risikobehaftete und uneinbringliche Forderungen werden einzeln wertberichtigt bzw. abgeschrieben."; 8.25 ;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
"Auf fremde Währungen lautende Forderungen werden bei Ihrer erstmaligen Erfassung mit dem aktuellen Devisenkassamittelkurs
umgerechnet. Forderungen mit einer Restlaufzeit von weniger als einem Jahr werden zum Bilanzstichtag mit dem
Devisenkassamittelkurs umgerechnet Bei längerfristigen Forderungen schlägt sich ein geringerer Kurs am Bilanzstichtag in einer
niedrigeren Bewertung der Forderung aufwandswirksam nieder, während ein höherer Kurs (Bewertungsgewinn) unberücksichtigt
bleibt."; 8.25 ;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
"Der Kassenbestand und die Guthaben bei Kreditinstituten sind zu Nennwerten bilanziert. Kassenbestände und Bankguthaben in
Fremdwährung sind nicht vorhanden."; 8.33 ;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
"Als Rechnungsabgrenzungsposten sind auf der Aktivseite Ausgaben vor dem Abschlussstichtag ausgewiesen, soweit sie Aufwand für
eine bestimmte Zeit nach diesem Tag darstellen. Die Bewertung erfolgt zum Nennwert."; 8.34 ;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
Das Eigenkapital wird zum Nennbetrag ausgewiesen.; 8.37 ;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
"Die Pensionsrückstellungen wurden unter Anwendung versicherungsmathematischer Grundsätze nach der projizierte
Einmalbeitragsmethode, einem Rechnungszinsfuß für eine Laufzeit von 15 Jahren auf Basis des Zehnjahresdurchschnitts von 4,01 %
p.a., einer errechneten Lohn- und Gehaltssteigerung von 3%, einer Dynamik der Beitragsbemessungsgrenze von 2,75 %, erwarteten
Rentensteigerungen von 1,75 % und einer mittleren Fluktuationswahrscheinlichkeit ermittelt. Für die biometrischen
Wahrscheinlichkeiten wurden die Richttafeln 2005G von Dr. Klaus Heubeck zugrunde gelegt. Der Unterschiedsbetrag gegenüber der
Bewertung bis zum 31.12.2009 nach dem steuerlichen Teilwertverfahren wurde gemäß Art. 67 EGHGB in Höhe von 1/15 passiviert.
Der sich daraus ergebende nicht als Pensionsrückstellung passivierte Fehlbetrag zum 31.12.2016 beträgt 120 TEUR. Der
Unterschiedsbetrag nach § 253 Abs. 6 S. 1 HGB bei einer Bewertung mit dem Rechnungszinsfuß für eine Laufzeit von 15 Jahren auf
der Basis des Siebenjahresdurchschnitts (3,24 %) zum 31.12.2016 liegt bei 128 TEUR. Der Zinsanteil aus der Aufzinsung der
Pensionsrückstellungen sowie der Zinsänderungseffekt wird als Zinsaufwand ausgewiesen. Die durchschnittliche Anzahl der
berechtigten Beschäftigten ist im Vergleich zu 2015 unverändert bei 69 Mitarbeiter geblieben."; 8.48, 33, 34, 37 ;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
"Die sonstige Rückstellungen und Steuerrückstellungen wurden für erkennbare Risiken und ungewisse Verbindlichkeiten gebildet und in
Höhe des Erfüllungsbetrages angesetzt, wie er nach vernünftiger kaufmännischer Beurteilung notwendig ist."; 8.49, 8.50 ;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
"Die Rückstellungen für Gewährleistungsverpflichtungen werden unter Zugrundelegung des bisherigen beziehungsweise des
geschätzten Schadensverlaufs bei den ausgelieferten Erzeugnissen gebildet."; 8.50 ;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
"Die Jubiläumsrückstellungen wurden unter Anwendung versicherungsmathematischer Grundsätze nach der projizierte
Einmalbeitragsmethode, einem Rechnungszinsfuß zum Ende des Geschäftsjahres von 3,24 % p.a., einer errechneten Lohn- und
Gehaltssteigerung von 3,00%, einer Dynamik der Bemessungsgrenzen von 2,75 % und einer mittleren Fluktuationswahrscheinlichkeit
ermittelt. Für die biometrischen Wahrscheinlichkeiten wurden die Richttafeln 2005G von Dr. Klaus Heubeck zugrunde gelegt."; 8.50, 33 ;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
Die erhaltenen Anzahlungen wurden zum Nominalbetrag angesetzt.; 8.55 ;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
"Die Verbindlichkeiten sind mit dem Erfüllungsbetrag angesetzt. Verbindlichkeiten in fremder Währung werden bei Ihrer Erfassung mit
dem aktuellen Devisenkassamittelkurs umgerechnet. Kurzfristige Fremdwährungsverbindlichkeiten mit einer Restlaufzeit von einem
Jahr oder weniger werden mit dem Devisenkassamittelkurs bewertet. Langfristige Fremdwährungsverbindlichkeiten werden
aufwandswirksam höher angesetzt, wenn der Kurs am Bilanzstichtag höher ist. Ein niedrigerer Kurs (Bewertungsgewinn) wird
demgegenüber nicht berücksichtigt"; 8.51 ;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
"Als Rechnungsabgrenzungsposten sind auf der Passivseite Einnahmen vor dem Abschlussstichtag ausgewiesen, soweit sie Ertrag für
eine bestimmte Zeit nach diesem Tag darstellen. Die Bewertung erfolgt zum Nennwert."; 8.63 ;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
"Die Umsatzerlöse bzw. Umsatzrealisierung wurden im Wesentlichen nach Abnahme durch den Kunden gelegt. Soweit Verträge
mehrere Komponenten enthalten bei denen der Gefahrenübergang bzw. die Leistungserbringung zu unterschiedlichen Zeitpunkten
erfolgen werden die Umsätze entsprechend dem Verhältnis der beizulegenden Zeitwerte aufgeteilt."; 8.66 ;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
III. Erläuterungen zur Bilanz;;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
Für die Entwicklung des Anlagevermögens verweisen wir auf den Anlagespiegel am Ende des Anhangs.; 4.1, 15 ;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
"In 2016 sind in den unfertigen Erzeugnissen unfertige Leistungen in Höhe von 256 TEUR und Materialgemeinkosten in Höhe von 275
TEUR enthalten. In 2015 sind in den unfertigen Erzeugnissen unfertige Leistungen in Höhe von 206 TEUR und Materialgemeinkosten in
Höhe von 224 TEUR enthalten."; 2, 4.22 ;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
"In 2016 sind in den fertigen Erzeugnissen 66 TEUR Materialgemeinkosten enthalten. In den fertigen Erzeugnissen 2015 waren 122
TEUR Materialgemeinkosten enthalten."; 2, 4.23 ;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
Insgesamt wirken sich die genannten Beträge jeweils bestandserhöhend aus und wurden am Jahresende erfasst.; 4.22, 4.23 ;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
"Die Restlaufzeiten der Forderungen und sonstigen Vermögensgegenstände ergeben sich aus der nachstehenden Tabelle:
Stand Restlaufzeit Restlaufzeit
31.12.2016 < 1 Jahr > Jahr
Forderungen aus Lieferung und Leistungen 1.386.982,33 € 1.386.982,33 € 0,00 €
( Vorjahr ) 537.260,56 € 537.260,56 € 0,00 €
Forderungen gegen verbundene Unternehmen 7.028.412,49 € 7.028.412,49 € 0,00 €
- davon aus L. u. L. 35.834,02 € 35.834,02 € 0,00 €
- davon gegen Gesellschafter 149.276,26 € 149.276,26 € 0,00 €
- davon aus Cash-Pooling 6.843.302,21 € 6.843.302,21 € 0,00 €
( Vorjahr) 4.928.437,90 € 4.928.437,90 € 0,00 €
Sonstige Vermögensgegenstände 227.291,91 € 227.291,91 € 0,00 €
- davon aus Steuern 1.012,72 € 1.012,72 € 0,00 €
( Vorjahr) 239.323,79 € 238.525,28 € 798,51 €"; 4.25, 20 ;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
"Die sonstigen Vermögensgegenstände betreffen in Höhe von 114 TEUR Forderungen aus Kautionen, 101 TEUR Forderungen aus
Rückdeckungsversicherungen, 6 TEUR Forderungen gegen Personal, 1 TEUR aus Umsatzsteuerrückforderungen aus dem Vorjahr und 5
TEUR aus übrigen Posten."; 4.29 ;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
Alle in der Bilanz ausgewiesenen Forderungen und sonstigen Vermögensgegenstände sind innerhalb von fünf Jahren fällig.; 4.25 ;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
Die Steuerrückstellungen beinhalten 32 TEUR für Körperschaftsteuer und Solidaritätszuschlag sowie 24 TEUR für Gewerbesteuer.; 4.49 ;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
"Die sonstigen Rückstellungen beinhalten im Wesentlichen:
Stand
31.12.2016
Stand
31.12.2015
- Gewährleistungen 1.105 EUR 950 TEUR
Stand
31.12.2016
Stand
31.12.2015
- Bonus 665 TEUR 917 TEUR
- Ausstehende Rechnungen 446 TEUR 1.760 TEUR
- Überstunden 185 TEUR 223 TEUR
- Urlaub 99 TEUR 130 TEUR
- Abschluss und Prüfung 67 TEUR 56 TEUR
- Jubiläen 61 TEUR 61 TEUR
- Berufsgenossenschaft 32 TEUR 29 TEUR
- Archivierungskosten 29 TEUR 27 TEUR
- Sonstige 31 TEUR 12 TEUR"; 4.50 ;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
"Die Restlaufzeiten der Verbindlichkeiten ergeben sich aus nachfolgendem Verbindlichkeitenspiegel:
Stand
31.12.2016
Restlaufzeit < 1
Jahr
Restlaufzeit > 1
Jahr
Erhaltene Anzahlungen auf Bestellungen 2.974.500,00 € 2.974.500,00 € 0,00 €
( Vorjahr) 1.258.600,00 € 1.258.600,00 € 0,00 €
Verbindlichkeiten aus Lieferungen und Leistungen 387.296,73 € 387.296,73 € 0,00 €
( Vorjahr ) 228.476,80 € 228.476,80 € 0,00 €
Verbindlichkeiten gegenüber verbundenen Unternehmen 586.802,88 € 586.802,88 € 0,00 €
- davon aus L. u. L. 448.188,91 € 448.188,91 € 0,00 €
- davon gegen Gesellschafter 32.613,97 € 32.613,97 € 0,00 €
- davon aus Anzahlungen 106.000,00 € 106.000,00 € 0,00 €
( Vorjahr) 2.450.285,52 € 2.450.285,52 € 0,00 €
Sonstige Verbindlichkeiten 150.372,03 € 150.372,03 € 0,00 €
- davon aus Steuern 96.495,19 € 96.495,19 € 0,00 €
- davon im Rahmen der sozialen Sicherheit 15.987,84 € 15.987,84 € 0,00 €
( Vorjahr ) 272.450,91,62 € 272.450,91 € 0,00 €"; 4.51, 20, 43, 44 ;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
"Alle in der Bilanz ausgewiesenen Verbindlichkeiten sind innerhalb von einem Jahr fällig. Für die Verbindlichkeiten waren zum
Bilanzstichtag keine Sicherheiten bestellt."; 4.51 ;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
IV. Erläuterungen zur Gewinn- und Verlustrechnung;;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
"Im Zuge der neu geregelten Umsatzdefinition des BILRUG wurden in diesem Geschäftsjahr erstmalig Erträge aus Weitervermietung
von betrieblichen Räumlichkeiten an die deutsche Muttergesellschaft in Höhe von 13 TEUR (Vorjahr 13 TEUR), Erträge aus
Rückbelastung von Personaldienstleistungen/-kosten an die oberste Muttergesellschaft in den USA in Höhe von 41 TEUR (Vorjahr: 41
TEUR) und Erträge aus Rückbelastung von Personalkosten an eine deutsche Schwestergesellschaft (nur Vorjahr: 51 TEUR) in den
Umsatzerlösen ausgewiesen. Im Vorjahr wurden diese Erträge in den sonstigen betrieblichen Erträgen geführt. Daher sind die
Umsatzerlöse und sonstigen betrieblichen Erträge nicht mit dem Vorjahr vergleichbar."; 2, 49, 4.66 ;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
"Des Weiteren wurden ehemals als außerordentlich geführte Aufwendungen in diesem Geschäftsjahr in den sonstigen betrieblichen
Aufwendungen in Höhe von 15 TEUR (Vorjahr: 15 TEUR) erfasst. Dabei handelt es sich um die nach Art. 67 Abs. 1 EGHGB
erforderliche 1/15 Zuführung zu den Pensionsrückstellungen aus der Umstellung auf das Bilanzrechtsmodernisierungsgesetz (BilMoG).
Hier wurden die Struktur der Gewinn- und Verlustrechnung und die Vorjahresbeträge im Vergleich mit dem Vorjahresabschluss
angepasst."; 2, 3, 4.80, 37 ;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
"Bei Anwendung des BilRUG bereits in 2015 hätte sich entsprechend folgendes Bild ergeben:
2015 vor
Berücksichtigung
von BilRUG
BilRUG
Anpassungen
2015 nach
Berücksichtigung
von BilRUG
Umsatzerlöse 15.823.042,56 € + 104.975,59 € 15.928.018.15 €
Sonstige betriebliche Erträge 1.193.451,05 € - 104.975,59 € 1.088.475,46 €
Sonstige betriebliche Aufwendungen - 4.376.615,38 € - 14.985,00 € - 4.391.600,38 €
„Außerordentliche Aufwendungen"" - 14.985,00 € + 14.985,00 € 0,00 €"; 2   ;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
"Aufwendungen für Leiharbeitskräfte in Höhe von 479 TEUR (Vorjahr 555 TEUR) werden ab 2016 unter den sonstigen betrieblichen
Aufwendungen ausgewiesen. Im Vorjahr erfolgte der Ausweis als Personalaufwand. Weitere wesentliche Änderungen in der
Darstellung der Gewinnermittlung fanden nicht statt."; 1, 2, 4.80 ;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
"Die Steuern vom Einkommen und vom Ertrag beinhalten eine Körperschaftssteuererstattung in Höhe von 159 TEUR aus Vorjahren,
welche durch eine Betriebsprüfung durch die zuständige Finanzbehörde festgestellt worden sind und gleichzeitig einen Ertrag von
außergewöhnlicher Größenordnung darstellen."; 4.90, 57 ;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
Aufwendungen von außergewöhnlicher Bedeutung bestanden nicht.;;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
V. Sonstige Angaben;;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
"Aus den bestehenden Miet-, Pacht-, Leasing- und Dienstleistungsverträgen ergeben sich sonstige finanzielle Verpflichtungen für die
gesamte Restlaufzeit von bis zu 3 Jahren der Verträge in Höhe von 1.352 TEUR (Vj. 1.592 TEUR)."; 2   ;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
Die finanziellen Verpflichtungen des Folgejahres betragen 558 TEUR (Vj. 582 TEUR).;;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
Sonstige nicht in der Bilanz enthaltene Geschäfte mit wesentlicher Auswirkung auf die Finanzlage bestehen nicht.; 63   ;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
"Die Mitarbeiterzahlen im Jahresdurchschnitt stellen sich wie folgt dar:
2016 2015
Arbeitnehmer 67 67
Davon Vollzeit 62 62
Davon Teilzeit 4 4
GF/Auszubildende/Elternzeit/Sonstige 2 4
Gewerbliche/Leiharbeiter 12 12
Gesamtbeschäftigte: 81 83"; 61   ;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
"Geschäftsführer der Gesellschaft waren im Geschäftsjahr 2016:
? Michael A. Müller, MBA & Dipl.-Ing. (FH), Business Manager (CEO)
? Dr. Christian Hof, Jurist, Co-Manager"; 78   ;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
Von der Befreiungsvorschrift gemäß § 286 (4) HGB wurde Gebrauch gemacht; 79   ;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
Leistungszahlungen oder Rückstellungen für ehemalige/ausgeschiedene Geschäftsführer bestehen nicht.;;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
"Die Geschäftsführer der Gesellschaft schlagen den Gesellschaftern zur Ergebnisverwendung vor, den im Geschäftsjahr
erwirtschafteten Jahresüberschuss vollständig mit den bilanziell ausgewiesenen Verlustvorträgen aus vergangenen Geschäftsjahren
aufzurechnen."; 29, 65 ;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
Der Gesellschafterbeschluss wird nach § 325 (1b) HGB nachträglich offen gelegt.;;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
VI. Nachtransbericht;;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
Es ergaben sich keine wesentlichen Änderungen der Unternehmenslage gegenüber dem Zeitpunkt der Bilanzerstellung.; 66   ;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
Krailling, den 29. Juni 2017;;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
