Anhang für das Geschäftsjahr 2016; Annotierung (Angabe Nummer in Anhangscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
"Ein nach § 250 Abs. 3 HGB in den aktiven Rechnungsabgrenzungsposten aufgenommener Unterschiedsbetrag wurde im
Geschäftsjahr 2016 vollständig aufgelöst. Die sonstigen aktiven Rechnungsabgrenzungsposten betreffen im Wesentlichen die
Ausgaben für Eventaufwendungen sowie Software- und Supportkosten, die periodisch abgegrenzt wurden."; 8.34, 25 ;2015/2016;AG;Jahresabschluss;RWST Wirtschaftsberatung GmbH
"Die Rückstellungen berücksichtigen alle nach vorsichtiger kaufmännischer Beurteilung erkennbaren Risiken und ungewissen
Verpflichtungen. Für Rückstellungen mit einer Laufzeit von mehr als einem Jahr erfolgt eine Abzinsung mit den fristadäquaten
Zinssätzen, die von der Deutschen Bundesbank bekannt gegeben worden sind."; 8.47 ;2015/2016;AG;Jahresabschluss;RWST Wirtschaftsberatung GmbH
Die Verbindlichkeiten sind mit ihrem Erfüllungsbetrag passiviert.; 8.51 ;2015/2016;AG;Jahresabschluss;RWST Wirtschaftsberatung GmbH
2. Sonstige Angaben;;2015/2016;AG;Jahresabschluss;RWST Wirtschaftsberatung GmbH
Forderungen mit einer Restlaufzeit von mehr als einem Jahr bestehen nicht.; 4.25 ;2015/2016;AG;Jahresabschluss;RWST Wirtschaftsberatung GmbH
"Das in der Bilanz ausgewiesene gezeichnete Kapital zum 31.12.2016 von 114.640,00 € entspricht dem Grundkapital laut Satzung.
Die Gesamtanzahl der Aktien beträgt 11.464 Stück und lautet jeweils auf einen Nennwert von € 10,00."; 4.38, 32 ;2015/2016;AG;Jahresabschluss;RWST Wirtschaftsberatung GmbH
"Die Sonstigen Rückstellungen beinhalten im Wesentlichen Kosten für anteilige Urlaubsvergütungen, Partner Rewards
(Händlerprämien), Prozessrisiken und Tantiemen."; 4.50, 46 ;2015/2016;AG;Jahresabschluss;RWST Wirtschaftsberatung GmbH
"Die Zusammensetzung und Fristigkeiten der Verbindlichkeiten ergeben sich aus dem Verbindlichkeitenspiegel, der Anlage zu diesem
Anhang ist."; 4.51 ;2015/2016;AG;Jahresabschluss;RWST Wirtschaftsberatung GmbH
"Sonstige finanzielle Verpflichtungen gem. § 285 Nr. 3a HGB, die für die Beurteilung der Finanzlage von Bedeutung sind, resultieren
aus Mietverträgen und belaufen sich auf rd. 2,9 Mio. € (Vj: 4,0 Mio. €)."; 80 ;2015/2016;AG;Jahresabschluss;RWST Wirtschaftsberatung GmbH
Der Bilanzgewinn ergibt sich wie folgt:;;2015/2016;AG;Jahresabschluss;RWST Wirtschaftsberatung GmbH
"2015 2016
Jahresüberschuss 877.18260,1254 770.18220,1860
Gewinnvortrag 9.769.576,82 9.896.763,06
Entnahmen aus Kapitalrücklage 0,00 0,00
Entnahmen aus Gewinnrücklagen 0,00 0,00
Einstellungen in Gewinnrücklagen 0,00 0,00
Bilanzgewinn 10.646.763,06 10.666.945,86"; 4.93, 69, 70, 71, 74, 75  ;2015/2016;AG;Jahresabschluss;RWST Wirtschaftsberatung GmbH
III. Angaben zur Gewinn- und Verlustrechnung;;2015/2016;AG;Jahresabschluss;RWST Wirtschaftsberatung GmbH
Die Gewinn- und Verlustrechnung wird in Staffelform nach dem Gesamtkostenverfahren aufgestellt.; 4.0 ;2015/2016;AG;Jahresabschluss;RWST Wirtschaftsberatung GmbH
"Die Erträge aus der Vermietung von Geschäftsräumen in Höhe von 84 T€ (Vj: 90 T€) wurden gemäß § 277 Abs. 1 HGB in der
Fassung des BilRUG erstmals den Umsatzerlösen (Vj: Sonstige betriebliche Erträge) zugeordnet. Insoweit sind die Umsatzerlöse nur
eingeschränkt mit dem Vorjahr vergleichbar. Unter Berücksichtigung dieser Umgliederung hätten die Umsatzerlöse im Vorjahr 20.198
T€ betragen. Die Veränderung gegenüber dem Vorjahresausweis in Höhe von 90 T€ hätte zu einem entsprechend niedrigeren
Ausweis der sonstigen betrieblichen Erträge im Vorjahr geführt."; 4.66, 57 ;2015/2016;AG;Jahresabschluss;RWST Wirtschaftsberatung GmbH
"Die sonstigen betrieblichen Erträge wurden durch die Auflösung von Urlaubsrückstellungen in Folge eines Verzichts auf
Resturlaubstage in Höhe von 144 T€ periodenfremd beeinflusst."; 4.69, 60 ;2015/2016;AG;Jahresabschluss;RWST Wirtschaftsberatung GmbH
"Die sonstigen betrieblichen Aufwendungen beinhalten periodenfremde Bestandteile aus der Zuführung von Rückstellungen für
Passivprozesse in Höhe von 600 T€."; 4.80, 60 ;2015/2016;AG;Jahresabschluss;RWST Wirtschaftsberatung GmbH
"In den Zinsaufwendungen sind Veränderungen der Abzinsung von Rückstellungen in Höhe von 3.200,00 € enthalten. Es wird
unterstellt, dass eine Änderung des Abzinsungszinssatzes und des Verpflichtungsumfangs erst zum Ende der Periode eintreten."; 4.88 ;2015/2016;AG;Jahresabschluss;RWST Wirtschaftsberatung GmbH
IV. Sonstige Pflichtangaben;;2015/2016;AG;Jahresabschluss;RWST Wirtschaftsberatung GmbH
Vorstandsmitglieder im Geschäftsjahr 2016 waren:;;2015/2016;AG;Jahresabschluss;RWST Wirtschaftsberatung GmbH
"Herr Tobias Groten, Ahaus (Vorstandsvorsitzender)
Herr Franz-Josef Leuders, Gronau, Vorstand Technologie
Herr Klaus Kemper, Ahaus, Finanz- und Verwaltungsvorstand"; 97 ;2015/2016;AG;Jahresabschluss;RWST Wirtschaftsberatung GmbH
"Bezüglich der Angaben der für die Tätigkeit im Geschäftsjahr gewährten Gesamtbezüge des Vorstands wird von der Schutzklausel
nach § 286 Abs. 4 HGB Gebrauch gemacht."; 98 ;2015/2016;AG;Jahresabschluss;RWST Wirtschaftsberatung GmbH
Im Geschäftsjahr 2016 gehörten folgende Personen dem Aufsichtsrat an:;;2015/2016;AG;Jahresabschluss;RWST Wirtschaftsberatung GmbH
"Sparkassendirektor Heinrich-Georg Krumme, Coesfeld, (Vorsitzender)
Kirsten Altevogt, Ahaus, Arbeitnehmervertreterin (stellvertretende Vorsitzende)
Rechtsanwalt/Notar Gerhard Bahmann, Kornwestheim"; 97 ;2015/2016;AG;Jahresabschluss;RWST Wirtschaftsberatung GmbH
Die gewährten Gesamtbezüge der Aufsichtsratsmitglieder für ihre Tätigkeit im Geschäftsjahr 2016 belaufen sich auf 12.040,98 €.; 98 ;2015/2016;AG;Jahresabschluss;RWST Wirtschaftsberatung GmbH
Durchschnittlich wurden während des Geschäftsjahres 185 (Vj. 183) Mitarbeiter beschäftigt.; 77 ;2015/2016;AG;Jahresabschluss;RWST Wirtschaftsberatung GmbH
Darin enthalten sind durchschnittlich 12 (Vj. 13) Personen, die in einem Ausbildungsverhältnis standen.; 77 ;2015/2016;AG;Jahresabschluss;RWST Wirtschaftsberatung GmbH
"Unternehmen, an denen ein Anteilsbesitz von mindestens 20 % besteht:
Sitz Höhe Anteil Gezeichnetes Kapital Ergebnis 2015
chayns OPM GmbH Ahaus 100 % 25.000,00 € 73.269,39 €
smartel.com GmbH Ahaus 100 % 12.500,00 € -
chayns WRK GmbH Ahaus 100 % 12.500,00 € -"; 101 ;2015/2016;AG;Jahresabschluss;RWST Wirtschaftsberatung GmbH
V. Gewinnverwendungsvorschlag des Vorstands;;2015/2016;AG;Jahresabschluss;RWST Wirtschaftsberatung GmbH
Der Vorstand der Tobit Software AG schlägt der Hauptversammlung vor, den Bilanzgewinn auf neue Rechnung vorzutragen.; 81 ;2015/2016;AG;Jahresabschluss;RWST Wirtschaftsberatung GmbH
Anlagenspiegel 2016;;2015/2016;AG;Jahresabschluss;RWST Wirtschaftsberatung GmbH
"Anschaffungs- bzw. Herstellungskosten
Wert Z =Zugänge Wert
01.01.2016 U =Umbuchungen Abgänge 31.12.2016
€ € € €
Immaterielle
Vermögensgegenstände
Software 90.678,14 Z 10.615,07
0,00 101.293,21
Sachanlagen
Grundstücke, grundstücksgleiche
Rechte und Bauten einschl. der
Bauten auf fremden Grundstücken
9.996.735,50 Z 52.866,35
0,00 10.049.601,85
Andere Anlagen, Betriebs- und
Geschäftsausstattung
14.800.093,34 Z 2.419.634,28
U 2.244.608,49 559.408,62 18.904.927,49
Geleistete Anzahlungen und
Anlagen im Bau
2.246.018,29 Z 217.647,11
U -2.244.608,49 1.409,80 217.647,11
27.042.847,13 Z 2.690.147,74
U 0,00 560.818,42 29.172.176,45
Finanzanlagen
Anteile an verbundenen
Unternehmen
25.000,00 Z 25.000,00
0,00 50.000,00
Sonstige Ausleihungen 129,11 Z 6,07
0,00 135,18
25.129,11 Z 25.006,07
U 0,00 0,00 50.135,18
Gesamt 27.158.654,38 Z 2.725.768,88
U 0,00 560.818,42 29.323.604,84"; 4.1, 15 ;2015/2016;AG;Jahresabschluss;RWST Wirtschaftsberatung GmbH
"kumulierte Abschreibungen
Wert
01.01.2016 Zugänge Abgänge
Wert
31.12.2016
€ € € €
Immaterielle Vermögensgegenstände
Software 72.995,65 14.817,04
0,00 87.812,69
Sachanlagen
Grundstücke, grundstücksgleiche Rechte und
Bauten einschl. der Bauten auf fremden
Grundstücken
2.874.684,68 436.835,61
0,00 3.311.520,29
Andere Anlagen, Betriebs- und
Geschäftsausstattung
8.627.265,10 1.726.028,75
298.618,22 10.054.675,63
Geleistete Anzahlungen und Anlagen im Bau 0,00 0,00
0,00 0,00
11.501.949,78 2.162.864,36
298.618,22 13.366.195,92
Finanzanlagen
Anteile an verbundenen Unternehmen 0,00 0,00
0,00 0,00
Sonstige Ausleihungen 0,00 0,00
0,00 0,00
0,00 0,00
0,00 0,00
Gesamt 11.574.945,43 2.177.681,40
298.618,22 13.454.008,61"; 4.1, 15, 16 ;2015/2016;AG;Jahresabschluss;RWST Wirtschaftsberatung GmbH
"Nettowerte
Buchwert
31.12.2016
Buchwert
Vorjahr
€ €
Immaterielle Vermögensgegenstände
Software 13.480,52 17.682,49
Sachanlagen
Grundstücke, grundstücksgleiche Rechte und Bauten einschl. der Bauten auf fremden
Grundstücken
6.738.081,56 7.122.050,82
Andere Anlagen, Betriebs- und Geschäftsausstattung 8.850.251,86 6.172.828,24
Geleistete Anzahlungen und Anlagen im Bau 217.647,11 2.246.018,29
15.805.980,53 15.540.897,35
Finanzanlagen
Anteile an verbundenen Unternehmen 50.000,00 25.000,00
Sonstige Ausleihungen 135,18 129,11
50.135,18 25.129,11
Gesamt 15.869.596,23 15.583.708,95"; 4.1, 15 ;2015/2016;AG;Jahresabschluss;RWST Wirtschaftsberatung GmbH
Verbindlichkeitenspiegel 2016;;2015/2016;AG;Jahresabschluss;RWST Wirtschaftsberatung GmbH
"Gesamtbetrag bis zu 1 Jahr 1 - 5 Jahren
mehr als 5
Jahren
gesicherte
Beträge Art der Sicherheit
€ € € € €
1.
Verbindlichkeiten
gegenüber
Kreditinstituten
4.391.019,49 776.645,12 2.601.860,95 1.012.513,42 4.391.019,49 Sicherungübereignung
der finanzierten
Vermögensgegenstände,
Grundpfandrechte,
Globalzession aller
Forderungen LuL
(5.155.433,25) (810.353,78) (2.717.902,99) (1.627.176,48) (5.155.433,25)
2. Erhaltene
Anzahlungen auf
Bestellungen
161.579,73 161.579,73 0,00 0,00 0,00
(172.833,50) (172.833,50) (0,00) (0,00) (0,00)
3.
Verbindlichkeiten
aus Lieferungen
und Leistungen
889.183,30 889.183,30 0,00 0,00 0,00
(840.034,38) (840.034,38) (0,00) (0,00) (0,00)
4.
Verbindlichkeiten
gegenüber
verbundenen
Unternehmen
277.961,44 277.961,44 0,00 0,00 0,00
(0,00) (0,00) (0,00) (0,00) (0,00)
5.
Verbindlichkeiten
gegenüber
Gesellschaftern
1.606.549,44 1.606.549,44 0,00 0,00 0,00
(1.579.763,66) (1.579.763,66) (0,00) (0,00) (0,00)
6. Sonstige
Verbindlichkeiten
758.028,03 758.028,03 0,00 0,00 0,00
(1.233.373,49) (1.233.373,49) (0,00) (0,00) (0,00)
8.084.321,43 4.469.947,06 2.601.860,95 1.012.513,42 4.391.019,49
(8.981.438,28) (4.636.358,81 (2.717.902,99 (1.627.176,48) (5.155.433,25)"; 4.54, 4.55, 4.56, 4.58, 4.59, 4.60, 49  ;2015/2016;AG;Jahresabschluss;RWST Wirtschaftsberatung GmbH
