Anhang zum 31. Dezember 2016; Annotierung (Angabe Nummer in Anhangscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
"Sachanlagen sind zu Anschaffungs- bzw. Herstellungskosten vermindert um planmäßige, nutzungsbedingte Abschreibungen bewertet. Soweit erforderlich werden bei voraussichtlich dauerhafter Wertminderung
darüber hinaus außerplanmäßige Abschreibungen auf den niedrigeren beizulegenden Wert vorgenommen. Die planmäßigen Abschreibungen erfolgen über die voraussichtliche wirtschaftliche Nutzungsdauer
grundsätzlich linear. Geringwertige Anlagegüter im Wert zwischen EUR 150 und EUR 1.000 werden pro Jahr in einem Sammelposten zusammengefasst, der über fünf Jahre abgeschrieben wird."; 8.7 ;2016;SICK AG;Jahresabschluss;EY
"Bei den Finanzanlagen sind die Anteile an verbundenen Unternehmen sowie die Beteiligungen mit ihren Anschaffungskosten bzw. mit dem niedrigeren beizulegenden Wert angesetzt. Die Vorräte sind, ausgehend
von den Anschaffungs- oder Herstellungskosten, nach dem strengen Niederstwertprinzip bewertet."; 8.13, 8.20 ;2016;SICK AG;Jahresabschluss;EY
Bei den Roh-, Hilfs- und Betriebsstoffen und Waren liegen der Ermittlung der Anschaffungskosten gleitende Durchschnittspreise zugrunde.; 8.21, 8.23 ;2016;SICK AG;Jahresabschluss;EY
"Die Herstellungskosten der unfertigen und fertigen Erzeugnisse werden auf der Grundlage einer detaillierten Plankostenrechnung ermittelt und um wesentliche Plan-/Ist- Abweichungen angepasst. Die Herstellungskosten
umfassen zusätzlich zu den Einzelkosten auch Fertigungs- und Materialgemeinkosten."; 8.22 ;2016;SICK AG;Jahresabschluss;EY
"Alle erkennbaren Risiken im Vorratsvermögen, die sich aus überdurchschnittlicher Lagerdauer, geminderter Verwertbarkeit und niedrigeren Wiederbeschaffungskosten ergeben, sind durch angemessene Abwertungen
berücksichtigt."; 8.20 ;2016;SICK AG;Jahresabschluss;EY
Abgesehen von handelsüblichen Eigentumsvorbehalten sind die Vorräte frei von Rechten Dritter.; 8.20 ;2016;SICK AG;Jahresabschluss;EY
"Forderungen und sonstige Vermögensgegenstände sind grundsätzlich mit dem Nennwert angesetzt. Erkennbaren Ausfallrisiken wird durch Einzelwertberichtigungen Rechnung getragen. Auf nicht einzelwertberichtigte
Forderungen aus Lieferungen und Leistungen werden zur Abdeckung des allgemeinen Kreditrisikos Pauschalwertberichtigungen vorgenommen. Unverzinsliche Forderungen mit einer Restlaufzeit von
über einem Jahr werden abgezinst."; 8.25, 8.26 ;2016;SICK AG;Jahresabschluss;EY
Der aktive Rechnungsabgrenzungsposten beinhaltet Ausgaben vor dem Bilanzstichtag, soweit sie Aufwand für eine bestimmte Zeit nach dem Bilanzstichtag darstellen.; 8.34 ;2016;SICK AG;Jahresabschluss;EY
"Latente Steuern werden für zeitliche Unterschiede zwischen den handelsrechtlichen und steuerlichen Wertansätzen von Vermögensgegenständen, Schulden und Rechnungsabgrenzungsposten ermittelt. Dabei werden
bei der SICK AG nicht nur die Unterschiede aus den eigenen Bilanzpositionen einbezogen, sondern auch solche, die bei Organgesellschaften bestehen. Zusätzlich zu den zeitlichen Bilanzierungsunterschieden
werden steuerliche Verlustvorträge berücksichtigt. Eine sich insgesamt ergebende Steuerbelastung wird in der Bilanz als passive latente Steuer angesetzt. Im Falle einer Steuerentlastung wird von entsprechenden
Aktivierungswahlrechten kein Gebrauch gemacht."; 8.35 ;2016;SICK AG;Jahresabschluss;EY
Der Sonderposten für Investitionszuschüsse enthält steuerpflichtige Zuschüsse für Investitionen im unbeweglichen Anlagevermögen, die von der öffentlichen Hand vor dem Geschäftsjahr 2010 gewährt wurden.; 8.95 ;2016;SICK AG;Jahresabschluss;EY
"Die unmittelbaren und mittelbaren Pensionsrückstellungen für laufende Pensionen und Pensionsanwartschaften sind nach dem Anwartschaftsbarwertverfahren angesetzt. Zukünftig erwartete Entgelt- und Rentensteigerungen
werden bei der Ermittlung der Verpflichtungen berücksichtigt. Der ermittelte Betrag wird gemäß § 253 Abs. 2 Satz 1 HGB pauschal mit dem durchschnittlichen Marktzins der vergangenen zehn
Geschäftsjahre abgezinst. Die SICK AG macht von dem Wahlrecht Gebrauch, die mittelbaren Pensionsverpflichtungen, die durch die Unterstützungseinrichtung der Maihak Aktiengesellschaft e.V., Hamburg,
gesichert sind, zu bilanzieren."; 8.48, 41 ;2016;SICK AG;Jahresabschluss;EY
"Der Wert der Rückstellungen aus der mitarbeiterfinanzierten Altersvorsorge bestimmt sich nach der Wertentwicklung des Aktivwertes der kongruenten Rückdeckungsversicherung unter Anwendung des § 253
Abs. 1 S. 3 HGB (wertpapiergebundene Altersvorsorge)."; 8.50. 41 ;2016;SICK AG;Jahresabschluss;EY
"Der Wert der Rückstellungen aus der unternehmensfinanzierten Altersvorsorge bestimmt sich nach der Wertentwicklung des Aktivwertes der kongruenten Rückdeckungsversicherung, erfüllt aber nicht die
Bedingungen zur Saldierung. Die Bilanzierung erfolgt als Bewertungseinheit."; 8.50. 41 ;2016;SICK AG;Jahresabschluss;EY
"Die Richttafeln von Prof. Dr. Klaus Heubeck vom 2. September 2005 werden berücksichtigt. Die SICK AG übt das Wahlrecht nach Art. 67 Abs. 1 S. 1 EGHGB aus, den Zuführungsbetrag auf zukünftige Perioden
zu verteilen."; 41, 45 ;2016;SICK AG;Jahresabschluss;EY
"Die Steuerrückstellungen und die sonstigen Rückstellungen sind grundsätzlich mit dem Erfüllungsbetrag angesetzt, der nach vernünftiger kaufmännischer Beurteilung erforderlich ist; alle bis zum Abschlussstichtag
entstandenen und bis zum Tag der Bilanzerstellung erkennbaren Risiken sind berücksichtigt. Langfristige Rückstellungen werden mit dem ihrer Laufzeit entsprechenden durchschnittlichen Marktzinssatz der
vergangenen sieben Jahre abgezinst."; 8.49, 8.50 ;2016;SICK AG;Jahresabschluss;EY
"Zur Sicherung von Währungsrisiken, welche im Rahmen der operativen Geschäftstätigkeit der SICK-Gruppe entstehen, werden derivative Finanzinstrumente eingesetzt. Für nicht realisierte Kursverluste aus der
Bewertung von derivativen Finanzinstrumenten werden Rückstellungen gebildet. Positive Bewertungsergebnisse bleiben unberücksichtigt.";;2016;SICK AG;Jahresabschluss;EY
Die Verbindlichkeiten werden mit ihrem Erfüllungsbetrag ausgewiesen.; 8.51 ;2016;SICK AG;Jahresabschluss;EY
Der passive Rechnungsabgrenzungsposten beinhaltet Einnahmen vor dem Bilanzstichtag, soweit sie Ertrag für eine bestimmte Zeit nach dem Bilanzstichtag darstellen.; 8.63 ;2016;SICK AG;Jahresabschluss;EY
C. Währungsumrechnung;;2016;SICK AG;Jahresabschluss;EY
"Vermögensgegenstände und Verbindlichkeiten in Fremdwährungen werden mit dem Devisenkassamittelkurs am Bilanzstichtag umgerechnet. Auf fremde Währung lautende Vermögensgegenstände und Verbindlichkeiten
mit einer Laufzeit bis zu einem Jahr werden am Bilanzstichtag mit dem Devisenkassamittelkurs bewertet. Bei langfristigen Fremdwährungsforderungen und Fremdwährungsverbindlichkeiten werden
dagegen nur Verluste aus Kursänderungen, die bis zum Bilanzstichtag eintreten, berücksichtigt. Soweit Fremdwährungsforderungen oder -verbindlichkeiten durch Devisentermin- oder sonstige Sicherungsgeschäfte
kursgesichert sind, erfolgt die Bewertung grundsätzlich zum entsprechenden Sicherungskurs. Die Umrechnung der Haftungsverhältnisse erfolgt zum Devisenkassamittelkurs am Bilanzstichtag."; 8.1, 8.19, 8.51 ;2016;SICK AG;Jahresabschluss;EY
D. Erläuterung zur Bilanz;;2016;SICK AG;Jahresabschluss;EY
(1) Anlagevermögen;;2016;SICK AG;Jahresabschluss;EY
"Die Entwicklung des Anlagevermögens der SICK AG ist gemäß § 268 Abs. 2 HGB im Anlagespiegel in der Anlage A zu diesem Anhang dargestellt. Die Zugänge bei den Anteilen an verbundenen Unternehmen
resultieren aus Kapitalerhöhungen."; 4.1 ;2016;SICK AG;Jahresabschluss;EY
Die Aufstellung des Anteilsbesitzes der SICK AG ist in der Anlage B zu diesem Anhang dargestellt.; 4.13 ;2016;SICK AG;Jahresabschluss;EY
(2) Vorräte;;2016;SICK AG;Jahresabschluss;EY
"(in TEUR) 2016 Vorjahr
Roh-, Hilfs- und Betriebsstoffe 59.370 55.202
Unfertige Erzeugnisse 31.849 30.851
Fertige Erzeugnisse und Waren 42.026 38.378
Erhaltene Anzahlungen -1.832 -3.243
131.413 121.188"; 4.21, 4.22, 4.23, 4.24 ;2016;SICK AG;Jahresabschluss;EY
(3) Forderungen und sonstige Vermögensgegenstände;;2016;SICK AG;Jahresabschluss;EY
Sofern Forderungen und Sonstige Vermögensgegenstände mit einer Restlaufzeit von über einem Jahr beziehungsweise aus Lieferungen und Leistungen bestehen, werden diese in folgender Tabelle explizit vermerkt.; 4.25 ;2016;SICK AG;Jahresabschluss;EY
"(in TEUR) 2016 Vorjahr
Forderungen aus Lieferungen und Leistungen 11.128 9.847
Forderungen gegen verbundene Unternehmen 245.720 192.067
(davon aus Lieferungen und Leistungen) (147.107) (103.791)
Forderungen gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht 660 3.062
Sonstige Vermögensgegenstände 19.376 15.408
(davon mit einer Restlaufzeit von mehr als 1 Jahr) (9.301) (8.232)
276.884 220.384"; 4.26, 4.27, 4.28, 4.29 ;2016;SICK AG;Jahresabschluss;EY
(4) Flüssige Mittel;;2016;SICK AG;Jahresabschluss;EY
"(in TEUR) 2016 Vorjahr
Kassenbestand 7 13
Guthaben bei Kreditinstituten 13.681 8.922
13.688 8.935"; 4.33 ;2016;SICK AG;Jahresabschluss;EY
(5) Rechnungsabgrenzungsposten;;2016;SICK AG;Jahresabschluss;EY
Die Position beinhaltet Ausgaben vor dem Bilanzstichtag in Höhe von TEUR 1.287 (Vorjahr TEUR 1.121), die Aufwand für die Zeit nach dem Bilanzstichtag darstellen.; 4.34 ;2016;SICK AG;Jahresabschluss;EY
(6) Gezeichnetes Kapital;;2016;SICK AG;Jahresabschluss;EY
Das Grundkapital beträgt EUR 26.405.400 und setzt sich aus insgesamt 26.405.400 nennwertlosen, auf den Inhaber lautenden Stückaktien zusammen. Der rechnerische Nennwert pro Aktie beträgt EUR 1,00.; 4.38, 32 ;2016;SICK AG;Jahresabschluss;EY
"Durch Beschluss der Hauptversammlung vom 12. Mai 2015 wurde der Vorstand ermächtigt bis zum Ablauf des 11. Mai 2020 mit Zustimmung des Aufsichtsrats einmalig oder mehrfach bis zu 2.640.540 eigene
Stückaktien zum Zweck der Einziehung oder der Weiterveräußerung zu erwerben."; 4.38 ;2016;SICK AG;Jahresabschluss;EY
"Mit Datum vom 11. Juni 2007 teilte die Sick Holding GmbH, Freiburg, gemäß § 20 Abs. 4 AktG mit, dass sie eine Mehrheitsbeteiligung an der SICK AG hält und damit deren Muttergesellschaft darstellt. Der
Konzernabschluss der Sick Holding GmbH ist am Sitz der Muttergesellschaft erhältlich."; 92 ;2016;SICK AG;Jahresabschluss;EY
(7) Eigene Anteile;;2016;SICK AG;Jahresabschluss;EY
Am 31. Dezember 2016 hält die SICK AG 200.160 eigene Aktien zum Nennwert von TEUR 200 (entspricht 0,8 Prozent des Grundkapitals).; 24 ;2016;SICK AG;Jahresabschluss;EY
"Der Anfangsbestand der eigenen Aktien zum 1. Januar 2016 belief sich auf 199.225 Aktien zum Nennwert von TEUR 199 (entspricht 0,8 Prozent des Grundkapitals). Gemäß der von der Hauptversammlung am
12. Mai 2015 erteilten Ermächtigung hat die SICK AG im Geschäftsjahr 2016 insgesamt 3.035 eigene Aktien zum rechnerischen Nennwert von EUR 1 zum Durchschnittskurs von EUR 33,52 erworben, wobei der
quartalsweise Erwerb zwischen 150 Aktien und 2.300 Aktien schwankte. Darüber hinaus wurden 2016 im Rahmen einer Langfristvergütungsregelung 2.100 eigene Aktien im Nennwert von TEUR 2 (entspricht
0,01 Prozent des Grundkapitals) und einem Verkehrswert von TEUR 92 an Mitglieder des Vorstands ausgegeben."; 24 ;2016;SICK AG;Jahresabschluss;EY
Die Gesellschaft hat in früheren Geschäftsjahren im Rahmen regelmäßiger Aktienprogramme den Mitarbeitern die Gelegenheit geboten, Aktien der Gesellschaft zu erwerben bzw. zu veräußern.; 24 ;2016;SICK AG;Jahresabschluss;EY
"Der Ausweis der eigenen Anteile erfolgt nach § 272 Abs. 1a HGB. Der rechnerische Anteil am Grundkapital in Höhe von TEUR 200 wird von dem gezeichneten Kapital abgesetzt. Der darüber hinausgehende
Wert in Höhe von TEUR 3.257 (Vorjahr TEUR 3.263) ist mit den anderen Gewinnrücklagen verrechnet."; 24 ;2016;SICK AG;Jahresabschluss;EY
(8) Kapitalrücklage;;2016;SICK AG;Jahresabschluss;EY
Der Ausweis der Kapitalrücklage betrifft Agiobeträge im Zusammenhang mit durchgeführten Kapitalerhöhungen und übertragenen eigenen Anteilen. Im Berichtsjahr wurden TEUR 56 eingestellt.; 4.39, 34 ;2016;SICK AG;Jahresabschluss;EY
(9) Gewinnrücklagen;;2016;SICK AG;Jahresabschluss;EY
"In den Gewinnrücklagen in Höhe von TEUR 217.048 (Vorjahr TEUR 177.042) wurden TEUR 3.257 (Vorjahr TEUR 3.263) des über den rechnerischen Anteil am Grundkapital hinausgehenden Wertes der eigenen
Anteile verrechnet."; 4.40 ;2016;SICK AG;Jahresabschluss;EY
(10) Sonderposten für Investitionszuschüsse;;2016;SICK AG;Jahresabschluss;EY
"Der Sonderposten für Investitionszuschüsse enthält steuerpflichtige Zuschüsse für Investitionen im unbeweglichen Anlagevermögen, die von der öffentlichen Hand vor dem Geschäftsjahr 2010 gewährt wurden.
Der Posten löst sich über die Nutzungsdauer der begünstigten Vermögensgegenstände auf."; 4.95 ;2016;SICK AG;Jahresabschluss;EY
(11) Rückstellungen;;2016;SICK AG;Jahresabschluss;EY
"(in TEUR) 2016 Vorjahr
Rückstellungen für Pensionen 35.831 33.891
(davon unmittelbar (33.049) (31.128)
mittelbar) (2.782) (2.763)
Steuerrückstellungen 3.480 9.858
Sonstige Rückstellungen 58.762 55.174
(davon für Personal- und Sozialaufwand (41.996) (39.574)
für Gewährleistungen und Kontraktverluste) (6.631) (5.900)
98.073 98.923"; 4.48, 4.49, 4.50 ;2016;SICK AG;Jahresabschluss;EY
Die Bewertung der Rückstellung für Pensionen basiert auf folgenden Rechnungsgrundlagen:; 4.48 ;2016;SICK AG;Jahresabschluss;EY
"2016 Vorjahr
Zinssatz 4,01% 3,89%
Gehaltstrend 3.00% 3,00%
Rententrend 2.00% 2,00%"; 4.48 ;2016;SICK AG;Jahresabschluss;EY
In der Bilanz werden folgende Beträge verrechnet:;;2016;SICK AG;Jahresabschluss;EY
"(in TEUR) 2016 Vorjahr
Erfüllungsbetrag der Verpflichtungen 44.532 41.620
Zeitwert Planvermögen (11.483) (10.492)
Saldo 33.049 31.128";;2016;SICK AG;Jahresabschluss;EY
Der zum Bilanzstichtag bestehende Fehlbetrag beträgt TEUR 2.300. Im Berichtsjahr wurden TEUR 760 erfolgswirksam unter den sonstigen betrieblichen Aufwendungen ausgewiesen.;;2016;SICK AG;Jahresabschluss;EY
Die Zeitwerte der Rückdeckungsversicherungen entsprechen dem vom Versicherer nachgewiesenen Deckungskapital und damit den fortgeführten Anschaffungskosten.;;2016;SICK AG;Jahresabschluss;EY
"Die Rückstellungen aus der unternehmensfinanzierten Altersversorgung in Höhe von TEUR 9.301 (Vorjahr TEUR 7.916) sind in Verbindung mit dem unter den sonstigen Vermögensgegenständen ausgewiesenen
Aktivwert der kongruenten Rückdeckungsversicherung in Höhe von TEUR 9.301 (Vorjahr TEUR 7.916) als Bewertungseinheit bilanziert. Dieser Aktivwert ist nicht in dem in der Tabelle angegebenen Zeitwert
des Planvermögens enthalten, da dieser nicht saldiert werden kann.";;2016;SICK AG;Jahresabschluss;EY
In der Gewinn- und Verlustrechnung werden die zugehörigen Aufwendungen und Erträge aus der Aufzinsung und aus dem zu verrechnenden Vermögen saldiert:;;2016;SICK AG;Jahresabschluss;EY
"(in TEUR) 2016 Vorjahr
Gewinne aus Planvermögen 156 186
Zinsaufwand aus Aufzinsung -1.863 -4.275
-1.707 -4.089";;2016;SICK AG;Jahresabschluss;EY
(12) Verbindlichkeiten;;2016;SICK AG;Jahresabschluss;EY
"2016 davon Restlaufzeit Vorjahr
(in TEUR) Gesamt Unter 1 Jahr 1 bis 5 Jahre Über 5 Jahre Gesamt Unter 1 Jahr
Gegenüber Kreditinstituten
97.734 6.880 81.641 9.213 98.499 10.901
(davon durch Grundpfandrechte
gesichert)
(-) (-) (-) (-) (708) (708)
Aus Lieferungen und
Leistungen
33.692 33.692 - - 31.028 31.028
Gegenüber verbundenen
Unternehmen
124.968 124.968 - - 62.436 62.436
(davon aus Lieferungen
und Leistungen)
(26.595) (26.595) (-) (-) (11.685) (11.685)
Gegenüber Unternehmen,
mit denen ein Beteiligungsverhältnis
besteht
195 195 - - 568 568
Sonstige Verbindlichkeiten
9.276 9.276 - - 6.631 6.631
(davon aus Steuern) (3.590) (3.590) (-) (-) (3.425) (3.425)
265.865 175.011 81.641 9.213 199.162 111.564"; 4.54, 4.56, 4.58, 4.61, 4.62, 49, 50, 51 ;2016;SICK AG;Jahresabschluss;EY
(13) Rechnungsabgrenzungsposten;;2016;SICK AG;Jahresabschluss;EY
Der passive Rechnungsabgrenzungsposten beinhaltet erhaltene Zahlungen in Höhe von TEUR 107 (Vorjahr TEUR 0) für Leistungen, die das Unternehmen erst nach dem Bilanzstichtag erbringt.; 4.63 ;2016;SICK AG;Jahresabschluss;EY
E. Erläuterungen zur Gewinn- und Verlustrechnung;;2016;SICK AG;Jahresabschluss;EY
(14) Umsatzerlöse;;2016;SICK AG;Jahresabschluss;EY
Die Umsatzerlöse teilen sich nach Divisions wie folgt auf:; 58 ;2016;SICK AG;Jahresabschluss;EY
Umsatzerlöse; 4.66 ;2016;SICK AG;Jahresabschluss;EY
"(in TEUR) 2016 Vorjahr
Presence Detection 188.898 173.673
Industrial Safety Systems 201.962 193.926
Analyzers and Flow Solutions 114.702 119.702
Motion Control Sensors 102.800 95.731
Identification & Measuring 203.095 180.157
Industrial Instrumentation & 3D Compact Systems 7.421 6.031
90/CSC Systems 57.104 48.282
Zwischensumme Divisions 875.982 817.502
Sonstige Umsatzerlöse 32.346 31.036
908.328 848.538"; 4.66, 58 ;2016;SICK AG;Jahresabschluss;EY
Die sonstigen Umsatzerlöse beinhalten im Wesentlichen Konzernverrechnungen.; 4.66 ;2016;SICK AG;Jahresabschluss;EY
Die Umsatzerlöse nach Divisions teilen sich geografisch wie folgt auf:; 4.66, 58 ;2016;SICK AG;Jahresabschluss;EY
Umsatzerlöse;;2016;SICK AG;Jahresabschluss;EY
"(in TEUR) 2016 Vorjahr
Deutschland 213.124 199.504
EMEA 362.833 345.703
Nord-, Mittel- und Südamerika 135.900 130.648
Asien / Pazifik 164.125 141.647
875.982 817.502"; 4.66, 58 ;2016;SICK AG;Jahresabschluss;EY
(15) Sonstige betriebliche Erträge;;2016;SICK AG;Jahresabschluss;EY
Die sonstigen betrieblichen Erträge enthalten unter anderem Erträge in folgendem Umfang:; 4.69 ;2016;SICK AG;Jahresabschluss;EY
Sonstige betriebliche Erträge;;2016;SICK AG;Jahresabschluss;EY
"(in TEUR) 2016 Vorjahr
Währungsgewinne 30.816 30.504
Erträge aus der Auflösung des Sonderpostens 3 6"; 4.69, 67 ;2016;SICK AG;Jahresabschluss;EY
"In den sonstigen betrieblichen Erträgen sind periodenfremde Erträge in Höhe von TEUR 1.219 (Vorjahr TEUR 1.825) enthalten. Hierbei handelt es sich im Wesentlichen um Erträge aus der Auflösung von
Rückstellungen und Wertberichtigungen sowie aus dem Abgang von Sachanlagen."; 4.69, 65 ;2016;SICK AG;Jahresabschluss;EY
(16) Materialaufwand;;2016;SICK AG;Jahresabschluss;EY
Materialaufwand;;2016;SICK AG;Jahresabschluss;EY
"(in TEUR) 2016 Vorjahr
Roh-, Hilfs- und Betriebsstoffe und bezogene Waren 444.218 389.255
Bezogene Leistungen 13.585 15.746
457.803 405.001"; 4.71, 4.72 ;2016;SICK AG;Jahresabschluss;EY
(17) Personalaufwand;;2016;SICK AG;Jahresabschluss;EY
"(in TEUR) 2016 Vorjahr
Löhne und Gehälter 239.668 218.540
Soziale Abgaben und Aufwendungen für Altersversorgung und für Unterstützung 36.919 33.651
(davon für Altersversorgung) (755) (1.611)
276.587 252.191"; 4.74, 4.75, 4.76 ;2016;SICK AG;Jahresabschluss;EY
Der Posten enthält periodenfremde Aufwendungen in Höhe von TEUR 0 (Vorjahr TEUR 0).;;2016;SICK AG;Jahresabschluss;EY
Mitarbeiter;;2016;SICK AG;Jahresabschluss;EY
"Die durchschnittliche Beschäftigtenzahl beträgt: 2016 Vorjahr
Indirekte 2.536 2.304
Direkte 769 728
3.305 3.032
Auszubildende 204 198"; 80 ;2016;SICK AG;Jahresabschluss;EY
"Die Beschäftigtenzahl im indirekten Bereich berücksichtigt alle nicht direkt im Produktionsprozess eingebundenen Mitarbeiter. Die Zuordnung erfolgte nach einem modifizierten Schema, der Vorjahresausweis
wurde entsprechend angepasst.";;2016;SICK AG;Jahresabschluss;EY
(18) Sonstige betriebliche Aufwendungen;;2016;SICK AG;Jahresabschluss;EY
"Die Position enthält insbesondere Aufwendungen für Fremdleistungen in Höhe von TEUR 57.314 (Vorjahr TEUR 81.336), Währungsverluste in Höhe von TEUR 32.289 (Vorjahr TEUR 36.166), Aufwendungen
für Ausgangsfrachten und Gebühren in Höhe von TEUR 8.941 (Vorjahr TEUR 7.540), Aufwendungen für Instandhaltung und Reparaturen in Höhe von 12.346 (Vorjahr TEUR 9.978) sowie Aufwendungen für
Reisekosten in Höhe von TEUR 5.902 (Vorjahr TEUR 5.379)."; 4.80, 67 ;2016;SICK AG;Jahresabschluss;EY
Diese Position enthält zudem Zuführungen zu Pensionsrückstellungen gemäß Wahlrecht Art. 67 Abs.1 S. 1 EGHGB in Höhe von TEUR 760.; 4.80, 45 ;2016;SICK AG;Jahresabschluss;EY
Daneben enthalten die sonstigen betrieblichen Aufwendungen periodenfremde Aufwendungen in Höhe von TEUR 449 (Vorjahr TEUR 299).; 4.80, 65 ;2016;SICK AG;Jahresabschluss;EY
(19) Finanzergebnis;;2016;SICK AG;Jahresabschluss;EY
"(in TEUR) 2016 Vorjahr
Erträge aus Beteiligungen 28.128 26.240
(davon aus verbundenen Unternehmen) (28.128) (26.240)
Erträge aus Gewinnabführungsverträgen 27.627 33.990
Sonstige Zinsen und ähnliche Erträge 717 731
(davon aus verbundenen Unternehmen) (596) (687)
Aufwendungen aus Verlustübernahme -256 0
Zinsen und ähnliche Aufwendungen -4.303 -7.257
(davon an verbundene Unternehmen) (-510) (-404)
(davon aus der Aufzinsung
von Rückstellungen) (-1.978) (-4.518)
51.913 53.704"; 4.81, 4.82, 4.85, 4.86, 4.88, 4.89, 4.100, 66 ;2016;SICK AG;Jahresabschluss;EY
(20) Steuern vom Einkommen und vom Ertrag;;2016;SICK AG;Jahresabschluss;EY
"Dieser Posten umfasst Aufwendungen für Körperschaftsteuer, Gewerbesteuer, Solidaritätszuschlag und im Ausland entrichtete Ertragsteuern, die ausschließlich auf das Ergebnis vor Steuern zuzüglich der sonstigen
Steuern entfallen. Latente Steuern sind im Steueraufwand nicht enthalten. Der für das Geschäftsjahr 2016 ausgewiesene Ertragsteueraufwand beinhaltet aperiodische Steueraufwendungen in Höhe von TEUR
1.042 (im Vorjahr Steuererträge TEUR 1.279)."; 4.90 ;2016;SICK AG;Jahresabschluss;EY
"Die Ermittlung aktiver und passiver latenter Steuern erfolgt auf Basis des sogenannten bilanzorientierten Ansatzes. Danach ergeben sich latente Steuern bei temporären Differenzen zwischen handelsrechtlichen und
entsprechenden steuerlichen Wertansätzen auf bilanzieller Ebene. Liegen darüber hinaus steuerliche Verlustvorträge vor, ergeben sich hieraus aktive latente Steuern, soweit die Verlustvorträge erwartungsgemäß
innerhalb der nächsten fünf Jahre genutzt werden können."; 4.90 ;2016;SICK AG;Jahresabschluss;EY
Zum Stichtag zeigen sich folgende latente Steueransprüche und -verbindlichkeiten:; 4.90 ;2016;SICK AG;Jahresabschluss;EY
