Ab PDF S. 10; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
Geldbestände und Bankguthaben in Fremdwährung werden zum Devisenkassamittelkurs am Bilanzstichtag umgerechnet.;;2016/2017;GmbH;Konzernabschluss;EY
C. Bilanzierungs- und Bewertungsmethoden; 9.0 ;2016/2017;GmbH;Konzernabschluss;EY
Für die in den Konzernabschluss einbezogenen Unternehmen sind im Wesentlichen unverändert die nachfolgenden Bilanzierungs- und Bewertungsmethoden maßgebend:; 9.0 ;2016/2017;GmbH;Konzernabschluss;EY
Die Abschlüsse der in den Konzernabschluss einbezogenen Unternehmen werden nach einheitlichen Bilanzierungs- und Bewertungsgrundsätzen erstellt.; 9.0, 93 ;2016/2017;GmbH;Konzernabschluss;EY
Entgeltlich erworbene immaterielle Vermögensgegenstände des Anlagevermögens werden mit ihren Anschaffungskosten, vermindert um planmäßige lineare Abschreibungen, bewertet.; 9.4 ;2016/2017;GmbH;Konzernabschluss;EY
Geschäfts- oder Firmenwerte einschließlich der Geschäfts- oder Firmenwerte aus der Erstkonsolidierung von Anteilen werden über einen Zeitraum von 5 bis 10 Jahren linear abgeschrieben.; 9.5, 14 ;2016/2017;GmbH;Konzernabschluss;EY
"Die Sachanlagen werden - sofern sie bis 31. Dezember 2000 zugegangen sind - mit ihren Anschaffungs- oder Herstellungskosten, vermindert um die steuerlich höchstzulässigen Abschreibungen, bewertet. Die
ab dem 1. Januar 2001 zugegangenen Sachanlagen werden mit ihren Anschaffungs- und Herstellungskosten, vermindert um planmäßige lineare Abschreibungen, bewertet. Die Sachanlagen der ausländischen
Gesellschaften werden grundsätzlich mit ihren Anschaffungs- oder Herstellungskosten, vermindert um planmäßige lineare Abschreibungen, bewertet. Bei der TAKATA Sachsen GmbH werden Zinsen für Fremdkapital,
das zur Finanzierung der Herstellung verwendet wird, gemäß § 298 Abs. 1 i.V.m. § 255 Abs. 3 Satz 2 HGB in die Herstellungskosten einbezogen."; 9.7, 10 ;2016/2017;GmbH;Konzernabschluss;EY
"Unter den Finanzanlagen werden die Anteilsrechte zu Anschaffungskosten, ggf. abzüglich Abwertungen auf den niedrigeren beizulegenden Wert, bewertet. Ausleihungen werden grundsätzlich zum Nennwert
angesetzt. Unverzinsliche oder niedrig verzinsliche Ausleihungen wurden mit dem landesüblichen Zinsfuß auf den Barwert abgezinst."; 9.12 ;2016/2017;GmbH;Konzernabschluss;EY
"Die Bewertung der Roh-, Hilfs- und Betriebsstoffe sowie Handelswaren erfolgt zu Anschaffungskosten. Die unfertigen und fertigen Erzeugnisse werden zu Herstellungskosten bewertet, wobei neben den Einzelkosten
auch die aktivierungspflichtigen Gemeinkosten sowie Abschreibungen Berücksichtigung finden. Sowohl die Roh-, Hilfs- und Betriebsstoffe als auch Handelswaren werden auf niedrigere Marktpreise
am Bilanzstichtag abgewertet."; 9.20 ;2016/2017;GmbH;Konzernabschluss;EY
"Schwer- und ungängige Bestände werden abgewertet. In allen Fällen findet eine verlustfreie Bewertung statt, d. h. es werden von den voraussichtlichen Verkaufspreisen Abschläge für noch anfallende Kosten
vorgenommen."; 9.20 ;2016/2017;GmbH;Konzernabschluss;EY
Forderungen und sonstige Vermögensgegenstände werden zu Nennwerten, vermindert um angemessene Einzel- und Pauschalabwertungen, angesetzt.; 9.25 ;2016/2017;GmbH;Konzernabschluss;EY
"Die in den sonstigen Vermögensgegenständen enthaltenen Ansprüche aus der Rückdeckungsversicherung für Pensionsverpflichtungen werden mit dem Deckungskapital zuzüglich vorhandener Gewinnanteile
bewertet."; 9.29 ;2016/2017;GmbH;Konzernabschluss;EY
Die flüssigen Mittel (Barbestände und Bankguthaben) werden zu ihren Nennwerten angesetzt.; 9.33 ;2016/2017;GmbH;Konzernabschluss;EY
"Sonderposten für Investitionszulagen werden mit Erteilung des Förderbescheides ge-bildet. Eingestellt wird dabei der gewährte Förderbetrag, die Auflösung erfolgt über die Nutzungsdauer der geförderten
Investitionsgüter."; 9.0 ;2016/2017;GmbH;Konzernabschluss;EY
"Die Rückstellungen für Pensionen und ähnliche Verpflichtungen wurden zum 31. März 2017 ermittelt. Als Bewertungsmethode wurde hierbei wieder die projizierte Einmal-beitragsmethode (Projected Unit Credit
- Method) herangezogen. Der Zinssatz für die Abzinsung zum 31. März 2017 wurde von der Bundesbank gemäß § 253 Abs. 2 Satz 4 HGB vorgegeben und lag bei 3,94 % (Vj. 4,25 %). Dies entspricht dem
durchschnittlichen Marktzinssatz der vergangenen zehn Geschäftsjahre, der sich bei einer angenommenen Restlaufzeit von 15 Jahren ergibt. Der Gehaltstrend (Anwartschaftsdynamik) lag für Vorstände und
Vertragsangestellte im Vergleich zum Vorjahr unverändert bei 2,0 % p.a., in der allgemeinen Pensionsordnung wurde keine Dynamisierung vorgenommen. Bei den Verpflichtungen der TAKATA Romania S.R.L.,
Rumänien und der TAKATA Sibiu S.R.L, Rumänien wurde hiervon abweichend ein Gehaltstrend von 9,0 % p.a. (Vj. 5,0 %) berücksichtigt. Ferner wurde bei den rumänischen Gesellschaften abweichend von der
Fluktuationsrate der deutschen Gesellschaften in Höhe von 0,5 % (Vj. 0,5 %) eine Fluktuationsrate von 20 % (Vj. 20 %) berücksichtigt. Der Rententrend betrug bei den deutschen Gesellschaften für alle Gruppen
von Pensionszusagen, wie auch im Vorjahr, 1,5 % p.a. Bei der Berechnung der Pensionsrückstellungen wurden die Richttafeln 2005 G von Dr. Klaus Heubeck angewendet."; 9.48, 36 ;2016/2017;GmbH;Konzernabschluss;EY
"Die Steuerrückstellungen und die sonstigen Rückstellungen berücksichtigen alle ungewissen Verbindlichkeiten und drohenden Verluste aus schwebenden Geschäften. Sie werden in Höhe des nach vernünftiger
kaufmännischer Beurteilung notwendigen Erfüllungsbetrags, d.h. einschließlich zukünftiger Kosten- und Preissteigerungen, angesetzt. Rückstellungen mit einer Restlaufzeit von mehr als einem Jahr werden, mit
den entsprechend ihrer Restlaufzeit von der Bundesbank veröffentlichten Zinssätzen, abgezinst. Bei der Ermittlung der Rückstellung für drohende Verluste aus schwebenden Verkaufsgeschäften wurden Vollkosten
zugrunde gelegt."; 9.49 ;2016/2017;GmbH;Konzernabschluss;EY
"Die Rückstellungen für Verpflichtungen aus Altersteilzeitvereinbarungen umfassen die Aufwendungen für die Lohn- und Gehaltszahlungen an Mitarbeiter in der Freistellungs-phase sowie die Aufstockungsleistungen.
Diese Rückstellungen werden mit Abschluss der Altersteilzeitvereinbarungen gebildet und mit dem Barwert bewertet. Die ausschließlich der Erfüllung der Altersversorgungsverpflichtungen dienenden,
dem Zugriff aller übrigen Gläubiger entzogenen Vermögensgegenstände (Deckungsvermögen i. S. d. § 246 Abs. 2 Satz 2 HGB), werden mit ihrem beizulegenden Zeitwert bewertet und mit den Rückstellungen
verrechnet."; 9.50, 9.36, 38 ;2016/2017;GmbH;Konzernabschluss;EY
Verbindlichkeiten werden mit ihrem Erfüllungsbetrag angesetzt.; 9.51 ;2016/2017;GmbH;Konzernabschluss;EY
"Für die Ermittlung latenter Steuern aufgrund von temporären oder quasi-permanenten Differenzen zwischen den handelsrechtlichen Wertansätzen von Vermögensgegenständen, Schulden und Rechnungsabgrenzungsposten
und ihren steuerlichen Wertansätzen oder aufgrund steuerlicher Verlustvorträge werden diese mit den unternehmensindividuellen Steuersätzen im Zeitpunkt des Abbaus der Differenzen bewertet und
die Beträge der sich ergebenden Steuerbe- und -entlastung nicht abgezinst. Dabei werden auch Differenzen, die auf Konsolidierungsmaßnahmen gemäß den §§ 300 bis 307 HGB beruhen, berücksichtigt, nicht
jedoch Differenzen aus dem erstmaligen Ansatz eines Geschäfts- oder Firmenwerts bzw. eines negativen Unterschiedsbetrags aus der Kapitalkonsolidierung. Soweit im Rahmen des Erwerbs von Tochterunternehmen
steuerliche Verlustvorträge mit erworben werden, für die innerhalb der nächsten fünf Jahre eine Verrechenbarkeit zu erwarten ist, wird die Möglichkeit, hierfür im Zuge der Kaufpreisaufteilung bis zum
Ablauf der Anpassungsperiode i.S.d. § 301 Abs. 2 Satz 2 HGB aktive latente Steuern erfolgsneutral zu berücksichtigen, in Anspruch genommen. Aktive und passive Steuerlatenzen werden verrechnet."; 9.35, 9.64 ;2016/2017;GmbH;Konzernabschluss;EY
D. Erläuterungen zum Konzernabschluss;;2016/2017;GmbH;Konzernabschluss;EY
I. Konzern-Bilanz;;2016/2017;GmbH;Konzernabschluss;EY
1. Anlagevermögen;;2016/2017;GmbH;Konzernabschluss;EY
"Die Aufgliederung und die Bewegungen des Anlagevermögens sind der Anlage zum Anhang ""Entwicklung des Konzernanlagevermögens"" zu entnehmen.";;2016/2017;GmbH;Konzernabschluss;EY
"Wesentliche immaterielle Vermögensgegenstände, die unter den entgeltlich erworbenen Konzessionen, gewerblichen Schutzrechten und ähnlichen Rechten und Werten sowie Lizenzen an solchen Rechten und
Werten ausgewiesen werden, betreffen Patente, Schutzrechte und Software der TAKATA Aktiengesellschaft (TEUR 2.650), der TAKATA Romania S.R.L., Rumänien (TEUR 697) und der Takata Safety Systems
Hungary Kft, Ungarn (TEUR 440). Die Summe für alle Gesellschaften beträgt zum 31. März 2017 TEUR 4.051.";;2016/2017;GmbH;Konzernabschluss;EY
Unter den immateriellen Vermögensgegenständen der TAKATA Aktiengesellschaft werden zum 31. März 2017 entgeltlich erworbene Belieferungsrechte für einen Kunden in Höhe von TEUR 1.108 ausgewiesen.;;2016/2017;GmbH;Konzernabschluss;EY
Der bilanzierte Geschäfts- oder Firmenwert beträgt TEUR 34.828 (Vj. TEUR 5.933) und resultiert aus der erfolgten Erstkonsolidierung der Takata Safety Systems Hungary Kft., Ungarn.;;2016/2017;GmbH;Konzernabschluss;EY
Die TAKATA Europe GmbH ist direkt oder indirekt an den folgenden Unternehmen beteiligt:; 68   ;2016/2017;GmbH;Konzernabschluss;EY
"Sitz der Gesellschaft Anteil Eigenkapital Jahresergebnis
31.03.2017 31.03.2017 2016/2017
Konsolidierte Unternehmen % TEUR TEUR
TAKATA Sachsen GmbH Elterlein / Deutschland 100,00 41.106 01)
TAKATA PlasTec GmbH Bad Kissingen- Albertshausen
/ Deutschland
100,00 36 01)
TAKATA Sibiu S.R.L. Sibiu / Rumänien 99,99 + 94 % v. 0,01 44.119 1.994
TAKATA AG Aschaffenburg / Deutschland
94,00 91.279 01)
TAKATA GmbH Inflator Systems Aschaffenburg / Deutschland
94 % v. 100,00 -46.585 -545
TAKATA Parts s.r.o. Rtyne v Podkrkonosi /
Tschechien
94 % v. 100,00 33.690 4.020
TAKATA Parts Polska Sp. z o.o. Krzeszów / Polen 94 % v. 100,00 2.701 -4.134
TAKATA Spólka z o.o. Krzeszów / Polen 94 % v. 100,00 5.894 47
TAKATA Romania S.R.L. Arad / Rumänien 94 % v. 100,00 76.750 13.157
TAKATA South Africa (Pty.) Ltd. Durban / Südafrika 94 % v. 100,00 -19.409 5.925
TAKATA Ignition Systems GmbH Schönebeck / Deutschland 100,00 881 01)
Takata Safety Systems Hungary Kft. Miskolc / Ungarn 100,00 -8.762 -15.997"; 68   ;2016/2017;GmbH;Konzernabschluss;EY
"Sitz der Gesellschaft Anteil Eigenkapital Jahresergebnis
31.03.2017 31.03.2017 2016/2017
Nicht konsolidierte Unternehmen % TEUR TEUR
Dalphi Metal Espana S. A. 2) Vigo / Spanien 94 % v. 21,59 27.571 -7.453
Dalphi Metal Internacional S. A. 2) Vigo / Spanien 94 % v. 49,00 6.922 55
Dalphi Metal Seguridad S. A. 2) Vigo / Spanien 94 % v. 49,00 29.403 299
Dalphi Metal Portugal S. A. 3) Vila Nova de C. / Portugal 94 % v. 49,00 18.446 1.527
GSB Gesellschaft zur Entsorgung von Sondermüll in Bayern 2) München / Deutschland 94 % v. 0,09 62.087 13.529
1) Ergebnisabführungsvertrag
2) Jahresabschluss per 31.12.2015
3) Jahresabschluss per 31.12.2016";;2016/2017;GmbH;Konzernabschluss;EY
2. Vorräte;;2016/2017;GmbH;Konzernabschluss;EY
Abgesehen von handelsüblichen Eigentumsvorbehalten sind die Vorräte frei von Rechten Dritter.;;2016/2017;GmbH;Konzernabschluss;EY
3. Forderungen aus Lieferungen und Leistungen;;2016/2017;GmbH;Konzernabschluss;EY
"Die Forderungen aus Lieferungen und Leistungen betragen TEUR 200.735 (Vj. TEUR 165.624) und haben wie im Vorjahr ausschließlich eine Restlaufzeit bis zu einem Jahr. Der Anstieg resultiert hauptsächlich
aus der erfolgten Erstkonsolidierung der Takata Safety Systems Hungary Kft., Ungarn (TEUR 18.889) und gestiegenen Forderungen der TAKATA Romania S.R.L., Rumänien (TEUR 11.768).";;2016/2017;GmbH;Konzernabschluss;EY
4. Forderungen gegen verbundene Unternehmen;;2016/2017;GmbH;Konzernabschluss;EY
Die Forderungen gegen verbundene Unternehmen in Höhe von TEUR 90.621;;2016/2017;GmbH;Konzernabschluss;EY
"(Vj. TEUR 165.823) resultieren in Höhe von TEUR 76.302 (Vj. TEUR 47.152) aus Lieferungen und Leistungen, die wie im Vorjahr innerhalb eines Jahres fällig sind. Der Gesamtbestand der Forderungen gegen
verbundene Unternehmen hat sich durch die Einbeziehung der ungarischen Gesellschaft Takata Safety Systems Hungary Kft., Ungarn in den Konzernkreis der TAKATA Europe GmbH erheblich reduziert. Der
starke Anstieg bei den Forderungen aus Lieferungen und Leistungen ist hauptsächlich auf die rückrufbedingte Weiterbelastung von Kosten seitens der TAKATA Sachsen GmbH an die TK Holdings Inc., USA,
zurückzuführen.";;2016/2017;GmbH;Konzernabschluss;EY
Die Forderungen gegen verbundene Unternehmen resultieren zudem in Höhe von TEUR 860 (Vj. TEUR 31.843) aus sonstigen Forderungen, die ebenfalls wie im Vorjahr innerhalb eines Jahres fällig sind.;;2016/2017;GmbH;Konzernabschluss;EY
"Von den Finanzforderungen gegen verbundene Unternehmen sind TEUR 2.850 (Vj. TEUR 3.700) innerhalb eines Jahres fällig und entfallen mit TEUR 1.950 (Vj. TEUR 3.700) auf die TAKATA Maroc S.A.R.L.,
Marokko und mit TEUR 900 (Vj. TEUR 0) auf die TAKATA Istanbul Automotive Safety Systems Production and Trading Ltd., Türkei.";;2016/2017;GmbH;Konzernabschluss;EY
"Zudem bestehen langfristige Finanzforderungen in Höhe von TEUR 10.500 (Vj. TEUR 82.700), davon TEUR 7.500 (Vj. TEUR 7.500) gegen die TAKATA Maroc S.A.R.L, Marokko sowie TEUR 3.000 (Vj. TEUR
14.000) gegen die TAKATA Rus LLC, Russland. Der Rückgang der Forderungen resultiert vor allem aus der erstmaligen Einbeziehung der Takata Safety Systems Hungary Kft., Ungarn in den Konsolidierungskreis
der TAKATA Europe GmbH, gegen welche im Vorjahr Forderungen in Höhe von TEUR 60.000 bestanden.";;2016/2017;GmbH;Konzernabschluss;EY
5. Sonstige Vermögensgegenstände;;2016/2017;GmbH;Konzernabschluss;EY
"Von den sonstigen Vermögensgegenständen in Höhe von TEUR 45.674 (Vj. TEUR 34.479) entfallen TEUR 13.141 auf die TAKATA Europe GmbH, TEUR 11.920 auf die TAKATA AG, TEUR 5.500 auf die
TAKATA Romania S.R.L., Rumänien, TEUR 5.048 auf die TAKATA South Africa (Pty.) Ltd., Südafrika, TEUR 4.845 auf die Takata Safety Systems Hungary Kft., Ungarn, TEUR 2.492 auf die TAKATA Sibiu
S.R.L., Rumänien und TEUR 1.918 auf die TAKATA Parts Polska Sp. z o.o., Polen.";;2016/2017;GmbH;Konzernabschluss;EY
Sonstige Vermögensgegenstände mit einer Restlaufzeit von mehr als einem Jahr betragen TEUR 1.877 (Vj. TEUR 2.994) und betreffen ausschließlich Ansprüche aus Rückdeckungsversicherungen für Pensionsverpflichtungen.; 42   ;2016/2017;GmbH;Konzernabschluss;EY
6. Rechnungsabgrenzungsposten;;2016/2017;GmbH;Konzernabschluss;EY
"Ein aktiver Rechnungsabgrenzungsposten wurde in Höhe von TEUR 6.546 (Vj. TEUR 9.701) gebildet und betraf im Wesentlichen die TAKATA Europe GmbH in Höhe von TEUR 4.180 (Vj. TEUR 6.971) für
Versicherungsprämien des Geschäftsjahres 2017/2018 sowie die TAKATA Aktiengesellschaft in Höhe von TEUR 1.243 (Vj. TEUR 1.261).";;2016/2017;GmbH;Konzernabschluss;EY
7. Aktive latente Steuern;;2016/2017;GmbH;Konzernabschluss;EY
"Latente Steuern resultieren zum einen aus den Einzelabschlüssen der Tochtergesellschaften und zum anderen aus erfolgswirksamen Konsolidierungsbuchungen. Sie werden auf Verlustvorträge bzw. auf zeitliche
Differenzen zwischen den steuerlichen Bilanzwerten und den handelsrechtlichen Buchwerten gebildet. Bei der TAKATA GmbH Inflator Systems (TEUR 12.655), TAKATA South Africa (Pty.) Ltd., Südafrika
(TEUR 11.537), TAKATA Parts Polska Sp. z o.o., Polen (TEUR 10.611) und bei der Takata Safety Systems Hungary Kft., Ungarn (TEUR 2.577) wurden Wertberichtigungen auf die latenten Steuern vorgenommen.
Zusätzlich wurden Wertberichtungen auf aktive latente Steuern in Höhe von TEUR 30.750 für die Gesellschaften der Organschaft der TAKATA Europe GmbH in Deutschland vorgenommen.";;2016/2017;GmbH;Konzernabschluss;EY
