Anhang für das Geschäftsjahr 2016; Annotierung (Angabe Nummer in Anhangscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
"Rechtsstreitigkeiten und andere rechtliche Verfahren werfen oft komplexe Fragen auf und sind mit zahlreichen Unwägbarkeiten und
Schwierigkeiten verbunden, u.a. aufgrund des Sachverhalts und der Umstände jedes einzelnen Falls, des Gerichts, bei dem die Klage
anhängig ist, sowie aufgrund von Unterschieden im anwendbaren Recht. Bei anhängigen sowie künftigen juristischen Verfahren wird
anhand der den Rechtsanwälten vorliegenden Informationen geprüft, ob und in welcher Höhe bilanzielle Vorsorge getroffen werden
muss."; 8.50, 40 ;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
"Soweit nach vernünftigem Ermessen eines dieser Verfahren wahrscheinlich zu bereits heute verlässlich messbaren Mittelabflüssen
führen wird, wird der Barwert als Rückstellung für Rechtsstreitigkeiten passiviert. Diese Rückstellungen decken die geschätzten
Zahlungen an die Kläger, die Gerichts- und Verfahrenskosten, die Kosten für Rechtsanwälte sowie eventuelle Vergleichskosten ab."; 8.50 ;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
"Häufig kann die Existenz einer gegenwärtigen Verpflichtung oder die Wahrscheinlichkeit aus einem anhängigen oder künftigen
juristischen Verfahren nicht verlässlich eingeschätzt werden. Aufgrund der besonderen Natur dieser Verfahren erfolgt regelmäßig die
Bildung einer Rückstellung erst dann, wenn erste Vergleiche eine Einschätzung über die potenzielle Höhe erlauben oder Urteile
vorliegen. Rückstellungen für Rechtsverteidigungskosten werden dann gebildet, soweit zur Verteidigung der eigenen Rechtsposition
eine externe Unterstützung in materiellem Umfang wahrscheinlich erforderlich werden wird."; 8.50 ;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
"Zu jedem Bilanzstichtag ermitteln die rechtlichen Berater den aktuellen Stand der wesentlichen rechtlichen Risiken. Auf dieser
Grundlage wird geprüft, ob und ggf. in welcher Höhe eine Rückstellung zu bilden oder anzupassen ist. Wertaufhellende Informationen
werden bis zum Aufstellungszeitpunkt des Jahresabschlusses berücksichtigt. Für die Bemessung von Rückstellungen für Klage-/
Schadensersatzverfahren werden ggf. geschlossene Vergleiche, aktuell erhobene und zukünftig noch zu erwartende Ansprüche
berücksichtigt."; 8.47 ;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
Verbindlichkeiten werden zum Erfüllungsbetrag angesetzt.; 8.51 ;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
"Vermögensgegenstände in Fremdwährung werden grundsätzlich zum Anschaffungskurs bzw. mit dem niedrigeren
Devisenkassamittelkurs angesetzt. Verbindlichkeiten in Fremdwährung werden grundsätzlich zum Entstehungskurs bzw. mit dem
höheren Devisenkassamittelkurs angesetzt. Bei einer Restlaufzeit der Vermögensgegenstände und Schulden von einem Jahr oder
weniger werden auch unrealisierte Währungsgewinne ausgewiesen."; 8.0 ;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
2. Erläuterungen zur Bilanz;;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
Anlagevermögen;;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
"Aufgrund eines bestehenden Miet- und Pachtvertrages mit der DURA B&G für die Nutzung der Grundstücks- und Gebäudeflächen
sowie sonstiger Gegenstände des Anlagevermögens weist die Gesellschaft kein eigenes Anlagevermögen aus."; 4.1 ;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
Forderungen und sonstige Vermögensgegenstände;;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
Forderungen gegen die Gesellschafterin bestehen in Höhe von TEUR 26.500 (Vorjahr: TEUR 37.278).; 4.25 ;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
Rückstellungen;;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
"Die sonstigen Rückstellungen beinhalten im Wesentlichen Rückstellungen für Restrukturierungsmaßnahmen TEUR 7.780 (Vorjahr:
TEUR 7.780), für Preisnachlässe/Kundenbelastungen TEUR 4.163 (Vorjahr: TEUR 3.605), Altersteilzeitverpflichtungen TEUR 2.957
(Vorjahr: TEUR 3.225), sonstige Personalrückstellungen TEUR 1.195 (Vorjahr: TEUR 4.279), Rückstellungen für Drohverluste TEUR
683 (Vorjahr: TEUR 4.173) sowie für ausstehende Eingangsrechnungen TEUR 251 (Vorjahr: TEUR 1.013)."; 4.47 ;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
Verbindlichkeiten;;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
Die Verbindlichkeiten aus Lieferungen und Leistungen sind um TEUR 675 auf TEUR 9.083 angestiegen.; 4.56 ;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
"Die Verbindlichkeiten gegenüber verbundenen Unternehmens haben sich um TEUR 13.469 auf TEUR 32.313 erhöht, die
Verbindlichkeiten gegenüber der Gesellschafterin bestehen in Höhe von TEUR 742 (Vorjahr: TEUR 2.690)."; 4.58 ;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
"Die sonstigen Verbindlichkeiten beinhalten im Wesentlichen Verbindlichkeiten aus Steuern TEUR 678 (Vorjahr: TEUR 470) und
Restlöhnen und Sozialversicherungen TEUR 173 (Vorjahr: TEUR 254)."; 4.61 ;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
Passive Rechnungsabgrenzungen;;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
"Die passiven Rechnungsabgrenzungsposten sind um TEUR 215 auf TEUR 270 gesunken. Diese beinhalten projektspezifische
Vorauszahlungen von Kunden und werden über den definierten zukünftigen Zeitraum entsprechend aufgelöst."; 4.63 ;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
3. Erläuterungen zur Gewinn- und Verlustrechnung;;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
Aufgliederung der Umsatzerlöse;;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
"Die Umsatzerlöse mit der DURA B&G werden in voller Höhe von TEUR 84.861 (Vorjahr: TEUR 32.832) im Inland erbracht. Die
Vorjahresangabe ist wegen der unterschiedlichen Dauer des Geschäftsjahres nicht vergleichbar."; 4.66, 50 ;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
Sonstige betriebliche Erträge;;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
"Die sonstigen betrieblichen Erträge beinhalten im Wesentlichen Erträge aus der Auflösung von Rückstellungen von TEUR 4.920
(Vorjahr: TEUR 106)."; 4.69 ;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
Sonstige betriebliche Aufwendungen;;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
"Die sonstigen betrieblichen Aufwendungen in Höhe von TEUR 22.420 (Vorjahr: TEUR 10.084) beinhalten im Wesentlichen
Miet-/Pacht- und Leasingaufwendungen (TEUR 6.091; Vorjahr: TEUR 1.996); davon Miet-/Pachtaufwendungen für genutzte
Grundstücks- und Gebäudeflächen sowie Maschinen und Einrichtungen der DURA B&G (TEUR 5.160; Vorjahr (TEUR 1.692),
• Aufwendungen für Konzernbelastungen für Management-Dienstleistungen, sowie Lizenz- und Trademark Gebühren (TEUR
1.276; Vorjahr: TEUR 3.509),
• Instandhaltungen und Reparaturen (TEUR 732; Vorjahr: TEUR 779),
• Ausgangsfrachten inkl. Sonderfrachten (TEUR 3.162; Vorjahr: TEUR 664),
• Aufwendungen für Leiharbeitnehmer (TEUR 4.857; Vorjahr: TEUR 1.514)
• Qualitätskosten (Sortier-, Nacharbeitskosten, Kundenbelastungen) (TEUR 1.511; Vorjahr: TEUR 375)."; 4.80 ;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
"Die Geschäftsführung schlägt vor, dass der Jahresfehlbetrag in Höhe von EUR 19.551.518,97 (Vorjahr EUR 0,00) auf neue Rechnung
vorgetragen wird."; 68 ;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
4. Sonstige finanzielle Verpflichtungen und Angabe zu außerbilanziellen Geschäften;;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
Nicht in der Bilanz enthaltene Geschäfte;;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
"Die Gesellschaft unterhält ein Konsignationslager, das zum 31.12.2016 einen Bestandswert von TEUR 676 (Vorjahr TEUR 712)
aufweist. Vorteile liegen in der Versorgungssicherheit, dem geringen Abwicklungsaufwand und der Verringerung der
Kapitalbindungskosten. Die Gesellschaft trägt die Gefahr für Verlust und Verschlechterung des auf Lager befindlichen Materials,
sofern dieses durch sie angefordert wurde."; 66 ;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
Haftungsverhältnisse;;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
"Es besteht ein subsidiäres Haftungsverhältnis aufgrund von Versorgungszusagen der Unterstützungskasse der DURA Holding
Germany Gruppe e.V. gegenüber aktiven und ausgeschiedenen Mitarbeitern der DURA Automotive Plettenberg Leisten und Blenden
GmbH. In Höhe des Anteils der Gesellschaft an der Gesamtdifferenz zwischen Kassenvermögen der Unterstützungskasse und dem
von einem unabhängigen Versicherungsmathematiker errechneten handelsrechtlichen Wert der mittelbaren Verpflichtungen zum
31.12.16 ergibt sich eine anteilige Deckungslücke für die Gesellschaft in Höhe von TEUR 2.958."; 46 ;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
Weitere Haftungsverhältnisse bestehen nicht.;;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
Sonstige finanzielle Verpflichtungen;;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
"Es bestehen zum Bilanzstichtag folgende Verpflichtungen aus Miet- und Leasingverhältnissen:
TEUR
01.01.2017 bis 31.12.2017 210
01.01.2018 bis 31.12.2018 81
01.01.2019 bis 31.12.2019 23
01.01.2020 und später 0"; 67 ;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
"Im Juli 2016 nahm das Management das Recht zur vorzeitigen Kündigung der Mietverhältnisse im Zusammenhang mit der
Betriebsstätte Lenhausen wahr, womit das obenstehende Miet- und Leasingverhältnis im Juli 2017 endet. Aufgrund dieser
frühzeitigen Kündigung wird eine Zahlung in Höhe von EUR 48.000 fällig."; 67 ;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
Das Bestellobligo liegt im industrieüblichen Rahmen.; 67 ;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
Abschlussprüferhonorar;;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
"Das vom Abschlussprüfer für das Rumpfgeschäftsjahr berechnete Honorar für Abschlussprüfungsleistungen beträgt TEUR 33 (Vorjahr
TEUR 30)."; 72 ;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
Aufgliederung der Arbeitnehmerzahl;;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
"Die Gesellschaft beschäftigte im Berichtsjahr durchschnittlich 852 Arbeitnehmer (Vorjahr: 846), davon waren 751 (Vorjahr: 742) als
gewerbliche Arbeitnehmer und 100 (Vorjahr: 104) als kaufmännische/technische Angestellte tätig."; 64 ;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
Konzernabschluss;;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
"Die DURA Automotive Systems LLC, Auburn Hills, Michigan/USA, stellt unter Einbeziehung der Gesellschaft den Konzernabschluss für
den größten Teil von Unternehmen auf. Die Konzernabschlüsse sind am Sitz der jeweiligen Gesellschaften erhältlich."; 75 ;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
"Als verbundene Unternehmen werden alle Unternehmen angesehen, die in den Konzernabschluss der DURA Automotive Systems LLC
einbezogen werden."; 75 ;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
Nachtragsbericht;;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
"Gegenwärtig finden mit den Arbeitnehmervertretern im Rahmen eines Schlichtungsverfahrens Verhandlungen über den aktualisierten
Restrukturierungsplan der Dura L&B statt. Die im März 2017 begonnenen Restrukturierungsverhandlungen mündeten in der
Eröffnung eines Einigungsstellenverfahrens. Im Juli 2017 wurden die Verhandlungen über einen Interessenausgleich im
Einvernehmen mit dem Vorsitzenden der Einigungsstelle für gescheitert erklärt. Das Scheitern der Verhandlungen wurde im August
2017 gerichtlich bestätigt. Eine erste Reduzierung des Personalbestandes erfolgte im August 2017; weitere Personalreduktionen sind
für Oktober und Dezember 2017 vorgesehen. Im September 2017 schloss die DURA B&G mit den wesentlichen Kunden
Preisvereinbarungen über Preiserhöhungen zur Finanzierung von Personalrestrukturierungen in Plettenberg ab (Abfindungszahlungen,
mögliche Sozialplan- und damit verbundene Kosten). Die Einigungsstellensitzungen und Verhandlungen mit den
Arbeitnehmervertretern wurden im Hinblick auf die Sozialplandotierung im September 2017 fortgeführt. Die Geschäftsführung ist der
Ansicht, dass die Restrukturierung, vorbehaltlich einer weiteren Verfeinerung in den Verhandlungen, einen tragbaren und
realistischen Weg nach vorne für das Unternehmen darstellt. Die Restrukturierung beinhaltet einen Liquiditätsplan, der das erwartete
Zurückfahren der gegenwärtig aus Plettenberg bezogenen Kundenprogramme einbezieht und sicherstellt, dass die fortdauernde
Zahlungsfähigkeit des Unternehmens für die nächsten zwei Jahre durch eine Reihe zeitlich terminierter Liquiditätsspritzen von
anderen Unternehmen der DURA-Unternehmensgruppe sichergestellt wird. Die Details zur Liquiditätszusage vom 31.12.2016 sind
unter dem Abschnitt über bestandsgefährdende Risiken im Lagebericht aufgeführt."; 69 ;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
"Am Abend des 15. September 2017 wurden 2 Gebäude im Werk in Plettenberg, Deutschland, teilweise durch ein Feuer zerstört. Die
Brandursache ist noch nicht bekannt, die Ermittlungen der Brandsachverständigen dauern an. Die durch das Feuer verursachten
Kosten beinhalten Schäden für die Reparatur/Wiederbeschaffung von Gebäuden, Betriebs- und Geschäftsausstattung, sowie
Vorräten/ Verpackungsmaterialien. Die genauen Schadenswerte werden derzeit durch die Gesellschaft ermittelt."; 69 ;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
"Zur Sicherstellung der Lieferfähigkeit gegenüber unseren Kunden sind umfangreiche Wiederherstellungsmaßnahmen eingeleitet
worden und werden weitergeführt."; 69 ;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
Mitglieder des Aufsichtsrats;;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
"Dem Aufsichtsrat gehörten im Geschäftsjahr an:
Frank Ikinci Produktionsmitarbeiter (Werdohl)
Dietmar Neufert Kaufmännischer Angestellter (Lüdenscheid)
Jürgen Henze Leiter Personal (Plettenberg)
Peter Hollex IT Direktor Europe (Werdohl)"; 83 ;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
Mitglieder der Geschäftsführung;;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
"Der Geschäftsführung gehörten im Geschäftsjahr an:
Kevin Grady, Executive Vice President und Chief Financial Officer
(Dura Automotive Systems LLC, Auburn Hills, Michigan/USA) bis zum 22. Juni
2016
Mit Gesellschafterbeschluss vom 15. Juni 2016 ist bestellt worden:
Dave Pettyes, Executive Vice President, Human Resources
(Dura Automotive Systems LLC, Auburn Hills, Michigan/USA)
Auf die Angabe der Gesamtbezüge der Geschäftsführer wird gemäß § 286 Abs. 4 HGB verzichtet."; 83 ;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
Entwicklung des Anlagevermögens für die Zeit vom 01. April bis zum 31. Dezember 2016;;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
"Anschaffungs- und Herstellungskosten
Stand
01.04.2016
EUR
Zugänge
EUR
Abgänge
EUR
Umbuchungen
EUR
Stand
31.12.2016
EUR
I. Sachanlagen
1. Grundstücke, grundstücksgleiche Rechte und Bauten
einschließlich der Bauten auf fremden Grundstücken
0 0 0 0 0
2. Technische Anlagen und Maschinen 0 0 0 0 0
3. Andere Anlagen, Betriebs- und Geschäftsausstattung 260.537 21.354 21.354 0 260.537
4. Geleistete Anzahlungen und Anlagen im Bau 0 0 0 0 0
5. Anzahlungen ggü. verb. Unternehmen 0 0 0 0
260.537 21.354 21.354 0 260.537
260.537 21.354 21.354 0 260.537
Abschreibungen
Stand
01.04.2016
EUR
Zugänge
EUR
Abgänge
EUR
Umbuchungen
EUR
Stand
31.12.2016
EUR
I. Sachanlagen
1. Grundstücke, grundstücksgleiche Rechte und Bauten
einschließlich der Bauten auf fremden Grundstücken
0 0 0 0 0
2. Technische Anlagen und Maschinen 0 0 0 0 0
3. Andere Anlagen, Betriebs- und Geschäftsausstattung 260.537 21.354 21.354 0 260.537
4. Geleistete Anzahlungen und Anlagen im Bau 0 0 0 0 0
5. Anzahlungen ggü. verb. Unternehmen 0 0 0 0 0"; 4.1, 15 ;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
Abschreibungen;;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
"Stand
01.04.2016
EUR
Zugänge
EUR
Abgänge
EUR
Umbuchungen
EUR
Stand
31.12.2016
EUR
260.537 21.354 21.354 0 260.537
260.537 21.354 21.354 0 260.537"; 4.1, 15, 16 ;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
"Nettowerte
Stand
31.12.2016
EUR
Stand
31.03.2016
EUR
I. Sachanlagen
1. Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden
Grundstücken
0 0
2. Technische Anlagen und Maschinen 0 0
3. Andere Anlagen, Betriebs- und Geschäftsausstattung 0 0
4. Geleistete Anzahlungen und Anlagen im Bau 0 0
5. Anzahlungen ggü. verb. Unternehmen 0 0
0 0
0 0"; 4.1, 15, 16 ;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
