Ab S. 42; Annotierung (Angabe Nummer in Anahngscheckliste) ;Gesch„ftsjahr;Gesellschaft;Abschlussart;Prfer
"Die Bilanzposition ""Sonstige Rckstellungen"" macht in Summe TEUR 10.121 (im Vj. TEUR 10.364 ) aus, wovon TEUR 5.505 (im Vj. TEUR 5.560) auf die Remissionen entfallen. Des Weiteren beinhaltet diese
Position vor allem noch Rckstellungen fr Personal in H”he von TEUR 2.049 (im Vj. TEUR 2.122), Prozessrisiken, Ausstehende Rechnungen und Jahresabschlusskosten. Die Rckstellungen bercksichtigen
alle bis zur Bilanzaufstellung bekannt gewordenen ungewissen Schulden, Verluste und Risiken, soweit sie das abgelaufene Gesch„ftsjahr betreffen."; 4.50 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Verm”gensgegenst„nde, die dem Zugriff aller brigen Gl„ubiger entzogen, unbelastet und insolvenzsicher sind sowie ausschlieálich zur Erfllung von Altersteilzeitverpflichtungen dienen (Aktivwert der Zeitkontenrckdeckung
als Deckungsverm”gen) wurden gem„á õ 246 Abs. 2 Satz 2 HGB unmittelbar mit den korrespondierenden Schulden verrechnet."; 4.48,8.48 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Angaben zur Verrechnung mit Deckungsverm”gen nach õ 246 Abs. 2 Satz 2 HGB:; 44 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"31.3.2017.
TEUR
31.3.2016.
TEUR
Altersteilzeitverpflichtungen 66 181
Deckungsverm”gen (beizulegender Zeitwert) 23 155
Altersteilzeitrckstellung 43 26
Deckungsverm”gen (Anschaffungskosten) 23 155"; 44 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"31.3.2017.
TEUR
31.3.2016.
TEUR
Zinsaufwand aus Altersteilzeitverpflichtung 2 8
Ertrag aus Deckungsverm”gen 5 7
Ertrag (wenn -) /Aufwand -3 1"; 44 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Verbindlichkeiten; 4.51 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Die Verbindlichkeiten sind mit ihren jeweiligen Erfllungsbetr„gen passiviert.; 4.51,8.51 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Fremdw„hrungsverbindlichkeiten sind, da sie s„mtlich eine Restlaufzeit von unter einem Jahr haben, zum Devisenkassamittelkurs umgerechnet.; 4.51,8.51 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Die Restlaufzeiten der Verbindlichkeiten und die bestellten Sicherheiten ergeben sich aus dem Verbindlichkeitenspiegel.; 4.51 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Latente Steuern; 27 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Latente Steuern werden insbesondere fr zeitliche Unterschiede zwischen den handelsrechtlichen und steuerlichen Wertans„tzen von Gesch„fts- und Firmenwerten, Sachanlagen (Mietereinbauten) und sonstigen
Rckstellungen (Altersteilzeitverpflichtungen) ermittelt. Steuerliche Verlustvortr„ge sind nicht vorhanden. Der fr die Bewertung grunds„tzlich zugrunde zu legende Steuersatz betr„gt 32,5 %. Die sich insgesamt
ergebenden aktiven latenten Steuern wurden in Ausbung des Wahlrechts nach õ 274 Abs. 1 Satz 2 HGB nicht aktiviert."; 4.35,8.35,27 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Angaben zu Bewertungseinheiten nach õ 254 HGB; 30,31 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Zur Begrenzung des Zinsrisikos wurde am 26. Oktober 2016 ein Zinsswapgesch„ft zu einem Festsatz von 0,75 % zur Zinssicherung eines variabel verzinslichen Tilgungsdarlehens in H”he von EUR 10 Mio.
abgeschlossen. Das Darlehen wird zus„tzlich mit der j„hrlich zu ermittelnden Marge (maximal 3 %), abh„ngig vom Nettoverschuldungsgrad verzinst. Der Nominalbetrag des Derivates von ursprnglich EUR 10
Mio. reduziert sich alle drei Monate um EUR 0,5 Mio. und betr„gt zum 31. M„rz 2017 demzufolge EUR 9,5 Mio. Das Darlehen reduziert sich durch Tilgung ebenfalls alle drei Monate um EUR 0,5 Mio. Sowohl
Grundgesch„ft als auch Sicherungsgesch„ft haben eine Laufzeit bis zum 26. November 2021. Zum 31. M„rz 2017 hat das Derivat einen negativen Marktwert von TEUR 141."; 30,31 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
IV. Erl„uterungen zur Gewinn- und Verlustrechnung; 4 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Umsatzerl”se; 4.66 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Die Umsatzerl”se verteilen sich auf die Sparten Buch, Digital, Non-Book und Romanhefte/R„tselmagazine wie folgt:; 4.66, 58 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
GJ 2016/17; 4.66 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Buch.
TEUR
Digital.
TEUR
Non-Books.
TEUR
Romanhefte/R„tselmagazine
.
TEUR
Gesamt.
TEUR
Nettoerl”se 50.864 24.497 15.851 9.915 101.127
Erl”sschm„lerungen -2.175 -162 -782 -3.119
48.689 24.335 15.069 9.915 98.008"; 4.66,58 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Von den gesamten Umsatzerl”sen im Gesch„ftsjahr 2016/17 entfallen TEUR 16.853 auf das Ausland (im Vj. TEUR 15.835); 4.66,58 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
GJ 2015/16; 4.66 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"TEUR
Digital.
TEUR
Non-Books.
TEUR
Romanhefte/R„tselmagazine
.
TEUR
Gesamt.
TEUR
Nettoerl”se 50.343 19.725 17.789 9.818 97.675
Erl”sschm„lerungen -2.010 -111 -804 -2.925
48.333 19.614 16.985 9.818 94.750"; 4.66,58 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Sonstige betriebliche Ertr„ge; 4.69 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Diese beinhalten u. a.
?Ertr„ge aus der Ver„uáerung von Anteilen der oolipo AG TEUR 599 (im Vj. 248)
?Ertr„ge aus Kursgewinnen TEUR 212 (im Vj. TEuR 198)
?Ertr„ge aus Aufl”sung von Wertberichtigungen TEUR 971 (im Vj. TEUR 110)
?Ertr„ge aus der Rckforderung von Vorstandstantiemen TEUR 157 (im Vj. TEUR 0)
?Ertr„ge aus der Ver„uáerung der Sparte R„der TEUR 2.983 (im Vj. TEuR 0)"; 4.69 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Materialaufwand; 4.70 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Der Materialaufwand enth„lt neben den Aufwendungen fr Roh-, Hilfs- und Betriebsstoffe und bezogene Waren auch Aufwendungen fr bezogene Leistungen in Form von Honoraraufwendungen sowie Aufwendungen
fr drucktechnische Leistungen."; 4.70 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Personalaufwand; 4.73 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Der Personalaufwand betrifft im Wesentlichen Geh„lter, Tantiemen sowie Abfindungen fr ausgeschiedene Mitarbeiter. Die sozialen Abgaben enthalten im Wesentlichen die Arbeitgeberanteile zur Sozialversicherung.; 4.73 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Abschreibungen auf immaterielle Verm”gensgegenst„nde des Anlageverm”gens und Sachanlagen; 4.78 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Hinsichtlich der auf die einzelnen Positionen der immateriellen Verm”gensgegenst„nde und der Sachanlagen entfallenden Abschreibungsbetr„ge wird auf den Anlagespiegel verwiesen.; 4.78 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Sonstige betriebliche Aufwendungen; 4.80 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Die sonstigen betrieblichen Aufwendungen enthalten im Wesentlichen Aufwendungen fr Verwaltung, Vertrieb und Distribution, Werbung, Instandhaltung und Mieten. Die sonstigen betrieblichen Aufwendungen
beinhalten zudem Kursverluste aus der W„hrungsumrechnung in H”he von TEUR 174 (im Vj. TEUR 104)."; 2.80,4.80,67 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Ertr„ge aus Beteiligungen; 4.81 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Die Ertr„ge betreffen im Gesch„ftsjahr 2016/17 ausgeschttete Gewinne von Beteiligungsunternehmen.; 4.81 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Zinsaufwand; 4.88,66 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Im Zinsaufwand sind TEUR 2 (im Vj. TEUR 8) aus der Aufzinsung langfristiger Rckstellungen sowie TEUR 57 aus der Abzinsung von Forderungen enthalten; 4.88,66 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Periodenfremde Aufwendungen und Ertr„ge und Ertr„ge und Aufwendungen
von auáergew”hnlicher Gr”áenordnung oder auáergew”hnlicher Bedeutung"; 65 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"?Zum 1. Januar 2017 wurde die Sparte R„der mit einem Buchgewinn in H”he von TEUR 2.983 verkauft. In diesem Zusammenhang fielen Kosten in H”he von TEUR 441 an.
?Das Darlehen an die oolipo AG wurde unter Bercksichtigung der bislang in dieser Gesellschaft angefallenen Verluste mit TEUR 2.362 wertberichtigt.
?Im Gesch„ftsjahr wurden auáerplanm„áige Abschreibungen auf den Bestand vorausgezahlter Autorenhonorare vorgenommen, saldiert mit Wertaufholungen und der gleichzeitigen Aufl”sung von Pauschalwertberichtigungen
entstand ein auáerplanm„áiger Aufwand in H”he von TEUR 4.454."; 65,63 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Daneben fhrten die Aufl”sung von Wertberichtigungen, die Aufl”sung von Rckstellungen und Rckforderung von Vorstandstantiemen aus dem Gesch„ftsjahr 2015/16 zu periodenfremden Ertr„gen von insgesamt
TEUR 395."; 62,65 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
