Anhang für das Geschäftsjahr 2016; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
Geringwertige Anlagegüter, das sind Gegenstände mit Anschaffungs- und Herstellungskosten bis einschließlich 150 EUR, werden im Jahr des Zugangs voll abgeschrieben. Für Anlagenzugänge wird ein Sammelposten gebildet, wenn die Anschaffungs- oder Herstellungskosten für das einzelne Anlagegut mehr als 150 EUR, aber nicht mehr als 1.000 EUR betragen. Der jeweilige Sammelposten wird im Jahr der Bildung und in den folgenden vier Geschäftsjahren jeweils mit einem Fünftel ergebniswirksam aufgelöst.; 8.7 ;2016;AG;Jahresabschluss;EY
Die Bewertung der Finanzanlagen erfolgt zu Anschaffungskosten beziehungsweise zum niedrigeren beizulegenden Wert.; 8.12 ;2016;AG;Jahresabschluss;EY
UMLAUFVERMÖGEN;;2016;AG;Jahresabschluss;EY
Die Roh-, Hilfs- und Betriebsstoffe sowie die Handelswaren werden zu gleitenden durchschnittlichen Anschaffungskosten bewertet.; 8.21 ;2016;AG;Jahresabschluss;EY
Unfertige und fertige Erzeugnisse werden zu Herstellungskosten angesetzt.; 8.22, 8.23 ;2016;AG;Jahresabschluss;EY
Die Herstellungskosten umfassen neben dem Fertigungsmaterial und den Fertigungslöhnen anteilige Material- und Fertigungsgemeinkosten einschließlich Abschreibungen, soweit sie durch die Fertigung veranlasst sind. Zusätzlich werden produktionsbezogene Kosten der allgemeinen Verwaltung sowie produktionsbezogene Aufwendungen für soziale Einrichtungen des Betriebs, für freiwillige soziale Leistungen und für die betriebliche Altersvorsorge einbezogen, soweit diese auf den Zeitraum der Herstellung entfallen. Fremdkapitalkosten werden nicht aktiviert. Bei der Ermittlung der Herstellungskosten der unfertigen und fertigen Erzeugnisse werden grundsätzlich produktionsbezogene Entwicklungskosten berücksichtigt.; 8.22, 8.23, 9 ;2016;AG;Jahresabschluss;EY
Soweit Bestandsrisiken vorliegen, die sich aus der Lagerdauer und verminderter Verwertbarkeit ergeben, sind Abwertungen in ausreichendem Umfang vorgenommen worden.; 8.22, 8.23 ;2016;AG;Jahresabschluss;EY
Die Forderungen und sonstigen Vermögensgegenstände werden zum Nennbetrag beziehungsweise niedrigeren beizulegenden Zeitwert bewertet. Erkennbare Einzelrisiken wurden durch Wertberichtigungen berücksichtigt. Dem allgemeinen Kreditrisiko wurde durch eine Pauschalwertberichtigung angemessen Rechnung getragen.; 8.25 ;2016;AG;Jahresabschluss;EY
Flüssige Mittel sind mit dem Nennbetrag, gegebenenfalls mit dem niedrigeren beizulegenden Wert, bewertet.; 8.33 ;2016;AG;Jahresabschluss;EY
EIGENKAPITAL;;2016;AG;Jahresabschluss;EY
"Eigene Anteile werden gemäß § 272 Abs. 1a HGB mit dem Nennbetrag offen vom ""Gezeichneten Kapital"" abgesetzt."; 8.37 ;2016;AG;Jahresabschluss;EY
RÜCKSTELLUNGEN UND VERBINDLICHKEITEN;;2016;AG;Jahresabschluss;EY
"Die Pensionsrückstellungen werden für handelsrechtliche Zwecke auf Basis des Anwartschaftbarwertverfahrens (Projected-Unit-Credit-Methode, kurz PUC-Methode) ermittelt. Der Rückstellungsbetrag gemäß der PUC-Methode ist definiert als versicherungsmathematischer Barwert der Pensionsverpflichtungen, der von den Mitarbeitern bis zu diesem gemäß Rentenformel und Unverfallbarkeitsregelung aufgrund ihrer in der Vergangenheit abgeleisteten Dienstzeiten erdient worden ist. Die Ermittlung erfolgt unter Zugrundelegung eines Rechnungszinsfußes von 4,01 % (2015: 3,90 %), einer Dynamik der anrechenbaren Bezüge von 2,50 % sowie einer Anpassung der laufenden Renten von 1,75 % und der ""Richttafeln 2005 G"" von Prof. Dr. Klaus Heubeck. Die Abzinsung für Pensionen erfolgt für das Geschäftsjahr 2016 erstmals gemäß § 253 Abs. 2 HGB mit dem durchschnittlichen Marktzinssatz der vergangenen zehn (2015: sieben) Jahre, der sich bei einer angenommenen Restlaufzeit von 15 Jahren ergibt."; 8.48, 41 ;2016;AG;Jahresabschluss;EY
Die Gesellschaft hält Vermögensgegenstände, die der Absicherung der Pensionsleistungen dienen. Diese Vermögensgegenstände erfüllen die Voraussetzungen des § 246 Abs. 2 Satz 2 1. Halbsatz HGB und sind mit den Pensionsrückstellungen zu verrechnen. Die Bewertung der Vermögensgegenstände erfolgt zum beizulegenden Zeitwert.; 8.48 ;2016;AG;Jahresabschluss;EY
Im Fall von kongruenten Pensionszusagen wird die Rückstellung in Höhe des Zeitwerts des Planwertes bewertet.; 8.48 ;2016;AG;Jahresabschluss;EY
Die sonstigen Rückstellungen berücksichtigen alle erkennbaren Risiken und ungewissen Verbindlichkeiten. Sie sind in Höhe des nach vernünftiger kaufmännischer Beurteilung notwendigen Erfüllungsbetrags (d. h. einschließlich zukünftiger Kosten- und Preissteigerungen) angesetzt. Rückstellungen mit einer Restlaufzeit von mehr als einem Jahr wurden mit dem ihrer Restlaufzeit entsprechenden durchschnittlichen Marktzinssatz der vergangenen sieben Geschäftsjahre abgezinst.; 8.50 ;2016;AG;Jahresabschluss;EY
Verbindlichkeiten werden mit dem Erfüllungsbetrag angesetzt.; 8.51 ;2016;AG;Jahresabschluss;EY
UMSATZREALISIERUNG; 8.66 ;2016;AG;Jahresabschluss;EY
Umsatzerlöse werden dann realisiert, wenn die mit dem Eigentum an den verkauften Waren und Erzeugnissen verbundenen maßgeblichen Chancen und Risiken auf den Käufer übergangen sind. Dies ist in der Regel bei Auslieferung der Ware der Fall. Die Umsatzerlöse werden abzüglich Skonti, Preisnachlässen, Kundenboni und Rabatten ausgewiesen.; 8.66 ;2016;AG;Jahresabschluss;EY
UMSATZKOSTEN; 8.102 ;2016;AG;Jahresabschluss;EY
Die Umsatzkosten umfassen die Herstellungskosten der zur Erzielung der Umsatzerlöse erbrachten Leistungen. Im Wesentlichen sind dies die Aufwendungen sämtlicher Materialeinzel- und gemeinkosten, Fertigungseinzel- und gemeinkosten, Sonderkosten der Fertigung sowie systematisch zurechenbare Kosten der produktbezogenen Verwaltungskosten der Funktionen der technischen Produktentwicklung sowie der Produktumsetzung und -beschaffungsbereiche.; 8.102 ;2016;AG;Jahresabschluss;EY
FUNKTIONSKOSTEN;;2016;AG;Jahresabschluss;EY
Die Funktionskosten werden dabei unterteilt in die Umsatzkosten, Vertriebskosten und allgemeine Verwaltungskosten. Die betrieblichen Aufwendungen werden grundsätzlich nach Maßgabe der jeweiligen Kostenstelle den einzelnen Funktionen zugeordnet. Aufwendungen im Zusammenhang mit funktionsübergreifenden Aktivitäten oder Projekten werden auf Basis eines geeigneten Zuordnungsschlüssels auf die betreffenden Funktionen aufgeteilt.; 8.102, 8.104, 8.105 ;2016;AG;Jahresabschluss;EY
WÄHRUNGSUMRECHNUNG;;2016;AG;Jahresabschluss;EY
"Die Forderungen und Verbindlichkeiten in fremder Währung werden mit dem Kurs am Tag des Geschäftsvorfalls umgerechnet und zum Bilanzstichtag grundsätzlich mit dem Devisenkassamittelkurs zum Abschlussstichtag bewertet. Zum Abschlussstichtag entstandene Kursverluste aus der Bewertung der auf fremde Währung lautenden Vermögensgegenstände und Verbindlichkeiten werden berücksichtigt. Kursgewinne aus der Bewertung von kurzfristigen Vermögensgegenständen und Verbindlichkeiten mit einer Restlaufzeit von bis zu einem Jahr werden gemäß § 256a HGB ergebniswirksam erfasst. Erträge aus Währungsumrechnung werden unter dem Posten ""Sonstige betriebliche Erträge"" und Aufwendungen aus der Währungsumrechnung unter dem Posten ""Sonstige betriebliche Aufwendungen"" erfasst. Die Umrechnung von in Fremdwährung erworbenen Vermögensgegenständen des Anlagevermögens sowie der Vorräte erfolgt grundsätzlich zum Devisenkassamittelkurs des Transaktionszeitpunkts."; 8.69, 8.80 ;2016;AG;Jahresabschluss;EY
LATENTE STEUERN;;2016;AG;Jahresabschluss;EY
"Latente Steuern werden für zeitliche Unterschiede zwischen den handelsrechtlichen und steuerlichen Wertansätzen von Vermögensgegenständen, Rechnungsabgrenzungsposten und Schulden ermittelt. Dabei werden nicht nur die Unterschiede aus den eigenen Bilanzpositionen einbezogen, sondern auch solche, die bei Organgesellschaften beziehungsweise bei Personengesellschaften, an denen die HUGO BOSS AG als Gesellschafter beteiligt ist, bestehen. Die Ermittlung der latenten Steuern erfolgt auf Basis des kombinierten Ertragsteuersatzes des steuerlichen Organkreises von derzeit aktuell 29,55 % (2015: 29,55 %) (Körperschaftsteuer, Gewerbesteuer und Solidaritätszuschlag). Abweichend hiervon werden latente Steuern aus zeitlichen Bilanzierungsunterschieden bei Beteiligungen in der Rechtsform einer Personengesellschaft auf Basis eines kombinierten Ertragsteuersatzes ermittelt, der lediglich Körperschaftsteuer und Solidaritätszuschlag beinhaltet; dieser beträgt derzeit 15,83 %. Im Falle einer sich insgesamt ergebenden Steuerbelastung wird diese in der Bilanz als passive latente Steuer angesetzt. Im Falle einer Steuerentlastung wird vom entsprechenden Aktivierungswahlrecht kein Gebrauch gemacht."; 8.35, 8.64, 27 ;2016;AG;Jahresabschluss;EY
ERLÄUTERUNGEN ZUR BILANZ;;2016;AG;Jahresabschluss;EY
1 ANLAGEVERMÖGEN; 4.1 ;2016;AG;Jahresabschluss;EY
Die Entwicklung des Anlagevermögens nach § 268 Abs. 2 HGB im Geschäftsjahr 2016 ist im Anlagenspiegel als Anlage zum Anhang dargestellt.; 4.1 ;2016;AG;Jahresabschluss;EY
Unter den immateriellen Vermögensgegenständen ist im Wesentlichen Software erfasst. Der Zugang von 28.092 TEUR (2015: 29.005 TEUR) ergab sich im Wesentlichen aus Investitionen in Software, damit verbunden sind Abgänge innerhalb der Basissoftware.; 4.2 ;2016;AG;Jahresabschluss;EY
Die Zugänge zu den Sachanlagen in Höhe von 20.333 TEUR (2015: 31.258 TEUR) resultieren aus Investitionen in das bestehende Einzelhandelsnetzwerk in Deutschland, der Erweiterung der EDV-Anlagen sowie Ausbau der Logistikkapazitäten. Die Abgänge resultieren zu einem wesentlichen Teil aus Abgängen von Showroom- und Storeausstattungen und EDV-Anlagen.; 4.7 ;2016;AG;Jahresabschluss;EY
In den Abschreibungen sind wie im Vorjahr keine außerplanmäßigen Abschreibungen enthalten.; 4.7 ;2016;AG;Jahresabschluss;EY
2 ANTEILSBESITZ DER HUGO BOSS AG; 4.12 ;2016;AG;Jahresabschluss;EY
Die HUGO BOSS AG hält entweder direkt oder indirekt jeweils 100 % der Kapitalanteile an den im nachfolgenden Anteilsbesitz aufgeführten Unternehmen. Einzige Ausnahmen sind die Beteiligungen an der BIL Leasing Verwal-tungs-GmbH &Co. 869 KG und der ROSATA Grundstücks-Vermietungsgesellschaft mbH &Co. Objekt Metzingen KG mit jeweils 94,0 % und an der HUGO BOSS AL FUTTAIM UAE TRADING L.L.C. mit 49 %. Der Zugang innerhalb der Finanzanlagen von 133.800 TEUR bezieht sich auf den konzerninternen Kauf von Kapitalanteilen (100 %) an der HUGO BOSS Textile Industry Ltd.; 4.12 ;2016;AG;Jahresabschluss;EY
ANTEILSBESITZ DER HUGO BOSS AG GEMÄSS § 285 NR. 11 HGB; 4.12, 94 ;2016;AG;Jahresabschluss;EY
Soweit nicht anders vermerkt, beträgt die Kapitalbeteiligung 100 %.; 4.12, 94 ;2016;AG;Jahresabschluss;EY
"(in TEUR) Sitz Ergebnis Eigenkapital
Gesellschaft  20161 20161
HUGO BOSS Holding Netherlands B.V. Amsterdam, Niederlande 124.478 642.132
HUGO BOSS International B.V. Amsterdam, Niederlande 274.090 580.300
HUGO BOSS Internationale Beteiligungs-GmbH2, 5 Metzingen, Deutschland 0 524.800
HUGO BOSS USA, Inc.4 New York, NY, USA -22.781 189.950
HUGO BOSS Ticino S.A. Coldrerio, Schweiz 72.519 92.319
HUGO BOSS Textile Industry Ltd.2 Izmir, Türkei 11.933 68.606
HUGO BOSS UK Limited London, Großbritannien 25.033 60.389
Lotus (Shenzhen) Commerce Ltd. Shenzhen, China 853 55.785
HUGO BOSS Benelux B.V. Amsterdam, Niederlande 10.887 51.611
HUGO BOSS International Markets AG Zug, Schweiz 26.569 40.249
HUGO BOSS Canada, Inc. Toronto, Kanada 3.871 38.273
HUGO BOSS France SAS Paris, Frankreich 4.118 37.438
HUGO BOSS Lotus Hong Kong Ltd. Hongkong -549 36.783
HUGO BOSS Benelux B.V. y CIA S.C Madrid, Spanien 2.812 35.837
HUGO BOSS Trade Mark Management GmbH & Co. KG2 Metzingen, Deutschland 91.791 35.199
HUGO BOSS Mexico S.A. de C.V.2 Mexiko-Stadt, Mexiko 7.934 27.006
HUGO BOSS Italia S.p.A. Mailand, Italien -3.271 14.737
HUGO BOSS Hong Kong Ltd. Hongkong -27.195 13.965
HUGO BOSS Holdings Pty. Ltd. Preston, Australien 0 12.363
HUGO BOSS Scandinavia AB Stockholm, Schweden 3.234 10.718
HUGO BOSS Australia Pty. Ltd. Preston, Australien -177 9.433
HUGO BOSS Shoes &Accessories Italia S.p.A. Morrovalle, Italien 1.047 8.926
Lotus Concept Trading (Macau) Co. Ltd. Macau -2.095 8.497
HUGO BOSS Portugal &Companhia Lissabon, Portugal 2.657 7.138
HUGO BOSS Nordic ApS Kopenhagen, Dänemark 2.518 6.773
HUGO BOSS Ireland Limited Dublin, Irland 1.037 4.391
HUGO BOSS Guangdong Trading Co. Ltd. Guangzhou, China 197 3.454
HUGO BOSS Belgium Retail BVBA Diegem, Belgien 322 3.353
HUGO BOSS Belgium BVBA2 Diegem, Belgien 1.086 3.094
HUGO BOSS AL FUTTAIM UAE TRADING L.L.C.6 Dubai, V.A.E. 140 2.787
HUGO BOSS Vermögensverwaltungs GmbH & Co. KG2 Metzingen, Deutschland 336 1.541
HUGO BOSS Shoes & Accessories Poland Sp. z o.o. Radom, Polen 148 1.508
HUGO BOSS Middle East FZ-LLC Dubai, V.A.E. 1.981 1.507
HUGO BOSS Hellas LLC Athen, Griechenland 670 1.408
HUGO BOSS Mexico Management Services S.A. de C.V.2 Mexiko-Stadt, Mexiko 280 1.333
HUGO BOSS South East Asia PTE.LTD. Singapur 1.605 1.280
HUGO BOSS Finland OY Helsinki, Finnland 460 1.158
HUGO BOSS (Schweiz) AG Zug, Schweiz -605 1.127
HUGO BOSS Holding Sourcing S.A. Coldrerio, Schweiz -26 1.043
HUGO BOSS Malaysia SDN. BHD. Kuala Lumpur, Malaysia 248 645
ROSATA Grundstücks-Vermietungsgesellschaft mbH &Co. Objekt Dieselstraße KG2 Grünwald, Deutschland 106 261
HUGO BOSS Dienstleistungs GmbH2 Metzingen, Deutschland 4 122
HUGO BOSS Trade Mark Management Verwaltungs-GmbH Metzingen, Deutschland 1 36
HUGO BOSS Beteiligungsgesellschaft mbH2, 5 Metzingen, Deutschland 0 -85
ROSATA Grundstücks-Vermietungsgesellschaft mbH &Co. Objekt Metzingen KG2, 3 Grünwald, Deutschland 686 -211
HUGO BOSS Rus LLC2 Moskau, Russland 637 -277
GRAMOLERA Grundstücks-Vermietungsgesellschaft Objekt Ticino mbH Metzingen, Deutschland -14 -499
GRETANA Grundstücks-Vermietungsgesellschaft mbH & Co. Objekt D 19 KG Grünwald, Deutschland -7 -510
HUGO BOSS New Zealand Ltd. Auckland, Neuseeland -398 -557
HUGO BOSS China Retail Co. Ltd. Shanghai, China -17.253 -3.370
HUGO BOSS Benelux Retail B.V. Amsterdam, Niederlande -1.042 -4.774
HUGO BOSS Magazacilik Ltd. Sti. Izmir, Türkei -2.685 -4.938
HUGO BOSS Korea Ltd. Seoul, Südkorea -4.244 -5.662
BIL Leasing Verwaltungs-GmbH &Co. 869 KG2, 3 Pullach, Deutschland 305 -6.411
Distributionszentrum Vermietungsgesellschaft mbH & Co. Objekt HUGO BOSS Filderstadt KG Pullach, Deutschland -3.151 -6.702
HUGO BOSS do Brasil Ltda. Sao Paulo, Brasilien -2.427 -12.023
HUGO BOSS Japan K.K. Tokio, Japan 142 -24.411
"; 4.12, 94 ;2016;AG;Jahresabschluss;EY
"1 Die Werte entsprechen den Jahresabschlüssen nach evtl. Gewinnabführung, bei Tochterunternehmen gemäß innenkonsolidiertem IFRS-Abschluss.
2 Direkte Beteiligungen der HUGO BOSS AG.
3 Beteiligungen mit einem Kapitalanteil von 94 %.
4 Teilkonzernabschluss.
5 Gesellschaften, die einen Ergebnisabführungsvertrag mit der HUGO BOSS AG haben.
6 Beteiligungen mit einem Kapitalanteil von 49 %.

"; 4.12, 94 ;2016;AG;Jahresabschluss;EY
3 FORDERUNGEN UND SONSTIGE VERMÖGENSGEGENSTÄNDE; 4.25 ;2016;AG;Jahresabschluss;EY
"(in TEUR) Mit einer Restlaufzeit von 
Gegliedert nach Restlaufzeiten bis zu 1 Jahr 1 bis 5 Jahren mehr als 5 Jahren GESAMT
2016        
Forderungen aus Lieferungen und Leistungen 30.632 - - 30.632
Forderungen gegen verbundene Unternehmen 149.706 - - 149.706
Sonstige Vermögensgegenstände 43.626 1.080 604 45.310
  223.964 1.080 604 225.648
2015        
Forderungen aus Lieferungen und Leistungen 27.147 - - 27.147
Forderungen gegen verbundene Unternehmen 122.963 - - 122.963
Sonstige Vermögensgegenstände 43.780 551 338 44.669
  193.890 551 338 194.779
"; 4.25 ;2016;AG;Jahresabschluss;EY
Die Forderungen gegen verbundene Unternehmen betreffen mit 126.718 TEUR (2015: 98.813 TEUR) konzerninterne Finanzierungen, im Übrigen Forderungen aus Lieferungen und Leistungen. Der Anstieg ist im Wesentlichen auf höhere Forderungen aus Leistungsbeziehungen mit Tochterunternehmen zurückzuführen.; 4.25, 6 ;2016;AG;Jahresabschluss;EY
"Die sonstigen Vermögensgegenstände beinhalten zum 31. Dezember 2016 im Wesentlichen Bonusforderungen gegenüber Lieferanten (9.803 TEUR; 2015: 10.082 TEUR), Ertragsteuerforderungen (18.393 TEUR; 2015: 7.949 TEUR) sowie Umsatzsteuerforderungen (7.025 TEUR; 2015: 7.374 TEUR). Die Kreditkartenforderungen sanken gegenüber dem Vorjahr leicht (3.441 TEUR; 2015: 3.746 TEUR)."; 4.25 ;2016;AG;Jahresabschluss;EY
4 RECHNUNGSABGRENZUNGSPOSTEN; 4.34 ;2016;AG;Jahresabschluss;EY
Der Rechnungsabgrenzungsposten enthält hauptsächlich abgegrenzte Aufwendungen für EDV-Wartungsverträge und Marketingaufwendungen.; 4.34 ;2016;AG;Jahresabschluss;EY
5 EIGENKAPITAL; 4.37 ;2016;AG;Jahresabschluss;EY
Gezeichnetes Kapital; 4.38 ;2016;AG;Jahresabschluss;EY
Das gezeichnete Kapital der HUGO BOSS AG beträgt zum 31. Dezember 2016 unverändert zum Vorjahr 69.016 TEUR. Die Stückaktien haben einen Nennwert von 1 EUR. Das Gezeichnete Kapital setzt sich wie folgt zusammen:; 4.38 ;2016;AG;Jahresabschluss;EY
"(in TEUR) 31.12.2016 31.12.2015
Stammaktien 70.400 70.400
Eigene Anteile auf Stammaktien -1.384 -1.384
  69.016 69.016"; 4.38, 32 ;2016;AG;Jahresabschluss;EY
Genehmigtes Kapital; 4.38, 33 ;2016;AG;Jahresabschluss;EY
Der Vorstand der HUGO BOSS AG kann mit Zustimmung des Aufsichtsrats bis zum 12. Mai 2019 das Grundkapital um bis zu 35.200.000,00 EUR durch Ausgabe von 35.200.000 neuen, auf den Namen lautenden Stückaktien gegen Bar- und/oder Sacheinlage einmal oder mehrmals erhöhen (Genehmigtes Kapital). Den Aktionären steht grundsätzlich ein Bezugsrecht zu.; 4.38, 33 ;2016;AG;Jahresabschluss;EY
Kapitalrücklage; 4.39 ;2016;AG;Jahresabschluss;EY
Die Kapitalrücklage enthält die Aufgelder aus der Ausgabe von Aktien und ist gemäß § 272 Abs. 2 Nr. 1 HGB ausgewiesen. Sie beträgt unverändert zum Vorjahr 399 TEUR. Im Geschäftsjahr 2016 wurden keine Zuführungen oder Entnahmen getätigt.; 4.39, 34, 73 ;2016;AG;Jahresabschluss;EY
Gewinnrücklagen; 4.40 ;2016;AG;Jahresabschluss;EY
Die Gewinnrücklagen enthalten zum 31. Dezember 2016 die gesetzliche Rücklage mit 6.641 TEUR (2015: 6.641 TEUR) und andere Gewinnrücklagen mit 312.882 TEUR (2015: 275.826 TEUR).; 4.40, 35 ;2016;AG;Jahresabschluss;EY
Die Entwicklung der anderen Gewinnrücklagen ist wie folgt:; 4.40 ;2016;AG;Jahresabschluss;EY
"(in TEUR) 
Stand 31.12.2015 275.826
Einstellung in andere Gewinnrücklagen gemäß Dividendenvorschlag von Vorstand und Aufsichtsrat 37.056
Stand 31.12.2016 312.882
"; 4.40, 36, 77 ;2016;AG;Jahresabschluss;EY
Eigene Aktien; 4.37, 24 ;2016;AG;Jahresabschluss;EY
"Am 31. Dezember 2016 wurden 1.383.833 Stammaktien gehalten. Der darauf entfallende Anteil am gezeichneten Kapital beträgt 1.384 TEUR (2015: 1.384 TEUR) (2,00 %). Die Gesamtzahl der eigenen Aktien beinhaltet 855.278 ehemalige Vorzugsaktien, die im Zuge der am 15. Juni 2012 vorgenommenen Umstellung in Stammaktien umgewandelt wurden. Der Nennbetrag wurde vom ""Gezeichneten Kapital"" offen abgesetzt. Der Differenzbetrag in Höhe von 30.300 TEUR zwischen dem Nennwert der eigenen Anteile und dem zum 31. Dezember 2009 ausgewiesenen Buchwert wurde im Jahr 2010 mit den Gewinnrücklagen verrechnet."; 4.37, 24 ;2016;AG;Jahresabschluss;EY
Die eigenen Anteile stammen aus Erwerben in den Jahren 2004 bis 2007:; 4.37, 24 ;2016;AG;Jahresabschluss;EY
"(in TEUR) Kauf Anzahl Stammaktien in Stück Anzahl Vorzugsaktien in Stück
03/2004 35.966 0
05/2004 36.280 0
06/2004 11.513 0
07/2004 40.506 0
02/2005 12.992 0
03/2005 34.794 1.000
04/2005 84.000 82.467
10/2005 21.700 153.700
05/2006 0 210.200
06/2006 79.700 0
07/2006 158.628 0
08/2006 0 20.021
09/2006 9.976 110.084
01/2007 0 94.411
02/2007 2.500 183.395
06/2012 855.278 -855.278
31.12.2016 1.383.833 0
"; 4.37, 24 ;2016;AG;Jahresabschluss;EY
Die historischen Anschaffungskosten der eigenen Anteile betrugen 42.362 TEUR.; 4.37, 24 ;2016;AG;Jahresabschluss;EY
In der Hauptversammlung vom 12. Mai 2015 wurde beschlossen, dem Vorstand eine Ermächtigung bis zum 11. Mai 2020 zu erteilen, eigene Aktien der Gesellschaft bis zu einem Anteil von insgesamt höchstens 10 °% des derzeitigen Grundkapitals zu erwerben. Ferner erhielt er die Ermächtigung zum Einsatz von Eigenkapitalderivaten im Rahmen des Erwerbs eigener Aktien.; 4.37 ;2016;AG;Jahresabschluss;EY
Im Geschäftsjahr 2016 wurden keine zusätzlichen eigenen Aktien erworben oder veräußert.; 4.37 ;2016;AG;Jahresabschluss;EY
6 BILANZGEWINN; 4.45, 4.46 ;2016;AG;Jahresabschluss;EY
"(in TEUR) 
Bilanzgewinn am 31.12.2015 254.848
Dividendenzahlung für 2015 249.839
Gewinnvortrag 5.009
Jahresüberschuss 2016 215.087
Einstellung in andere Gewinnrücklagen -37.056
Bilanzgewinn am 31.12.2016 183.040
"; 4.45, 4.46, 37, 72, 78 ;2016;AG;Jahresabschluss;EY
