Anhang;Annotierung;Gesch„ftsjahr;Gesellschaft;Abschlussart;Prfer
"Nach dem Gliederungsschema der Gewinn- und Verlustrechnung in der Fassung des BilRUG ergibt sich fr das Vorjahr fr das
Zwischenergebnis ?Ergebnis nach Steuern? ein Betrag in H”he von TEUR 2.623.";1, 8.91, 9;2016;The Mathworks GmbH;Jahresabschluss;PwC
"Die Vorjahreszahlen der Umsatzerl”se sind aufgrund der Neufassung von õ 277 Abs. 1 HGB in der Fassung des BilRUG (HGB n.F.)
nicht vergleichbar, da auf eine Anpassung der Vorjahresumsatzerl”se verzichtet wurde. Bei Anwendung des õ 277 Abs. 1 HGB n.F.
h„tten sich fr das Vorjahr Umsatzerl”se in H”he von TEUR 98.098 ergeben.";1, 2, 8.66, 9;2016;The Mathworks GmbH;Jahresabschluss;PwC
Infolge der Neudefinition der Umsatzerl”se hat sich auch die Zusammenstellung der Posten ?sonstige betriebliche Ertr„ge? ge„ndert.;1, 8.69, 8.66, 9;2016;The Mathworks GmbH;Jahresabschluss;PwC
2 . Bilanzierung und Bewertung der Aktivposten;;2016;The Mathworks GmbH;Jahresabschluss;PwC
Anlageverm”gen;;2016;The Mathworks GmbH;Jahresabschluss;PwC
"Entgeltlich erworbene immaterielle Verm”gensgegenst„nde sind mit den Anschaffungskosten, vermindert um auf die
voraussichtliche Nutzungsdauer bezogene planm„áige lineare Abschreibungen, bewertet. Dabei werden entgeltlich erworbene EDVProgramme
ber eine betriebsgew”hnliche Nutzungsdauer von fnf Jahren abgeschrieben.";8.2;2016;The Mathworks GmbH;Jahresabschluss;PwC
"Das Sachanlageverm”gen wird mit den Anschaffungs- bzw. Herstellungskosten, vermindert um planm„áige lineare
Abschreibungen entsprechend der betriebsgew”hnlichen Nutzungsdauer, angesetzt. Die Nutzungsdauer betr„gt 3 bis 13 Jahre,
abh„ngig von der Anlagenart (PC und sonstige Hardware, Broeinrichtungen, Broverbesserungen und Umbauten). Die
Abschreibungen auf Zug„nge des Sachanlageverm”gens erfolgen grunds„tzlich zeitanteilig.";8.7;2016;The Mathworks GmbH;Jahresabschluss;PwC
"Geringwertige Wirtschaftsgter sind ab 2008 bis einschlieálich 2010 mit den Anschaffungskosten, vermindert um die planm„áig
festgeschriebene Abschreibung im Sinne des õ 6 Abs. 2a EStG (20 % pro Jahr) bewertet. Seit 2011 werden alle neu erworbenen
Anlagegter grunds„tzlich zeitanteilig abgeschrieben.";8;2016;The Mathworks GmbH;Jahresabschluss;PwC
"Die unter den Finanzanlagen enthaltenen Anteile und Beteiligungen sind zu Anschaffungskosten oder dem niedrigeren
beizulegenden Wert ausgewiesen.";8.12;2016;The Mathworks GmbH;Jahresabschluss;PwC
Bei voraussichtlich dauernder Wertminderung werden auáerplanm„áige Abschreibungen vorgenommen.;8;2016;The Mathworks GmbH;Jahresabschluss;PwC
Umlaufverm”gen;;2016;The Mathworks GmbH;Jahresabschluss;PwC
Die Forderungen und sonstigen Verm”gensgegenst„nde sind zum Nominalwert bewertet.;8.19,;2016;The Mathworks GmbH;Jahresabschluss;PwC
"Bei den Forderungen aus Lieferungen und Leistungen werden individuelle Ausfall- und Kreditrisiken durch die Bildung von
Einzelwertberichtigungen bercksichtigt. Da das allgemeine Ausfallrisiko aufgrund langj„hriger Erfahrungen nur marginal ist, wird
seit 2012 keine pauschale Wertberichtigung fr Kreditrisiken mehr gebildet.";8.25;2016;The Mathworks GmbH;Jahresabschluss;PwC
"Die Umrechnung der ausschlieálich kurzfristigen Forderungen in Fremdw„hrung erfolgt zum Anschaffungskurs bzw. zum
Devisenkassamittelkurs am Bilanzstichtag.";8.25;2016;The Mathworks GmbH;Jahresabschluss;PwC
Die Bewertung der flssigen Mittel erfolgt zum Nennwert am Bilanzstichtag.;8.33;2016;The Mathworks GmbH;Jahresabschluss;PwC
"Aufgrund des zeitraumbezogenen Charakters werden geleistete Vorauszahlungen auf Wartungsvertr„ge unter den aktiven
Rechnungsabgrenzungsposten ausgewiesen.";8.34;2016;The Mathworks GmbH;Jahresabschluss;PwC
"3 . Bil anzierung und Bewertung der Passiv posten
Eigenkapital, Rckstellungen und Verbindlichkeiten";;2016;The Mathworks GmbH;Jahresabschluss;PwC
Das Eigenkapital wird mit dem Nennwert angesetzt.;8.37;2016;The Mathworks GmbH;Jahresabschluss;PwC
"Rckstellungen werden gebildet, wenn eine Verpflichtung gegenber Dritten besteht, die Inanspruchnahme wahrscheinlich und die
voraussichtliche H”he des notwendigen Betrags zuverl„ssig sch„tzbar ist. Die Rckstellungen wurden in H”he des nach vernnftiger
kaufm„nnischer Beurteilung notwendigen Erfllungsbetrages angesetzt.";8.47;2016;The Mathworks GmbH;Jahresabschluss;PwC
"Im Gesch„ftsjahr 2013 wurde entschieden, bis auf Weiteres keine Gew„hrleistungsrckstellung mehr zu bilden, da nicht mit einer
Inanspruchnahme der Gesellschaft gerechnet wird.";8.47;2016;The Mathworks GmbH;Jahresabschluss;PwC
Die H”he der Rckstellungen wird regelm„áig angepaát, sofern neue Erkenntnisse vorliegen.;8.47;2016;The Mathworks GmbH;Jahresabschluss;PwC
Die Verbindlichkeiten sind zum Erfllungsbetrag angesetzt.;8.51;2016;The Mathworks GmbH;Jahresabschluss;PwC
"Die Umrechnung der ausschlieálich kurzfristigen Verbindlichkeiten in Fremdw„hrung erfolgt zum Kurs beim Eingehen der
Verbindlichkeiten bzw. zum Devisenkassamittelkurs am Bilanzstichtag.";8.51;2016;The Mathworks GmbH;Jahresabschluss;PwC
"Erhaltene Anzahlungen auf Wartungsvertr„ge werden aufgrund des zeitraumbezogenen Charakters unter den passiven
Rechnungsabgrenzungsposten ausgewiesen.";8.63;2016;The Mathworks GmbH;Jahresabschluss;PwC
Latente Steuern;;2016;The Mathworks GmbH;Jahresabschluss;PwC
"Latente Steuern werden fr zeitliche Unterschiede zwischen handelsrechtlichen und steuerrechtlichen Wertans„tzen von
Verm”gensgegenst„nden, Schulden und Rechnungsabgrenzungsposten ermittelt. Ein šberhang an passiven latenten Steuern wird
angesetzt, wenn insgesamt von einer Steuerbelastung in knftigen Gesch„ftsjahren auszugehen ist. Die Bewertung erfolgte mit
einem unternehmensindividuellen Steuersatz von 28,8 % (Vj. 29,8%). Dieser Steuersatz umfasst K”rperschaftsteuer,
Solidarit„tzuschlag und Gewerbesteuer. Im Falle eines Aktivberhangs der latenten Steuern zum Bilanzstichtag wird von dem
Aktivierungswahlrecht des õ 274 Abs. 1 Satz 2 HGB nicht Gebrauch gemacht und der Aktivberhang an latenten Steuern demnach
nicht aktiviert.";8.35, 8.63, 24;2016;The Mathworks GmbH;Jahresabschluss;PwC
III. Erl„uterungen zur Bilanz;;2016;The Mathworks GmbH;Jahresabschluss;PwC
(1) Anlageverm”gen;;2016;The Mathworks GmbH;Jahresabschluss;PwC
In der Bilanz sind die Posten des Anlageverm”gens mit ihren Nettobuchwerten ausgewiesen.;4.1;2016;The Mathworks GmbH;Jahresabschluss;PwC
"Die Entwicklung der Anschaffungs- bzw. Herstellungskosten und Abschreibungen ist in der ""Entwicklung des Anlageverm”gens"", die
Bestandteil dieses Anhangs ist, im Einzelnen dargestellt.";4.1, 15, 16;2016;The Mathworks GmbH;Jahresabschluss;PwC
"31.12.2016
?
31.12.2015
?
A. Anlageverm”gen
I. Immaterielle Verm”gensgegenst„nde
Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und „hnliche Rechte und
Werte sowie Lizenzen an solchen Rechten und Werten
4.696,26 0,00
II. Sachanlagen
Andere Anlagen, Betriebs- und Gesch„ftsausstattung 1.165.173,73 1.226.184,92
III. Finanzanlagen
Beteiligungen 2.500,00 2.500,00
1.172.369,99 1.228.684,92";4.1, 4.2, 4.3., 4.4, 4.8, 4.10, 4.12, 4.15;2016;The Mathworks GmbH;Jahresabschluss;PwC
(2) Forderungen und Sonstige Verm”gensgegenst„nde;;2016;The Mathworks GmbH;Jahresabschluss;PwC
"S„mtliche Forderungen und sonstigen Verm”gensgegenst„nde haben wie im Vorjahr mit Ausnahme von Kautionen i.H.v. TEUR 34
(Vj. TEUR 18) eine Restlaufzeit von unter einem Jahr. Sie enthalten in 2016 wie bereits im Vorjahr keine zu erwartende
Steuererstattungen.";4.25;2016;The Mathworks GmbH;Jahresabschluss;PwC
"31.12.2016 31.12.2015
D. Umlaufverm”gen
I. Forderungen und sonstige Verm”gensgegenst„nde
1. Forderungen aus Lieferungen und Leistungen 7.704.519,87 8.167.731,18
2. Sonstige Verm”gensgegenst„nde 33.713,20 17.571,32
7.738.233,07 8.185.302,50";4.25, 4.26, 4.29;2016;The Mathworks GmbH;Jahresabschluss;PwC
(3) Kassenbestand und Guthaben bei Kreditinstituten;;2016;The Mathworks GmbH;Jahresabschluss;PwC
"31.12.2016
?
31.12.2015
?
D. Umlaufverm”gen
II. Kassenbestand, Guthaben bei Kreditinstituten 7.365.773,44 6.071.158,88";4.33;2016;The Mathworks GmbH;Jahresabschluss;PwC
(4) Aktive Rechnungsabgrenzungsposten;;2016;The Mathworks GmbH;Jahresabschluss;PwC
"Die aktiven Rechnungsabgrenzungsposten in H”he von TEUR 21.162 (Vj. TEUR 22.883) umfassen im Wesentlichen geleistete
Vorauszahlungen an die Gesellschafterin im Rahmen von Wartungsvertr„gen (TEUR 21.119; Vj. TEUR 22.840).";4.34;2016;The Mathworks GmbH;Jahresabschluss;PwC
(5) Rckstellungen;;2016;The Mathworks GmbH;Jahresabschluss;PwC
"Die ausschlieálich kurzfristigen sonstigen Rckstellungen betreffen im Wesentlichen Provisionsansprche TEUR 252 (Vj. TEUR 365),
Aufwendungen fr Mitarbeiter-Boni TEUR 1.008 (Vj. TEUR 930) und Aufwendungen fr ausstehenden Urlaub TEUR 336 (Vj. TEUR
300).";4.47, 4.48, 4.50;2016;The Mathworks GmbH;Jahresabschluss;PwC
(6) Verbindlichkeiten;;2016;The Mathworks GmbH;Jahresabschluss;PwC
"Die Verbindlichkeiten gegenber verbundenen Unternehmen resultieren aus Lieferungen und Leistungen gegenber der
Gesellschafterin.";4.58, 6, 20;2016;The Mathworks GmbH;Jahresabschluss;PwC
Alle Verbindlichkeiten haben eine Restlaufzeit von bis zu einem Jahr und sind unbesichert.;4.51, 42;2016;The Mathworks GmbH;Jahresabschluss;PwC
"Die sonstigen Verbindlichkeiten beinhalten in 2016 TEUR 262 (Vj. TEUR 257) Verbindlichkeiten aus Lohnsteuer und TEUR 0 (Vj. TEUR
-2) Verbindlichkeiten aus Sozialabgaben. Die weiteren Steuern des Davon-Vermerks entfallen auf Umsatzsteuer (2016: TEUR 1.052;
Vj. TEUR 1.390).";4.60, 4.61, 4.62;2016;The Mathworks GmbH;Jahresabschluss;PwC
(7) Passive Rechnungsabgrenzungsposten;;2016;The Mathworks GmbH;Jahresabschluss;PwC
"Die passiven Rechnungsabgrenzungsposten in der H”he von TEUR 26.473 (Vj. TEUR 29.078) umfassen im Wesentlichen
erhaltene Vorauszahlungen auf Wartung. Die Rechnungsabgrenzungsposten werden aufgel”st, wenn die Kriterien zur
Umsatzrealisierung erfllt sind.";4.63;2016;The Mathworks GmbH;Jahresabschluss;PwC
"Desweiteren ist eine passivische Abgrenzung fr erhaltene Baukostenzuschsse i.H.v. TEUR 125 (Vj. TEUR 173) enthalten, die seit
Mai 2012 pro rata ber die Mietvertragslaufzeit bis Juli 2019 aufgel”st wird.";4.63;2016;The Mathworks GmbH;Jahresabschluss;PwC
"31.12.2016
?
31.12.2015
?
D. Rechnungsabgrenzungsposten 26.473.491,55 29.078.384,16";4.63;2016;The Mathworks GmbH;Jahresabschluss;PwC
(8) Haftungsverh„ltnisse;;2016;The Mathworks GmbH;Jahresabschluss;PwC
Am Bilanzstichtag lagen keine vermerkpflichtigen Haftungsverh„ltnisse vor.;46;2016;The Mathworks GmbH;Jahresabschluss;PwC
(9) Sonstige finanzielle Verpflichtungen;;2016;The Mathworks GmbH;Jahresabschluss;PwC
"Zum 31. Dezember 2016 bestehen sonstige finanzielle Verpflichtungen fr die Jahre 2017 bis 2022 in H”he von TEUR 1.739, die aus
mittel- bis langfristigen Mietvertr„gen resultieren. Davon sind in 2017 TEUR 718, in den Jahren 2018 bis 2021 TEUR 1.021 und ab
2022 TEUR 0 f„llig.";;2016;The Mathworks GmbH;Jahresabschluss;PwC
(10) Latente Steuern;;2016;The Mathworks GmbH;Jahresabschluss;PwC
"Bilanzierte latente Steuern liegen nicht vor, da keine abzugsf„higen / zu versteuernden tempor„ren Differenzen bestehen, die in
knftigen Gesch„ftsjahren zu einer Verminderung / Erh”hung des zu versteuernden Einkommens fhren. Steuerliche Verlustvortr„ge
bestehen ebenfalls nicht.";4.35, 4.64, 24;2016;The Mathworks GmbH;Jahresabschluss;PwC
IV. Erl„uterungen zur Gewinn- und Verlustrechnung;;2016;The Mathworks GmbH;Jahresabschluss;PwC
(1) Umsatzerl”se;;2016;The Mathworks GmbH;Jahresabschluss;PwC
"Der Verkauf von Lizenzen erfolgt ber sogenannte Software Downloads ohne Versand von Dokumentationen oder Medien. Insofern
werden die Umsatzerl”se am Tag des elektronischen Versands der Passcodes realisiert, der am Tag der Bearbeitung der Bestellung
und Rechnungsstellung an den Kunden erfolgt. Ein zus„tzlicher Versand von Medien erfolgt nur in Ausnahmef„llen.";4.66;2016;The Mathworks GmbH;Jahresabschluss;PwC
"Der beim Lizenzverkauf enthaltene Wartungsanteil sowie separat verkaufte Wartungsdienstleistungen werden abgegrenzt und
entsprechend der vereinbarten Vertragslaufzeit jeweils anteilig monatlich realisiert. Von den Umsatzerl”sen werden Boni, Skonti und
Retouren abgesetzt. Die sonstigen Umsatzerl”se (weiterverrechnete Entwicklungskosten) werden mit Leistungserbrin-gung realisiert
und in Rechnung gestellt.";4.66;2016;The Mathworks GmbH;Jahresabschluss;PwC
"Eine Aufgliederung der Umsatzerl”se nach T„tigkeitsbereichen zeigt folgende šbersicht:
2016
TEUR
2015
TEUR
Wartung 64.338 54.738
Vertrieb von Neuprodukten 36.402 38.625
Training 1.839 1.668
Consulting 1.111 893
Sonstige 2.469 0
Gesamt 106.159 95.924";4.66, 50;2016;The Mathworks GmbH;Jahresabschluss;PwC
"Von den Umsatzerl”sen wurden 92% (Vj. 96 %) im Inland und 5% (Vj. 4 %) in ™sterreich erzielt, welches eine „hniche
Marktstruktur wie Deutschland aufweist. Weitere Lieferungen im innergemeinschaftlichen Gebiet bewegten sich in der Promillegrenze
(Vj. <1 %). Unter den Umsatzerl”sen werden ab 2016 auch die Weiterbelastung von Kosten der deutschen Entwicklungsabteilung an
die Konzernmutter sowie Einnahmen aus einem Untermietverh„ltnis ausgewiesen; der Anteil am Gesamtumsatz betr„gt rund 2%.";4.66, 50;2016;The Mathworks GmbH;Jahresabschluss;PwC
"Die Vorjahreszahlen der Umsatzerl”se sind aufgrund der Neufassung von õ 277 Abs. 1 HGB in der Fassung des BilRUG (HGB n.F.) mit
dem Berichtsjahr nicht vergleichbar, da auf eine Anpassung der Vorjahresumsatzerl”se verzichtet wurde. Bei Anwendung des õ 277
Abs. 1 HGB n.F. h„tten sich fr das Vorjahr Umsatzerl”se in H”he von TEUR 98.098 ergeben.";2, 4.66, 51;2016;The Mathworks GmbH;Jahresabschluss;PwC
"Seit dem Gesch„ftsjahr 2016 werden folgende Erl”se ? die in Vorjahren unter den sonstigen betrieblichen Ertr„gen erfasst wurden -
unter den Umsatzerl”sen ausgewiesen:
? Weiterverechnete Entwicklungskosten an die Konzernmutter (TEUR 2.396; Vorjahr TEUR
2.119)
? Erl”se aus Untermiete (TEUR 18; Vorjahr: TEUR 12)
? Eventkostenerstattung durch Gesch„ftspartner (TEUR 55; Vorjahr: TEUR 43)";4.66, 54;2016;The Mathworks GmbH;Jahresabschluss;PwC
"Die sonstigen Umsatzerl”se enthalten periodenfremde Erl”se in H”he von 150 TEUR (Vj. 0 TEUR) aus weiterbelastbaren
Entwicklungskosten aus den Vorjahren.";4.66, 57;2016;The Mathworks GmbH;Jahresabschluss;PwC
(2) Sonstige betriebliche Ertr„ge / Sonstige betriebliche Aufwendungen;;2016;The Mathworks GmbH;Jahresabschluss;PwC
"Die sonstigen betrieblichen Ertr„ge enthalten im Gesch„ftsjahr 2016 periodenfremden Ertr„ge in H”he von 700 TEUR (Vj. 0
TEUR) aus einer Nachbuchung von Forderungen aus der Betriebsprfung 2003 - 2007. Die sonstigen betrieblichen
Aufwendungen beinhalten wie im Vorjahr keine periodenfremden Aufwendungen. Auáerdem liegen keine Ertr„ge oder
Aufwendungen aus der Fremdw„hrungsumrechnung vor.";4.69;2016;The Mathworks GmbH;Jahresabschluss;PwC
"Bezglich der nderungen in der Zusammenstellung der sonstigen betrieblichen Ertr„ge durch die Erstanwendung des HGB in der
Fassung des BilRUG wird auf die Ausfhrungen im Abschnitt ?Allgemeine Angaben? und ?Umsatzerl”se? verwiesen.";4.69;2016;The Mathworks GmbH;Jahresabschluss;PwC
(3) Zinsertr„ge und -aufwendungen;;2016;The Mathworks GmbH;Jahresabschluss;PwC
Zinsertr„ge und Zinsaufwendungen werden zum Zeitpunkt ihres Entstehens erfolgswirksam bilanziert.;4.85;2016;The Mathworks GmbH;Jahresabschluss;PwC
(4) Steuern vom Einkommen und vom Ertrag;;2016;The Mathworks GmbH;Jahresabschluss;PwC
"Bei den Steuern vom Einkommen und vom Ertrag in H”he von TEUR 1.351 (Vj. TEUR 988) handelt es sich im Wesentlichen um
Gewerbesteuer i.H.v. TEUR 582 (Vj. TEUR 478) und K”rperschaftsteuer i.H.v. TEUR 726 (Vj. TEUR 521). Die Steuern vom
Einkommen und vom Ertrag sind in H”he von TEUR 44 periodenfremd (Vj. TEUR ./.12).";4.90, 57;2016;The Mathworks GmbH;Jahresabschluss;PwC
(5) Sonstige Steuern;;2016;The Mathworks GmbH;Jahresabschluss;PwC
S onstige Steuern sind in 2016 ebenso wie in 2015 keine angefallen.;4.92;2016;The Mathworks GmbH;Jahresabschluss;PwC
V. Sonstige Angaben;;2016;The Mathworks GmbH;Jahresabschluss;PwC
Durchschnittliche Mitarbeiterzahl;;2016;The Mathworks GmbH;Jahresabschluss;PwC
"Die durchschnittliche Zahl der w„hrend des Gesch„ftsjahres besch„ftigten Mitarbeiter betrug:
2016 2015
Angestellte 162 157";64;2016;The Mathworks GmbH;Jahresabschluss;PwC
"Zum 31. Dezember 2016 besch„ftigte die Gesellschaft 163 Mitarbeiter, davon 44 im Vertrieb, 14 in Marketing, 92 im technischen
Bereich und 13 in der Administration.";64;2016;The Mathworks GmbH;Jahresabschluss;PwC
Gesch„ftsfhrer;;2016;The Mathworks GmbH;Jahresabschluss;PwC
"W„hrend des Gesch„ftsjahres 2016 und danach wurden die Gesch„fte durch folgende einzelvertretungsberechtigte Gesch„ftsfhrer
gefhrt:
Herr Steven D. Barbo, Treasurer bei The MathWorks Inc., Natick, USA
Herr Andreas Schindler, Kaufmann, verantwortlich fr den technischen Bereich und den Vertrieb bei The MathWorks GmbH,
Aachen
Frau Jeanne O?Keefe, Chief Financial Officer bei The MathWorks Inc., Natick, USA";83;2016;The Mathworks GmbH;Jahresabschluss;PwC
Gesamtbezge der Gesch„ftsfhrung;;2016;The Mathworks GmbH;Jahresabschluss;PwC
Die Angabe der Bezge der Gesch„ftsfhrung unterbleibt in Anwendung des õ 286 Abs. 4 HGB.;84;2016;The Mathworks GmbH;Jahresabschluss;PwC
Mutterunternehmen;;2016;The Mathworks GmbH;Jahresabschluss;PwC
"Mutterunternehmen der Berichtsgesellschaft ist die The MathWorks Inc., Natick, USA, (kleinster und gr”áter Konsolidierungskreis) die
einen Konzernabschluss aufstellt, in den die The MathWorks GmbH einbezogen wird. Der Konzernabschluss wird nicht ver”ffentlicht.";71, 75, 76;2016;The Mathworks GmbH;Jahresabschluss;PwC
Angabe nach õ 285 Nr. 17 HGB;;2016;The Mathworks GmbH;Jahresabschluss;PwC
"Das vom Abschlussprfer im Gesch„ftsjahr berechnete Honorar fr Abschlussprfungsleistungen betr„gt TEUR 35, das berechnete
Honorar fr Steuerberatungsleistungen betr„gt TEUR 16. Das Honorar fr andere Best„tigungsleistungen und sonstige Leistungen ist
TEUR 0.";72;2016;The Mathworks GmbH;Jahresabschluss;PwC
Ergebnisverwendungsvorschlag fr das Gesch„ftsjahr 2016;;2016;The Mathworks GmbH;Jahresabschluss;PwC
"Die Gesch„ftsfhrung schl„gt vor, den Jahresberschuss aus 2016 i.H.v. EUR 4.033.110,35 auf neue Rechnung vorzutragen. Der
Bilanzgewinn betr„gt somit EUR 4.033.110,35 nach einem vorgetragenen Gewinn aus 2015 i.H.v. EUR 2.623.382,53 und einer im
Jahr 2016 erfolgten Ausschttung i.H.v. EUR 2.623.382,53.";68;2016;The Mathworks GmbH;Jahresabschluss;PwC
Ereignisse nach dem Abschlussstichtag (Nachtragsbericht);;2016;The Mathworks GmbH;Jahresabschluss;PwC
"Vorg„nge von besonderer Bedeutung, die nach dem Schluss des Gesch„ftsjahres eingetreten und weder in der Gewinn- und
Verlustrechnung noch in der Bilanz bercksichtigt sind, liegen nicht vor.";69;2016;The Mathworks GmbH;Jahresabschluss;PwC
"Entwicklung des Anlageverm”gens fr das Gesch„ftsjahr vom 1. Januar bis 31. Dezember 2016
Anschaffungs- bzw. Herstellungskosten
01.01.2016
?
Zug„nge
?
Abg„nge
?
31.12.2016
?
I. Immaterielle Verm”gensgegenst„nde
Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und
„hnliche Rechte und Werte sowie Lizenzen an solchen Rechten und
Werten
24.058,12 4.943,42 0,00 29.001,54
24.058,12 4.943,42 0,00 29.001,54
II. Sachanlagen
Andere Anlagen, Betriebs- und Gesch„ftsausstattung 3.580.343,43 357.257,26 525.535,69 3.412.065,00
3.580.343,43 357.257,26 525.535,69 3.412.065,00
III. Finanzanlagen
Beteiligungen 2.500,00 0,00 0,00 2.500,00
2.500,00 0,00 0,00 2.500,00
3.606.901,55 362.200,68 525.535,69 3.443.566,54
Abschreibungen
01.01.2016
?
Zug„nge
?
Abg„nge
?
31.12.2016
?
I. Immaterielle Verm”gensgegenst„nde
Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und
„hnliche Rechte und Werte sowie Lizenzen an solchen Rechten und
Werten
24.058,12 247,16 0,00 24.305,28
24.058,12 247,16 0,00 24.305,28
II. Sachanlagen
Andere Anlagen, Betriebs- und Gesch„ftsausstattung 2.354.158,51 407.026,93 514.294,17 2.246.891,27
2.354.158,51 407.026,93 514.294,17 2.246.891,27
III. Finanzanlagen
Beteiligungen 0,00 0,00 0,00 0,00
0,00 0,00 0,00 0,00
2.378.216,63 407.274,09 514.294,17 2.271.196,55
Restbuchwerte
31.12.2016
?
31.12.2015
?
I. Immaterielle Verm”gensgegenst„nde
Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und „hnliche Rechte und Werte
sowie Lizenzen an solchen Rechten und Werten
4.696,26 0,00
4.696,26 0,00
II. Sachanlagen
Andere Anlagen, Betriebs- und Gesch„ftsausstattung 1.165.173,73 1.226.184,92
1.165.173,73 1.226.184,92
III. Finanzanlagen
Beteiligungen 2.500,00 2.500,00
2.500,00 2.500,00
1.172.369,99 1.228.684,92";15, 16;2016;The Mathworks GmbH;Jahresabschluss;PwC
