Anhang für das Geschäftsjahr vom 1. September 2015 bis 31. August 2016; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
In den sonstigen Vermögensgegenstände sind TEUR 40 gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht, enthalten.; 4.29 ;31.08.2016;SE;Jahresabschluss;KPMG
Eigenkapital; 4.37 ;31.08.2016;SE;Jahresabschluss;KPMG
"gesetzliche Gewinnrücklagen
.
TEUR
Andere Gewinnrücklagen.
TEUR
Bilanzgewinn.
TEUR
Gesamt.
TEUR
Stand 1. September 2015 46.165 4.489 0 27.959 78.613
Gewinnausschüttung 0 0 0 -1.959 -1.959"; 4.37, 35 ;31.08.2016;SE;Jahresabschluss;KPMG
"gesetzliche Gewinnrücklagen
.
TEUR
Andere Gewinnrücklagen.
TEUR
Bilanzgewinn.
TEUR
Gesamt.
TEUR
Einstellung in die Gewinnrücklagen 0 0 10.000 -10.000 0
Jahresüberschuss 0 0 0 21.031 21.031
Erhöhung Grundkapital 10.000 0 -10.000 0 0
Zuführung Nennbetrag eigene Anteile
-766 0 0 766 0
Einstellung in die gesetzliche Gewinnrücklage
0 1.052 0 -1.052 0
Stand 31. August 2016 55.399 5.541 0 36.745 97.685"; 4.37, 35 ;31.08.2016;SE;Jahresabschluss;KPMG
Das Grundkapital der AVAG Holding SE ist in 4.160.000 auf den Namen lautende nennwertlose Stückaktien eingeteilt.; 4.37 ;31.08.2016;SE;Jahresabschluss;KPMG
"In der Hauptversammlung vom 15. März 2016 wurde beschlossen, dass vom Bilanzgewinn in Höhe von TEUR 27.959 EUR 0,51 je dividendenberechtigter Aktie, insgesamt TEUR 1.959, ausgeschüttet werden
und TEUR 10.000 den Gewinnrücklagen zugewiesen werden. Der verbleibende Bilanzgewinn in Höhe von TEUR 16.000 wird auf neue Rechnung vorgetragen."; 35, 84 ;31.08.2016;SE;Jahresabschluss;KPMG
Des Weiteren wurden von den Gewinnrücklagen TEUR 10.000 in gezeichnetes Kapital umgewandelt. Die Umwandlung der Gewinnrücklagen dient der nachhaltigen Stärkung des Eigenkapitals der Gesellschaft.; 35 ;31.08.2016;SE;Jahresabschluss;KPMG
Der AVAG Holding SE wurde am 25. September 2006 nach § 20 Abs. 4 AktG mitgeteilt, dass die Still Vermögensverwaltungs GmbH & Co. KG, Augsburg, mehrheitlich am Aktienkapital beteiligt ist.; 99 ;31.08.2016;SE;Jahresabschluss;KPMG
"Am 13. Dezember 2011 hat die Gesellschaft 319.000 (7,67 % vom Grundkapital) eigene Aktien zu einem Kaufpreis von TEUR 2.967 erworben, da diese zum Verkauf angeboten worden sind. Die Zuführung
Nennbetrag eigene Anteile in Höhe von TEUR 766 in 2015/2016 betrifft den Ertrag aus der offenen Absetzung aus der Erhöhung des rechnerischen Nennbetrags eigener Anteile im Zusammenhang mit der
Kapitalerhöhung aus Gesellschaftsmitteln."; 24, 75 ;31.08.2016;SE;Jahresabschluss;KPMG
Latente Steuern; 4.35, 27 ;31.08.2016;SE;Jahresabschluss;KPMG
"Latente Steuern werden auf Unterschiede zwischen Handels- und Steuerbilanz bei den Bilanzposten Anlagevermögen und Rückstellungen sowie auf Verlustvorträge gebildet. Dabei wird ein durchschnittlicher
Steuersatz von 31,1 % zugrunde gelegt. Insgesamt besteht zum 31. August 2016 ein Aktivüberhang, der nach § 274 Abs. 1 Satz 2 HGB (Aktivierungswahlrecht) nicht angesetzt wird."; 4.35, 27 ;31.08.2016;SE;Jahresabschluss;KPMG
Rückstellungen; 4.47 ;31.08.2016;SE;Jahresabschluss;KPMG
Die sonstigen Rückstellungen betreffen vorwiegend Beträge für Tantiemen, Prüfung und Beratung, Urlaubsansprüche, Gratifikationen und ausstehende Rechnungen.; 4.47, 47 ;31.08.2016;SE;Jahresabschluss;KPMG
Die Rückstellungen berücksichtigen ausreichend alle erkennbaren Risiken.; 4.47, 47 ;31.08.2016;SE;Jahresabschluss;KPMG
Verbindlichkeiten (Vorjahreswerte in Klammern); 4.51 ;31.08.2016;SE;Jahresabschluss;KPMG
Die Verbindlichkeiten in der AVAG Holding SE haben folgende Restlaufzeiten:; 4.51 ;31.08.2016;SE;Jahresabschluss;KPMG
"Gesamt.
TEUR
davon bis zueinem Jahr.
TEUR
davon ein bisfünf Jahre.
TEUR
davon überfünf Jahre.
TEUR
1. Genussrechte und nachrangige Verbindlichkeiten 6.000 6.000 0 0"; 4.51, 49, 81 ;31.08.2016;SE;Jahresabschluss;KPMG
"Gesamt.
TEUR
davon bis zueinem Jahr.
TEUR
davon ein bisfünf Jahre.
TEUR
davon überfünf Jahre.
TEUR
(7.000) (1.000) (6.000) (0)
2. Verbindlichkeiten gegenüber Kreditinstituten 88.190 37.469 6.115 44.606
(63.307) (21.394) (6.019) (35.894)
3. Verbindlichkeiten aus Lieferungen und Leistungen 648 648 0 0
(752) (752) (0) (0)
4. Verbindlichkeiten gegenüber verbundenen Unternehmen 41.589 39.337 1.490 762
(43.569) (40.914) (1.670) (985)
5. Sonstige Verbindlichkeiten 18.004 17.558 350 96
(14.773) (14.248) (336) (189)
154.431 101.012 7.955 45.464
(129.401) (78.308) (14.025) (37.068)"; 4.51, 49 ;31.08.2016;SE;Jahresabschluss;KPMG
Nachrangige Verbindlichkeiten; 4.51 ;31.08.2016;SE;Jahresabschluss;KPMG
"Im Geschäftsjahr 2010/2011 wurden Mezzaninekapitalverträge mit einem Bankenkonsortium über EUR 8,0 Mio abgeschlossen. Das Mezzaninekapital ist mit einem Rangrücktritt versehen. Die Vergütung für
das Mezzaninekapital besteht aus einer festen und einer ergebnisabhängigen Verzinsung. Die Vergütungen für Genussrechte und nachrangige Verbindlichkeiten sind mit TEUR 632 im Zinsaufwand enthalten."; 4.51 ;31.08.2016;SE;Jahresabschluss;KPMG
Verbindlichkeiten gegenüber Kreditinstituten; 4.54 ;31.08.2016;SE;Jahresabschluss;KPMG
"Von den Verbindlichkeiten gegenüber Kreditinstituten sind TEUR 48.492 durch Grundpfandrechte und TEUR 27.617 durch Sicherungsübereignung der Vorräte besichert. Im Falle des Weiterverkaufs der Vorräte
sind die Forderungen aus dem Fahrzeughandelsgeschäft abgetreten."; 4.54, 51, 52 ;31.08.2016;SE;Jahresabschluss;KPMG
;;31.08.2016;SE;Jahresabschluss;KPMG
Verbindlichkeiten gegenüber verbundenen Unternehmen; 4.58 ;31.08.2016;SE;Jahresabschluss;KPMG
In den Verbindlichkeiten gegenüber verbundenen Unternehmen sind TEUR 13.361 (i. Vj. TEUR 15.178) aus Verbindlichkeiten aus Lieferungen und Leistungen enthalten.; 4.58 ;31.08.2016;SE;Jahresabschluss;KPMG
Haftungsverhältnisse; 54 ;31.08.2016;SE;Jahresabschluss;KPMG
"31.8.2016.
TEUR
31.8.2015.
TEUR
Bürgschaften gegenüber Herstellerbanken 148.544 128.126
Anderen Kreditinstituten 4.288 6.575
Hersteller 225 449
Sonstige 3.953 5.146
Bürgschaften für Rückkaufverpflichtungen 321.938 215.617
Patronatserklärungen 10.034 10.554"; 54 ;31.08.2016;SE;Jahresabschluss;KPMG
"31.8.2016.
TEUR
31.8.2015.
TEUR
488.982 366.467"; 54 ;31.08.2016;SE;Jahresabschluss;KPMG
"Die Sicherheiten und Bürgschaften wurden im Wesentlichen für Verpflichtungen der Tochtergesellschaften eingegangen. Aufgrund der derzeitigen wirtschaftlichen Situation der Tochtergesellschaften wird mit
keiner Inanspruchnahme gerechnet."; 54, 55 ;31.08.2016;SE;Jahresabschluss;KPMG
Nicht in der Bilanz enthaltene bedeutende Geschäfte; 82 ;31.08.2016;SE;Jahresabschluss;KPMG
"Im Rahmen von Sale and Lease back-Transaktionen wurden zur Verbesserung der Liquidität und Verbesserung der Eigenkapitalquote in Vorjahren 18 Immobilien an Dritte verkauft und anschließend zurückgemietet.
Nach Ablauf der Leasingverträge können die Immobilien zum kalkulierten Restbuchwert unter Anrechnung der Mieterdarlehen zurückerworben werden."; 82 ;31.08.2016;SE;Jahresabschluss;KPMG
Diese langfristigen Mietverpflichtungen bestehen auch für den Fall, dass die Grundstücke nicht weiter vermietet werden können.; 82 ;31.08.2016;SE;Jahresabschluss;KPMG
"Aus diesen Geschäften resultieren für das nächste Jahr Liquiditätsbelastungen in Höhe von TEUR 2.095, für den Zeitraum ein bis fünf Jahre in Höhe von TEUR 6.892 und für den Zeitraum über fünf Jahre in
Höhe von TEUR 6.571. Die geleasten Immobilien sind an operative Autohäuser untervermietet. Durch die Mieteinnahmen wird die Liquiditätsbelastung überkompensiert, so dass eine positive Marge entsteht."; 82 ;31.08.2016;SE;Jahresabschluss;KPMG
Sonstige finanzielle Verpflichtungen; 83 ;31.08.2016;SE;Jahresabschluss;KPMG
Es bestehen folgende sonstige finanzielle Verpflichtungen:; 83 ;31.08.2016;SE;Jahresabschluss;KPMG
"bis ein bis fünf über Gesamt
ein Jahr.
TEUR
Jahre.
TEUR
fünf Jahre.
TEUR
31.8.2016.
TEUR
31.8.2015.
TEUR
Verpflichtungen aus mehrjährigen
Mietverträgen
674 1.631 14.379 16.684 16.916
Verpflichtungen aus mehrjährigen
Leasingverträgen
8 1 0 9 93
682 1.632 14.379 16.693 17.009"; 83 ;31.08.2016;SE;Jahresabschluss;KPMG
Angaben zur Gewinn- und Verlustrechnung;;31.08.2016;SE;Jahresabschluss;KPMG
Umsatzerlöse; 4.66 ;31.08.2016;SE;Jahresabschluss;KPMG
"2015/2016.
TEUR
2014/2015.
TEUR
Neuwagen 343.352 290.825
Dienstleistung 10.147 9.133
Provisionen 776 1.256
Mieterlöse 11.554 11.290
365.829 312.504"; 4.66, 58 ;31.08.2016;SE;Jahresabschluss;KPMG
Von den Umsatzerlösen entfallen TEUR 365.830 (i. Vj. TEUR 312.504) auf das Inland und TEUR 0 (i. Vj. TEUR 0) auf das Ausland.; 4.66, 58 ;31.08.2016;SE;Jahresabschluss;KPMG
Sonstige betriebliche Erträge; 4.69 ;31.08.2016;SE;Jahresabschluss;KPMG
In den sonstigen betrieblichen Erträgen sind periodenfremde Erträge in Höhe von TEUR 139 enthalten, im Wesentlichen aus der Auflösung von Rückstellungen.; 4.69, 65 ;31.08.2016;SE;Jahresabschluss;KPMG
Personal; 80 ;31.08.2016;SE;Jahresabschluss;KPMG
Im Berichtszeitraum waren durchschnittlich 82 (i. Vj. 74) Angestellte, 7 (i. Vj. 9) Aushilfen und 1 (i. Vj. 2) Auszubildende beschäftigt.; 80 ;31.08.2016;SE;Jahresabschluss;KPMG
Sonstige betriebliche Aufwendungen; 4.80 ;31.08.2016;SE;Jahresabschluss;KPMG
Die periodenfremden Aufwendungen betragen TEUR 25 und resultieren im Wesentlichen aus dem Abgang von Gegenständen des Anlagevermögens und Rechnungen für Vorjahre.; 4.80, 65 ;31.08.2016;SE;Jahresabschluss;KPMG
Steuern vom Einkommen und vom Ertrag; 4.90, 69 ;31.08.2016;SE;Jahresabschluss;KPMG
Für Vorjahre sind Aufwendungen in Höhe von TEUR 1 enthalten.; 4.90, 69 ;31.08.2016;SE;Jahresabschluss;KPMG
Sonstige Angaben;;31.08.2016;SE;Jahresabschluss;KPMG
Derivative Finanzinstrumente;;31.08.2016;SE;Jahresabschluss;KPMG
Zur Zinsfestschreibung von variablen Darlehen werden fallweise Zins-Swap-Geschäfte abgeschlossen. Zum 31. August 2016 haben die Zinstauschgeschäfte folgenden Umfang:;;31.08.2016;SE;Jahresabschluss;KPMG
"Laufzeit bis
Zinssatz.
%
Nominalvolumen.
TEUR
Zeitwert.
TEUR
Zinstauschgeschäft September 2017 0,89 1.250 -11
Zinstauschgeschäft Februar 2023 1,62 5.000 -601
Zinstauschgeschäft März 2023 1,63 5.000 -610
Zinstauschgeschäft April 2024 1,69 10.000 -1.417
Zinstauschgeschäft August 2018 1,15 7.745 -213
Zinstauschgeschäft Dezember 2025 0,96 5.625 -343
Zinstauschgeschäft Dezember 2025 0,90 1.875 -108
Zinstauschgeschäft September 2024 1,01 15.000 -1.349
Zinstauschgeschäft März 2026 1,63 5.000 -172
Zinstauschgeschäft September 2029 1,43 3.000 -432
-5.256";;31.08.2016;SE;Jahresabschluss;KPMG
"Der Zeitwert der Zinstauschgeschäfte beläuft sich auf TEUR -5.256. Es wurden Bewertungseinheiten mit revolvierend aufgenommenen Darlehen (Mikrohedge) gebildet. Die Sicherung besteht jeweils für
die gesamte Laufzeit der Grundgeschäfte. Aufgrund der Übereinstimmung der wesentlichen wertbestimmenden Parameter zwischen Grund- und Sicherungsgeschäften werden die Sicherungsbeziehungen als
hochwirksam eingestuft. Eine Rückstellung aufgrund eines negativen Zeitwerts ist aufgrund der Durchhalteabsicht nicht notwendig."; 30 ;31.08.2016;SE;Jahresabschluss;KPMG
"Die Zinsswaps sichern das Zinsänderungsrisiko bestehender variabel verzinslicher Bankverbindlichkeiten. Die Bilanzierung der Sicherungsbeziehung erfolgt nach der Einfrierungsmethode. Die Sicherung besteht
jeweils für die gesamte Laufzeit der Grundgeschäfte. Aufgrund der Übereinstimmung der wesentlichen wertbestimmenden Parameter zwischen Grund- und Sicherungsgeschäften werden die Sicherungsbeziehungen
als hochwirksam eingestuft. Der Ermittlung der Zeitwerte erfolgt Mark-to-market."; 31 ;31.08.2016;SE;Jahresabschluss;KPMG
Daneben werden noch Zinsbegrenzungsvereinbarungen (Zins-Cap) zur Begrenzung des Zinsänderungsrisikos abgeschlossen. Die Zinsbegrenzungsvereinbarungen haben zum 31. August 2016 folgenden Umfang:; 31 ;31.08.2016;SE;Jahresabschluss;KPMG
"Strike-Rate.
%
Nominalvolumen.
TEUR
Marktwerte.
TEUR
Zinsbegrenzungsvereinbarungen (Cap) Februar 2017 3,75 10.000 0
Februar und März 2017 4,25 15.000 0
25.000 0"; 31 ;31.08.2016;SE;Jahresabschluss;KPMG
Gesamtbezüge von Vorstand und Aufsichtsrat; 103 ;31.08.2016;SE;Jahresabschluss;KPMG
Die Bezüge des Vorstands für die Tätigkeit im Geschäftsjahr belaufen sich auf TEUR 4.598.; 103 ;31.08.2016;SE;Jahresabschluss;KPMG
Die Mitglieder des Aufsichtsrates haben für ihre Organtätigkeit als Mitglied des Gremiums eine Vergütung von insgesamt TEUR 60 erhalten.; 103 ;31.08.2016;SE;Jahresabschluss;KPMG
Nahestehende Personen; 100 ;31.08.2016;SE;Jahresabschluss;KPMG
Die Geschäfte mit nahestehenden Personen teilen sich wie folgt auf:; 100 ;31.08.2016;SE;Jahresabschluss;KPMG
"an Geschäftsführer von
Tochterunternehmen.
TEUR
an anderenahestehende
Personen.
TEUR
von anderennahestehenden
Personen.
TEUR
Darlehen 137 0 525
Darlehenszins 1 0 22
Mieten 0 254 0
Beratungsverträge 0 456 0"; 100 ;31.08.2016;SE;Jahresabschluss;KPMG
Gesamthonorar des Abschlussprüfers;;31.08.2016;SE;Jahresabschluss;KPMG
Die Angaben gemäß § 285 Nr. 17 HGB zu Honoraren für Leistungen des Abschlussprüfers sind im Anhang des Konzernabschlusses der AVAG Holding SE angegeben.;;31.08.2016;SE;Jahresabschluss;KPMG
Aufsichtsrat; 102 ;31.08.2016;SE;Jahresabschluss;KPMG
"Albert K. Still, Stadtbergen, Kaufmann, -Vorsitzender-
Prof. (em.) Dr. Heinz-Dieter Assmann, Tübingen, Emeritierter ordentlicher Professor an der Universität Tübingen, Of Counsel und Rechtsanwalt Gleiss Lutz, Stuttgart -stellv. Vorsitzender-
Dr. Walter Eschle, Augsburg, Mitglied des Vorstands der Stadtsparkasse Augsburg
Dr. Guido Schacht, München, ehem. Senior Advisor Automotive bei der HypoVereinsbank - Member of UniCredit München"; 102 ;31.08.2016;SE;Jahresabschluss;KPMG
"Johannes Hall, Wien, Unternehmer
Erhard Paulat , Potsdam, Geschäftsführer der Opel Bank
Vorstand
Roman Still, Augsburg, Dipl.-Kaufmann, -Sprecher des Vorstandes-
Albert C. Still, Neusäß, Kaufmann, -Sprecher des Vorstandes-
Markus Kruis, Diedorf, Kaufmann, -Vorstandsmitglied-
Ulf Pfeiffer, Wolfratshausen, Kaufmann, -Vorstandsmitglied-
Unternehmensverbindungen
Die Gesellschaft ist gemäß § 290 HGB Mutterunternehmen eines Konzerns und zur Aufstellung eines Konzernabschlusses verpflichtet. Die in den Konsolidierungskreis der AVAG Holding SE voll einbezogenen
Tochterunternehmen und der Beteiligungsbesitz der Gesellschaft sind aus der Aufstellung des Anteilsbesitzes ersichtlich, die wie der Konzernabschluss der AVAG Holding SE über den elektronischen Bundesanzeiger
offen gelegt wird."; 92, 102 ;31.08.2016;SE;Jahresabschluss;KPMG
Augsburg, den 22. Dezember 2016;;31.08.2016;SE;Jahresabschluss;KPMG
AVAG Holding SE;;31.08.2016;SE;Jahresabschluss;KPMG
Der Vorstand;;31.08.2016;SE;Jahresabschluss;KPMG
Anlagenspiegel; 15, 16 ;31.08.2016;SE;Jahresabschluss;KPMG
"Anschaffungs- und Herstellungskosten
1.9.2015.
EUR
Zugänge.
EUR
Umbuchungen.
EUR
Abgänge.
EUR
31.8.2016.
EUR
I. Immaterielle Vermögensgegenstände
1. Entgeltlich erworbene gewerbliche Schutzrechte
und ähnliche Rechte und Werte sowie
Lizenzen an solchen Rechten und Werten
920.223,83 202.414,90 0,00 0,00 1.122.638,73
2. Geleistete Anzahlungen 20.735,00 0,00 0,00 20.735,00 0,00
940.958,83 202.414,90 0,00 20.735,00 1.122.638,73
II. Sachanlagen
1. Grundstücke, grundstücksgleiche Rechte
und Bauten einschließlich der Bauten auf
fremden Grundstücken
94.584.874,40 8.874.978,43 7.896.381,00 0,00 111.356.233,83
Anschaffungs- und Herstellungskosten
1.9.2015.
EUR
Zugänge.
EUR
Umbuchungen.
EUR
Abgänge.
EUR
31.8.2016.
EUR
2. Andere Anlagen, Betriebs- und Geschäftsausstattung
2.392.473,68 551.524,05 0,00 25.980,76 2.918.016,97
3. Geleistete Anzahlungen und Anlagen im
Bau
1.683.015,70 6.688.688,41 -7.896.381,00 221,95 475.101,16
98.660.363,78 16.115.190,89 0,00 26.202,71 114.749.351,96
II. Finanzanlagen
1. Anteile an verbundenen Unternehmen 22.311.536,35 2.775.000,00 0,00 0,00 25.086.536,35
2. Ausleihungen an verbundene Unternehmen 34.446.127,26 5.769.786,94 0,00 5.873.794,33 34.342.119,87
3. Beteiligungen 85.025,18 145.601,50 0,00 0,00 230.626,68
4. Ausleihungen an Unternehmen, mit denen
ein Beteiligungsverhältnis besteht
5.636.499,74 1.118.127,60 0,00 0,00 6.754.627,34
5. Sonstige Ausleihungen 895.823,04 0,00 0,00 335.135,53 560.687,51
63.375.011,57 9.808.516,04 0,00 6.208.929,86 66.974.597,75
162.976.334,18 26.126.121,83 0,00 6.255.867,57 182.846.588,44"; 15, 16 ;31.08.2016;SE;Jahresabschluss;KPMG
"Kumulierte Abschreibungen
1.9.2015.
EUR
des Geschäftsjahres.
EUR
Zuschreibungen.
EUR
Abgänge.
EUR
31.8.2016.
EUR
I. Immaterielle Vermögensgegenstände
1. Entgeltlich erworbene gewerbliche Schutzrechte
und ähnliche Rechte und Werte sowie
Lizenzen an solchen Rechten und Werten
676.371,83 114.130,90 0,00 0,00 790.502,73
2. Geleistete Anzahlungen 0,00 0,00 0,00 0,00 0,00
676.371,83 114.130,90 0,00 0,00 790.502,73
II. Sachanlagen
1. Grundstücke, grundstücksgleiche Rechte
und Bauten einschließlich der Bauten auf
fremden Grundstücken
36.354.560,96 1.920.101,08 0,00 0,00 38.274.662,04
2. Andere Anlagen, Betriebs- und Geschäftsausstattung
1.509.541,68 329.158,05 0,00 25.980,76 1.812.718,97
Kumulierte Abschreibungen
1.9.2015.
EUR
des Geschäftsjahres.
EUR
Zuschreibungen.
EUR
Abgänge.
EUR
31.8.2016.
EUR
3. Geleistete Anzahlungen und Anlagen im
Bau
70.140,00 0,00 0,00 0,00 70.140,00
37.934.242,64 2.249.259,13 0,00 25.980,76 40.157.521,01
II. Finanzanlagen
1. Anteile an verbundenen Unternehmen 748.083,04 0,00 0,00 0,00 748.083,04
2. Ausleihungen an verbundene Unternehmen 7.108.257,79 650.000,00 3.839.000,00 0,00 3.919.257,79
3. Beteiligungen 0,00 0,00 0,00 0,00 0,00
4. Ausleihungen an Unternehmen, mit denen
ein Beteiligungsverhältnis besteht
0,00 0,00 0,00 0,00 0,00
5. Sonstige Ausleihungen 0,00 0,00 0,00 0,00 0,00
7.856.340,83 650.000,00 3.839.000,00 0,00 4.667.340,83
46.466.955,30 3.013.390,03 3.839.000,00 25.980,76 45.615.364,57"; 15, 16 ;31.08.2016;SE;Jahresabschluss;KPMG
