Anhang; Annotierung (Angabe Nummer in Anahngscheckliste) 
Die sonstigen Rückstellungen der Gesellschaft betreffen im Wesentlichen folgende Verpflichtungen/Risiken:; 4.50, 40 
"31.12.2016
TEUR
Verkaufskosten 91.295
Mobilitätsgarantie 29.356
Händlerboni 41.979
Personalkosten 3.707
Leasing Wert Strategie der VAB 48
Übrige 5.211
171.596"; 4.50, 40 
Die übrigen sonstigen Rückstellungen beinhalten im Wesentlichen Rückstellungen für ausstehende Rechnungen.; 4.50, 40 
Verbindlichkeiten; 4.51 
Verbindlichkeitsspiegel; 4.51 
"Art der Verbindlichkeit Gesamt 31.12.2016 Gesamt 31.12.2015
1. Verbindlichkeiten aus Lieferungen und Leistungen 9.035 12.065
2. Verbindlichkeiten gegenüber verbundenen Unternehmen 4.491 0
3. Sonstige Verbindlichkeiten 32.298 28.426
Summe 45.824 40.491"; 4.51, 42 
Die Verbindlichkeiten sind wie im Vorjahr innerhalb eines Jahres fällig.; 4.51 
Die Verbindlichkeiten gegenüber verbundenen Unternehmen betreffen mit TEUR 4.491 (Vorjahr: TEUR 0) Verbindlichkeiten aus Lieferungen und Leistungen. Sonstige Verbindlichkeiten gegenüber verbundenen Unternehmen bestehen zum Bilanzstichtag wie im Vorjahr nicht.; 4.58, 6 
Die sonstigen Verbindlichkeiten beinhalten Verbindlichkeiten aus Steuern in Höhe von TEUR 25.335 (Vorjahr: TEUR 23.252). Verbindlichkeiten im Rahmen der sozialen Sicherheit bestehen zum Bilanzstichtag wie im Vorjahr nicht.; 4.61, 4.62 
Sonstige finanzielle Verpflichtungen, Haftungsverhältnisse, wesentliche außerbilanzielle Geschäfte;
Die sonstigen finanziellen Verpflichtungen setzen sich wie folgt zusammen:;  67 
"TEUR
Verpflichtungen aus Miet-, Dienstleistungs- und Leasingverträgen
Fällig bis Dezember 2017 1.359
Fällig vom Januar 2018 bis Dezember 2021 5.002
Fällig ab Januar 2022 4.356
Gesamt 10.717"; 67 
Es bestehen keine sonstigen finanziellen Verpflichtungen gegenüber verbundenen Unternehmen.; 67 
Haftungsverhältnisse; 46 
Haftungsverhältnisse bestehen nicht.; 46 
Wesentliche außerbilanzielle Geschäfte; 66 
Mit der Santander Consumer Bank AG, Mönchengladbach, besteht ein Vertrag zur Übertragung aller Forderungen aus Lieferungen und Leistungen unserer Gesellschaft gegenüber Volvo-Händlern an die Santander Consumer Bank AG. Das Ausfallrisiko für die übertragenen Forderungen trägt die Santander Bank. Unsere Gesellschaft entrichtet eine marktübliche Gebühr.; 66 
"Dieser Vertrag dient unserer Gesellschaft als Finanzierungsinstrument; darüber hinaus dient er der Eliminierung des Ausfallrisikos."; 66 
Erläuterungen zur Gewinn- und Verlustrechnung;
Umsatzerlöse 2016; 4.66, 50 
Die Umsatzerlöse wurden im Inland erzielt und setzen sich wie folgt zusammen:; 4.66, 50 
"2016 2015
TEUR TEUR
Neufahrzeuge 1.629.099 1.388.073
Erlösschmälerungen -411.365 -343.688
Neufahrzeuge 1.217.734 1.044.385
Gebrauchtfahrzeuge 104.143 83.261
Ersatzteile und Zubehör (inkl. Reparaturen) 150.085 139.195
Gesamtumsätze Fahrzeuge 1.471.962 1.266.840
Gesamtumsätze Konzerndienstleistungen 162.865 149.341
Umsatzerlöse gesamt 1.634.827 1.416.181"; 4.66, 50 
Die Umsatzerlöse aus dem Verkauf von Neufahrzeugen beinhalten Umsätze mit Autovermietungsgesellschaften in Höhe von Mio. EUR 143,4 (Vorjahr: Mio. EUR 142,5).; 4.66, 50 
Im Zuge der Umstellung an BilRuG werden im Geschäftsjahr erstmalig die Erlöse aus der Erbringung von Konzerndienstleistungen in Höhe von Mio. EUR 162,9 unter den Umsatzerlösen ausgewiesen. Der Vorjahresausweis wurde entsprechend angepasst (Mio. EUR 149,3).; 4.66, 1, 3, 51 
Personalaufwand; 4.73 
Im Personalaufwand sind Aufwendungen für Altersversorgung in Höhe von TEUR 4.599 (Vorjahr: TEUR 4.142) enthalten.; 4.76 
Sonstige betriebliche Erträge; 4.69 
In den sonstigen betrieblichen Erträgen sind periodenfremde Erträge aus der Auflösung von Rückstellungen in Höhe von TEUR 2.943 (Vorjahr: TEUR 1.566) enthalten. Die Erträge aus Fremdwährungsumrechnung betragen TEUR 38 (Vorjahr: 15 TEUR).; 4.69, 57, 59 
Sonstige betriebliche Aufwendungen; 4.80 
Die sonstigen betrieblichen Aufwendungen beinhalten im Wesentlichen die Aufwendungen für Marketing- und Vertrieb in Höhe von TEUR 51.940 (Vorjahr: TEUR 41.368), Gewährleistung und Kulanz in Höhe von TEUR 13.522 (Vorjahr: TEUR 11.845) und Administration und Beratung in Höhe von TEUR 4.345 (Vorjahr: TEUR 2.942).; 4.80 
Die Aufwendungen aus Fremdwährungsumrechnung betrugen TEUR 17 (Vorjahr: TEUR 17).; 4.80, 59 
Abschreibungen; 4.77 
Die Abschreibungen in Höhe von TEUR 32 (Vorjahr: TEUR 36) betreffen Sachanlagen. Außerplanmäßige Abschreibungen wurden nicht vorgenommen.; 4.78 
Finanzergebnis; 4.85, 4.86, 4.87, 4.88, 4.89 
"2016 2015
TEUR TEUR
Sonstige Zinsen und ähnliche Erträge 126 303
(davon aus verbundenen Unternehmen) 126 302
Finanzerträge 126 303
Aufwendungen aus Verlustübernahme 5 6
Zinsen und ähnliche Aufwendungen 2.308 2.572
(davon an verbundene Unternehmen) 0 0
Finanzaufwendungen 2.313 2.578
Finanzergebnis -2.187 -2.275"; 4.85, 4.86, 4.87, 4.88, 4.89 
Die Aufwendungen aus Verlustübernahme betreffen den von der VD Beteiligungen & Service GmbH, Köln, aufgrund des bestehenden Beherrschungs- und Ergebnisabführungsvertrages übernommenen Verlustes des Geschäftsjahres 2016.; 4.0 
Steuern vom Einkommen und vom Ertrag; 4.90 
Für das Geschäftsjahr wurden Zuführungen zu den Steuerrückstellungen gebucht:; 4.90 
Gewerbesteuer: TEUR 2.137; 4.90 
Zusammensetzung der sonstigen Steuern:; 4.92 
Ausgewiesen werden Grundsteuer TEUR 0 (Vorjahr: TEUR 6) und Kraftfahrzeugsteuer TEUR 181 (Vorjahr: TEUR 308) sowie TEUR 102 (Vorjahr: TEUR 21) für diverse Steuern aus Vorjahren.; 4.92 
Sonstige Angaben;
Geschäftsführung; 83   
Geschäftsführer der Gesellschaft:; 83   
•Thomas Bauch, Oberursel, Deutschland, - Geschäftsführer Volvo Car Germany GmbH - Leitung des Vertriebs; 83   
Auf die Angabe der Geschäftsführerbezüge wird unter Bezugnahme auf § 286 Abs. 4 HGB verzichtet.; 84   
Mitarbeiter; 64   
Im Geschäftsjahr 2016 waren im Durchschnitt 131 (Vorjahr 127) Arbeitnehmer (ohne Geschäftsführer) bei der Gesellschaft beschäftigt.; 64   
Davon entfielen auf die Gruppe der; 64   
Gewerblichen Arbeitnehmer; 64   
"Angestellten 131
Auszubildende 0"; 64   
Konzernzugehörigkeit;
Die Volvo Car Germany GmbH wird in den Konzernabschluss der Volvo Car Corporation, Göteborg, Schweden zum 31. Dezember 2016 (kleinster Kreis von Konzernunternehmen) einbezogen. Oberstes Mutterunternehmen ist die Zhejiang Geely Holding Group Co. Ltd., Hangzhou, China (größter Kreis von Konzernunternehmen). Der Konzernabschluss der Volvo Car Corporation, Göteborg, Schweden, wird in Göteborg, Schweden, offengelegt.; 75, 76 
Honorare des Abschlussprüfers; 72   
Im Geschäftsjahr 2016 sind folgende Honorare des Abschlussprüfers Deloitte & Touche GmbH Wirtschaftsprüfungsgesellschaft als Aufwendungen erfasst:; 72   
"2016
TEUR
Abschlussprüfungsleistungen 75
Andere Bestätigungsleistungen 18
Steuerberatungsleistungen 5
Sonstige Leistungen 0
Gesamt 98"; 72   
Nachtragsberichterstattung; 69   
Nach dem Bilanzstichtag sind keine Ereignisse eingetreten oder bekannt geworden, die sich auf den Jahresabschluss auswirken.; 69   
Köln, den 21. Juli 2017;
;
