Anhang für das Geschäftsjahr 2016; Annotierung (Angabe Nummer in Anhangscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
"Die Finanzanlagen werden zu Anschaffungskosten angesetzt und bei voraussichtlich dauernder Wertminderung mit dem niedrigeren
beizulegenden Wert bewertet."; 8.12 ;2016;GmbH;Jahresabschluss;BDO AG
Umlaufvermögen;;2016;GmbH;Jahresabschluss;BDO AG
"Die Roh-, Hilfs- und Betriebsstoffe sind zu Anschaffungs- bzw. Herstellungskosten unter Verwendung gleitender Durchschnittspreise
und Beachtung des strengen Niederstwertprinzips angesetzt. Bestandsrisiken, die sich aus geminderter Verwertbarkeit ergeben, wird
durch angemessene Wertabschläge Rechnung getragen."; 8.21 ;2016;GmbH;Jahresabschluss;BDO AG
"Die unfertigen Leistungen werden zu Herstellungskosten bewertet. Dabei werden neben Einzelkosten auch angemessene Teile der
Material- und Fertigungsgemeinkosten einbezogen."; 8.22 ;2016;GmbH;Jahresabschluss;BDO AG
"Die Forderungen und sonstigen Vermögensgegenstände werden zum Nennwert oder mit ihren Anschaffungskosten angesetzt. Alle
erkennbaren Einzelrisiken und das allgemeine Kreditrisiko werden durch angemessene Abwertungen berücksichtigt."; 8.25 ;2016;GmbH;Jahresabschluss;BDO AG
Die Wertpapiere werden zu Anschaffungskosten oder zum niedrigeren beizulegenden Wert angesetzt.; 8.17 ;2016;GmbH;Jahresabschluss;BDO AG
Die flüssigen Mittel sind zum Nennwert bilanziert.; 8.33 ;2016;GmbH;Jahresabschluss;BDO AG
Sonderposten;;2016;GmbH;Jahresabschluss;BDO AG
"Im Sonderposten werden die ab dem 1. Januar 2003 und bis zum 31. Dezember 2010 vereinnahmten Anschlusskosten und
Baukostenzuschüsse ausgewiesen und entsprechend den Nutzungsdauern der betreffenden Vermögensgegenstände aufgelöst."; 32 ;2016;GmbH;Jahresabschluss;BDO AG
Rückstellungen;;2016;GmbH;Jahresabschluss;BDO AG
"Die Rückstellungen für Pensionen und ähnliche Verpflichtungen werden auf der Grundlage versicherungsmathematischer
Berechnungen unter Berücksichtigung der Richttafeln 2005 G von Klaus Heubeck nach dem Anwartschaftsbarwertverfahren gebildet.
Sie werden mit dem von der Deutschen Bundesbank zum 31. Dezember 2016 veröffentlichten durchschnittlichen Marktzinssatz der
vergangenen zehn Geschäftsjahre mit 4,01 % p.a. bei einer angenommenen Restlaufzeit von 15 Jahren abgezinst. Im Rahmen
weiterer Berechnungsannahmen werden Lohn- und Gehaltssteigerungen von 3,50 % p.a. sowie Rentensteigerungen von 1,00 % und
2,10 % p.a. unterstellt."; 8.48, 34 ;2016;GmbH;Jahresabschluss;BDO AG
"Bei der Bemessung der sonstigen Rückstellungen wird allen erkennbaren Risiken und ungewissen Verbindlichkeiten Rechnung
getragen. Sie sind in Höhe des nach vernünftiger kaufmännischer Beurteilung notwendigen Erfüllungsbetrags angesetzt.
Rückstellungen mit einer Restlaufzeit von mehr als einem Jahr werden mit dem von der Deutschen Bundesbank veröffentlichten
durchschnittlichen Marktzinssatz der vergangenen sieben Geschäftsjahre entsprechend ihrer Restlaufzeit abgezinst und mit dem
Zinssatz am Ende des Geschäftsjahres aufgezinst. Die Effekte aus der Änderung des Abzinsungssatzes oder der Schätzung der
Restlaufzeit werden im Finanzergebnis ausgewiesen."; 8.50, 40 ;2016;GmbH;Jahresabschluss;BDO AG
"Die Rückstellungen für Jubiläumszuwendungen werden auf der Grundlage eines versicherungsmathematischen Gutachtens unter
Berücksichtigung der Richttafeln 2005 G von Klaus Heubeck gebildet. Sie werden mit dem von der Deutschen Bundesbank zum 31.
Dezember 2016 veröffentlichten durchschnittlichen Marktzinssatz der vergangenen sieben Geschäftsjahre von 3,23 % p.a. abgezinst.
Des Weiteren werden Lohn- und Gehaltssteigerungen je nach Jubiläumsregelung von 2,75 % und 3,50 % p.a. unterstellt."; 8.48, 34 ;2016;GmbH;Jahresabschluss;BDO AG
"Die Rückstellungen für Altersteilzeitleistungen werden auf der Grundlage versicherungsmathematischer Berechnungen unter
Berücksichtigung der Richttafeln 2005 G von Klaus Heubeck gebildet. Sie werden mit dem von der Deutschen Bundesbank zum 31. Dezember 2016 veröffentlichten durchschnittlichen Marktzinssatz der vergangenen sieben Geschäftsjahre von 2,14 % p.a. für
potenzielle und abgeschlossene Altersteilzeitvereinbarungen abgezinst. Des Weiteren werden Lohn- und Gehaltssteigerungen von 3,50 % p.a. unterstellt."; 8.48, 34 ;2016;GmbH;Jahresabschluss;BDO AG
"Die Rückstellungen für Pensionen und ähnliche Verpflichtungen sind durch treuhänderisch gebundenes Vermögen im Rahmen eines
Contractual Trust Arrangements abgesichert. Die Absicherung von Wertguthaben aus dem Blockmodell Altersteilzeit gemäß § 8a
AItTZG sowie von Guthaben auf Langzeitarbeitszeitkonten gemäß § 7e SGB IV sind ebenfalls durch treuhänderisch gebundenes
Vermögen im Rahmen eines Contractual Trust Arrangements abgesichert. Diese treuhänderisch gebundenen Vermögensgegenstände
werden zum beizulegenden Zeitwert bewertet und gemäß § 246 Abs. 2 Satz 2 HGB mit den jeweils zugrunde liegenden
Verpflichtungen verrechnet. Die Aufwendungen aus der Aufzinsung der Rückstellungen werden mit den Erträgen und Aufwendungen
aus dem gebundenen Vermögen im Finanzergebnis saldiert."; 8.48, 37 ;2016;GmbH;Jahresabschluss;BDO AG
Verbindlichkeiten;;2016;GmbH;Jahresabschluss;BDO AG
"Die Verbindlichkeiten sind mit ihrem Erfüllungsbetrag angesetzt. Ausnahme ist die Verbindlichkeit gegenüber dem Pensions-
Sicherungs-Verein, die mit dem Barwert bilanziert ist."; 8.51 ;2016;GmbH;Jahresabschluss;BDO AG
Passiver Rechnungsabgrenzungsposten;;2016;GmbH;Jahresabschluss;BDO AG
"Die als Rechnungsabgrenzungsposten bilanzierten vereinnahmten Anschlusskosten und Baukostenzuschüsse, die bis zum 31.
Dezember 2002 und ab dem 1. Januar 2011 gebildet worden sind, werden linear über einen Zeitraum von 20 Jahren
ergebniswirksam aufgelöst. Die Einnahmen aus dem Engpassmanagement werden für Investitionen in den Erhalt oder Ausbau von
grenzüberschreitenden Verbindungskapazitäten verwendet und analog zu den Baukostenzuschüssen als
Rechnungsabgrenzungsposten bilanziert und aufgelöst."; 8.63 ;2016;GmbH;Jahresabschluss;BDO AG
Passive latente Steuern;;2016;GmbH;Jahresabschluss;BDO AG
"Die latenten Steuern werden aufgrund temporärer handels- und steuerrechtlicher Bilanzierungs- und Bewertungsunterschiede mit
der aktuellen Steuerquote ermittelt und saldiert ausgewiesen."; 8.64 ;2016;GmbH;Jahresabschluss;BDO AG
Währungsumrechnung;;2016;GmbH;Jahresabschluss;BDO AG
"Geschäftsvorfälle in fremder Währung werden zum Zeitpunkt der Erstverbuchung mit dem aktuellen Kurs bewertet. Auf fremde
Währung lautende Vermögensgegenstände und Verbindlichkeiten werden zum Devisenkassamittelkurs am Abschlussstichtag
umgerechnet."; 8.0 ;2016;GmbH;Jahresabschluss;BDO AG
Bilanzerläuterungen;;2016;GmbH;Jahresabschluss;BDO AG
(1) Anlagevermögen;;2016;GmbH;Jahresabschluss;BDO AG
"Die Aufgliederung der in der Bilanz zusammengefassten Anlageposten und deren Entwicklung im Geschäftsjahr 2016 sind auf der
Seite 3 dargestellt."; 4.1 ;2016;GmbH;Jahresabschluss;BDO AG
Die folgende Aufstellung enthält die Angaben zum Anteilsbesitz.;;2016;GmbH;Jahresabschluss;BDO AG
"Anteil am Kapital Eigenkapital Ergebnis
Name und Sitz der Gesellschaft (%) in Mio. €* in Mio. €*
TSCNET Services GmbH, München 7,7 2,9 0,4
Holding des Gestionnaires de Réseau de Transport d'électricité SAS,
Paris / Frankreich
5,0 93,7 25,5
Joint Allocation Office S.A., Luxembourg / Luxemburg 5,0 4,3 0,3
*) Eigenkapital und Ergebnis des Geschäftsjahres 2015"; 77 ;2016;GmbH;Jahresabschluss;BDO AG
(2) Vorräte;;2016;GmbH;Jahresabschluss;BDO AG
"in Mio. € 31.12.2016 31.12.2015
Roh-, Hilfs- und Betriebsstoffe 60,2 53,6
Unfertige Leistungen 3,3 -
63,5 53,6"; 4.21, 4.22 ;2016;GmbH;Jahresabschluss;BDO AG
(3) Forderungen und sonstige Vermögensgegenstände;;2016;GmbH;Jahresabschluss;BDO AG
"in Mio. € 31.12.2016 31.12.2015
Forderungen aus Lieferungen und Leistungen 1.043,9 985,2
Forderungen gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht - .
Sonstige Vermögensgegenstände 56,6 13,3
1.100,5 998,5
.) Betrag in geringer Höhe"; 4.26, 4.28, 4.29 ;2016;GmbH;Jahresabschluss;BDO AG
(4) Flüssige Mittel;;2016;GmbH;Jahresabschluss;BDO AG
Die flüssigen Mittel betreffen zum größten Teil Guthaben bei Kreditinstituten.; 4.33 ;2016;GmbH;Jahresabschluss;BDO AG
(5) Eigenkapital;;2016;GmbH;Jahresabschluss;BDO AG
"Das Stammkapital der Gesellschaft ist in voller Höhe eingezahlt und wird zu 74,9 % von der M 31 Beteiligungsgesellschaft mbH & Co.
Energie KG, Düsseldorf, und zu 25,1 % von der RWE AG, Essen, gehalten."; 4.38 ;2016;GmbH;Jahresabschluss;BDO AG
"Die nicht verbrieften Genussrechte werden von den Mitarbeitern der Gesellschaft gehalten und sind nicht übertragbar. Sie können
nach einer Haltefrist von mindestens fünf Jahren gekündigt werden. Die Genussrechte gewähren einen dem Gewinnanteil der
Gesellschafter vorgehenden begrenzten Anspruch auf Verzinsung des Nominalbetrags, der von dem Gewinn der Gesellschaft
abhängig ist. Sie gewähren keine Beteiligung am Liquidationserlös. Im Geschäftsjahr erfolgte eine Verzinsung des
Genussrechtskapitals in Höhe von 0,5 Mio. €. Insgesamt wurden Genussrechte mit folgender Stückelung ausgegeben."; 65 ;2016;GmbH;Jahresabschluss;BDO AG
"Nominalbetrag 31.12.2016
180 € 44.229
360 € 16
720 € 303
1.220 € 69
1.720 € 379
44.996"; 65 ;2016;GmbH;Jahresabschluss;BDO AG
Die Gewinnrücklagen betreffen andere Gewinnrücklagen gemäß § 266 Abs. 3 III. Nr. 4 HGB.; 4.44 ;2016;GmbH;Jahresabschluss;BDO AG
"Mit Beschluss des Aufsichtsrats vom 12. April 2016 wurde der Jahresüberschuss für das Geschäftsjahr 2015 in Höhe von 171,3 Mio. €
zu einem Teilbetrag in Höhe von 85,0 Mio. € an die Gesellschafter ausgeschüttet. Der verbleibende Betrag in Höhe von 86,3 Mio. €
wurde in die anderen Gewinnrücklagen eingestellt."; 4.44, 68 ;2016;GmbH;Jahresabschluss;BDO AG
(6) Ausschüttungssperre;;2016;GmbH;Jahresabschluss;BDO AG
"Der ausschüttungsgesperrte Gesamtbetrag gemäß § 268 Abs. 8 HGB in Höhe von 6,3 Mio. € resultiert aus der Bewertung des
Deckungsvermögens gemäß § 246 Abs. 2 Satz 2 HGB zum beizulegenden Zeitwert in Höhe von 9,1 Mio. € abzüglich der hierauf
entfallenden passiven latenten Steuern in Höhe von 2,8 Mio. €. Der ausschüttungsgesperrte Unterschiedsbetrag gemäß § 253 Abs. 6
HGB in Höhe von 24,8 Mio. € resultiert aus der Abzinsung der Rückstellungen für Altersversorgungsverpflichtungen mit einem
zehnjährigen anstatt eines siebenjährigen durchschnittlichen Marktzinssatzes."; 31 ;2016;GmbH;Jahresabschluss;BDO AG
"Die frei verfügbaren Rücklagen in Höhe von 1.474,4 Mio. € übersteigen die ausschüttungsgesperrten Beträge in Höhe von 31,1 Mio.
€."; 31 ;2016;GmbH;Jahresabschluss;BDO AG
(7) Sonderposten;;2016;GmbH;Jahresabschluss;BDO AG
"Im Sonderposten für Investitionszuwendungen zum Anlagevermögen werden die ab dem 1. Januar 2003 und bis zum 31. Dezember
2010 erhaltenen Anschlusskosten und Baukostenzuschüsse ausgewiesen."; 32 ;2016;GmbH;Jahresabschluss;BDO AG
(8) Rückstellungen;;2016;GmbH;Jahresabschluss;BDO AG
"in Mio. € 31.12.2016 31.12.2015
Steuerrückstellungen 40,5 44,0
Sonstige Rückstellungen 391,7 470,9
432,2 514,9"; 4.49, 4.50 ;2016;GmbH;Jahresabschluss;BDO AG
"Aufgrund des Saldierungsgebots gemäß § 246 Abs. 2 Satz 2 HGB werden die Rückstellungen für Pensionen und ähnliche
Verpflichtungen Deckungsvermögen sowie mit Rückdeckungsversicherungen verrechnet."; 4.48, 37 ;2016;GmbH;Jahresabschluss;BDO AG
"in Mio. € Historische AK Zeitwert Erfüllungsbetrag
Verrechnete Vermögensgegenstände Wertpapiere des
Anlagevermögens
120,7 129,8
Sonstige Vermögensgegenstände 2,4 2,4
123,1 132,2
Verrechnete Schulden
Rückstellungen für Pensionen und ähnliche Verpflichtungen 132,2
132,2
Unterschiedsbetrag aus der Verrechnung -"; 4.48, 37 ;2016;GmbH;Jahresabschluss;BDO AG
"Der beizulegende Zeitwert entspricht dem Marktwert zum 31. Dezember 2016. Die entsprechende Verrechnung der Aufwendungen
und Erträge ist unter dem Finanzergebnis dargestellt."; 4.48, 37 ;2016;GmbH;Jahresabschluss;BDO AG
Die Steuerrückstellungen beziehen sich auf noch nicht endgültig abgeschlossene Besteuerungszeiträume.; 4.49 ;2016;GmbH;Jahresabschluss;BDO AG
"Die sonstigen Rückstellungen sind im Wesentlichen für Verpflichtungen aus der Sanierung von Masten, Ansprüche nach dem KWKG
alt, Verpflichtungen aus dem Personalbereich sowie für regulatorische Verpflichtungen gebildet."; 4.50 ;2016;GmbH;Jahresabschluss;BDO AG
"Aufgrund des Saldierungsgebots gemäß § 246 Abs. 2 Satz 2 HGB werden die unter den sonstigen Rückstellungen ausgewiesenen
Rückstellungen für Altersteilzeit-leistungen und Langzeitarbeitszeitkonten mit dem Deckungsvermögen verrechnet."; 4.50, 37 ;2016;GmbH;Jahresabschluss;BDO AG
"in Mio. € Historische AK Zeitwert Erfüllungsbetrag
Verrechnete Vermögensgegenstände
Sonstige Vermögensgegenstände 11,0 11,0
11,0 11,0"; 4.50, 37 ;2016;GmbH;Jahresabschluss;BDO AG
"in Mio. € Historische AK Zeitwert Erfüllungsbetrag
Verrechnete Schulden
Rückstellungen für Altersteilzeitleistungen und
Langzeitarbeitszeitkonten
35,1
35,1
Unterschiedsbetrag aus der Verrechnung 24,1"; 4.50, 37 ;2016;GmbH;Jahresabschluss;BDO AG
"Der beizulegende Zeitwert entspricht dem Marktwert zum 31. Dezember 2016. Die entsprechende Verrechnung der Aufwendungen
und Erträge ist unter dem Finanzergebnis dargestellt."; 4.50, 37 ;2016;GmbH;Jahresabschluss;BDO AG
(9) Verbindlichkeiten;;2016;GmbH;Jahresabschluss;BDO AG
"31.12.2016 Restlaufzeit Davon
in Mio. € (31.12.2015) < 1 Jahr > 1 Jahr > 5 Jahre
Verbindlichkeiten ggü. Kreditinstituten 222,4 37,4 185,0 -
(191,1) (6,1) (185,0) (185,0)
Erhaltene Anzahlungen auf Bestellungen 17,7 8,2 9,5 1,8
(15,5) (9,4) (6,1) (1,8)
Verbindlichkeiten aus Lieferungen und Leistungen 2.168,0 2.168,0 - -
(2.067,5) (2.067,5) (-) (-)
Verbindlichkeiten ggü. Unternehmen, mit denen
ein Beteiligungsverhältnis besteht
. . - -
(0,1) (0,1) (-) (-)
Sonstige Verbindlichkeiten 229,8 146,5 83,3 -
(182,6) (93,1) (89,5) (0,1)
davon aus Steuern 9,5 9,5 - -
(13,5) (13,5) (-) (-)
davon im Rahmen der sozialen Sicherheit 0,6 0,2 0,4 -
(0,7) (0,3) (0,4) (0,1)
2.637,9 2.360,1 277,8 1,8
(2.456,8) (2.176,2) (280,6) (186,9)
.) Betrag in geringer Höhe"; 4.54, 4.55, 4.56, 4.59, 4.60, 4.61, 4.62, 43 ;2016;GmbH;Jahresabschluss;BDO AG
"Die Verbindlichkeiten gegenüber Kreditinstituten betreffen im Wesentlichen ein langfristiges Schuldscheindarlehen in Höhe von 185,0
Mio. €."; 4.54 ;2016;GmbH;Jahresabschluss;BDO AG
Die sonstigen Verbindlichkeiten enthalten überwiegend Verbindlichkeiten für regulatorische Verpflichtungen.; 4.60 ;2016;GmbH;Jahresabschluss;BDO AG
(10) Rechnungsabgrenzungsposten;;2016;GmbH;Jahresabschluss;BDO AG
"Der passive Rechnungsabgrenzungsposten beinhaltet bis zum 31. Dezember 2002 und ab dem 1. Januar 2011 vereinnahmte
Anschlusskosten und Baukostenzuschüsse in Höhe von 30,1 Mio. € (Vorjahr: 33,6 Mio. €) und Einnahmen aus dem
Engpassmanagement für Investitionen in den Erhalt oder Ausbau von grenzüberschreitenden Verbindungskapazitäten in Höhe von
44,0 Mio. € (Vorjahr: 18,8 Mio. €) sowie verschiedene Vorauseinnahmen in Höhe von 35,7 Mio. € (Vorjahr: 40,6 Mio. €) für Erträge in
Folgejahren."; 4.63 ;2016;GmbH;Jahresabschluss;BDO AG
(11) Passive latente Steuern;;2016;GmbH;Jahresabschluss;BDO AG
"in Mio. € 31.12.2015 Veränderung 31.12.2016
Aktive latente Steuern 46,6 14,5 61,1
Passive latente Steuern 157,7 28,6 186,3
Passivüberhang latenter Steuern 111,1 14,1 125,2"; 4.35, 4.64, 25 ;2016;GmbH;Jahresabschluss;BDO AG
"Die passiven latenten Steuern resultieren im Wesentlichen aus Bewertungsabweichungen bei den Grundstücken und Gebäuden sowie
bei den technischen Anlagen und Maschinen. Diese übersteigen die aktiven latenten Steuern, die sich überwiegend aus den
unterschiedlichen Wertansätzen bei den Rückstellungen für Pensionen und ähnliche Verpflichtungen, den sonstigen Rückstellungen
und dem passiven Rechnungsabgrenzungsposten ergeben. Der Ermittlung wurde ein Steuersatz von 31,33 % (Vorjahr: 31,24 %)
zugrunde gelegt."; 4.64, 25 ;2016;GmbH;Jahresabschluss;BDO AG
(12) Haftungsverhältnisse, sonstige finanzielle Verpflichtungen;;2016;GmbH;Jahresabschluss;BDO AG
"Die Haftungsverhältnisse beinhalten ausschließlich Verbindlichkeiten aus Gewährleistungsverträgen in Höhe von 151,1 Mio. €
(Vorjahr: 158,8 Mio. €) und betreffen in Höhe von 147,7 Mio. € (Vorjahr: 155,9 Mio. €) den Schuldbeitritt für
Altersversorgungsverpflichtungen, die bei dem Gesellschafter RWE AG bilanziert sind. Die wirtschaftlichen Be- und Entlastungen trägt
Amprion."; 46 ;2016;GmbH;Jahresabschluss;BDO AG
"Haftungsverhältnisse werden nur nach eingehender Prüfung der hiermit zusammenhängenden Risiken und im Rahmen der eigenen
Geschäftstätigkeit eingegangen. Auf Basis der bis zur Aufstellung des Jahresabschlusses vorliegenden Erkenntnisse wird davon
ausgegangen, dass die den Haftungsverhältnissen zugrunde liegenden Verbindlichkeiten von den jeweiligen Hauptschuldnern erfüllt
werden können und daher mit einer Inanspruchnahme nicht zu rechnen ist."; 46 ;2016;GmbH;Jahresabschluss;BDO AG
"Der Gesamtbetrag der sonstigen finanziellen Verpflichtungen beträgt 425,2 Mio. € und betrifft die nachfolgend genannten
Sachverhalte."; 67 ;2016;GmbH;Jahresabschluss;BDO AG
"Für die Strombeschaffung zum marktorientierten Ausgleich von Verlustenergie wurden Abnahmeverpflichtungen für 2017 und 2018
in Höhe von 84,7 Mio. € eingegangen."; 67 ;2016;GmbH;Jahresabschluss;BDO AG
"Aus erteilten Investitions- und Instandhaltungsaufträgen sowie aus Rahmenverträgen mit Abnahmeverpflichtungen besteht ein
Bestellobligo in Höhe von 313,3 Mio. €."; 67 ;2016;GmbH;Jahresabschluss;BDO AG
"Aus überwiegend langfristigen Mietverträgen bestehen nicht abgezinste finanzielle Verpflichtungen in Höhe von 15,2 Mio. € (davon <
1 Jahr: 8,6 Mio. €)."; 67 ;2016;GmbH;Jahresabschluss;BDO AG
"Aus Grundstückskaufverträgen, deren rechtlicher und wirtschaftlicher Übergang nach dem 31. Dezember 2016 erfolgt, resultiert eine
Zahlungsverpflichtung in Höhe von 11,9 Mio. €."; 67 ;2016;GmbH;Jahresabschluss;BDO AG
"Aufgrund der in früheren Jahren erfolgten Übertragung von bestimmten Altersversorgungsverpflichtungen auf die RWE Pensionsfonds
AG besteht für den Fall einer möglichen zukünftigen Unterdeckung des Pensionsfonds eine gesetzliche Nachschusspflicht der
Gesellschaft in ihrer Eigenschaft als Arbeitgeber. Diese finanzielle Verpflichtung ist derzeit nicht quantifizierbar."; 67 ;2016;GmbH;Jahresabschluss;BDO AG
Erläuterungen zur Gewinn- und Verlustrechnung;;2016;GmbH;Jahresabschluss;BDO AG
(13) Umsatzerlöse;;2016;GmbH;Jahresabschluss;BDO AG
"in Mio. €
01.01.-
31.12.2016
01.01.-
31.12.2015
Strom 12.613,2 11.849,1
Übrige 36,9 18,5
12.650,1 11.867,6"; 4.66, 50 ;2016;GmbH;Jahresabschluss;BDO AG
(13) Umsatzerlöse;;2016;GmbH;Jahresabschluss;BDO AG
"Die Umsatzerlöse Strom beinhalten im Wesentlichen Erlöse aus der Weitergabe von EEG-Aufwendungen, Netzentgelte und
ergebnisneutrale Umlagen. Die Umsatzerlöse werden überwiegend im Inland erzielt."; 4.66, 50 ;2016;GmbH;Jahresabschluss;BDO AG
"Die Umsatzerlöse gemäß § 277 Abs. 1 HGB in der Fassung des BiIRUG sind nicht mit den Umsatzerlösen des Vorjahres vergleichbar.
Die Umsatzerlöse des Vorjahres, die sich aus der Anwendung des § 277 Abs. 1 HGB in der Fassung des BiIRUG ergeben würden,
betragen 11.878,6 Mio. €. Die Änderung betrifft im Wesentlichen Miet- und Pachterlöse, die im Vorjahr unter den sonstigen
betrieblichen Erträgen ausgewiesen wurden."; 4.66, 51 ;2016;GmbH;Jahresabschluss;BDO AG
(14) Sonstige betriebliche Erträge;;2016;GmbH;Jahresabschluss;BDO AG
"in Mio. €
01.01.-
31.12.2016
01.01.-
31.12.2015
Auflösung von Rückstellungen 25,9 14,7
Gewinne aus Anlageabgängen 1,2 4,7
Übrige 11,5 35,0
38,6 54,4"; 4.69, 54 ;2016;GmbH;Jahresabschluss;BDO AG
"In den sonstigen betrieblichen Erträgen sind periodenfremde Erträge in Höhe von 34,6 Mio. € (Vorjahr: 38,5 Mio. €) enthalten.
Erträge aus der Währungsumrechnung sind in Höhe von 2,5 T€ (Vorjahr: 7,2 T€) angefallen."; 4.69, 57, 59  ;2016;GmbH;Jahresabschluss;BDO AG
"Im Vorjahr wurden Beträge in Höhe von 11,0 Mio. € in den übrigen sonstigen betrieblichen Erträgen ausgewiesen, die im
Geschäftsjahr aufgrund der erstmaligen Anwendung des BilRUG unter den übrigen Umsatzerlösen erfasst werden. Sie betreffen im
Wesentlichen Miet- und Pachterlöse."; 4.69, 51 ;2016;GmbH;Jahresabschluss;BDO AG
(15) Materialaufwand;;2016;GmbH;Jahresabschluss;BDO AG
"in Mio. €
01.01.-
31.12.2016
01.01.-
31.12.2015
Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren -11.598,1 -10.774,6
Aufwendungen für bezogene Leistungen -570,2 -600,8
-12.168,3 -11.375,4"; 4.71, 4.72 ;2016;GmbH;Jahresabschluss;BDO AG
"Im Materialaufwand sind im Wesentlichen Belastungen aus EEG-Strombezügen und Aufwendungen für Systemdienstleistungen sowie
ergebnisneutrale Umlagen enthalten."; 4.70 ;2016;GmbH;Jahresabschluss;BDO AG
(16) Personalaufwand;;2016;GmbH;Jahresabschluss;BDO AG
"in Mio. €
01.01.-
31.12.2016
01.01.-
31.12.2015
in Mio. €
01.01.-
31.12.2016
01.01.-
31.12.2015
Löhne und Gehälter -102,1 -94,6
Soziale Abgaben und Aufwendungen für Altersversorgung und Unterstützung -17,9 -30,9
davon für Altersversorgung -2,7 -16,9
-120,0 -125,5
01.01.-
31.12.2016
01.01.-
31.12.2015
Leitende Angestellte 30 30
Außertarifliche Mitarbeiter 235 214
Tarifliche Mitarbeiter 934 870"; 4.74, 4.75 ;2016;GmbH;Jahresabschluss;BDO AG
"01.01.-
31.12.2016
01.01.-
31.12.2015
1.199 1.114"; 4.74, 4.75 ;2016;GmbH;Jahresabschluss;BDO AG
"Die Angabe bezieht sich auf die im Geschäftsjahr durchschnittlich beschäftigten Mitarbeiteräquivalente. Hierbei werden
Teilzeitbeschäftigte entsprechend der Arbeitsleistung anteilig berücksichtigt."; 4.73 ;2016;GmbH;Jahresabschluss;BDO AG
